T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.89541,0.97175,0.92137,1.34653,1.11285,1.01294,1.31972,1.23648,0.62073,0.90921,1.38208,1.29891,1.34354,1.3388,1.25313,0.43305,1.10716,1.17239,0.92643,1.06279,1.06099,0.99853,0.97629,0.9993,1.00204,1.00718,1.00525,1.06174,0.99179,0.97928,0.9993,1.00019,1.00325,1.0044,1.11828,1.05764,1.10238,0.33774,0.92578,0.99334,0.38692,0.78222,1.32908,1.16218,0.0673,0.52822,0.46077,0.2774,0.70245,1.2952,0.90486,0.82,1.12985,0.95175,0.97006,1.00224,1.03073,1.00213,0.99897,0.99658,0.99896,0.96964,1.02044,1.05297,1.00214,0.9999,0.99826,0.99434
0.02,0.8933,0.97109,0.92024,1.34752,1.11528,1.01324,1.32098,1.23584,0.62192,0.9079,1.3821,1.29897,1.34364,1.34,1.25457,0.42802,1.10854,1.1748,0.92412,1.06361,1.06218,0.99969,0.97966,0.99929,1.00205,1.0066,1.00469,1.06288,0.99189,0.9794,0.99928,1.00021,1.00315,1.00442,1.12009,1.05881,1.10355,0.33056,0.92366,0.99319,0.38038,0.78342,1.32882,1.16366,0.06689,0.52798,0.46015,0.26969,0.69884,1.29639,0.90329,0.81615,1.13274,0.95103,0.96939,1.00047,1.0266,1.00216,0.99896,0.99686,0.99907,0.96899,1.02018,1.05269,1.00219,0.99989,0.99831,0.99431
0.04,0.89241,0.97079,0.92036,1.34786,1.11803,1.01339,1.32123,1.23265,0.62971,0.90791,1.38174,1.2973,1.34265,1.34047,1.25391,0.4301,1.10887,1.17356,0.92323,1.06188,1.06274,1.00307,0.98549,0.99929,1.002,1.00556,1.00372,1.06335,0.99221,0.97993,0.99927,1.00022,1.00301,1.00438,1.12086,1.05935,1.10343,0.32808,0.92123,0.99311,0.37906,0.78931,1.32711,1.16365,0.07278,0.53465,0.46663,0.26661,0.7005,1.2959,0.90292,0.81814,1.13384,0.95255,0.96907,0.99882,1.01925,1.00214,0.99899,0.99736,0.99927,0.96872,1.01942,1.05148,1.00222,0.99989,0.99838,0.99436
0.06,0.89261,0.97082,0.92175,1.34758,1.12173,1.01342,1.32048,1.2265,0.64461,0.90917,1.38093,1.29368,1.34044,1.34026,1.25078,0.44037,1.10826,1.16727,0.92411,1.05663,1.06274,1.00833,0.99434,0.99931,1.00189,1.00396,1.00227,1.06321,0.99275,0.98084,0.99927,1.00024,1.00288,1.0043,1.12069,1.05929,1.102,0.33012,0.9179,0.99309,0.38301,0.80023,1.32369,1.16222,0.08571,0.54876,0.48074,0.26798,0.70823,1.29345,0.90361,0.82801,1.13276,0.95709,0.96907,0.99674,1.00768,1.00209,0.99905,0.99813,0.99955,0.9688,1.01814,1.04942,1.00222,0.99988,0.99846,0.99446
0.08,0.89383,0.9712,0.92445,1.34666,1.127,1.01335,1.3186,1.21664,0.66736,0.91166,1.37955,1.28763,1.33668,1.33933,1.24443,0.46072,1.10679,1.15333,0.92722,1.04639,1.06222,1.01531,1.01298,0.99934,1.00171,1.00174,1.00027,1.06249,0.99349,0.98206,0.99928,1.00025,1.00279,1.0042,1.11964,1.05862,1.09919,0.33682,0.91303,0.99313,0.39267,0.8166,1.31803,1.15936,0.10724,0.57123,0.50345,0.27402,0.7233,1.28845,0.90527,0.84862,1.12886,0.96564,0.96937,0.99392,0.99539,1.002,0.99913,0.99918,0.99995,0.96921,1.01636,1.04659,1.0022,0.99987,0.9985,0.99459
0.1,0.89604,0.97193,0.92852,1.34499,1.13429,1.01317,1.31536,1.20186,0.69884,0.91534,1.37733,1.27832,1.3308,1.33755,1.23347,0.49424,1.10452,1.12645,0.93315,1.02893,1.0612,1.02399,1.04087,0.99939,1.00146,0.99943,0.99885,1.06118,0.99442,0.98353,0.99929,1.00026,1.0028,1.0041,1.11773,1.05732,1.09488,0.34864,0.90604,0.99322,0.40891,0.8388,1.30921,1.15502,0.13994,0.60326,0.53615,0.28533,0.74745,1.27977,0.90781,0.88405,1.12114,0.97936,0.96995,0.99028,0.98449,1.00186,0.99926,1.00107,1.0009,0.96996,1.01409,1.04315,1.00215,0.99987,0.9985,0.99472
0.12,0.8992,0.97302,0.93401,1.34241,1.14383,1.01291,1.31034,1.18028,0.73983,0.92018,1.3738,1.2644,1.32178,1.3347,1.21531,0.54583,1.10153,1.07419,0.94265,1.00055,1.05968,1.03414,1.07006,0.99945,1.00114,0.99767,0.99729,1.05929,0.99551,0.98512,0.99931,1.00026,1.00298,1.00403,1.11497,1.05536,1.08892,0.3664,0.89642,0.99336,0.43305,0.86704,1.29556,1.1491,0.18795,0.64626,0.58049,0.30295,0.78307,1.26518,0.91111,0.94024,1.10802,0.99963,0.97081,0.98583,0.97135,1.00167,0.99942,1.00432,1.00211,0.97102,1.01142,1.03934,1.00208,0.99987,0.9984,0.99481
0.14,0.90331,0.97451,0.9409,1.33863,1.15551,1.01256,1.30284,1.14911,0.7905,0.92607,1.36802,1.24364,1.30781,1.33042,1.18469,0.62329,1.0979,0.98151,0.95653,0.97994,1.05766,1.04531,1.09853,0.99953,1.00074,0.99566,0.99551,1.0568,0.99668,0.98668,0.99935,1.00025,1.00341,1.00402,1.11132,1.05265,1.08118,0.39119,0.88386,0.99355,0.4669,0.90097,1.27405,1.14157,0.25755,0.7014,0.63805,0.3284,0.83321,1.23996,0.91505,1.04563,1.08686,1.04816,0.97194,0.98068,0.9564,1.00144,0.99963,1.008,1.00349,0.97241,1.00848,1.03556,1.00199,0.99987,0.99817,0.99482
0.16,0.9083,0.9764,0.94907,1.33321,1.16886,1.01213,1.29174,1.10456,0.84944,0.93281,1.35795,1.21251,1.28562,1.3241,1.12926,0.7395,1.09381,0.90525,0.97568,0.95488,1.05514,1.0568,1.12448,0.99962,1.00028,0.99351,0.99362,1.05372,0.99785,0.98795,0.99939,1.00023,1.00417,1.00412,1.1068,1.04916,1.0716,0.42439,0.86832,0.99377,0.51271,0.9392,1.23909,1.13249,0.35772,0.76867,0.70942,0.36379,0.90172,1.19216,0.9194,1.16478,1.05305,1.09555,0.97333,0.97507,0.94048,1.00117,0.99986,1.01187,1.00495,0.97411,1.00553,1.0324,1.00187,0.99988,0.99776,0.99471
0.18,0.91404,0.97869,0.9582,1.32548,1.18311,1.01163,1.27517,1.04337,0.91187,0.93999,1.3387,1.16614,1.24945,1.31479,1.01244,0.9164,1.08955,0.8228,1.00181,0.92576,1.05216,1.06771,1.14641,0.99972,0.99989,0.9914,0.99177,1.05011,0.99886,0.98863,0.99944,1.00019,1.00535,1.00435,1.10147,1.04487,1.06034,0.46739,0.85014,0.99404,0.57299,0.97847,1.18096,1.1222,0.49826,0.84497,0.79194,0.41175,0.9929,1.0812,0.92385,1.23358,0.99888,1.13828,0.97496,0.96944,0.92486,1.00087,1.00023,1.0156,1.00637,0.97606,1.00296,1.03071,1.00172,0.99991,0.99712,0.9944
