T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-27.04024,5.21523,-0.31778,-3.10236,0.3539,0.03892,1.31075,-1.08084,-0.14851,1.29525,0.0294,-0.04405,0.07814,0.86458,2.02814,0.43232,0.94552,0.04336,-0.02986,0.11699,2.96974,-4.72462,0.78448,-0.92521,0.26135,-0.09382,-0.05868,4.45221,0.30029,-0.17541,-1.37212,0.24467,0.06675,0.02892
0.02,-27.33213,5.1704,-0.32896,-3.10155,0.35749,0.0393,1.20871,-1.13803,-0.18922,1.25594,0.02094,-0.04974,0.06502,0.81143,1.9468,0.40943,0.96678,0.04644,-0.02837,0.11376,2.92515,-4.72837,0.7875,-0.93529,0.26101,-0.09409,-0.05897,4.42113,0.29605,-0.17368,-1.37737,0.24457,0.06641,0.02848
0.04,-27.63215,5.12336,-0.34136,-3.10231,0.36114,0.03962,1.11358,-1.18672,-0.22392,1.21513,0.0144,-0.05502,0.05161,0.76555,1.86447,0.38545,0.99055,0.04966,-0.02641,0.11128,2.87557,-4.732,0.79029,-0.94594,0.26067,-0.09436,-0.05926,4.38753,0.29068,-0.17304,-1.3828,0.24449,0.06607,0.02799
0.06,-27.93519,5.07686,-0.35294,-3.10444,0.36488,0.0399,1.02914,-1.2243,-0.25132,1.17497,0.0091,-0.05961,0.03722,0.7296,1.77975,0.36074,1.0181,0.05308,-0.02412,0.10974,2.82148,-4.73557,0.7927,-0.95713,0.26033,-0.09463,-0.05957,4.35144,0.28484,-0.17322,-1.38849,0.24441,0.06574,0.02748
0.08,-28.24267,5.04815,-0.36167,-3.10751,0.36867,0.04015,0.94908,-1.21585,-0.26207,1.12561,0.00327,-0.05953,0.01986,0.70578,1.69121,0.33571,1.0503,0.05668,-0.02169,0.10924,2.7636,-4.73921,0.7945,-0.9688,0.25998,-0.09489,-0.0599,4.31306,0.27932,-0.17391,-1.39452,0.24433,0.06542,0.02695
0.1,-28.54041,5.02669,-0.3585,-3.11092,0.37249,0.04035,0.89466,-1.1873,-0.25992,1.0883,-0.00248,-0.05695,0.00056,0.69501,1.59905,0.31101,1.08682,0.06039,-0.01937,0.10978,2.70313,-4.74304,0.79545,-0.98088,0.25962,-0.09516,-0.06028,4.27303,0.27489,-0.17482,-1.40087,0.24423,0.06511,0.02645
0.12,-28.82337,5.00821,-0.34071,-3.11426,0.37632,0.04051,0.87078,-1.15103,-0.24849,1.06874,-0.00858,-0.05195,-0.02118,0.69878,1.50101,0.28688,1.12818,0.06421,-0.01744,0.11121,2.64068,-4.74729,0.79522,-0.99331,0.25926,-0.09543,-0.06069,4.23162,0.27249,-0.1756,-1.40762,0.24412,0.06482,0.02598
0.14,-29.08969,4.99479,-0.31011,-3.11665,0.38009,0.04063,0.87388,-1.11934,-0.23227,1.06919,-0.01438,-0.04474,-0.04337,0.71337,1.39998,0.26415,1.17127,0.06782,-0.01612,0.11315,2.57788,-4.75211,0.7936,-1.00597,0.25887,-0.09569,-0.06118,4.19006,0.27245,-0.17611,-1.4146,0.24398,0.06454,0.02558
0.16,-29.34166,4.98657,-0.27105,-3.11749,0.38376,0.04067,0.89469,-1.10628,-0.21719,1.08549,-0.01956,-0.03619,-0.06451,0.73485,1.29687,0.2433,1.21355,0.07101,-0.01556,0.11511,2.51582,-4.75767,0.7904,-1.0188,0.25847,-0.09596,-0.06174,4.14925,0.27501,-0.17622,-1.42171,0.24382,0.06429,0.02524
0.18,-29.58401,4.96535,-0.21925,-3.11723,0.38739,0.04067,0.93128,-1.13189,-0.20971,1.11245,-0.02348,-0.02586,-0.08643,0.76496,1.18435,0.22271,1.25629,0.07396,-0.01593,0.11642,2.45348,-4.76416,0.78541,-1.03172,0.25805,-0.09622,-0.06236,4.10848,0.28096,-0.17568,-1.42919,0.24363,0.06406,0.02497
