T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-31.59299,11.73527,-0.09676,-1.26686,0.24103,0.01723,1.77508,-2.60324,-0.9177,1.56195,0.00626,0.0255,-0.17948,2.18517,1.50793,0.17633,1.54127,-0.03156,0.14636,0.12569,-14.73264,13.43255,0.23647,18.5826,-5.59361,7.42486,3.8382,-10.24499,-25.84963,11.75721,13.69143,2.56074,-3.473,1.59797
0.02,-31.70667,11.89197,-0.10123,-1.31971,0.269,0.01964,1.80713,-2.53177,-0.86454,1.59447,0.00759,0.03256,-0.17665,2.19881,1.42866,0.19159,1.56939,-0.03347,0.14703,0.12914,-14.67001,13.38351,0.23354,18.59047,-5.57731,7.41974,3.82696,-10.22133,-25.98923,11.78048,13.7616,2.55488,-3.47586,1.58517
0.04,-31.82285,12.06827,-0.11873,-1.37591,0.2987,0.02226,1.83181,-2.4676,-0.81674,1.62169,0.0087,0.03891,-0.17393,2.21148,1.35465,0.21328,1.59195,-0.03557,0.14645,0.13301,-14.6113,13.33593,0.22979,18.59745,-5.56073,7.41472,3.81519,-10.19616,-26.13077,11.80356,13.83345,2.54895,-3.4787,1.57172
0.06,-31.93648,12.26598,-0.15115,-1.43471,0.32985,0.02512,1.84999,-2.4068,-0.77366,1.64387,0.00963,0.04449,-0.17138,2.22459,1.28455,0.24007,1.60956,-0.03777,0.14487,0.1372,-14.55539,13.2897,0.22533,18.60392,-5.54398,7.40979,3.8029,-10.17068,-26.27287,11.82623,13.90642,2.54309,-3.48149,1.55767
0.08,-32.04161,12.4855,-0.19935,-1.49501,0.36208,0.02826,1.86374,-2.34391,-0.73415,1.66154,0.01044,0.04928,-0.16907,2.24009,1.21651,0.26995,1.62331,-0.03992,0.14264,0.14159,-14.50071,13.24479,0.22031,18.61019,-5.52715,7.40495,3.7901,-10.14679,-26.41391,11.84834,13.97979,2.53739,-3.48414,1.5431
0.1,-32.13236,12.72203,-0.26115,-1.55517,0.39462,0.03171,1.87534,-2.27532,-0.69804,1.67529,0.01114,0.05309,-0.16711,2.2597,1.15022,0.3008,1.63497,-0.04189,0.1402,0.1461,-14.44712,13.20223,0.21472,18.61583,-5.51052,7.40047,3.77686,-10.12692,-26.55147,11.86981,14.05262,2.53194,-3.48647,1.52809
0.12,-32.20183,12.97862,-0.3364,-1.61406,0.42775,0.0356,1.89036,-2.18941,-0.66021,1.6865,0.01193,0.05643,-0.1654,2.28816,1.08017,0.32912,1.64578,-0.0435,0.13825,0.15038,-14.38891,13.15994,0.20904,18.62289,-5.49374,7.39581,3.76312,-10.11412,-26.68444,11.89041,14.12362,2.52677,-3.48874,1.51267
0.14,-32.24681,13.24081,-0.41669,-1.66973,0.4603,0.0399,1.91106,-2.08742,-0.62218,1.69638,0.01274,0.05899,-0.16415,2.32593,1.00877,0.3534,1.65887,-0.0447,0.13725,0.15458,-14.3291,13.12087,0.20303,18.62926,-5.47745,7.39171,3.74907,-10.11026,-26.80972,11.91035,14.19227,2.52195,-3.4905,1.49702
0.16,-32.26388,13.50002,-0.49533,-1.72092,0.49202,0.04465,1.94156,-1.96593,-0.582,1.70699,0.01363,0.06094,-0.1634,2.37491,0.93475,0.37162,1.67689,-0.04543,0.1377,0.15865,-14.26653,13.08517,0.19684,18.63515,-5.46178,7.38827,3.73485,-10.11677,-26.92576,11.92979,14.25791,2.51748,-3.49173,1.48129
0.18,-32.24747,13.78355,-0.57847,-1.76823,0.52633,0.05026,1.99432,-1.79388,-0.52099,1.7189,0.01532,0.0648,-0.16221,2.44496,0.83865,0.37749,1.69702,-0.04559,0.14095,0.16143,-14.18109,13.04186,0.19227,18.64938,-5.44457,7.38254,3.72013,-10.13724,-27.03546,11.94769,14.31821,2.5133,-3.49387,1.46539
