T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.01015,0.00201,0,0.00115,0.00028,0.07648,0,0,0.02214,0,0,0,0.10553,0,0.00377,0.03142,0.00897,0,0.02463,0.04389,0.08279,0,0.05156,0.12822,0.18611,0.11766,0,0.08775,0,0.09507,0,0,0,0.03901,0,0,0.05395,0,0,0,0.01107,0.0071,0,0.00698,0.00522,0.01782,0,0.01105,0,0,0,0.00965,0,0,0,0.1586,0,0,0,0,0.2298,0,0.39116,0,0.04812,0.04095,0.00415
0.02,0,0.01022,0.00186,0,0.00124,0.00022,0.07454,0,0,0.02144,0,0,0,0.10249,0,0.00375,0.0309,0.00865,0,0.0198,0.04356,0.08285,0,0.05107,0.12676,0.18841,0.12079,0,0.0872,0,0.09497,0,0,0,0.03961,0,0,0.05396,0,0,0,0.01181,0.0071,0,0.00679,0.00521,0.01724,0,0.01077,0,0,0,0.00998,0,0,0,0.16,0,0,0,0,0.22973,0,0.38954,0,0.04814,0.04074,0.00503
0.04,0,0.0103,0.00162,0,0.00138,0.00013,0.07235,0,0,0.02059,0,0,0,0.09877,0,0.00372,0.03001,0.00826,0,0.01501,0.04315,0.08291,0,0.05057,0.12528,0.19069,0.12384,0,0.08665,0,0.09488,0,0,0,0.04038,0,0,0.05405,0,0,0,0.01289,0.0072,0,0.00658,0.00533,0.01652,0,0.01032,0,0,0,0.0103,0,0,0,0.16137,0,0,0,0,0.22968,0,0.38794,0,0.04816,0.04053,0.00592
0.06,0,0.01043,0.00125,0,0.00156,3e-05,0.06995,0,0,0.0196,0,0,0,0.09443,0,0.00368,0.02876,0.00778,0,0.01027,0.04266,0.08297,0,0.05006,0.12379,0.19295,0.12682,0,0.0861,0,0.09479,0,0,0,0.04134,0,0,0.05423,0,0,0,0.01433,0.00744,0,0.00632,0.00557,0.01568,0,0.00973,0,0,0,0.0106,0,0,0,0.16271,0,0,0,0,0.22965,0,0.38637,0,0.04818,0.04032,0.00683
0.08,0,0.01064,0.00076,0,0.0018,3e-05,0.06741,0,0,0.0185,0,0,0,0.08958,0,0.0036,0.02723,0.00721,0,0.00561,0.04207,0.08302,1e-05,0.04953,0.12229,0.19519,0.1297,1e-05,0.08558,0,0.09469,0,0,0,0.04248,0,0,0.05452,0,0.00013,0,0.01612,0.00782,0,0.00602,0.00594,0.01474,0,0.00902,0,0,0,0.01085,0,0,0,0.16407,0,0,1e-05,0,0.22966,0,0.38485,0,0.04821,0.04012,0.00778
0.1,1e-05,0.01097,0.00013,1e-05,0.00211,0.0002,0.06482,1e-05,1e-05,0.01733,6e-05,2e-05,6e-05,0.08442,1e-05,0.00349,0.02551,0.00661,2e-05,0.00124,0.04139,0.08306,3e-05,0.04898,0.12081,0.19743,0.13246,1e-05,0.08508,1e-05,0.0946,2e-05,1e-05,2e-05,0.04377,0,0,0.05492,1e-05,0.00044,0,0.01824,0.00836,1e-05,0.0057,0.00647,0.01379,0,0.00825,1e-05,1e-05,7e-05,0.01105,3e-05,1e-05,0,0.16547,0,0,5e-05,2e-05,0.22972,1e-05,0.38341,1e-05,0.04825,0.03993,0.00883
0.12,0,0.01146,0.00014,1e-05,0.00249,0.00026,0.06235,1e-05,2e-05,0.01618,0.00011,3e-05,0.0001,0.07924,2e-05,0.00334,0.02376,0.00589,4e-05,0.0013,0.04058,0.08307,4e-05,0.04842,0.11932,0.19965,0.13507,3e-05,0.0846,1e-05,0.0945,2e-05,2e-05,3e-05,0.04517,0,0.00076,0.05545,2e-05,0.00066,0,0.0206,0.00906,1e-05,0.00529,0.00708,0.01282,1e-05,0.0075,2e-05,1e-05,0.00012,0.01113,0.00491,1e-05,0,0.16697,0,0,7e-05,3e-05,0.22985,1e-05,0.38204,0,0.04829,0.03974,0.00998
0.14,0,0.01213,0,0,0.00288,0,0.06009,0,0,0.01507,0,0,0,0.0742,0,0.00308,0.02207,0.00488,0,4e-05,0.03964,0.08306,0,0.04784,0.11785,0.20175,0.13724,0,0.08415,0,0.09439,0,0,0,0.04664,0,0.00146,0.05607,0,0.00057,0,0.02308,0.00986,0,0.00459,0.0076,0.01177,0,0.0068,0,0,0,0.01089,0.00775,0,0,0.16853,0,0,0,0,0.23004,0,0.38079,0,0.04834,0.03952,0.01109
0.16,0,0.01301,3e-05,0,0.00334,7e-05,0.05816,0,0,0.0141,0,0,0,0.06958,0,0.0028,0.02064,0.00392,1e-05,0.00014,0.03859,0.08303,0,0.04726,0.11642,0.20386,0.13919,0,0.08375,0,0.09428,0,0,0,0.04814,0,0.00232,0.0568,0,0.0008,0,0.0256,0.01079,0,0.00389,0.00821,0.0109,0,0.00622,0,0,0,0.01058,0.01149,0,0,0.17026,0,0,0,1e-05,0.23033,0,0.37975,0,0.0484,0.0393,0.0125
0.18,1e-05,0.01413,7e-05,2e-05,0.0039,0.00031,0.05688,1e-05,2e-05,0.01344,0.00014,2e-05,0.00034,0.06593,4e-05,0.00247,0.01968,0.00297,3e-05,0.00042,0.03748,0.083,5e-05,0.04664,0.11494,0.20623,0.14119,1e-05,0.08338,2e-05,0.09418,3e-05,2e-05,2e-05,0.04961,0,0.00319,0.05767,1e-05,0.00119,1e-05,0.02794,0.01186,2e-05,0.00323,0.00882,0.01051,1e-05,0.00597,1e-05,2e-05,0.00011,0.01019,0.016,1e-05,1e-05,0.1723,1e-05,0,0.00018,7e-05,0.23077,1e-05,0.37893,1e-05,0.04849,0.03915,0.01431
