T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.01019,0.09567,0.00895,-0.01019,0.00046,-0.01019,-0.01019,0.90548,0.01019,-0.01019,0.00044,-0.01019
0.02,-0.01019,0.09616,0.00896,-0.01019,0.00043,-0.01019,-0.01019,0.90498,0.01019,-0.01019,0.00042,-0.01019
0.04,-0.01019,0.09675,0.00898,-0.01019,0.0004,-0.01019,-0.01019,0.90438,0.01019,-0.01019,0.00039,-0.01019
0.06,-0.01019,0.09746,0.009,-0.01019,0.00038,-0.01019,-0.01019,0.90366,0.01019,-0.01019,0.00036,-0.01019
0.08,-0.01019,0.09834,0.00902,-0.01019,0.00035,-0.01019,-0.01019,0.90277,0.01019,-0.01019,0.00034,-0.01019
0.1,-0.01019,0.09941,0.00904,-0.01019,0.00031,-0.01019,-0.01019,0.90169,0.01019,-0.01019,0.00031,-0.01019
0.12,-0.01019,0.1007,0.00907,-0.01019,0.00028,-0.01019,-0.01019,0.9004,0.01019,-0.01019,0.00027,-0.01019
0.14,-0.01019,0.10221,0.00909,-0.01019,0.00024,-0.01019,-0.01019,0.89888,0.01019,-0.01019,0.00024,-0.01019
0.16,-0.01019,0.10396,0.00912,-0.01019,0.0002,-0.01019,-0.01019,0.89713,0.01019,-0.01019,0.0002,-0.01019
0.18,-0.01019,0.10595,0.00916,-0.01019,0.00017,-0.01019,-0.01019,0.89513,0.01019,-0.01019,0.00017,-0.01019
0.2,-0.01019,0.10818,0.0092,-0.01019,0.00013,-0.01019,-0.01019,0.89289,0.01019,-0.01019,0.00013,-0.01019
0.22,-0.01019,0.11064,0.00925,-0.01019,9e-05,-0.01019,-0.01019,0.89042,0.01019,-0.01019,9e-05,-0.01019
0.24,-0.01019,0.11333,0.00931,-0.01019,6e-05,-0.01019,-0.01019,0.88772,0.01019,-0.01019,6e-05,-0.01019
0.26,-0.01019,0.11624,0.00937,-0.01019,2e-05,-0.01019,-0.01019,0.8848,0.01019,-0.01019,2e-05,-0.01019
0.28,-0.01019,0.11936,0.00945,-0.01019,-1e-05,-0.01019,-0.01019,0.88166,0.01019,-0.01019,-1e-05,-0.01019
0.3,-0.01019,0.12268,0.00952,-0.01019,-4e-05,-0.01019,-0.01019,0.87833,0.01019,-0.01019,-4e-05,-0.01019
0.32,-0.01019,0.1262,0.00961,-0.01019,-6e-05,-0.01019,-0.01019,0.8748,0.01019,-0.01019,-6e-05,-0.01019
0.34,-0.01019,0.1299,0.0097,-0.01019,-8e-05,-0.01019,-0.01019,0.87109,0.01019,-0.01019,-8e-05,-0.01019
0.36,-0.01019,0.13377,0.00978,-0.01019,-0.0001,-0.01019,-0.01019,0.8672,0.01019,-0.01019,-0.0001,-0.01019
0.38,-0.01019,0.1378,0.00987,-0.01019,-0.00012,-0.01019,-0.01019,0.86315,0.01019,-0.01019,-0.00012,-0.01019
0.4,-0.01019,0.14197,0.00995,-0.01019,-0.00014,-0.01019,-0.01019,0.85896,0.01019,-0.01019,-0.00014,-0.01019
0.42,-0.01019,0.14626,0.01002,-0.01019,-0.00015,-0.01019,-0.01019,0.85466,0.01019,-0.01019,-0.00015,-0.01019
0.44,-0.01019,0.15062,0.01007,-0.01019,-0.00016,-0.01019,-0.01019,0.85027,0.01019,-0.01019,-0.00016,-0.01019
0.46,-0.01019,0.15501,0.01012,-0.01019,-0.00016,-0.01019,-0.01019,0.84586,0.01019,-0.01019,-0.00016,-0.01019
0.48,-0.01019,0.15938,0.01016,-0.01019,-0.00016,-0.01019,-0.01019,0.84146,0.01019,-0.01019,-0.00016,-0.01019
0.5,-0.01019,0.16366,0.01018,-0.01019,-0.00014,-0.01019,-0.01019,0.83715,0.01019,-0.01019,-0.00014,-0.01019
0.52,-0.01019,0.16778,0.0102,-0.01019,-0.00012,-0.01019,-0.01019,0.833,0.01019,-0.01019,-0.00012,-0.01019
0.54,-0.01019,0.17167,0.01021,-0.01019,-9e-05,-0.01019,-0.01019,0.82908,0.01019,-0.01019,-9e-05,-0.01019
0.56,-0.01019,0.17526,0.01021,-0.01019,-3e-05,-0.01019,-0.01019,0.82545,0.01019,-0.01019,-4e-05,-0.01019
