T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-4.92986,-0.25527,0.1453,-0.16388,-0.1031,-0.01206,0.21789,-0.62871,-1.19559,0.44375,-0.01814,0.04203,-0.027,0.24964,0.58967,0.88249,0.19134,0.12506,-0.02567,0.06421,0.05389,-0.88224,-0.03439,-0.91805,-0.34007,0.09316,0.07724,0.01752,0.42312,-0.10652,-0.72037,-0.34375,-0.02908,0.00484
0.02,-5.04703,-0.24629,0.13616,-0.15774,-0.10196,-0.01198,0.23077,-0.64058,-0.70886,0.50144,-0.01417,0.05421,-0.04093,0.26518,0.59803,0.74488,0.24412,0.14197,-0.03055,0.0759,0.05084,-0.87534,-0.0011,-0.92431,-0.34296,0.09068,0.07377,0.01396,0.41372,-0.11061,-0.72136,-0.34417,-0.02805,0.00617
0.04,-5.16593,-0.23739,0.12774,-0.15118,-0.10078,-0.01185,0.24446,-0.65154,-0.36314,0.55641,-0.01103,0.06414,-0.05393,0.28154,0.60586,0.62498,0.28737,0.15648,-0.0349,0.08684,0.04852,-0.86856,0.03075,-0.93041,-0.34578,0.08827,0.07035,0.01121,0.40448,-0.11449,-0.72231,-0.34456,-0.02706,0.00748
0.06,-5.28693,-0.22853,0.12001,-0.144,-0.0995,-0.01167,0.25984,-0.66163,-0.12074,0.61192,-0.00882,0.07174,-0.06603,0.29959,0.61324,0.52008,0.32295,0.16896,-0.03887,0.09712,0.04694,-0.8619,0.06132,-0.93636,-0.34852,0.08593,0.06696,0.00929,0.39538,-0.11817,-0.72322,-0.34495,-0.0261,0.00878
0.08,-5.41044,-0.21969,0.113,-0.13597,-0.0981,-0.01142,0.27776,-0.67084,0.04488,0.6717,-0.00768,0.07687,-0.07725,0.32017,0.62029,0.42753,0.35253,0.17983,-0.04265,0.10679,0.04617,-0.85535,0.09072,-0.94219,-0.35119,0.08364,0.0636,0.00826,0.38638,-0.12166,-0.7241,-0.34532,-0.02517,0.01006
0.1,-5.53533,-0.21083,0.10691,-0.12674,-0.09651,-0.01108,0.29902,-0.67869,0.15079,0.73851,-0.00793,0.07918,-0.08738,0.34411,0.62687,0.34532,0.37705,0.18936,-0.0464,0.11572,0.04631,-0.84899,0.11868,-0.94781,-0.35377,0.08144,0.0603,0.00822,0.37759,-0.12489,-0.72494,-0.34566,-0.02429,0.01132
0.12,-5.66419,-0.20203,0.10141,-0.11664,-0.09475,-0.01066,0.32374,-0.68638,0.21488,0.82121,-0.00945,0.07904,-0.09686,0.37151,0.6338,0.27165,0.39942,0.19862,-0.05042,0.12437,0.04726,-0.8427,0.14579,-0.9534,-0.35631,0.07929,0.05701,0.00908,0.36877,-0.12804,-0.72576,-0.34601,-0.02342,0.01258
0.14,-5.79389,-0.19318,0.09693,-0.10515,-0.09272,-0.01013,0.35244,-0.69272,0.24435,0.92177,-0.01275,0.07588,-0.10521,0.40307,0.64062,0.20457,0.42002,0.20789,-0.05492,0.13241,0.04916,-0.83669,0.1713,-0.95875,-0.35874,0.07726,0.0538,0.01098,0.36019,-0.13091,-0.72654,-0.34632,-0.0226,0.01381
0.16,-5.92418,-0.18429,0.09343,-0.09243,-0.09042,-0.00951,0.38487,-0.69782,0.24943,1.04642,-0.01792,0.06992,-0.11256,0.43872,0.64754,0.14276,0.44101,0.21809,-0.06017,0.13994,0.05192,-0.83095,0.19527,-0.96386,-0.36104,0.07533,0.05068,0.01382,0.35188,-0.13351,-0.72728,-0.34661,-0.02184,0.01498
0.18,-6.06842,-0.17577,0.08904,-0.08104,-0.08822,-0.00891,0.4174,-0.70859,0.24691,1.24782,-0.02344,0.06418,-0.12135,0.47451,0.65862,0.08556,0.47552,0.23311,-0.06695,0.14933,0.05461,-0.82484,0.22077,-0.96966,-0.36354,0.07334,0.04735,0.01669,0.34259,-0.13688,-0.72814,-0.34695,-0.02094,0.01634
0.2,-6.1911,-0.16665,0.08791,-0.06626,-0.0853,-0.00814,0.45507,-0.70978,0.2272,1.42339,-0.03274,0.05362,-0.12639,0.51755,0.66577,0.03059,0.50156,0.24849,-0.07466,0.15578,0.05859,-0.82021,0.24028,-0.97389,-0.36545,0.07176,0.04461,0.0209,0.33539,-0.13865,-0.72879,-0.34715,-0.02038,0.01728
0.22,-6.24886,-0.15551,0.0949,-0.04252,-0.08072,-0.00699,0.50918,-0.6812,0.17795,1.35357,-0.05019,0.03215,-0.12146,0.58315,0.65668,-0.02274,0.47603,0.25651,-0.08183,0.1528,0.06546,-0.81857,0.24565,-0.97377,-0.36591,0.07103,0.04317,0.02804,0.3342,-0.13559,-0.72879,-0.34693,-0.02079,0.01702
0.24,-6.28168,-0.14388,0.10442,-0.01775,-0.07558,-0.00578,0.5749,-0.64643,0.12597,1.19867,-0.07107,0.00823,-0.11387,0.66574,0.64544,-0.07388,0.43374,0.26738,-0.09038,0.14776,0.07271,-0.81845,0.2453,-0.9722,-0.36584,0.07069,0.04231,0.0356,0.33494,-0.13118,-0.72864,-0.34658,-0.02152,0.01635
0.26,-6.32561,-0.13288,0.11185,0.00236,-0.07083,-0.00477,0.64391,-0.62206,0.0916,1.10058,-0.09178,-0.01138,-0.10961,0.75537,0.64144,-0.12163,0.40729,0.28748,-0.10121,0.14621,0.07836,-0.81819,0.24716,-0.97159,-0.36602,0.07029,0.04133,0.04157,0.33437,-0.12808,-0.72871,-0.34632,-0.02203,0.01592
0.28,-6.37471,-0.12139,0.11861,0.02053,-0.06632,-0.00391,0.7265,-0.59733,0.0669,1.00719,-0.11515,-0.02902,-0.10713,0.86556,0.63354,-0.16275,0.38438,0.30616,-0.11107,0.14349,0.08298,-0.81594,0.25319,-0.97099,-0.36641,0.06941,0.03974,0.04647,0.33455,-0.1241,-0.72876,-0.34605,-0.02264,0.01536
0.3,-6.4092,-0.11134,0.125,0.03475,-0.06173,-0.0032,0.8181,-0.5838,0.05461,0.92404,-0.14011,-0.0444,-0.10592,0.98882,0.63903,-0.20242,0.36728,0.33574,-0.124,0.14532,0.08642,-0.81775,0.25273,-0.97057,-0.36644,0.06937,0.03938,0.05026,0.33335,-0.12198,-0.72908,-0.34579,-0.02307,0.01496
0.32,-6.40711,-0.10484,0.13117,0.04274,-0.05672,-0.00261,0.90324,-0.59382,0.0584,0.86262,-0.16314,-0.05666,-0.10454,1.10261,0.67926,-0.24475,0.36077,0.39319,-0.14554,0.15937,0.08844,-0.8313,0.23229,-0.97066,-0.36546,0.0719,0.04264,0.05289,0.32772,-0.12583,-0.73002,-0.34558,-0.02287,0.01522
0.34,-6.39107,-0.09981,0.13689,0.04746,-0.05169,-0.00218,0.99125,-0.61228,0.07032,0.81128,-0.18841,-0.06711,-0.10454,1.21974,0.73222,-0.27883,0.35904,0.4549,-0.1676,0.1768,0.08938,-0.84855,0.20693,-0.97091,-0.36419,0.07513,0.04702,0.0545,0.3208,-0.13124,-0.73122,-0.34538,-0.02252,0.01562
0.36,-6.38284,-0.09443,0.1417,0.05107,-0.04699,-0.00194,1.098,-0.6275,0.08465,0.76896,-0.21719,-0.07619,-0.10681,1.36109,0.7782,-0.2994,0.3598,0.5026,-0.18417,0.19105,0.08944,-0.86304,0.18863,-0.97124,-0.36326,0.07758,0.05052,0.05517,0.31478,-0.13517,-0.73241,-0.34518,-0.02231,0.01587
0.38,-6.37124,-0.08835,0.14614,0.05399,-0.04242,-0.00174,1.24233,-0.63954,0.09833,0.72915,-0.2411,-0.08337,-0.10627,1.54511,0.82397,-0.31105,0.36255,0.54701,-0.1992,0.20545,0.08899,-0.87911,0.16885,-0.97155,-0.36224,0.08037,0.05473,0.05532,0.30797,-0.14088,-0.73368,-0.34502,-0.02188,0.01645
0.4,-6.36454,-0.08424,0.14952,0.05416,-0.03806,-0.00179,1.37487,-0.65589,0.11245,0.70471,-0.2705,-0.08962,-0.11214,1.71735,0.86826,-0.30999,0.36728,0.5767,-0.20853,0.21679,0.08758,-0.89157,0.15731,-0.97203,-0.36161,0.08206,0.05745,0.05457,0.30261,-0.14353,-0.73503,-0.34481,-0.02187,0.0164
0.42,-6.37589,-0.08499,0.15104,0.04946,-0.03408,-0.00234,1.40539,-0.68702,0.13004,0.70935,-0.31934,-0.09612,-0.13655,1.78157,0.91035,-0.29153,0.37456,0.57501,-0.20653,0.221,0.08468,-0.89394,0.16643,-0.97296,-0.36195,0.08081,0.05589,0.05244,0.30175,-0.13627,-0.7365,-0.34443,-0.02314,0.01438
0.44,-6.39218,-0.08763,0.15167,0.04252,-0.03021,-0.00303,1.38906,-0.72231,0.14373,0.72446,-0.36654,-0.10106,-0.16519,1.79618,0.9497,-0.26079,0.38271,0.55923,-0.20014,0.22218,0.08123,-0.89267,0.18248,-0.97398,-0.36264,0.07855,0.05287,0.04984,0.30228,-0.12659,-0.73797,-0.34401,-0.02477,0.01177
