T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-23.96461,5.1179,-0.30643,-2.60594,0.21728,0.03368,1.38652,-0.34034,-0.12051,0.89042,0.05549,0.03942,-0.05149,1.08415,0.06402,0.10399,1.48129,-0.38329,0.16657,-0.04159,-37.66821,38.05151,2.26931,11.3996,-21.50023,5.63472,10.44028,5.08767,-0.5452,0.18915,-1.05854,0.6085,0.01799,-0.08044
0.02,-23.97274,5.1154,-0.31237,-2.60387,0.21864,0.03374,1.38311,-0.33968,-0.12117,0.89,0.05562,0.0397,-0.05149,1.09455,0.03708,0.10185,1.49125,-0.39238,0.16724,-0.05098,-37.75273,38.21817,2.26552,11.25079,-21.51454,5.62486,10.42921,5.10616,-0.55843,0.18203,-1.05493,0.60899,0.0189,-0.07928
0.04,-23.99371,5.12142,-0.32024,-2.6023,0.22062,0.03386,1.38157,-0.34127,-0.12222,0.89027,0.05567,0.03985,-0.05157,1.10886,0.01082,0.09749,1.5027,-0.39559,0.16593,-0.05886,-37.83889,38.38361,2.2632,11.10083,-21.52897,5.61493,10.41808,5.12476,-0.57146,0.17516,-1.05138,0.60947,0.01981,-0.07808
0.06,-24.02942,5.1382,-0.3286,-2.60139,0.22333,0.03404,1.38155,-0.34523,-0.12365,0.89106,0.05563,0.03988,-0.05172,1.12507,-0.01546,0.09064,1.51453,-0.39271,0.16251,-0.06552,-37.92732,38.54749,2.26219,10.94944,-21.54356,5.60494,10.40683,5.1431,-0.58486,0.16852,-1.04795,0.60995,0.02072,-0.07688
0.08,-24.08135,5.16862,-0.33544,-2.6013,0.22691,0.03432,1.38245,-0.35161,-0.12545,0.89211,0.05551,0.0398,-0.0519,1.14012,-0.04208,0.08128,1.52508,-0.38372,0.15688,-0.07136,-38.01899,38.70952,2.26224,10.79609,-21.55835,5.59486,10.39543,5.16077,-0.59935,0.16212,-1.04472,0.61041,0.02164,-0.07566
0.1,-24.15009,5.21662,-0.33854,-2.6022,0.23147,0.03471,1.38362,-0.36045,-0.12755,0.89314,0.05529,0.03961,-0.05207,1.15046,-0.06749,0.06983,1.53241,-0.36778,0.14882,-0.07625,-38.11488,38.8681,2.26305,10.64149,-21.57326,5.58473,10.38388,5.17721,-0.61564,0.15601,-1.04176,0.61087,0.02255,-0.07445
0.12,-24.23687,5.28458,-0.33516,-2.6042,0.23715,0.03523,1.384,-0.37149,-0.12989,0.89369,0.055,0.03934,-0.05217,1.1513,-0.09383,0.05668,1.53419,-0.34826,0.13908,-0.08226,-38.21488,39.02444,2.26438,10.48417,-21.58847,5.57446,10.37209,5.19182,-0.63478,0.15029,-1.03915,0.61132,0.02345,-0.07324
0.14,-24.33934,5.37741,-0.3234,-2.60745,0.24404,0.0359,1.38282,-0.38477,-0.13241,0.89344,0.05463,0.03899,-0.05215,1.13917,-0.11639,0.04331,1.52879,-0.32361,0.12746,-0.08834,-38.32086,39.17599,2.26588,10.32567,-21.60376,5.56417,10.36009,5.20408,-0.6572,0.14508,-1.03698,0.61175,0.02433,-0.07207
0.16,-24.45534,5.49762,-0.30175,-2.61196,0.25226,0.03673,1.37906,-0.40002,-0.13501,0.89193,0.0542,0.03859,-0.05197,1.11087,-0.13421,0.03099,1.51501,-0.2959,0.11479,-0.09491,-38.43314,39.32274,2.26722,10.16629,-21.61912,5.55388,10.3479,5.21342,-0.68349,0.14053,-1.03534,0.61217,0.02518,-0.07094
0.18,-24.58649,5.63999,-0.26835,-2.61751,0.26188,0.03774,1.37072,-0.41604,-0.13751,0.88829,0.05378,0.03825,-0.0515,1.06125,-0.16175,0.0194,1.49108,-0.28367,0.1058,-0.11049,-38.548,39.47291,2.26857,9.9991,-21.63545,5.5431,10.33522,5.21913,-0.71501,0.13677,-1.03414,0.61259,0.02601,-0.06979
0.2,-24.71307,5.8159,-0.22771,-2.62454,0.27279,0.03891,1.35898,-0.4347,-0.1401,0.88318,0.05332,0.0378,-0.05081,0.99943,-0.16743,0.01241,1.46172,-0.25491,0.09446,-0.1153,-38.67638,39.60503,2.26866,9.84236,-21.65036,5.53309,10.32275,5.22146,-0.74861,0.13401,-1.03375,0.61294,0.02674,-0.06877
0.22,-24.8147,6.03357,-0.18755,-2.63326,0.28481,0.04024,1.34625,-0.45782,-0.14297,0.87749,0.05274,0.03704,-0.04997,0.94131,-0.11997,0.00907,1.43298,-0.16775,0.0723,-0.08301,-38.82661,39.69781,2.26527,9.72001,-21.66069,5.52561,10.31166,5.22071,-0.78113,0.13255,-1.03458,0.61313,0.02729,-0.06807
0.24,-24.89909,6.26798,-0.14968,-2.64307,0.29793,0.04171,1.32817,-0.48257,-0.14577,0.86957,0.05226,0.03628,-0.04878,0.88252,-0.07205,0.00042,1.40405,-0.08221,0.05331,-0.04091,-38.98839,39.77349,2.26026,9.6093,-21.66947,5.51891,10.3009,5.21642,-0.81407,0.13225,-1.03618,0.61325,0.02774,-0.06747
0.26,-24.97124,6.50176,-0.11521,-2.65328,0.31211,0.04333,1.30159,-0.50615,-0.14816,0.85805,0.05208,0.03575,-0.04709,0.82258,-0.05589,-0.0137,1.37848,-0.03487,0.0461,-0.00907,-39.15183,39.85443,2.25497,9.49126,-21.67923,5.51166,10.28969,5.20833,-0.84876,0.13302,-1.03815,0.61336,0.02817,-0.06682
0.28,-25.02986,6.74349,-0.09175,-2.66301,0.32717,0.04509,1.26904,-0.52729,-0.15005,0.84312,0.05218,0.0353,-0.04495,0.77522,-0.04674,-0.03183,1.36305,-0.00157,0.04488,0.02615,-39.30968,39.9488,2.24696,9.37686,-21.68846,5.50508,10.27913,5.1965,-0.88599,0.13513,-1.04027,0.61347,0.02858,-0.06613
0.3,-25.04272,6.97704,-0.07265,-2.67427,0.34252,0.04689,1.22457,-0.54955,-0.15177,0.82486,0.05292,0.03518,-0.04219,0.72738,-0.04618,-0.04543,1.3531,-0.00108,0.0527,0.0496,-39.48758,40.01694,2.24217,9.25651,-21.69863,5.49724,10.26717,5.1839,-0.91484,0.13762,-1.04287,0.61353,0.02891,-0.06541
0.32,-24.9779,7.17899,-0.0428,-2.68952,0.35766,0.04867,1.16184,-0.57673,-0.15367,0.80364,0.05478,0.03574,-0.03865,0.65481,-0.05977,-0.04369,1.33638,-0.04944,0.07165,0.04467,-39.71463,40.0197,2.24727,9.11545,-21.71185,5.4857,10.25132,5.17403,-0.92255,0.13942,-1.04656,0.61346,0.02911,-0.06463
