T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.03342,0,0,0.01395,0.00323,0,0,0,0.01607,0.00211,0,0,0,0.04641,0.00869,0.02527,0,0.00105,0.00695,0.0284,0,0.04189,0,0.01839,0,0,0.06042,0.00635,0,0,0.0181,0.00381,0.00055,0.06948,0,0.00825,0.02887,0,0,0.02317,0.07235,0.00928,0,0,0.00401,0.00485,0.03517,0,0,0,0.0075,0,0,0,0.0284,0,0.00314,0,0.00719,0.004,0,0,0.03442,0.00514,0,0,0
0.02,0,0.03363,0,0,0.014,0.00323,0,0,0,0.01841,0.00207,0,0,0,0.05167,0.00867,0.02753,0,0.00111,0.00875,0.0285,0,0.04138,0,0.01842,0,0,0.06044,0.00648,0,0,0.01809,0.00364,0.0003,0.06614,0,0.00738,0.02968,0,0,0.01393,0.07757,0.00905,0,0,0.00337,0.0059,0.01929,0,0,0,0.00666,0,0,0,0.02845,0,0.00304,0,0.00713,0.00391,0,0,0.03268,0.00509,0,0,0
0.04,0,0.03376,1e-05,0.00022,0.01406,0.00326,7e-05,1e-05,2e-05,0.02,0.00221,3e-05,8e-05,0.00018,0.05448,0.00847,0.02898,0.00011,0.00122,0.00994,0.02862,0,0.04111,0,0.01846,3e-05,0.00012,0.06047,0.00655,5e-05,0,0.01811,0.0035,0.00013,0.06267,0,0.00622,0.03059,1e-05,3e-05,0.00701,0.08092,0.0088,1e-05,9e-05,0.00285,0.00655,0.00814,2e-05,2e-05,3e-05,0.0061,8e-05,8e-05,1e-05,0.02847,4e-05,0.00295,0,0.00711,0.00385,0,1e-05,0.03119,0.00506,0,3e-05,0.00037
0.06,0,0.03378,1e-05,0.00018,0.01407,0.00326,7e-05,1e-05,2e-05,0.02089,0.0023,2e-05,7e-05,0.00013,0.05459,0.00803,0.02964,0.0001,0.00134,0.01042,0.02875,0,0.04096,0,0.01848,3e-05,0.00011,0.0605,0.00655,4e-05,0,0.0181,0.00333,9e-05,0.05914,0,0.00488,0.03155,1e-05,3e-05,0.00184,0.08232,0.00848,1e-05,7e-05,0.00227,0.00671,0.00026,2e-05,2e-05,3e-05,0.00558,7e-05,8e-05,1e-05,0.02847,4e-05,0.00286,0,0.00707,0.00376,0,0,0.02981,0.00504,0,3e-05,0.00137
0.08,0,0.03366,3e-05,0.00031,0.01409,0.00331,0.02514,2e-05,4e-05,0.02123,0.00254,6e-05,0.00018,0.09248,0.05248,0.0074,0.02968,0.00018,0.00149,0.01049,0.0289,1e-05,0.04098,1e-05,0.01852,6e-05,0.00025,0.06053,0.00653,0.00014,1e-05,0.01812,0.00325,0.00013,0.05563,1e-05,0.00351,0.03258,2e-05,7e-05,0.00127,0.08201,0.00811,2e-05,0.0001,0.00181,0.00663,0.00021,3e-05,5e-05,3e-05,0.00524,0.00012,0.00018,1e-05,0.02845,7e-05,0.00278,1e-05,0.00707,0.0037,2e-05,1e-05,0.02864,0.00505,1e-05,0.00011,0.00279
0.1,0,0.03337,1e-05,2e-05,0.01406,0.00326,0.0451,0,0,0.02106,0.00268,1e-05,8e-05,0.15863,0.0481,0.00651,0.02919,2e-05,0.0016,0.00987,0.02903,0,0.04105,0,0.01851,1e-05,5e-05,0.06051,0.00647,1e-05,0,0.01807,0.00302,2e-05,0.05226,0,0.00222,0.03363,0,1e-05,0.00091,0.07998,0.00762,0,1e-05,0.00113,0.00605,0.00013,0,2e-05,0,0.00471,2e-05,3e-05,0,0.0284,4e-05,0.00269,0,0.00699,0.00358,0,0,0.02735,0.00506,0,2e-05,0.00343
0.12,0,0.03292,1e-05,3e-05,0.01406,0.00327,0.06039,1e-05,0,0.02057,0.00298,2e-05,5e-05,0.20105,0.04255,0.00552,0.02834,0.00011,0.00174,0.00904,0.02918,0,0.04123,0,0.01852,1e-05,3e-05,0.06047,0.00642,4e-05,0,0.01806,0.00286,0,0.04906,0,0.00117,0.03472,0,1e-05,0.00068,0.07686,0.00711,0,1e-05,0.00062,0.00532,8e-05,0,1e-05,0,0.00445,1e-05,1e-05,0,0.02835,4e-05,0.00261,0,0.00698,0.0035,0,0,0.02621,0.0051,0,0,0.00453
0.14,0.00013,0.03235,0.0001,0.00072,0.01415,0.00341,0.07107,4e-05,9e-05,0.01988,0.00366,0.00066,0.00041,0.2229,0.03611,0.00449,0.02725,0.00054,0.00202,0.00826,0.02935,3e-05,0.04182,2e-05,0.01861,0.00012,0.00047,0.06049,0.00641,0.00022,2e-05,0.01811,0.00282,0.0001,0.04622,5e-05,0.00054,0.03588,5e-05,0.00014,0.00057,0.07285,0.0066,5e-05,0.00031,0.00164,0.00481,0.00014,3e-05,0.00013,7e-05,0.0045,0.00045,0.00032,4e-05,0.02832,0.00029,0.00256,2e-05,0.00707,0.00353,6e-05,1e-05,0.02522,0.00517,2e-05,0.00011,0.00605
0.16,0.0001,0.03159,8e-05,0.00055,0.01419,0.00339,0.0774,4e-05,7e-05,0.01894,0.00391,0.00076,0.00034,0.22569,0.0292,0.00329,0.02592,0.00045,0.00207,0.00687,0.02947,2e-05,0.04215,2e-05,0.0186,0.0001,0.00038,0.0604,0.00641,0.00017,1e-05,0.01808,0.00267,8e-05,0.0437,4e-05,0.00021,0.03698,4e-05,0.00012,0.00047,0.06792,0.006,4e-05,0.00025,0.00141,0.00375,0.00011,2e-05,0.00011,6e-05,0.00416,0.00038,0.00026,3e-05,0.02825,0.00024,0.00249,2e-05,0.00705,0.00347,5e-05,1e-05,0.02401,0.00523,2e-05,9e-05,0.00694
0.18,1e-05,0.03073,3e-05,2e-05,0.01425,0.0033,0.08098,0,1e-05,0.01795,0.00391,0.00082,1e-05,0.21908,0.02337,0.00217,0.02453,4e-05,0.00195,0.00513,0.02955,0,0.04221,1e-05,0.01855,1e-05,7e-05,0.06025,0.00647,1e-05,0,0.018,0.00245,0,0.04151,0,0.00026,0.03805,0,1e-05,0.00031,0.06315,0.00543,0,4e-05,0.00122,0.0024,5e-05,0,1e-05,0,0.00367,2e-05,2e-05,0,0.02817,3e-05,0.0024,0,0.00695,0.00335,0,0,0.02235,0.00529,0,1e-05,0.0076
