T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.04635,0,0,0.00381,0.00152,0,0.01577,0.00341,0.01068,0.08164,0.00268,0.04588,0,0,0,0.02292,0.00913,0.00046,0,0.02088,0,0.00621,0,0.01805,0,0,0.03589,0,0.01586,0,0.01749,0.00325,0.00014,0.08466,0,0.00847,0.18044,0,0,0.0123,0,0,0,0,0,0,0.0067,0.00326,0.00333,0,0,0,0.01264,0,0.01166,0,0.00375,0,0.00617,0.00317,0,0.00824,0,0.00921,0,0,0
0.02,0,0.04599,0,7e-05,0.00405,0.00164,1e-05,0.01351,0.00281,0.00988,0.04404,0.00133,0.03976,1e-05,2e-05,1e-05,0.02273,0.04309,0.00047,9e-05,0.02085,0,0.0058,0,0.01808,2e-05,2e-05,0.03563,1e-05,0.01564,0,0.01749,0.00328,0.00015,0.08492,1e-05,0.00922,0.18258,9e-05,3e-05,0.01564,2e-05,1e-05,1e-05,0.00252,0.00011,0.00013,0.00609,0.0022,0.00346,1e-05,4e-05,0.00587,0.00965,1e-05,0.01155,2e-05,0.0037,0,0.00609,0.00305,0,0.00809,1e-05,0.00926,0,2e-05,2e-05
0.04,1e-05,0.04582,2e-05,0.00013,0.00438,0.00189,4e-05,0.01146,0.00209,0.00897,0.02066,0.00069,0.03449,6e-05,0.00016,6e-05,0.02259,0.06595,0.00072,0.00054,0.02083,5e-05,0.0055,2e-05,0.01814,9e-05,0.0001,0.0353,1e-05,0.01544,1e-05,0.01752,0.00335,0.00042,0.08524,5e-05,0.00988,0.18385,0.00055,0.00017,0.01909,0.00013,5e-05,7e-05,0.01271,0.00348,0.00077,0.00565,0.00138,0.00368,7e-05,0.0002,0.01143,0.00708,1e-05,0.01147,0.00011,0.00367,2e-05,0.00607,0.00296,1e-05,0.00793,7e-05,0.00933,2e-05,8e-05,0.00042
0.06,0.00015,0.04583,3e-05,0.00047,0.00473,0.00211,6e-05,0.00962,0.0012,0.00802,0.00563,0.00077,0.02961,9e-05,0.00029,0.0001,0.02254,0.07446,0.00082,0.00065,0.02084,5e-05,0.00529,2e-05,0.01819,0.00014,0.00014,0.03494,3e-05,0.01512,2e-05,0.01752,0.00345,0.00065,0.08562,8e-05,0.01038,0.18483,0.00067,0.00024,0.02219,0.00023,6e-05,0.00016,0.02169,0.01034,0.00104,0.00519,0.00075,0.00391,0.00011,0.00023,0.0141,0.00455,5e-05,0.01129,0.00022,0.00363,2e-05,0.00603,0.00285,5e-05,0.00777,8e-05,0.00942,2e-05,0.00018,0.00076
0.08,0.0001,0.04603,3e-05,0.00039,0.00514,0.00226,5e-05,0.00794,0.00033,0.00707,0.0046,0.00067,0.02493,7e-05,0.00025,8e-05,0.02263,0.0703,0.00072,0.00054,0.02079,5e-05,0.00506,2e-05,0.01819,0.00012,0.00012,0.03443,3e-05,0.01469,2e-05,0.01751,0.00345,0.0006,0.08594,6e-05,0.01066,0.18471,0.00061,0.00021,0.02453,0.00019,8e-05,0.00014,0.33011,0.01469,0.00083,0.00456,0.00025,0.00404,9e-05,0.00021,0.01356,0.00205,4e-05,0.01105,0.00018,0.0036,2e-05,0.00594,0.0027,4e-05,0.00754,7e-05,0.00954,2e-05,0.00015,0.00067
0.1,0.0001,0.0465,2e-05,0.00035,0.00564,0.00246,4e-05,0.00645,0.00028,0.00633,0.00386,0.0006,0.0206,6e-05,0.00155,8e-05,0.02295,0.05696,0.00065,0.00433,0.02073,4e-05,0.00485,2e-05,0.0182,0.00011,0.00011,0.03384,2e-05,0.01419,2e-05,0.01747,0.00345,0.00058,0.08627,6e-05,0.01069,0.18425,0.00063,0.00019,0.02584,0.00016,0.0005,0.00012,0.38578,0.0178,0.0007,0.00376,0.00023,0.00406,8e-05,0.00022,0.01135,0.00185,4e-05,0.01076,0.00016,0.00359,2e-05,0.00584,0.00256,3e-05,0.00725,7e-05,0.0097,2e-05,0.00013,0.0006
0.12,0.0001,0.04724,2e-05,0.00031,0.00628,0.00274,0.0001,0.00507,0.00038,0.00595,0.00341,0.00055,0.0165,0.00013,0.00285,8e-05,0.02356,0.03968,0.0006,0.00755,0.02064,4e-05,0.00466,2e-05,0.01822,0.00016,0.00011,0.03319,2e-05,0.01361,2e-05,0.01749,0.00353,0.00074,0.0866,6e-05,0.01039,0.18352,0.00135,0.00019,0.02594,0.0002,0.00103,0.00014,0.34309,0.01968,0.00101,0.00279,0.00021,0.00392,0.00011,0.00021,0.00803,0.00172,3e-05,0.01042,0.00023,0.0036,2e-05,0.00581,0.00243,3e-05,0.00689,8e-05,0.00989,4e-05,0.00019,0.00081
0.14,0,0.04817,0,0,0.00676,0.00287,0,0.00371,0,0.00584,0.0018,9e-05,0.01207,0,0.00396,0,0.02426,0.02132,0.0001,0.00785,0.02047,0,0.00429,0,0.01816,0,0,0.03245,0,0.0128,0,0.01734,0.00339,0.00038,0.0869,0,0.00961,0.18219,0,0,0.02414,0,0.00137,0,0.2519,0.01781,0,0.00145,4e-05,0.00339,0,0,0.00205,0.00044,0,0.00995,0,0.0036,0,0.00558,0.00223,0,0.00642,0,0.01008,0,0,0.0002
0.16,0,0.04942,0,0,0.00744,0.00327,0,0.00239,0,0.00621,0.00166,0.00014,0.0082,1e-05,0.00662,0,0.02515,0.00701,0.00104,0.00914,0.02031,0,0.00396,0,0.01817,0,0,0.03174,0,0.012,0,0.01729,0.00342,0.00049,0.0873,0,0.00832,0.18109,0,2e-05,0.02117,0,0.00205,0,0.18661,0.01761,0,0.00029,0.00014,0.00264,0,2e-05,0.0017,0.00046,0,0.00947,0,0.00365,0,0.00549,0.0021,0,0.00588,0,0.01033,0,0,0.00033
0.18,0,0.05093,0,0,0.00814,0.00372,0,0.00071,0,0.00697,0.00126,1e-05,0.00382,0.00082,0.01019,0,0.02611,0.00298,0.00158,0.00992,0.02009,0,0.00348,0,0.01817,0,0,0.03106,0,0.01111,0,0.01724,0.00346,0.00032,0.08777,0,0.00639,0.1798,0,2e-05,0.0166,0,0.00289,1e-05,0.1367,0.01604,0,6e-05,7e-05,0.00181,0,0.00268,5e-05,8e-05,0,0.00893,0,0.00373,0,0.00541,0.00196,0,0.00523,0,0.0106,0,0,0
