T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00357,-0.00098,0.01474,0.07027,-0.02254,-0.00906,-0.05284,-0.02806,0.00221,0.03703,0.06685,-0.00047,0.5348,0.12199,0.79596,-0.44149,0.09799,0.16063,0.09835,-0.09377,0.09896,0.12169,-0.17845,0.17052,0.02685,-0.08529,0.0166,0.00298,-0.06201,-0.00601,0.01461,0.00501,0.00694,0.05213,0.0652,0.20545,-0.02094,0.02358,-0.04633,-0.0216
0.02,-0.00547,-0.00075,0.01526,0.08494,-0.02682,-0.01061,-0.05803,-0.02942,0.00211,0.04005,0.07148,-0.00053,0.68314,0.12186,1.01774,-0.54651,0.10463,0.17403,0.07312,-0.15869,0.11103,0.34321,-0.22408,0.35888,0.00179,-0.09016,0.01972,0.01867,0.01147,-0.00447,0.0073,-0.00184,0.00391,0.06059,0.05987,0.18251,-0.02018,0.02305,-0.04787,-0.02143
0.04,-0.00774,-0.00037,0.01589,0.10364,-0.03183,-0.01218,-0.06297,-0.03009,0.00175,0.04114,0.07301,-0.00059,0.84588,0.11557,1.27728,-0.66661,0.12256,0.18719,0.02786,-0.25292,0.11806,0.69118,-0.27564,0.62039,-0.03803,-0.09154,0.02327,0.04113,0.1176,-0.00244,-0.00344,-0.01174,-0.00061,0.06996,0.05056,0.14341,-0.01765,0.02153,-0.04862,-0.02054
0.06,-0.00998,0.0002,0.01676,0.12579,-0.03707,-0.0135,-0.06673,-0.02975,0.00108,0.03895,0.06976,-0.00064,1.00877,0.10121,1.56026,-0.7941,0.15477,0.19844,-0.04123,-0.38032,0.11666,1.185,-0.32982,0.95633,-0.09465,-0.0876,0.02655,0.06954,0.2513,-0.0001,-0.01709,-0.02425,-0.00646,0.07892,0.03747,0.08798,-0.01278,0.01896,-0.04828,-0.01884
0.08,-0.0117,0.00102,0.018,0.15024,-0.04185,-0.01425,-0.06813,-0.02798,4e-05,0.03189,0.0597,-0.00068,1.15051,0.07661,1.84284,-0.91666,0.20473,0.20552,-0.1376,-0.54285,0.10263,1.839,-0.38124,1.36154,-0.16949,-0.07616,0.02877,0.10264,0.40539,0.00227,-0.0329,-0.03874,-0.01337,0.08579,0.02095,0.01658,-0.00494,0.01525,-0.04647,-0.01622
0.1,-0.01242,0.00211,0.01973,0.17543,-0.0454,-0.01403,-0.06584,-0.02432,-0.00146,0.01821,0.04044,-0.00069,1.24212,0.0395,2.09071,-1.01711,0.27689,0.20583,-0.26403,-0.73984,0.07092,2.66088,-0.42228,1.82341,-0.26319,-0.05471,0.02911,0.13891,0.57174,0.00435,-0.05005,-0.05448,-0.02105,0.08871,0.0014,-0.06991,0.00649,0.01033,-0.04276,-0.0126
0.12,-0.01168,0.00347,0.02203,0.19951,-0.04691,-0.01241,-0.05857,-0.01825,-0.00351,-0.00385,0.00939,-0.00067,1.24676,-0.01214,2.2588,-1.0733,0.37709,0.19665,-0.42228,-0.96748,0.01558,3.6503,-0.44285,2.32115,-0.37534,-0.02058,0.02688,0.17671,0.74201,0.00581,-0.0677,-0.07072,-0.02919,0.08584,-0.02065,-0.16989,0.02202,0.00414,-0.03679,-0.0079
0.14,-0.00913,0.00505,0.02502,0.2205,-0.0456,-0.00896,-0.04517,-0.0093,-0.00621,-0.03598,-0.03619,-0.00059,1.12008,-0.07965,2.2915,-1.05846,0.51277,0.17557,-0.61275,-1.21828,-0.07021,4.79763,-0.43032,2.82566,-0.50441,0.0289,0.02159,0.21441,0.90817,0.00624,-0.08503,-0.08671,-0.03747,0.07554,-0.0445,-0.28075,0.04203,-0.0033,-0.02834,-0.00215
0.16,-0.00455,0.00678,0.02888,0.23654,-0.04088,-0.00323,-0.02489,0.00291,-0.00959,-0.07966,-0.09888,-0.00046,0.81144,-0.16324,2.12409,-0.94183,0.69283,0.14071,-0.83403,-1.48085,-0.19417,6.08279,-0.3696,3.30032,-0.64764,0.09616,0.01309,0.25046,1.06288,0.00523,-0.10125,-0.10176,-0.04557,0.05666,-0.0692,-0.39854,0.06658,-0.01185,-0.01746,0.00448
0.18,0.00212,0.00852,0.03385,0.24607,-0.03236,0.00519,0.00249,0.01856,-0.01359,-0.13594,-0.18093,-0.00026,0.26643,-0.26137,1.6854,-0.69001,0.92702,0.0911,-1.08256,-1.73985,-0.36477,7.47437,-0.24353,3.70281,-0.80101,0.18318,0.00163,0.28344,1.19976,0.00234,-0.11568,-0.11526,-0.05318,0.02874,-0.09349,-0.51778,0.09538,-0.02128,-0.00456,0.01168
