T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00221,-0.00078,-0.00483,0.03402,-0.01376,0.00249,-0.01498,0.00403,-0.03592,-0.00586,-0.00693,-0.00013,2.108,0.44158,-0.9308,-0.10747,-0.07223,-0.27711,-0.08363,-0.22792,0.02274,-0.13557,-0.05667,-0.14779,-0.01156,-0.02968,0.01296,0.02996,0.22923,-0.00577,-0.02045,-0.01486,-0.00986,0.01386,-0.01862,-0.00647,-0.00516,-0.00803,0.00365,-0.00123
0.02,-0.0026,-0.00077,-0.00371,0.03708,-0.01372,0.00348,-0.01656,0.00429,-0.03819,-0.01038,-0.00847,-0.00014,2.42493,0.52744,-1.07,-0.1563,-0.07462,-0.32486,-0.0655,-0.26863,0.02886,-0.11861,-0.07356,-0.15589,-0.00892,-0.03695,0.01776,0.05719,0.35545,-0.00781,-0.02944,-0.02428,-0.01536,0.01677,-0.03585,-0.08316,-0.00708,-0.01414,0.00995,0.0022
0.04,-0.0029,-0.0007,-0.00176,0.04024,-0.01341,0.00484,-0.01833,0.0045,-0.04003,-0.01683,-0.01029,-0.00015,2.73279,0.61846,-1.20437,-0.22101,-0.07371,-0.37504,-0.0301,-0.31329,0.03592,-0.08202,-0.09298,-0.15833,-0.00628,-0.04538,0.02427,0.0953,0.52657,-0.01061,-0.04143,-0.0371,-0.02281,0.02032,-0.05868,-0.18969,-0.0093,-0.02251,0.01853,0.00699
0.06,-0.00295,-0.00055,0.00107,0.04317,-0.01291,0.00658,-0.02039,0.00475,-0.04095,-0.02514,-0.01222,-0.00018,2.98182,0.70456,-1.31329,-0.30154,-0.06766,-0.42241,0.02646,-0.35839,0.04373,-0.0205,-0.11406,-0.15164,-0.00382,-0.05454,0.0322,0.14265,0.73372,-0.01429,-0.05572,-0.05266,-0.03183,0.02415,-0.08525,-0.31943,-0.01166,-0.03265,0.02871,0.01283
0.08,-0.00258,-0.00031,0.00481,0.04541,-0.01229,0.00867,-0.02279,0.00508,-0.04038,-0.0351,-0.01401,-0.00021,3.10533,0.77146,-1.36873,-0.39615,-0.05433,-0.45938,0.10801,-0.39856,0.05183,0.07125,-0.13525,-0.13171,-0.00193,-0.06369,0.04113,0.19683,0.96397,-0.01888,-0.07129,-0.06998,-0.04185,0.02782,-0.11316,-0.46334,-0.01393,-0.04387,0.03961,0.01931
0.1,-0.0016,6e-05,0.0095,0.04641,-0.01162,0.01104,-0.02546,0.00551,-0.03768,-0.04638,-0.01537,-0.00027,3.02229,0.80095,-1.33597,-0.50107,-0.03154,-0.47616,0.21804,-0.42654,0.05944,0.19812,-0.15403,-0.09413,-0.00128,-0.07175,0.05055,0.25496,1.20214,-0.02433,-0.08699,-0.08793,-0.05219,0.03082,-0.13967,-0.61122,-0.01576,-0.0554,0.05028,0.02594
0.12,0.00016,0.00057,0.01514,0.04562,-0.01095,0.01361,-0.02817,0.00598,-0.03228,-0.05861,-0.01599,-0.00034,2.64152,0.77138,-1.17487,-0.61015,0.00267,-0.46093,0.35942,-0.43337,0.06535,0.36416,-0.16682,-0.03454,-0.00294,-0.07724,0.0599,0.31403,1.43228,-0.03047,-0.10161,-0.10531,-0.06216,0.03265,-0.16204,-0.7528,-0.01672,-0.06646,0.0598,0.03228
0.14,0.00285,0.00124,0.02178,0.04254,-0.01038,0.01625,-0.03057,0.0064,-0.02371,-0.07133,-0.01561,-0.00043,1.86824,0.65868,-0.84219,-0.71452,0.04967,-0.40049,0.53404,-0.40869,0.06774,0.57205,-0.16873,0.05093,-0.00848,-0.07833,0.06867,0.37113,1.63898,-0.03698,-0.11404,-0.12098,-0.07109,0.03289,-0.1777,-0.87847,-0.01628,-0.07635,0.06737,0.03788
0.16,0.00657,0.00206,0.02946,0.03683,-0.01002,0.01886,-0.0322,0.00661,-0.01176,-0.08406,-0.0141,-0.00054,0.61327,0.43787,-0.29482,-0.80236,0.10977,-0.281,0.74235,-0.34139,0.06411,0.82271,-0.15342,0.16517,-0.01996,-0.07279,0.07642,0.42371,1.8087,-0.04344,-0.12333,-0.13391,-0.07839,0.03124,-0.18448,-0.9801,-0.01384,-0.08453,0.0724,0.0424
0.18,0.01137,0.00304,0.03821,0.0284,-0.01007,0.02134,-0.03251,0.00643,0.00345,-0.09634,-0.01147,-0.00065,-1.19499,0.08519,0.50577,-0.85877,0.1817,-0.08921,0.98293,-0.22036,0.05108,1.11478,-0.1131,0.30959,-0.03993,-0.05808,0.08286,0.46972,1.93083,-0.04933,-0.12882,-0.1433,-0.08361,0.02763,-0.18085,-1.05172,-0.00877,-0.09068,0.07453,0.04558
0.2,0.01724,0.00416,0.04808,0.01747,-0.01077,0.02368,-0.03094,0.00568,0.02145,-0.10772,-0.00807,-0.00077,-3.59604,-0.41897,1.58796,-0.8658,0.26212,0.18607,1.25188,-0.03562,0.02427,1.44425,-0.03849,0.48365,-0.07118,-0.03145,0.08793,0.50777,1.99859,-0.05406,-0.1302,-0.14862,-0.08645,0.02219,-0.16609,-1.09023,-0.00044,-0.09472,0.07375,0.04728
0.22,0.0241,0.00536,0.05911,0.00458,-0.01244,0.02596,-0.02697,0.00421,0.04141,-0.11782,-0.00461,-0.00089,-6.581,-1.08671,2.96349,-0.80268,0.34514,0.55215,1.54225,0.22044,-0.02176,1.80415,0.0809,0.68447,-0.11647,0.00996,0.09174,0.5371,2.00936,-0.05707,-0.12753,-0.14966,-0.0868,0.01539,-0.14053,-1.09587,0.01166,-0.09688,0.07037,0.04754
0.24,0.03178,0.0066,0.0713,-0.00942,-0.01539,0.02839,-0.02021,0.00196,0.06218,-0.1263,-0.00226,-0.00099,-10.07634,-1.91865,4.62047,-0.64643,0.4219,1.01049,1.84354,0.55163,-0.09359,2.18453,0.25638,0.90659,-0.17805,0.06885,0.09466,0.55752,1.96452,-0.05785,-0.12123,-0.1465,-0.08474,0.00795,-0.10559,-1.07255,0.02785,-0.09765,0.06503,0.04652
0.26,0.04005,0.00779,0.08465,-0.02343,-0.01992,0.03135,-0.01049,-0.00099,0.08247,-0.1329,-0.00278,-0.00107,-13.93029,-2.89987,6.51648,-0.37273,0.48043,1.55461,2.14122,0.95635,-0.19886,2.57262,0.49955,1.142,-0.25702,0.14752,0.09725,0.56923,1.86884,-0.05603,-0.11201,-0.1395,-0.0805,0.00091,-0.06389,-1.02772,0.0481,-0.09775,0.05865,0.04458
0.28,0.04858,0.00884,0.09907,-0.03622,-0.02624,0.03546,0.00208,-0.00436,0.10094,-0.13746,-0.00849,-0.00112,-17.90568,-3.99608,8.57277,0.04269,0.5058,2.1683,2.41677,1.42602,-0.3461,2.95366,0.82151,1.38036,-0.35286,0.24751,0.10021,0.57257,1.72975,-0.0515,-0.10079,-0.12921,-0.07439,-0.00446,-0.01912,-0.97205,0.0719,-0.09808,0.05238,0.04218
0.3,0.05698,0.00965,0.11446,-0.04647,-0.03441,0.04152,0.017,-0.00766,0.11642,-0.1399,-0.02228,-0.00115,-21.6839,-5.15074,10.67084,0.62217,0.48068,2.82419,2.64804,1.94355,-0.54445,3.31208,1.23198,1.60958,-0.46288,0.36916,0.10439,0.56794,1.5566,-0.04439,-0.08862,-0.11636,-0.06685,-0.00659,0.02413,-0.9185,0.09807,-0.09959,0.04742,0.03989
