T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.03298,-0.00845,0.07449,0.01494,0.05551,0.03608,-0.1513,0.02656,0.03353,0.06932,-0.04431,-0.0007,-2.96584,-0.32251,0.18499,0.75599,-2.80243,-0.62386,0.35896,0.68537,-0.54527,1.24429,0.41578,0.17283,0.07708,-0.4014,0.09005,-0.05917,-0.58886,-0.07694,0.03865,0.04564,0.02581,0.17738,0.07154,-0.09269,-0.13642,-0.04669,0.00135,0.00244
0.02,-0.03406,-0.0086,0.07658,0.01861,0.05595,0.03885,-0.15589,0.02649,0.03384,0.07093,-0.04637,-0.00072,-3.11812,-0.33433,0.10036,0.77512,-2.84185,-0.64141,0.37119,0.81426,-0.55717,1.16885,0.43457,0.13555,0.08441,-0.40978,0.09346,-0.06106,-0.59608,-0.07823,0.03902,0.04605,0.02606,0.18432,0.07145,-0.08844,-0.13813,-0.04776,0.0002,0.00194
0.04,-0.03513,-0.00865,0.0779,0.02398,0.05536,0.04228,-0.15936,0.02592,0.03346,0.07173,-0.04813,-0.00074,-3.28584,-0.34028,-0.04364,0.79003,-2.83177,-0.65171,0.37976,0.96897,-0.56909,1.05107,0.45846,0.08493,0.09168,-0.41056,0.09667,-0.06307,-0.59326,-0.0783,0.03866,0.04564,0.02586,0.19079,0.06918,-0.08267,-0.13867,-0.04823,-0.00131,0.00124
0.06,-0.03636,-0.00864,0.07854,0.03151,0.05376,0.04666,-0.1621,0.02487,0.03236,0.07184,-0.0496,-0.00075,-3.48565,-0.33898,-0.26228,0.80392,-2.77132,-0.65512,0.38483,1.14968,-0.58523,0.89508,0.49178,0.02199,0.0985,-0.40291,0.10002,-0.06565,-0.58058,-0.07713,0.03756,0.04442,0.02519,0.19743,0.06441,-0.07632,-0.13866,-0.04812,-0.00314,0.00037
0.08,-0.03796,-0.00858,0.07856,0.04161,0.05115,0.05225,-0.16441,0.02341,0.03051,0.07132,-0.05073,-0.00077,-3.73211,-0.32848,-0.57,0.82,-2.65895,-0.65158,0.3862,1.35214,-0.6102,0.70879,0.53892,-0.05067,0.10423,-0.38567,0.10382,-0.06923,-0.55817,-0.07471,0.03571,0.04241,0.02409,0.20475,0.05679,-0.07065,-0.13883,-0.04745,-0.00524,-0.00066
0.1,-0.04007,-0.00851,0.07795,0.05455,0.04757,0.05922,-0.16651,0.02163,0.02786,0.07023,-0.05138,-0.00078,-4.03568,-0.30635,-0.97819,0.84137,-2.49305,-0.64064,0.38334,1.56586,-0.6488,0.50538,0.60405,-0.12825,0.10783,-0.35749,0.1083,-0.07425,-0.52627,-0.07102,0.03311,0.03965,0.02255,0.21309,0.04602,-0.06734,-0.13996,-0.04622,-0.00747,-0.00178
0.12,-0.04286,-0.00845,0.0767,0.07035,0.04312,0.06758,-0.1685,0.01964,0.0244,0.0686,-0.05134,-0.0008,-4.4001,-0.26973,-1.49196,0.87082,-2.27312,-0.62146,0.37533,1.77212,-0.70574,0.30518,0.69058,-0.20307,0.10786,-0.31696,0.11358,-0.08109,-0.48537,-0.06604,0.02978,0.03619,0.02062,0.22255,0.03187,-0.06845,-0.14293,-0.04441,-0.00962,-0.00289
0.14,-0.04641,-0.00843,0.07472,0.08867,0.03794,0.07713,-0.17036,0.01765,0.02019,0.06647,-0.05032,-0.00082,-4.81937,-0.21562,-2.10609,0.9106,-2.00137,-0.59293,0.36093,1.94194,-0.78525,0.13753,0.80051,-0.26381,0.10243,-0.26291,0.1196,-0.09003,-0.43663,-0.05981,0.02579,0.03218,0.01836,0.23292,0.01435,-0.07655,-0.14865,-0.042,-0.01137,-0.00384
0.16,-0.05072,-0.00849,0.07191,0.10864,0.03233,0.08739,-0.17188,0.0159,0.01534,0.06388,-0.04791,-0.00084,-4.974,-0.14123,-2.79985,0.96213,-1.68496,-0.55387,0.33864,2.03417,-0.89049,0.04265,0.93353,-0.29483,0.08923,-0.19486,0.12609,-0.10117,-0.38221,-0.05247,0.02132,0.02782,0.01589,0.24353,-0.00619,-0.0946,-0.15804,-0.03901,-0.01228,-0.00442
0.18,-0.05569,-0.00866,0.06816,0.12869,0.02675,0.09745,-0.17271,0.01476,0.0101,0.06089,-0.04365,-0.00086,-4.974,-0.04457,-3.53074,1.02559,-1.33881,-0.50333,0.30685,1.99377,-1.02268,0.07335,1.0859,-0.27557,0.06556,-0.11352,0.13253,-0.11436,-0.32581,-0.04433,0.01665,0.02348,0.01341,0.25321,-0.02884,-0.12592,-0.17201,-0.03547,-0.01175,-0.00436
0.2,-0.06107,-0.00896,0.06339,0.1465,0.02185,0.10601,-0.1723,0.01467,0.00488,0.05761,-0.03704,-0.00087,-4.974,0.07512,-4.23305,1.09964,-0.98652,-0.4409,0.26414,1.75546,-1.18054,0.29145,1.25,-0.18203,0.02871,-0.02124,0.13809,-0.12914,-0.27276,-0.0359,0.01221,0.01967,0.01118,0.26023,-0.05208,-0.17379,-0.19127,-0.0315,-0.00911,-0.00331
0.22,-0.06655,-0.00946,0.0575,0.15949,0.0183,0.11165,-0.17,0.01605,4e-05,0.0542,-0.02766,-0.00087,-4.974,0.21751,-4.8313,1.18203,-0.65559,-0.36705,0.20973,1.26078,-1.36074,0.75102,1.41621,0.00639,-0.02299,0.07825,0.14191,-0.14493,-0.22904,-0.02782,0.00848,0.01694,0.00951,0.2626,-0.07394,-0.24042,-0.21616,-0.02725,-0.00374,-0.001
0.24,-0.07187,-0.01016,0.0504,0.1656,0.01657,0.11319,-0.16514,0.0191,-0.00426,0.0508,-0.01531,-0.00086,-4.974,0.38166,-5.26312,1.27046,-0.36908,-0.28331,0.14419,0.48427,-1.55891,1.47268,1.57611,0.29647,-0.08855,0.18044,0.14342,-0.16134,-0.19956,-0.02074,0.00585,0.01575,0.00865,0.25853,-0.09235,-0.32546,-0.2463,-0.02292,0.0046,0.00273
0.26,-0.07684,-0.01112,0.04201,0.16384,0.01672,0.11005,-0.1571,0.02367,-0.00821,0.04757,-0.00024,-0.00084,-4.974,0.56575,-5.49393,1.36292,-0.14063,-0.19286,0.07006,-0.54522,-1.76967,2.42284,1.72426,0.67276,-0.16309,0.28011,0.14258,-0.17831,-0.18702,-0.0153,0.00451,0.01635,0.00874,0.24674,-0.10533,-0.4246,-0.28026,-0.0187,0.01557,0.00771
0.28,-0.08138,-0.01232,0.03234,0.15437,0.01842,0.10233,-0.14541,0.0292,-0.01237,0.04465,0.0168,-0.0008,-4.974,0.76571,-5.51832,1.45716,0.02488,-0.10128,-0.00734,-1.73191,-1.98507,3.50177,1.85749,1.0928,-0.23683,0.37059,0.13993,-0.19605,-0.19179,-0.0121,0.00446,0.01878,0.00977,0.22662,-0.11095,-0.52856,-0.31524,-0.01484,0.02808,0.01346
0.3,-0.08543,-0.01377,0.0215,0.13844,0.02096,0.09071,-0.12982,0.03476,-0.01759,0.04225,0.03446,-0.00074,-4.974,0.97425,-5.35504,1.54994,0.12881,-0.01673,-0.07994,-2.91653,-2.19356,4.54751,1.97346,1.48888,-0.29552,0.44341,0.13654,-0.21484,-0.21216,-0.01176,0.00555,0.02283,0.01164,0.19829,-0.1073,-0.62319,-0.34702,-0.01163,0.04036,0.01918
0.32,-0.08897,-0.01546,0.00966,0.11787,0.02346,0.0762,-0.11033,0.03927,-0.02486,0.04065,0.05115,-0.00068,-4.974,1.18237,-5.03759,1.6372,0.17673,0.05174,-0.13871,-3.91462,-2.38216,5.37456,2.06989,1.78438,-0.32364,0.48995,0.13382,-0.23492,-0.24481,-0.01492,0.00749,0.02816,0.01416,0.1624,-0.09284,-0.69267,-0.37078,-0.00935,0.05038,0.02392
0.34,-0.09209,-0.0174,-0.00303,0.09452,0.02517,0.05974,-0.0873,0.04186,-0.03513,0.04013,0.06556,-0.00062,-4.67134,1.3823,-4.60251,1.71461,0.17675,0.09727,-0.17664,-4.57721,-2.54047,5.83466,2.14408,1.91925,-0.30951,0.50435,0.13313,-0.25638,-0.28533,-0.02208,0.00991,0.0343,0.01708,0.11999,-0.06718,-0.72457,-0.38242,-0.0081,0.05647,0.02692
0.36,-0.09497,-0.0196,-0.01652,0.06988,0.02567,0.04196,-0.06159,0.04209,-0.04909,0.04108,0.07697,-0.00058,-4.06948,1.56894,-4.08322,1.77771,0.13862,0.11706,-0.1908,-4.83092,-2.66304,5.85781,2.19241,1.86748,-0.24904,0.48551,0.13566,-0.27899,-0.32835,-0.03356,0.01244,0.04072,0.02012,0.07246,-0.03156,-0.71339,-0.37948,-0.00766,0.0578,0.02775
0.38,-0.09789,-0.02213,-0.03075,0.04524,0.02489,0.02328,-0.03479,0.04007,-0.06708,0.04389,0.08528,-0.00058,-3.46866,1.7387,-3.51193,1.82147,0.07356,0.11274,-0.18262,-4.68521,-2.74895,5.46132,2.20981,1.6414,-0.14692,0.43772,0.14228,-0.30199,-0.36735,-0.04941,0.01463,0.04675,0.02295,0.02194,0.01067,-0.66139,-0.36135,-0.00754,0.05445,0.0264
0.4,-0.10117,-0.02501,-0.04556,0.02176,0.02308,0.00404,-0.00925,0.03631,-0.089,0.049,0.09081,-0.00067,-2.89107,1.88811,-2.92258,1.83993,-0.00592,0.08959,-0.15724,-4.22056,-2.80039,4.73896,2.18959,1.28725,-0.01594,0.37,0.15359,-0.32402,-0.39457,-0.06928,0.016,0.05158,0.02516,-0.02851,0.05416,-0.57771,-0.32908,-0.00697,0.0473,0.0232
0.42,-0.10518,-0.02827,-0.0607,0.00033,0.02071,-0.01548,0.01223,0.03162,-0.11432,0.05676,0.0942,-0.00089,-2.35488,2.01393,-2.34788,1.82703,-0.08742,0.05488,-0.12182,-3.5572,-2.82148,3.82702,2.12493,0.86951,0.12684,0.29367,0.16988,-0.3434,-0.40229,-0.09248,0.01607,0.05444,0.02639,-0.07539,0.09258,-0.47543,-0.28488,-0.00513,0.03773,0.01872
0.44,-0.11023,-0.0319,-0.07599,-0.01888,0.01831,-0.03504,0.0272,0.02681,-0.14222,0.06732,0.09622,-0.00127,-1.87116,2.11425,-1.81263,1.77813,-0.16089,0.01555,-0.08319,-2.81237,-2.81727,2.85659,2.01129,0.44859,0.26568,0.21887,0.19112,-0.35869,-0.38483,-0.118,0.01446,0.05477,0.02635,-0.11571,0.12026,-0.36739,-0.23148,-0.00141,0.0272,0.01359
0.46,-0.11657,-0.03584,-0.09129,-0.03657,0.01639,-0.05444,0.03394,0.02252,-0.17156,0.08047,0.09766,-0.00186,-1.44324,2.18902,-1.33094,1.69136,-0.21981,-0.02324,-0.04639,-2.07394,-2.79311,1.92447,1.84863,0.067,0.38962,0.15241,0.21688,-0.36899,-0.34004,-0.14443,0.01099,0.05244,0.02499,-0.14748,0.13328,-0.26366,-0.17183,0.0044,0.01703,0.0084
0.48,-0.12429,-0.03996,-0.10642,-0.05428,0.01544,-0.07333,0.03153,0.01927,-0.20064,0.09555,0.09928,-0.00272,-1.06995,2.23953,-0.90924,1.5685,-0.26108,-0.05815,-0.01454,-1.39893,-2.75466,1.09259,1.64303,-0.25128,0.49235,0.09772,0.24609,-0.37397,-0.26994,-0.16978,0.00571,0.04778,0.02247,-0.16962,0.12964,-0.17176,-0.10947,0.01199,0.00836,0.00376
0.5,-0.13333,-0.04402,-0.12103,-0.07411,0.01591,-0.0911,0.01974,0.01746,-0.22708,0.11134,0.10181,-0.00385,-0.74927,2.26766,-0.55046,1.41504,-0.2843,-0.08729,0.01073,-0.82086,-2.70775,0.3971,1.40687,-0.49672,0.57101,0.05563,0.27694,-0.3737,-0.18052,-0.19139,-0.00112,0.04157,0.01917,-0.18167,0.10895,-0.09736,-0.04879,0.02057,0.00224,0.00025
0.52,-0.14347,-0.04774,-0.1347,-0.09841,0.01827,-0.10694,-0.00108,0.01734,-0.2482,0.12635,0.10575,-0.00528,-0.479,2.27551,-0.25525,1.23857,-0.29117,-0.10991,0.02896,-0.35539,-2.65772,-0.14513,1.15558,-0.67039,0.62544,0.02509,0.3071,-0.36845,-0.08003,-0.20648,-0.00905,0.03476,0.01557,-0.18373,0.0722,-0.04411,0.00562,0.0291,-0.00046,-0.00161
0.54,-0.15438,-0.05082,-0.14703,-0.1292,0.02296,-0.12005,-0.03004,0.01906,-0.26166,0.13907,0.11115,-0.00699,-0.25557,2.26532,-0.02122,1.04609,-0.28485,-0.12612,0.0406,-0.00471,-2.60831,-0.53215,0.90231,-0.7806,0.6578,0.004,0.33413,-0.35852,0.02361,-0.21307,-0.01762,0.02825,0.01211,-0.17667,0.02147,-0.01281,0.05023,0.03657,0.0007,-0.00149
