T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00065,-7e-05,0.0001,0.35649,-0.45327,-0.0827,0.83966,0.01702,-0.05831,-0.34694,0.01538,-0.01212,-0.73777,-1.78654,-0.00046,0.10994,1.41773,-0.03648,0.03026,-0.18297,1.87611,-0.38268,0.19991,-1.7464,0.02456,-0.02987,0.75573,-0.02072,0.05188,-0.43259,-0.1352,-0.09341,-0.06304,0.78033,0.11836,0.03027,-0.48172,-0.12953,0.08095,0.0554
0.02,0.00058,-7e-05,0.00013,0.35724,-0.45355,-0.08269,0.83912,0.0171,-0.05892,-0.34667,0.01553,-0.01212,-0.74287,-1.78525,-0.00847,0.11011,1.41774,-0.03641,0.03046,-0.18511,1.87662,-0.38019,0.20038,-1.746,0.02428,-0.02999,0.75598,-0.0232,0.04113,-0.43269,-0.13427,-0.09271,-0.06249,0.78069,0.11929,0.03448,-0.48155,-0.12946,0.08086,0.05526
0.04,0.0005,-8e-05,0.00016,0.35797,-0.45383,-0.08267,0.83858,0.01719,-0.05954,-0.34641,0.01568,-0.01212,-0.74796,-1.78396,-0.01646,0.11029,1.41776,-0.03635,0.03066,-0.18724,1.87712,-0.37771,0.20085,-1.74561,0.02401,-0.03011,0.75624,-0.02567,0.03041,-0.43279,-0.13333,-0.092,-0.06195,0.78104,0.12022,0.03868,-0.48138,-0.1294,0.08078,0.05513
0.06,0.00043,-8e-05,0.0002,0.35871,-0.45411,-0.08266,0.83804,0.01727,-0.06015,-0.34614,0.01583,-0.01212,-0.75304,-1.78268,-0.02445,0.11046,1.41777,-0.03628,0.03087,-0.18937,1.87763,-0.37523,0.20132,-1.74522,0.02373,-0.03022,0.75649,-0.02814,0.01969,-0.43289,-0.1324,-0.0913,-0.06141,0.78139,0.12115,0.04287,-0.48122,-0.12933,0.0807,0.05499
0.08,0.00035,-8e-05,0.00023,0.35945,-0.45439,-0.08264,0.83751,0.01736,-0.06076,-0.34587,0.01598,-0.01212,-0.75814,-1.78139,-0.03244,0.11063,1.41779,-0.03622,0.03107,-0.19151,1.87814,-0.37275,0.20179,-1.74483,0.02345,-0.03034,0.75674,-0.03061,0.00895,-0.43299,-0.13146,-0.0906,-0.06086,0.78175,0.12207,0.04708,-0.48105,-0.12927,0.08061,0.05485
0.1,0.00028,-9e-05,0.00026,0.36019,-0.45468,-0.08263,0.83696,0.01745,-0.06137,-0.3456,0.01613,-0.01212,-0.76319,-1.78011,-0.04045,0.1108,1.41781,-0.03616,0.03127,-0.19363,1.87863,-0.37026,0.20226,-1.74443,0.02317,-0.03046,0.757,-0.03307,-0.00172,-0.43309,-0.13054,-0.0899,-0.06032,0.78211,0.123,0.05125,-0.48088,-0.1292,0.08053,0.05471
0.12,0.0002,-9e-05,0.00029,0.36094,-0.45495,-0.08262,0.83643,0.01753,-0.06199,-0.34533,0.01628,-0.01212,-0.76833,-1.77881,-0.0484,0.11097,1.41782,-0.03608,0.03148,-0.19578,1.87915,-0.36779,0.20272,-1.74404,0.0229,-0.03058,0.75724,-0.03556,-0.01252,-0.43319,-0.12959,-0.08919,-0.05977,0.78245,0.12393,0.05549,-0.48071,-0.12914,0.08045,0.05457
0.14,0.00013,-0.0001,0.00032,0.36167,-0.45524,-0.0826,0.83589,0.01762,-0.0626,-0.34507,0.01643,-0.01213,-0.77339,-1.77752,-0.05643,0.11114,1.41784,-0.03602,0.03168,-0.1979,1.87965,-0.3653,0.2032,-1.74365,0.02262,-0.0307,0.7575,-0.03802,-0.02321,-0.43329,-0.12867,-0.08849,-0.05923,0.78281,0.12486,0.05967,-0.48055,-0.12907,0.08036,0.05443
0.16,5e-05,-0.0001,0.00036,0.3624,-0.45552,-0.08259,0.83533,0.01771,-0.0632,-0.3448,0.01659,-0.01213,-0.77834,-1.77627,-0.06448,0.11133,1.41785,-0.03598,0.03189,-0.19998,1.88012,-0.3628,0.2037,-1.74325,0.02233,-0.03082,0.75777,-0.04045,-0.03375,-0.43339,-0.12775,-0.0878,-0.0587,0.78318,0.12576,0.06377,-0.48039,-0.12901,0.08027,0.05429
0.18,-1e-05,-0.0001,0.00038,0.36318,-0.45578,-0.08258,0.83485,0.01777,-0.06386,-0.34453,0.01673,-0.01213,-0.78388,-1.77488,-0.07217,0.11144,1.41787,-0.03582,0.03209,-0.20232,1.88076,-0.36039,0.20405,-1.74288,0.02211,-0.03095,0.75795,-0.04306,-0.04511,-0.43349,-0.12675,-0.08705,-0.05812,0.78346,0.12677,0.06832,-0.4802,-0.12895,0.08021,0.05416
0.2,-0.00012,-0.00011,0.00043,0.36385,-0.45611,-0.08255,0.83421,0.01789,-0.06439,-0.34427,0.0169,-0.01213,-0.7882,-1.77376,-0.08079,0.11173,1.41788,-0.03593,0.03229,-0.20409,1.88103,-0.35776,0.20472,-1.74243,0.02173,-0.03106,0.75833,-0.0453,-0.05475,-0.43359,-0.12594,-0.08643,-0.05764,0.78395,0.12755,0.07192,-0.48007,-0.12887,0.08009,0.05401
0.22,-0.00035,-0.00014,0.00055,0.36426,-0.45664,-0.08244,0.83312,0.01816,-0.06455,-0.34405,0.01713,-0.01213,-0.78894,-1.7734,-0.09043,0.11239,1.41791,-0.03667,0.03248,-0.20445,1.88034,-0.35469,0.20621,-1.7418,0.02103,-0.03114,0.75921,-0.04652,-0.0596,-0.43368,-0.12571,-0.08622,-0.05745,0.78499,0.12762,0.07283,-0.48013,-0.1287,0.07979,0.05381
0.24,-0.00064,-0.00017,0.00071,0.36457,-0.45726,-0.0823,0.83187,0.01849,-0.06457,-0.34386,0.01739,-0.01213,-0.78847,-1.77328,-0.1013,0.11328,1.4179,-0.03771,0.03264,-0.2042,1.87926,-0.35135,0.20805,-1.74105,0.02015,-0.03121,0.7603,-0.04738,-0.06274,-0.43378,-0.12569,-0.08615,-0.05736,0.78624,0.12746,0.07279,-0.48024,-0.12851,0.07942,0.05361
0.26,-0.00091,-0.0002,0.00085,0.3649,-0.45785,-0.08217,0.83069,0.0188,-0.06464,-0.34366,0.01764,-0.01213,-0.7887,-1.77303,-0.11258,0.11411,1.41787,-0.03871,0.0328,-0.20417,1.87832,-0.34802,0.20974,-1.74033,0.0193,-0.03129,0.76131,-0.04842,-0.06673,-0.43387,-0.12555,-0.086,-0.05722,0.7874,0.12743,0.07324,-0.48032,-0.12833,0.07909,0.05341
0.28,-0.00117,-0.00023,0.00098,0.36532,-0.45841,-0.08206,0.82952,0.01909,-0.06475,-0.34343,0.01789,-0.01213,-0.78834,-1.77291,-0.1197,0.11467,1.41804,-0.03931,0.03305,-0.20445,1.87757,-0.34517,0.2113,-1.73976,0.01868,-0.03132,0.76226,-0.04942,-0.07043,-0.43395,-0.12549,-0.08592,-0.05712,0.78854,0.12731,0.07345,-0.48045,-0.12812,0.07874,0.05319
