T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.05776,0.06181,-0.00179,0.1222,-0.00086,-0,-0.1236,0.04558,0.00027,3e-05,-2e-05,-0.00048,-0.0023,-0.00865,-0.2079,0.04492,-0.07782,1e-05,-0.00268,0.00038,0.03602,-5.05828,4.97576,-0.05734,0.24758,0.43675,0.06697,0.96485,-0.49764,0.76021,0.10436,-0.02694,0.01174,0.01607
0.02,-0.05715,0.0628,-0.00183,0.12454,-0.00086,-0,-0.12731,0.04617,0.00028,3e-05,-2e-05,-0.00049,-0.00233,-0.00885,-0.21182,0.04611,-0.07882,1e-05,-0.00273,0.00039,0.03074,-5.19174,5.1299,-0.06079,0.24382,0.45439,0.0705,0.97782,-0.51858,0.78567,0.10364,-0.02811,0.01287,0.01663
0.04,-0.05493,0.06301,-0.00183,0.12532,-0.00085,-0,-0.13027,0.0458,0.00028,3e-05,-2e-05,-0.00049,-0.00234,-0.00894,-0.21213,0.04647,-0.07845,2e-05,-0.00274,0.0004,0.02551,-5.27022,5.22892,-0.06446,0.23639,0.46702,0.07334,0.97654,-0.53709,0.80443,0.10016,-0.02922,0.01424,0.01705
0.06,-0.05101,0.06252,-0.00181,0.12465,-0.00082,-0,-0.13288,0.04441,0.00028,3e-05,-2e-05,-0.00047,-0.00231,-0.00894,-0.20863,0.04595,-0.07668,2e-05,-0.00271,0.0004,0.02055,-5.30134,5.2809,-0.0685,0.22587,0.47515,0.07557,0.9614,-0.55404,0.81736,0.09377,-0.03033,0.01591,0.01738
0.08,-0.04534,0.06141,-0.00175,0.1226,-0.00079,-0,-0.13551,0.04185,0.00027,3e-05,-2e-05,-0.00045,-0.00224,-0.00882,-0.201,0.04448,-0.07344,2e-05,-0.00263,0.00039,0.01601,-5.29123,5.29286,-0.07292,0.21274,0.47923,0.07727,0.93238,-0.56984,0.82481,0.08439,-0.0315,0.01797,0.01761
0.1,-0.03794,0.05973,-0.00166,0.11919,-0.00075,-0,-0.13849,0.03802,0.00025,3e-05,-2e-05,-0.00041,-0.00214,-0.00858,-0.18884,0.04198,-0.06867,2e-05,-0.00252,0.00038,0.01198,-5.2442,5.26992,-0.07761,0.19753,0.47963,0.07849,0.88923,-0.58429,0.82646,0.07202,-0.03272,0.02043,0.01775
0.12,-0.02896,0.0575,-0.00153,0.1144,-0.0007,-0,-0.14207,0.0328,0.00024,2e-05,-2e-05,-0.00036,-0.00201,-0.00821,-0.17177,0.03841,-0.0623,2e-05,-0.00236,0.00037,0.00848,-5.16326,5.21601,-0.08227,0.18058,0.4768,0.07928,0.8315,-0.59632,0.82118,0.0569,-0.03396,0.02327,0.01777
0.14,-0.01877,0.05476,-0.00137,0.10825,-0.00064,-0,-0.14638,0.02613,0.00021,2e-05,-2e-05,-0.0003,-0.00184,-0.00769,-0.14953,0.03375,-0.05436,2e-05,-0.00216,0.00034,0.00556,-5.05027,5.13332,-0.08635,0.16247,0.47111,0.07967,0.75927,-0.60401,0.80718,0.03957,-0.0351,0.02636,0.01765
0.16,-0.00806,0.05155,-0.00118,0.1008,-0.00058,-0,-0.1514,0.01803,0.00018,2e-05,-2e-05,-0.00022,-0.00164,-0.00701,-0.12217,0.02807,-0.04499,2e-05,-0.00192,0.00032,0.00319,-4.90721,5.02386,-0.08907,0.14376,0.46315,0.07969,0.67332,-0.60433,0.78191,0.0211,-0.03598,0.02949,0.01732
0.18,0.00207,0.04791,-0.00097,0.09219,-0.00052,-0,-0.15699,0.00874,0.00015,2e-05,-2e-05,-0.00013,-0.00141,-0.00617,-0.09026,0.02161,-0.03452,2e-05,-0.00165,0.00028,0.00136,-4.738,4.89138,-0.08926,0.12467,0.45413,0.0794,0.57552,-0.59304,0.74212,0.00319,-0.03632,0.03227,0.01672
0.2,0.01012,0.04404,-0.00075,0.08277,-0.00045,-0,-0.16265,-0.00136,0.00012,1e-05,-2e-05,-4e-05,-0.00117,-0.00518,-0.05504,0.01463,-0.02359,2e-05,-0.00136,0.00024,2e-05,-4.54635,4.73696,-0.08579,0.10706,0.44465,0.07877,0.47089,-0.56543,0.68489,-0.01178,-0.03581,0.03418,0.01574
0.22,0.01447,0.04013,-0.00055,0.07295,-0.00039,-0,-0.16781,-0.01168,8e-05,1e-05,-1e-05,5e-05,-0.00092,-0.00407,-0.01806,0.00757,-0.01291,1e-05,-0.00108,0.0002,-0.00096,-4.33566,4.5611,-0.07768,0.09264,0.4352,0.07778,0.36478,-0.51708,0.60779,-0.02127,-0.03412,0.0347,0.01434
0.24,0.01409,0.03624,-0.00037,0.06304,-0.00032,-0,-0.17217,-0.02163,5e-05,0,-1e-05,0.00013,-0.00068,-0.00289,0.01939,0.00088,-0.00298,1e-05,-0.00081,0.00015,-0.00159,-4.1088,4.36611,-0.06424,0.08021,0.42706,0.07644,0.26035,-0.44473,0.50917,-0.02357,-0.03102,0.03334,0.01245
