T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-26.87508,5.00195,-0.13155,-1.22176,0.0503,0.00414,-2.55619,-4.62761,0.22892,-3.982,0.13766,-0.08678,0.31467,-0.6727,5.9094,-0.70543,-2.67726,-0.0353,-0.23619,-0.18424,2.54607,-2.76673,0.13775,-0.96743,0.57951,-0.18775,-0.1613,3.43166,1.94895,-0.26272,-1.23011,0.56175,0.1736,0.1511
0.02,-26.83614,5.00424,-0.13242,-1.21736,0.05129,0.00426,-2.55595,-4.62654,0.22628,-3.97457,0.13765,-0.08701,0.31522,-0.67227,5.91073,-0.70796,-2.67824,-0.03542,-0.23613,-0.18437,2.55161,-2.75082,0.13706,-0.96705,0.57955,-0.18785,-0.16152,3.43403,1.96688,-0.26185,-1.22898,0.56179,0.17365,0.15061
0.04,-26.79275,5.00573,-0.13332,-1.2124,0.05235,0.00439,-2.55569,-4.62553,0.22389,-3.96749,0.13765,-0.08724,0.31576,-0.67186,5.91233,-0.71041,-2.67928,-0.03554,-0.23609,-0.1845,2.55821,-2.73489,0.13615,-0.96665,0.57958,-0.18796,-0.16174,3.43711,1.98337,-0.26173,-1.22767,0.56185,0.17369,0.15006
0.06,-26.74501,5.00637,-0.13418,-1.2069,0.05346,0.00453,-2.55543,-4.62446,0.2217,-3.96063,0.13767,-0.08749,0.31626,-0.67148,5.91402,-0.71279,-2.68034,-0.03565,-0.23607,-0.18464,2.56583,-2.71869,0.13514,-0.9662,0.57961,-0.18805,-0.16195,3.44101,1.99812,-0.26254,-1.22613,0.56192,0.1737,0.14945
0.08,-26.69317,5.0054,-0.13491,-1.20092,0.05458,0.00468,-2.55516,-4.6232,0.21971,-3.95385,0.13769,-0.08774,0.31672,-0.67112,5.91552,-0.71511,-2.68137,-0.03573,-0.23605,-0.18478,2.57436,-2.70178,0.13411,-0.96571,0.57963,-0.18814,-0.16216,3.44583,2.01096,-0.26445,-1.22432,0.56199,0.17369,0.14878
0.1,-26.63777,5.00129,-0.13536,-1.19458,0.05563,0.00483,-2.55488,-4.62161,0.21792,-3.94714,0.13769,-0.088,0.3171,-0.67076,5.91657,-0.71739,-2.68238,-0.03581,-0.23602,-0.18492,2.58358,-2.6837,0.13312,-0.96516,0.57966,-0.18822,-0.16233,3.45148,2.02196,-0.26756,-1.22219,0.56207,0.17365,0.14801
0.12,-26.57893,4.99206,-0.13537,-1.18791,0.05644,0.00497,-2.55462,-4.61952,0.21623,-3.94007,0.13767,-0.08827,0.3174,-0.67038,5.91683,-0.71961,-2.68323,-0.03585,-0.23598,-0.18504,2.59326,-2.66389,0.13235,-0.96452,0.57969,-0.1883,-0.16249,3.458,2.03102,-0.27217,-1.21977,0.56216,0.1736,0.1472
0.14,-26.51757,4.975,-0.1348,-1.18106,0.05683,0.00508,-2.55436,-4.61684,0.21471,-3.93285,0.13761,-0.08854,0.31758,-0.66995,5.91612,-0.7218,-2.68403,-0.03588,-0.23589,-0.18516,2.60302,-2.64187,0.13168,-0.96383,0.57973,-0.18836,-0.1626,3.46494,2.03902,-0.27812,-1.21706,0.56225,0.17353,0.14631
0.16,-26.45426,4.9476,-0.13353,-1.17412,0.05661,0.00512,-2.55408,-4.61348,0.21332,-3.92539,0.1375,-0.08881,0.31762,-0.66946,5.91425,-0.72399,-2.68482,-0.03588,-0.23576,-0.18526,2.61246,-2.61728,0.13108,-0.96311,0.57977,-0.18841,-0.16265,3.47181,2.04688,-0.28525,-1.21416,0.56235,0.17343,0.14533
0.18,-26.3883,4.90883,-0.13143,-1.16704,0.05564,0.00509,-2.55394,-4.60924,0.21157,-3.91618,0.13733,-0.08911,0.31762,-0.66883,5.9109,-0.72599,-2.68497,-0.03583,-0.23559,-0.18529,2.62133,-2.5899,0.13116,-0.96219,0.57981,-0.1885,-0.16275,3.47894,2.05386,-0.2942,-1.21132,0.56236,0.17348,0.14454
0.2,-26.3246,4.85521,-0.12862,-1.16032,0.05373,0.00495,-2.55357,-4.60449,0.21048,-3.90889,0.13712,-0.08933,0.31736,-0.66811,5.90681,-0.72821,-2.68616,-0.03579,-0.23536,-0.18541,2.62866,-2.56008,0.13019,-0.96163,0.57988,-0.18849,-0.16268,3.48333,2.06582,-0.30236,-1.20851,0.56247,0.17328,0.14342
0.22,-26.26791,4.78371,-0.12526,-1.15447,0.0508,0.00471,-2.55247,-4.5996,0.21126,-3.9079,0.13692,-0.08936,0.31655,-0.66749,5.90297,-0.73143,-2.69074,-0.03581,-0.23501,-0.18586,2.63351,-2.52845,0.12593,-0.96202,0.58006,-0.18822,-0.16216,3.48102,2.09074,-0.30577,-1.2056,0.56298,0.17231,0.14117
0.24,-26.2157,4.69874,-0.12142,-1.14921,0.04688,0.00436,-2.55116,-4.59433,0.21251,-3.90885,0.13671,-0.0893,0.31555,-0.66672,5.89888,-0.73482,-2.69644,-0.03584,-0.23461,-0.18641,2.63588,-2.49557,0.12046,-0.96293,0.58028,-0.18787,-0.16151,3.47486,2.12315,-0.30718,-1.20313,0.56356,0.17114,0.13872
0.26,-26.16538,4.60512,-0.1172,-1.14425,0.04212,0.0039,-2.55005,-4.58852,0.2131,-3.90816,0.13645,-0.08925,0.31464,-0.66566,5.89431,-0.73785,-2.70156,-0.03583,-0.2342,-0.18688,2.63595,-2.46213,0.1154,-0.96391,0.58047,-0.18759,-0.16097,3.46735,2.15922,-0.30829,-1.20134,0.564,0.17022,0.13673
0.28,-26.11572,4.50443,-0.11284,-1.13963,0.0368,0.00336,-2.54874,-4.58227,0.21342,-3.90704,0.13618,-0.08914,0.31377,-0.66472,5.88998,-0.74181,-2.70795,-0.03588,-0.23374,-0.18748,2.63414,-2.42903,0.10939,-0.96487,0.5807,-0.18727,-0.16038,3.4565,2.20538,-0.30485,-1.19957,0.56455,0.16916,0.13448
0.3,-26.07728,4.40201,-0.10858,-1.136,0.03068,0.00271,-2.5479,-4.57638,0.21354,-3.90643,0.13591,-0.08903,0.31294,-0.66304,5.88629,-0.74396,-2.71281,-0.03585,-0.23335,-0.1879,2.62858,-2.3974,0.10398,-0.96666,0.58084,-0.18707,-0.15999,3.44658,2.25101,-0.30304,-1.19886,0.56483,0.16854,0.13331
0.32,-26.06179,4.30391,-0.10468,-1.13401,0.02351,0.00192,-2.54833,-4.57171,0.21352,-3.90748,0.13561,-0.08901,0.31213,-0.65959,5.88355,-0.74095,-2.7126,-0.03555,-0.23314,-0.18771,2.61717,-2.36797,0.10116,-0.9702,0.58075,-0.18718,-0.16017,3.44237,2.28223,-0.31123,-1.20089,0.56431,0.1691,0.13489
0.34,-26.05887,4.21133,-0.10108,-1.13312,0.01599,0.00106,-2.54923,-4.56791,0.21336,-3.90928,0.13533,-0.089,0.31142,-0.65549,5.8821,-0.73627,-2.71092,-0.03519,-0.23302,-0.18735,2.60272,-2.34112,0.09903,-0.97448,0.58058,-0.1874,-0.16056,3.43894,2.31056,-0.32067,-1.20426,0.56352,0.17006,0.13746
0.36,-26.05921,4.12556,-0.0977,-1.13279,0.00878,0.00023,-2.54995,-4.5647,0.21304,-3.91101,0.13512,-0.08893,0.31088,-0.65168,5.88215,-0.73273,-2.71054,-0.03495,-0.23287,-0.1872,2.58774,-2.31679,0.09623,-0.97858,0.58045,-0.18757,-0.16089,3.43281,2.34452,-0.32499,-1.20766,0.5629,0.1708,0.13964
0.38,-26.06576,4.04974,-0.09457,-1.13299,0.00201,-0.00056,-2.55073,-4.5625,0.21293,-3.91425,0.13499,-0.08883,0.31045,-0.64784,5.88375,-0.72914,-2.71026,-0.03474,-0.23275,-0.18705,2.57173,-2.29409,0.0933,-0.98292,0.58033,-0.18772,-0.16123,3.42623,2.3781,-0.32841,-1.21177,0.56226,0.17154,0.14198
0.4,-26.08179,3.98455,-0.09142,-1.13438,-0.00437,-0.00131,-2.55155,-4.56171,0.21237,-3.91625,0.13492,-0.08875,0.31026,-0.6441,5.88669,-0.72591,-2.71013,-0.03459,-0.23265,-0.187,2.55619,-2.27507,0.09098,-0.987,0.5802,-0.1879,-0.16161,3.418,2.40923,-0.32938,-1.2159,0.56168,0.17224,0.14412
0.42,-26.10927,3.92902,-0.08794,-1.13757,-0.01049,-0.00204,-2.55225,-4.56265,0.21065,-3.91384,0.1349,-0.08874,0.31049,-0.64057,5.89074,-0.72366,-2.71044,-0.03453,-0.23255,-0.18717,2.54316,-2.26189,0.09012,-0.99018,0.58004,-0.18815,-0.16208,3.40702,2.43675,-0.32566,-1.21897,0.56129,0.17281,0.14554
0.44,-26.1463,3.8841,-0.08434,-1.14188,-0.016,-0.00271,-2.55296,-4.56533,0.20863,-3.91025,0.13496,-0.0888,0.31092,-0.63726,5.89564,-0.72181,-2.71067,-0.03451,-0.23248,-0.1874,2.53174,-2.25149,0.0901,-0.99291,0.57988,-0.18842,-0.16255,3.39614,2.45897,-0.3213,-1.22141,0.561,0.17332,0.14662
0.46,-26.1896,3.8494,-0.0808,-1.14658,-0.02067,-0.00327,-2.55364,-4.56964,0.20708,-3.90823,0.13507,-0.08889,0.3114,-0.6342,5.90116,-0.72002,-2.71062,-0.03449,-0.23245,-0.18755,2.52149,-2.24109,0.09033,-0.99551,0.57974,-0.18865,-0.16296,3.38755,2.47552,-0.31917,-1.2235,0.56073,0.17378,0.14761
0.48,-26.23651,3.82151,-0.07734,-1.1516,-0.02472,-0.00375,-2.55407,-4.57545,0.20613,-3.90779,0.13526,-0.08902,0.31189,-0.63109,5.90724,-0.71814,-2.71022,-0.03451,-0.23246,-0.18768,2.51384,-2.23054,0.09149,-0.99795,0.57955,-0.18893,-0.16345,3.38217,2.48501,-0.3198,-1.22502,0.56047,0.17423,0.1485
0.5,-26.29326,3.80305,-0.07404,-1.15729,-0.02781,-0.00412,-2.55476,-4.58291,0.20498,-3.90592,0.13543,-0.08926,0.31246,-0.62888,5.91251,-0.71692,-2.7093,-0.03452,-0.2325,-0.18769,2.50692,-2.22152,0.09229,-0.99981,0.57947,-0.1891,-0.16372,3.37807,2.4897,-0.32135,-1.22548,0.56034,0.17455,0.149
0.52,-26.36776,3.7976,-0.07106,-1.16405,-0.02956,-0.00433,-2.55635,-4.59212,0.2025,-3.89871,0.13552,-0.08977,0.31321,-0.62868,5.91548,-0.717,-2.70757,-0.03444,-0.23254,-0.18742,2.49789,-2.21595,0.09082,-1.00066,0.57969,-0.18892,-0.16336,3.37233,2.49307,-0.32152,-1.22448,0.56046,0.17463,0.14882
0.54,-26.44772,3.79843,-0.06872,-1.17103,-0.03048,-0.00444,-2.55815,-4.60226,0.19991,-3.88992,0.13556,-0.09039,0.31394,-0.62941,5.91695,-0.71772,-2.70522,-0.03435,-0.23261,-0.18703,2.48945,-2.21205,0.08866,-1.00106,0.58,-0.18865,-0.16281,3.36769,2.49298,-0.32252,-1.22258,0.5607,0.17459,0.14829
0.56,-26.5229,3.79995,-0.06728,-1.17744,-0.03104,-0.00451,-2.5596,-4.61264,0.19806,-3.88253,0.13559,-0.09102,0.31451,-0.6301,5.91764,-0.71832,-2.70235,-0.03428,-0.23272,-0.1866,2.48343,-2.20818,0.08688,-1.00154,0.58022,-0.18847,-0.16242,3.36616,2.48835,-0.32618,-1.22038,0.56089,0.17456,0.14775
0.58,-26.59757,3.80276,-0.06692,-1.18344,-0.0313,-0.00455,-2.56087,-4.62312,0.1957,-3.87349,0.13551,-0.09184,0.31505,-0.63079,5.9172,-0.71808,-2.69837,-0.03414,-0.23288,-0.18603,2.47754,-2.20499,0.08396,-1.00211,0.58047,-0.18824,-0.16194,3.36516,2.48208,-0.3315,-1.21812,0.561,0.17466,0.14731
0.6,-26.66027,3.8064,-0.06775,-1.18847,-0.03098,-0.00452,-2.56203,-4.6328,0.19458,-3.86713,0.13545,-0.09247,0.31531,-0.63221,5.9151,-0.71942,-2.69483,-0.03408,-0.23301,-0.18553,2.47457,-2.20358,0.0818,-1.00258,0.5806,-0.18813,-0.16173,3.36685,2.47401,-0.33677,-1.21562,0.56121,0.17455,0.14658
0.62,-26.69776,3.81038,-0.06982,-1.19191,-0.02974,-0.00437,-2.56315,-4.64073,0.19692,-3.86883,0.13562,-0.0924,0.31503,-0.63516,5.91093,-0.72529,-2.69364,-0.03427,-0.23304,-0.18537,2.47799,-2.20474,0.08289,-1.00276,0.58039,-0.18835,-0.16225,3.37399,2.46413,-0.33981,-1.21259,0.56178,0.1738,0.145
0.64,-26.7209,3.81479,-0.07321,-1.19422,-0.02807,-0.00419,-2.56424,-4.64717,0.2001,-3.87303,0.13581,-0.09212,0.31452,-0.63876,5.90523,-0.7326,-2.69306,-0.03449,-0.23304,-0.18529,2.48368,-2.20764,0.08466,-1.00293,0.58007,-0.18869,-0.16302,3.38269,2.45521,-0.34152,-1.20969,0.56242,0.17288,0.14325
