T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.04478,0,0,0.00379,0.00071,0.02296,0.07641,0,0,0.02799,0.00055,0.00636,0,0.19676,0,0,0,0,0,0.04429,0.11006,0,0.06796,0.11321,0.2133,0.03651,0,0,0.00087,0.14132,0,0,0,0.08664,0,0.00565,0.01965,0,0,0,0,0.08812,0.09836,0,0,0,0.00509,0,0.05853,0.08413,0.00735,0.02595,0.03356,0,0,0.30194,0,0,0,0,0.102,0.02886,0,0,0.03537,0.05181,0.25501
0.02,0,0.04466,0,0,0.00376,0.00069,0.02288,0.07653,0,0,0.02792,0.00046,0.00644,0,0.1967,0,0,0,0,0,0.04414,0.11028,0,0.06738,0.1115,0.21563,0.04117,0,0,0.00103,0.14111,0,0,0,0.08674,0,0.0054,0.01967,0,0,0,0,0.08817,0.09824,0,0,0,0.00511,0,0.05853,0.0841,0.00725,0.02581,0.03345,0,0,0.30359,0,0,0,0,0.10227,0.02896,0,0,0.03525,0.05273,0.25526
0.04,0,0.04452,0,0,0.00372,0.00067,0.02279,0.0767,0,0,0.02782,0.00036,0.00657,0,0.19664,0,0,0,0,0,0.04395,0.11052,0,0.06679,0.10975,0.21794,0.04577,0,0,0.00116,0.1409,0,0,0,0.08686,0,0.00511,0.01969,0,0,0,0,0.08824,0.09817,0,0,0,0.00514,0,0.05854,0.08407,0.00716,0.02569,0.03333,0,0,0.30515,0,0,0,0,0.10254,0.02906,0,0,0.03514,0.05366,0.25551
0.06,0,0.04438,0,0,0.00368,0.00065,0.02269,0.07692,0,0,0.02769,0.00026,0.00675,0,0.1966,0,0,0,0,0,0.04373,0.11078,0,0.06619,0.10798,0.22023,0.05028,0,0,0.00124,0.14069,0,0,0,0.087,0,0.0048,0.01971,0,0,0,0,0.08834,0.09815,0,0,0,0.00518,0,0.05854,0.08403,0.00709,0.0256,0.03321,0,0,0.30664,0,0,0,0,0.10282,0.02917,0,0,0.03502,0.05458,0.2558
0.08,0,0.04422,0,0,0.00364,0.00063,0.02259,0.07719,0,0,0.02753,0.00016,0.00697,0,0.19658,0,0,0,0,0,0.04348,0.11105,0,0.06557,0.10618,0.22251,0.05469,0,0,0.00128,0.14047,0,0,0,0.08716,0,0.00448,0.01974,0,0,0,0,0.08845,0.09817,0,0,0,0.00521,0,0.05854,0.08399,0.00703,0.02553,0.0331,0,0,0.30807,0,0,0,0,0.10312,0.0293,0,0,0.03491,0.0555,0.25614
0.1,0,0.04404,0,0,0.00361,0.00061,0.02248,0.07751,0,0,0.02737,6e-05,0.00723,0,0.19658,0,0,0,0,0,0.0432,0.11132,0,0.06494,0.10436,0.22477,0.05896,0,0,0.00126,0.14025,0,0,0,0.08734,0,0.00421,0.01976,0,0,0,0,0.08858,0.09822,0,0,0,0.00526,0,0.05854,0.08394,0.00698,0.02549,0.03298,0,0,0.30945,0,0,0,0,0.10342,0.02943,0,0,0.0348,0.05643,0.25656
0.12,1e-05,0.04385,1e-05,3e-05,0.00359,0.0006,0.02237,0.07786,2e-05,1e-05,0.02725,0.00015,0.00757,1e-05,0.19662,3e-05,2e-05,6e-05,2e-05,4e-05,0.0429,0.11159,0.00013,0.0643,0.10256,0.22704,0.06315,1e-05,0,0.00121,0.14003,1e-05,3e-05,4e-05,0.08752,1e-05,0.00402,0.0198,1e-05,2e-05,1e-05,1e-05,0.08872,0.09831,5e-05,0.00053,4e-05,0.00531,0,0.05856,0.0839,0.00699,0.02553,0.03291,1e-05,1e-05,0.3109,0,1e-05,1e-05,1e-05,0.10374,0.02958,3e-05,1e-05,0.0347,0.05737,0.25719
0.14,1e-05,0.04361,1e-05,5e-05,0.00356,0.00058,0.02226,0.07822,3e-05,1e-05,0.0271,0.00029,0.0079,1e-05,0.19668,7e-05,2e-05,7e-05,2e-05,5e-05,0.04256,0.11185,0.00015,0.06364,0.10074,0.22929,0.06712,1e-05,0,0.00108,0.13982,2e-05,4e-05,6e-05,0.08769,1e-05,0.00397,0.01983,1e-05,2e-05,2e-05,1e-05,0.08881,0.0984,7e-05,0.00113,5e-05,0.00536,1e-05,0.05858,0.08385,0.00696,0.02555,0.0328,1e-05,1e-05,0.31225,1e-05,3e-05,4e-05,2e-05,0.10407,0.02975,4e-05,2e-05,0.03459,0.0583,0.25784
0.16,0,0.04332,1e-05,9e-05,0.00355,0.00057,0.02216,0.07856,4e-05,4e-05,0.02701,0.00036,0.00824,1e-05,0.19679,0.00013,3e-05,0.00011,3e-05,8e-05,0.04221,0.1121,0.00021,0.06298,0.09894,0.23147,0.07093,2e-05,1e-05,0.00089,0.13958,2e-05,6e-05,9e-05,0.08784,1e-05,0.00413,0.01986,2e-05,3e-05,3e-05,2e-05,0.08885,0.09851,0.0001,0.00142,7e-05,0.00542,1e-05,0.0586,0.0838,0.00696,0.02564,0.03271,2e-05,0,0.31361,1e-05,5e-05,2e-05,3e-05,0.10441,0.02995,6e-05,1e-05,0.0345,0.05925,0.25867
0.18,1e-05,0.04298,1e-05,0.0001,0.00354,0.00058,0.02203,0.07888,4e-05,4e-05,0.02697,0.00042,0.00852,1e-05,0.19692,0.00014,3e-05,0.00012,3e-05,8e-05,0.04183,0.11233,0.00021,0.06228,0.097,0.23377,0.07464,2e-05,1e-05,0.00074,0.13938,4e-05,7e-05,0.00011,0.08797,2e-05,0.00458,0.01988,2e-05,6e-05,3e-05,2e-05,0.08876,0.09853,0.00011,0.00156,7e-05,0.00548,2e-05,0.05859,0.08375,0.00692,0.02572,0.03259,2e-05,1e-05,0.315,1e-05,5e-05,8e-05,3e-05,0.10475,0.03014,0.00022,2e-05,0.03441,0.06013,0.25947
0.2,4e-05,0.04257,3e-05,0.00023,0.00356,0.00061,0.022,0.07908,7e-05,6e-05,0.02716,0.00091,0.00892,4e-05,0.19705,0.00028,6e-05,0.00032,8e-05,0.00023,0.04143,0.11256,0.00035,0.06163,0.09535,0.23589,0.07807,4e-05,2e-05,0.00058,0.13916,0.00015,0.00012,0.00022,0.08806,3e-05,0.0054,0.01996,4e-05,0.00011,8e-05,7e-05,0.08859,0.09851,0.00034,0.0028,0.0002,0.00556,3e-05,0.05865,0.0837,0.00705,0.026,0.03265,3e-05,2e-05,0.31638,3e-05,0.0001,0.00012,7e-05,0.10513,0.03037,0.00052,5e-05,0.03435,0.06115,0.2608
0.22,0,0.04204,0,4e-05,0.0035,0.00048,0.02182,0.07892,0,0,0.02687,0.00011,0.0089,0,0.19701,0,0,0,0,0,0.04093,0.11273,0,0.06107,0.09348,0.23744,0.08035,0,0,0,0.1388,0,0,0,0.08803,0,0.00658,0.01981,0,0,1e-05,0,0.08811,0.09836,0,0,0,0.00561,0,0.05842,0.08348,0.00677,0.02593,0.03227,0,0,0.31727,0,1e-05,0,0,0.10551,0.03064,0.00026,0,0.03422,0.06238,0.26126
0.24,0,0.0415,0,6e-05,0.00349,0.00047,0.02181,0.07851,0,0,0.02696,0.00036,0.00903,0,0.19697,1e-05,0,2e-05,0,1e-05,0.04047,0.11291,3e-05,0.06058,0.09213,0.23893,0.08249,0,0,2e-05,0.13845,0,1e-05,2e-05,0.08793,0,0.00823,0.01978,0,0,2e-05,0,0.08751,0.09814,1e-05,3e-05,1e-05,0.00568,0,0.05835,0.08331,0.00678,0.02614,0.03216,0,0,0.31832,0,1e-05,0,0,0.10597,0.03095,0.00114,0,0.03413,0.06382,0.26269
0.26,2e-05,0.041,0,0.00011,0.00353,0.00048,0.02178,0.07786,1e-05,1e-05,0.02724,0.00074,0.009,1e-05,0.19692,0.00013,1e-05,7e-05,2e-05,5e-05,0.04001,0.11306,5e-05,0.06008,0.09074,0.24051,0.08463,3e-05,0,7e-05,0.1381,9e-05,2e-05,8e-05,0.08777,0,0.01037,0.01976,4e-05,2e-05,4e-05,2e-05,0.08664,0.09767,7e-05,0.00021,3e-05,0.00574,4e-05,0.05832,0.08313,0.00678,0.02643,0.03207,1e-05,1e-05,0.31945,2e-05,2e-05,5e-05,2e-05,0.1065,0.03124,0.00215,3e-05,0.03408,0.06517,0.26428
0.28,3e-05,0.04062,1e-05,0.00024,0.00359,0.00055,0.02175,0.07692,5e-05,2e-05,0.02775,0.0012,0.0087,3e-05,0.19669,0.00025,3e-05,0.0003,7e-05,0.00018,0.0396,0.11322,0.00013,0.05958,0.08932,0.24219,0.08688,6e-05,1e-05,0.00023,0.13775,0.00021,7e-05,0.00014,0.08752,4e-05,0.01296,0.01977,8e-05,9e-05,9e-05,5e-05,0.08545,0.09694,0.00023,0.00038,9e-05,0.00581,6e-05,0.05827,0.08295,0.00691,0.02681,0.03203,2e-05,4e-05,0.3207,7e-05,4e-05,0.00015,7e-05,0.10702,0.03153,0.00336,4e-05,0.03404,0.06671,0.2661
0.3,3e-05,0.04033,1e-05,0.00024,0.00361,0.00056,0.02162,0.07547,4e-05,2e-05,0.02818,0.00169,0.00835,3e-05,0.19626,0.00024,3e-05,0.00029,7e-05,0.00018,0.03911,0.11333,0.00012,0.05908,0.08795,0.2436,0.08854,6e-05,1e-05,0.00022,0.13734,0.00021,7e-05,0.00014,0.08715,4e-05,0.01588,0.01969,8e-05,9e-05,9e-05,5e-05,0.0838,0.09587,0.00022,0.00037,9e-05,0.00584,6e-05,0.0581,0.08267,0.00683,0.02705,0.03184,2e-05,3e-05,0.32183,7e-05,4e-05,0.00014,7e-05,0.10763,0.03176,0.00434,4e-05,0.03398,0.0679,0.26735
0.32,5e-05,0.0402,1e-05,0.00029,0.00365,0.00059,0.02155,0.07337,5e-05,3e-05,0.02866,0.00227,0.00845,3e-05,0.1957,0.00026,4e-05,0.00031,8e-05,0.00019,0.03849,0.11342,0.00032,0.0587,0.08692,0.24457,0.0894,6e-05,1e-05,0.00025,0.13692,0.00022,8e-05,0.00015,0.08666,4e-05,0.01885,0.01961,8e-05,0.0001,0.00011,5e-05,0.08188,0.09449,0.00024,0.0004,0.0001,0.00579,8e-05,0.0579,0.08231,0.00679,0.02737,0.03171,2e-05,4e-05,0.32284,7e-05,4e-05,0.00016,7e-05,0.10849,0.03183,0.00542,0.00011,0.03399,0.06819,0.26761
0.34,9e-05,0.04031,2e-05,0.00029,0.00369,0.00068,0.02139,0.07089,5e-05,5e-05,0.02913,0.0029,0.0087,4e-05,0.19478,0.00025,4e-05,0.0004,7e-05,0.00018,0.03782,0.1135,0.00036,0.05836,0.08601,0.24536,0.09002,7e-05,2e-05,0.00024,0.13642,0.00021,0.0001,0.00014,0.08611,4e-05,0.02156,0.01948,8e-05,0.00016,0.00011,8e-05,0.07932,0.09289,0.00023,0.00038,0.00011,0.00571,7e-05,0.05761,0.08186,0.00683,0.02765,0.03151,2e-05,5e-05,0.3237,6e-05,4e-05,0.00016,0.00011,0.10943,0.03183,0.00644,0.0001,0.03401,0.06818,0.26746
0.36,0,0.04063,0,1e-05,0.00368,0.00057,0.02102,0.06832,0,0,0.02948,0.00345,0.00889,0,0.19328,1e-05,0,1e-05,0,1e-05,0.03713,0.11353,0,0.05796,0.0849,0.24609,0.09017,0,0,7e-05,0.13586,0,1e-05,1e-05,0.08553,0,0.02353,0.01917,0,0,6e-05,0,0.07634,0.09118,0,6e-05,0,0.00559,0,0.05714,0.08125,0.00645,0.02764,0.03102,0,0,0.32442,0,0,0,0,0.11028,0.0318,0.00712,0,0.03397,0.06822,0.26708
0.38,0,0.04108,0,0,0.00376,0.00063,0.02057,0.06621,0,0,0.03063,0.00434,0.00956,0,0.1914,1e-05,0,1e-05,0,0,0.03648,0.11361,1e-05,0.0576,0.08386,0.24699,0.09074,0,0,4e-05,0.13539,0,0,0,0.08513,0,0.02404,0.01902,0,0,8e-05,0,0.07326,0.08994,1e-05,0.00062,0,0.00547,0,0.05682,0.08057,0.00642,0.02774,0.03062,0,0,0.32543,0,0,0,0,0.1111,0.03174,0.00804,0,0.03397,0.06828,0.26707
0.4,1e-05,0.04127,1e-05,3e-05,0.00388,0.00075,0.02006,0.06491,2e-05,2e-05,0.03143,0.00516,0.01161,1e-05,0.189,0.00012,3e-05,0.00011,2e-05,0.00026,0.03576,0.11373,0.00018,0.05728,0.08294,0.24786,0.09139,1e-05,3e-05,0.00014,0.13487,2e-05,0.00014,4e-05,0.08492,0,0.02214,0.01887,2e-05,5e-05,6e-05,3e-05,0.06836,0.08921,0.00015,0.00062,0.00013,0.00531,0,0.05636,0.07972,0.00652,0.02786,0.03037,0,4e-05,0.32649,3e-05,2e-05,8e-05,8e-05,0.11206,0.03172,0.00907,2e-05,0.03398,0.06845,0.26724
0.42,0,0.04072,0,0,0.00394,0.00078,0.01985,0.06468,0,0,0.02962,0.0058,0.01587,0,0.1861,0,0,0,0,0,0.0349,0.11376,0,0.05694,0.082,0.24837,0.09106,0,0,0,0.1342,0,0,0,0.08485,0,0.01731,0.01869,0,0,0,0,0.06558,0.08957,0,4e-05,0,0.00509,0,0.05585,0.07861,0.00646,0.02784,0.02931,0,0,0.32721,0,0,0,0,0.11339,0.0317,0.0096,0,0.03398,0.06849,0.2673
0.44,1e-05,0.0386,1e-05,2e-05,0.00403,0.0009,0.02005,0.06694,1e-05,1e-05,0.02772,0.00699,0.02256,1e-05,0.1827,3e-05,0,4e-05,2e-05,8e-05,0.03396,0.11383,2e-05,0.05663,0.08115,0.24892,0.09094,0,0,3e-05,0.13348,0,2e-05,1e-05,0.08523,0,0.00825,0.01855,1e-05,3e-05,1e-05,1e-05,0.06006,0.09156,2e-05,0.00011,2e-05,0.00486,0,0.05515,0.07727,0.00656,0.02797,0.02844,0,0,0.328,0,0,7e-05,3e-05,0.11485,0.03174,0.01033,0,0.03399,0.06867,0.26752
0.46,0,0.03437,0.01015,0,0.00412,0.00098,0.02056,0.07238,0,0,0.02679,0.00863,0.03131,1e-05,0.17881,1e-05,0,6e-05,0,4e-05,0.03301,0.11394,0,0.05632,0.08022,0.24942,0.09082,0,0,1e-05,0.13278,0,1e-05,1e-05,0.08619,0,0.00462,0.01838,0,2e-05,0,0,0.0511,0.09559,0,5e-05,1e-05,0.00462,0,0.05417,0.07565,0.00667,0.02806,0.02725,0,0,0.32882,0,0,1e-05,2e-05,0.11623,0.03177,0.01098,0,0.03399,0.06878,0.26765
0.48,0,0.02889,0.01341,0,0.00419,0.00105,0.02283,0.07428,0,0,0.0241,0.00983,0.03862,0,0.17445,0,0,0,0,0,0.03203,0.1141,0,0.056,0.07922,0.25,0.0908,0,0,0,0.13208,0,0,0,0.08572,0,0.00318,0.01823,0,1e-05,0,0,0.06359,0.09895,1e-05,0,0,0.00446,0,0.05459,0.07418,0.00662,0.0282,0.0258,0,0,0.32972,0,0,0,0,0.11755,0.03179,0.01183,0,0.03396,0.06894,0.26776
0.5,0,0.0251,0.01577,0,0.00424,0.00112,0.02383,0.07482,0,0,0.02521,0.01228,0.04176,0,0.17007,0,0,0,0,0,0.03097,0.11428,0,0.05569,0.07823,0.25052,0.09078,0,0,0,0.1313,0,0,0,0.08532,0,0.00232,0.01811,0,0,0,0,0.04183,0.09647,0,0,0,0.00427,0,0.05202,0.07165,0.00655,0.02897,0.02411,0,0,0.33052,0,0,0,0,0.11895,0.03192,0.01232,0,0.03394,0.069,0.2678
0.52,3e-05,0.02966,0.02786,3e-05,0.00431,0.0014,0.01954,0.07725,0.02624,7e-05,0.0366,0.01727,0.03628,0.00019,0.16651,0.00011,3e-05,0.00035,0.00019,0.00125,0.02981,0.11444,0.00033,0.05546,0.07748,0.25093,0.09068,2e-05,1e-05,6e-05,0.13042,0.00022,9e-05,3e-05,0.08706,5e-05,0.00115,0.01803,8e-05,0.00022,8e-05,3e-05,0.02091,0.07986,0.00161,0.00055,0.00066,0.00404,5e-05,0.04212,0.06681,0.00688,0.03151,0.02375,2e-05,2e-05,0.33129,1e-05,3e-05,0.00011,5e-05,0.12053,0.03228,0.01192,2e-05,0.03399,0.06878,0.26772
0.54,0,0.03873,0.02685,5e-05,0.00419,0.00132,0.01628,0.07213,0.03124,1e-05,0.03994,0.01869,0.02088,5e-05,0.16335,3e-05,0,0.00084,6e-05,0.00039,0.02853,0.11459,4e-05,0.05522,0.07655,0.25109,0.09071,0,0,3e-05,0.12944,6e-05,1e-05,1e-05,0.08708,0,0.0007,0.01798,1e-05,0.0001,2e-05,1e-05,0.0127,0.05357,0.00057,5e-05,0.00032,0.00361,0,0.03108,0.0607,0.00712,0.03385,0.02057,0,0,0.33158,0,0,1e-05,0.00014,0.12216,0.03274,0.01096,0,0.03395,0.06833,0.26736
0.56,0,0.04237,0.01626,0,0.00408,0.00123,0.01748,0.06527,0.02902,0,0.03465,0.01668,0.00696,0,0.16059,0,0,0.00018,0,5e-05,0.02723,0.11482,1e-05,0.05498,0.0756,0.2514,0.09025,0,0,0,0.12844,0,0,0,0.08581,0,0.00046,0.01793,0,0,0,0,0.00903,0.03172,5e-05,1e-05,5e-05,0.00341,0,0.02258,0.05441,0.00597,0.03671,0.01736,0,0,0.33206,0,0,0,2e-05,0.12376,0.03324,0.01015,0,0.03391,0.06802,0.267
0.58,5e-05,0.04277,0.00281,0.00023,0.00412,0.00162,0.02129,0.05899,0.03427,6e-05,0.02701,0.01223,0.00533,0.00014,0.15841,0.00029,0.0002,0.00076,0.00019,0.00064,0.02598,0.11512,0.00079,0.05481,0.07481,0.25207,0.09088,3e-05,4e-05,0.00019,0.12759,0.0002,0.00023,0.00012,0.08452,6e-05,0.00035,0.01804,0.00017,0.0004,8e-05,9e-05,0.00702,0.0163,0.00097,0.00093,0.00681,0.00354,0.0001,0.01555,0.0479,0.0059,0.04046,0.01525,2e-05,3e-05,0.33306,7e-05,4e-05,0.00045,0.00018,0.12524,0.03371,0.00983,3e-05,0.03393,0.06769,0.26682
0.6,0,0.04584,0.00163,5e-05,0.00376,0.00123,0.02155,0.05318,0.06749,1e-05,0.01967,0.00882,0.00282,3e-05,0.15666,6e-05,4e-05,4e-05,1e-05,2e-05,0.02454,0.11541,2e-05,0.05448,0.0736,0.25207,0.09057,0,0,3e-05,0.12639,0,2e-05,0,0.08475,0,0.01129,0.01803,5e-05,6e-05,2e-05,0,0.004,0.01409,0.00015,0.00014,0.00476,0.00344,0,0.0087,0.03964,0.00389,0.04374,0.0102,0,0,0.33298,0,0,2e-05,1e-05,0.12695,0.03437,0.00862,0,0.03383,0.06739,0.26603
0.62,0,0.04654,0.0011,0,0.00324,0.00103,0.0212,0.04812,0.07663,0,0.0095,0.0078,0.00164,0,0.15664,0,0,1e-05,0,0,0.02272,0.1158,0,0.05392,0.07218,0.25261,0.0912,0,0,0,0.12434,0,0,0,0.08586,0,0.0225,0.01838,0,0,0,0,0.00263,0.00964,1e-05,4e-05,0.00742,0.00276,0,0.00159,0.02974,0.0007,0.04819,0.00227,0,0,0.33289,0,0,0,0,0.12951,0.03584,0.00688,0,0.03376,0.06844,0.26657
0.64,0,0.03988,0.00042,0,0.00266,0.00085,0.02446,0.04578,0.06116,0.00624,0.00456,0.00515,0.00043,0,0.15703,0.00904,0,0.00336,0,0.00653,0.02077,0.11623,0,0.05327,0.07065,0.25321,0.09208,0,0,0,0.12196,0,0,0,0.0871,0,0.02955,0.01886,0,0,0,0,0.00085,0.00596,0.00899,2e-05,0.01457,0.00177,0,0.00084,0.01901,2e-05,0.05208,0.00057,0,0,0.33264,0,0,0,0,0.13239,0.0376,0.00499,0,0.03368,0.06989,0.26725
0.66,0,0.03128,2e-05,0,0.00209,0.00066,0.02999,0.04193,0.05512,0.01249,0.00144,0.00112,1e-05,0,0.15711,0.0162,0,0.00672,0,0.01334,0.01886,0.11666,0,0.05266,0.06918,0.25377,0.09307,0,0,0,0.11974,0,0,0,0.0878,0,0.03762,0.01932,0,0,0,0,1e-05,0.00345,0.01823,2e-05,0.02099,0.00084,0,0.00028,0.00843,2e-05,0.05464,1e-05,0,0,0.33243,0,0,0,0,0.13515,0.03921,0.00332,0,0.03362,0.07109,0.26751
0.68,0,0.02284,0,1e-05,0.0015,0.00045,0.03583,0.03636,0.04756,0.01832,0.00015,0.00054,1e-05,0.00088,0.15893,0.02292,0.00527,0.00952,0,0.02036,0.01683,0.11711,1e-05,0.05199,0.06761,0.25438,0.09429,0,0,0,0.11733,1e-05,1e-05,0,0.08796,0,0.04436,0.01983,0,1e-05,0,0,0,0.00212,0.02783,0.01097,0.02725,0.00048,0,8e-05,0.0053,1e-05,0.05573,2e-05,0,0,0.33205,0,0,0,0,0.13803,0.04102,0.00147,0,0.03355,0.07264,0.26785
0.7,0,0.01755,0,0,0.00096,0.00023,0.04125,0.02886,0.03683,0.02203,0,3e-05,0,0.0023,0.15737,0.02786,0.01036,0.0116,0,0.02581,0.01492,0.11753,0,0.05143,0.06621,0.25486,0.09553,0,0,8e-05,0.1152,0,0,0,0.08744,0,0.04942,0.02026,0,0,0,0,0,0.00074,0.0367,0.02038,0.03125,0.00014,0,0,0.00242,0,0.0555,0,0,0,0.33178,0,0,0,0,0.14076,0.04243,6e-05,0,0.0335,0.07357,0.26736
0.72,3e-05,0.01819,2e-05,7e-05,0.00067,0.00034,0.04621,0.01952,0.02477,0.02412,0.00024,0.00015,0.00024,0.0056,0.14305,0.03108,0.01708,0.01342,0.00011,0.02869,0.01346,0.11788,0.00025,0.05123,0.06537,0.25505,0.09709,4e-05,1e-05,0.00059,0.11398,6e-05,8e-05,0.00012,0.08591,2e-05,0.05352,0.02047,0.0001,0.00031,3e-05,2e-05,8e-05,0.00046,0.04343,0.02834,0.03117,9e-05,2e-05,0.00038,0.00154,0.00029,0.05492,0.00014,1e-05,2e-05,0.33214,2e-05,2e-05,0.0001,0.00013,0.14292,0.04266,0.00024,3e-05,0.0335,0.07263,0.26535
0.74,0,0.02113,0,0,0.00027,8e-05,0.04982,0.00879,0.01218,0.02437,0,0,1e-05,0.00972,0.12121,0.03044,0.02174,0.01395,0,0.02905,0.0121,0.11813,0,0.05113,0.06457,0.25495,0.09785,0,0,0.00081,0.11303,0,0,0,0.0828,0,0.05219,0.02051,0,0.00022,0,0,0,0.00018,0.04671,0.03253,0.02883,1e-05,0,0.00015,0.00092,0,0.05183,0,0,0,0.33231,0,0,0,1e-05,0.14481,0.04245,1e-05,0,0.03348,0.07094,0.26172
0.76,0,0.0227,0,0,1e-05,1e-05,0.05171,0.0048,0.00209,0.02318,0,0,0,0.01278,0.09953,0.02691,0.02328,0.0141,0,0.02786,0.01065,0.11836,0,0.05099,0.06376,0.25498,0.09927,0,0,0.0014,0.11195,0,0,0,0.0788,0,0.04351,0.0206,2e-05,0.00033,0,0.01301,0,1e-05,0.04751,0.03472,0.02642,0,0,1e-05,0.00024,0,0.04644,0,0,0,0.33248,0,0,0,0,0.14679,0.04245,0,0,0.03347,0.06971,0.25865
0.78,3e-05,0.02301,2e-05,4e-05,7e-05,7e-05,0.05179,0.00299,0.0013,0.02104,0.00023,4e-05,0.00014,0.01341,0.06962,0.01465,0.02398,0.01379,8e-05,0.02616,0.00913,0.11856,0.00024,0.05086,0.06299,0.25508,0.10101,4e-05,2e-05,0.00234,0.11093,6e-05,6e-05,7e-05,0.0752,1e-05,0.032,0.02069,0.0003,0.00057,2e-05,0.02749,0.01017,3e-05,0.04726,0.03484,0.02383,1e-05,2e-05,3e-05,0.00018,0.0002,0.03949,0.00023,1e-05,2e-05,0.33268,2e-05,1e-05,0.00012,4e-05,0.14876,0.04242,0.00014,3e-05,0.03349,0.06824,0.25537
