T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-6.14237,-0.09389,0.15167,0.06604,-0.03933,-0.00593,-0.18738,-0.02295,3.04532,2.90281,-0.02483,0.08314,0.07684,0.42547,-0.09441,0.22884,2.47099,0.00568,0.05019,0.17764,0.14447,-0.88502,0.14181,-0.65028,-0.32142,0.12463,0.14096,0.13609,0.57793,-0.07159,-0.56088,-0.3361,-0.11082,-0.1271
0.02,-6.14378,-0.09206,0.15047,0.06561,-0.03949,-0.00593,-0.18771,-0.02314,3.05177,2.91372,-0.02484,0.08396,0.07618,0.42708,-0.09448,0.21292,2.46093,0.00534,0.05091,0.17664,0.14371,-0.88358,0.14538,-0.6497,-0.32191,0.12375,0.14035,0.13542,0.56381,-0.09104,-0.56038,-0.33796,-0.10826,-0.12293
0.04,-6.1452,-0.09024,0.1493,0.06521,-0.03964,-0.00592,-0.18816,-0.02325,3.0549,2.92473,-0.02478,0.08461,0.0751,0.42841,-0.09454,0.19745,2.45088,0.005,0.05163,0.17557,0.14299,-0.88203,0.1494,-0.64913,-0.32242,0.12284,0.13972,0.13477,0.54997,-0.10965,-0.5599,-0.33976,-0.10577,-0.11882
0.06,-6.14663,-0.08843,0.14818,0.06484,-0.03978,-0.00592,-0.18846,-0.02318,3.05327,2.93585,-0.02464,0.08498,0.07345,0.42947,-0.09449,0.18194,2.44077,0.0046,0.05239,0.17442,0.1423,-0.88037,0.15396,-0.64858,-0.32298,0.1219,0.13905,0.13412,0.53635,-0.12753,-0.55944,-0.34151,-0.10336,-0.11476
0.08,-6.14805,-0.08662,0.14709,0.06452,-0.03992,-0.00592,-0.18816,-0.02278,3.04344,2.947,-0.0244,0.08495,0.07102,0.43028,-0.09415,0.16579,2.4303,0.00407,0.05321,0.17316,0.14162,-0.87858,0.15915,-0.64805,-0.32357,0.12092,0.13835,0.13346,0.52292,-0.14477,-0.559,-0.34321,-0.101,-0.11073
0.1,-6.1495,-0.08482,0.14605,0.06425,-0.04006,-0.00591,-0.1867,-0.0219,3.02179,2.9579,-0.02402,0.08435,0.06747,0.4309,-0.09329,0.14828,2.41879,0.00332,0.05413,0.17174,0.14093,-0.87645,0.16532,-0.64753,-0.32425,0.11986,0.13756,0.13277,0.50985,-0.16119,-0.55857,-0.34484,-0.09871,-0.10678
0.12,-6.15092,-0.08303,0.14504,0.06405,-0.0402,-0.00591,-0.1835,-0.02034,2.98871,2.96868,-0.0235,0.08299,0.06294,0.43145,-0.09171,0.12933,2.40693,0.0023,0.05516,0.17022,0.14022,-0.87444,0.17185,-0.64701,-0.32494,0.11878,0.13682,0.13203,0.49675,-0.17733,-0.55816,-0.34645,-0.09646,-0.10279
0.14,-6.15238,-0.08123,0.14407,0.06395,-0.04036,-0.00591,-0.17756,-0.01789,2.93116,2.97848,-0.02281,0.08066,0.05679,0.43205,-0.08906,0.10796,2.39265,0.00086,0.05633,0.16852,0.13947,-0.87195,0.1795,-0.6465,-0.32572,0.11761,0.13594,0.13121,0.48409,-0.19267,-0.55774,-0.348,-0.09428,-0.0989
0.16,-6.15391,-0.07943,0.14316,0.06396,-0.04054,-0.0059,-0.16799,-0.01435,2.85652,2.9872,-0.02194,0.0772,0.04897,0.43296,-0.08503,0.08391,2.37589,-0.0011,0.05765,0.16668,0.13866,-0.86895,0.18817,-0.646,-0.3266,0.11633,0.13492,0.13032,0.47188,-0.20729,-0.55731,-0.34947,-0.09218,-0.09511
0.18,-6.1551,-0.07769,0.1422,0.06411,-0.04074,-0.0059,-0.15434,-0.00955,2.76618,2.99564,-0.02099,0.07234,0.04111,0.43455,-0.07953,0.05923,2.36081,-0.00349,0.059,0.16508,0.13782,-0.86785,0.19417,-0.64545,-0.32719,0.11534,0.13448,0.12941,0.45825,-0.22398,-0.55686,-0.35111,-0.08987,-0.09091
0.2,-6.15696,-0.07586,0.14141,0.06446,-0.041,-0.00589,-0.13393,-0.00333,2.60745,2.99865,-0.01979,0.0661,0.02903,0.43696,-0.07168,0.02911,2.33253,-0.00681,0.0606,0.16293,0.13687,-0.8626,0.20556,-0.64497,-0.32836,0.11375,0.13281,0.12833,0.44795,-0.23644,-0.55639,-0.35235,-0.08802,-0.08758
0.22,-6.16103,-0.07363,0.14106,0.06508,-0.04137,-0.00588,-0.10494,0.00418,2.50799,2.99474,-0.01824,0.05929,0.00901,0.4411,-0.06077,-0.01065,2.28212,-0.01162,0.06269,0.15941,0.13574,-0.8457,0.23277,-0.64471,-0.33123,0.1105,0.12764,0.1269,0.4469,-0.23636,-0.5559,-0.35245,-0.08744,-0.08677
0.24,-6.1657,-0.07133,0.14084,0.06595,-0.04184,-0.00587,-0.06729,0.01297,2.31501,2.98264,-0.01658,0.05134,-0.0145,0.44715,-0.04697,-0.05271,2.21668,-0.0175,0.06493,0.15559,0.13449,-0.82501,0.26444,-0.64451,-0.33459,0.10677,0.12132,0.12533,0.44899,-0.23256,-0.55534,-0.3522,-0.08725,-0.08678
0.26,-6.1698,-0.06917,0.14052,0.06702,-0.04238,-0.00586,-0.0218,0.02263,2.01081,2.96622,-0.01507,0.04251,-0.03698,0.45542,-0.03058,-0.09209,2.14825,-0.02405,0.067,0.15239,0.1332,-0.80682,0.29139,-0.64422,-0.33747,0.10349,0.11576,0.12378,0.44925,-0.23207,-0.55467,-0.35221,-0.08675,-0.08625
0.28,-6.17493,-0.06673,0.14017,0.06815,-0.04299,-0.00584,0.02889,0.03193,2.43124,2.95834,-0.01399,0.03617,-0.05503,0.4696,-0.0122,-0.1294,2.09878,-0.0315,0.06897,0.15019,0.13187,-0.78807,0.31901,-0.64398,-0.34047,0.10017,0.10994,0.12217,0.45034,-0.23044,-0.55387,-0.35216,-0.08637,-0.08609
0.3,-6.17805,-0.0649,0.13976,0.06967,-0.04379,-0.00583,0.09266,0.0409,1.72136,2.91493,-0.01288,0.02817,-0.07813,0.48345,0.01023,-0.16533,1.99711,-0.03987,0.07085,0.14773,0.13044,-0.77072,0.34193,-0.64362,-0.34298,0.09723,0.10469,0.12049,0.45041,-0.2318,-0.55291,-0.35229,-0.08572,-0.08529
0.32,-6.17503,-0.0648,0.13931,0.07196,-0.04487,-0.0058,0.17421,0.04964,-0.24294,2.80826,-0.01101,0.01242,-0.11901,0.48369,0.0384,-0.19907,1.78354,-0.04843,0.0726,0.14254,0.12894,-0.75735,0.35352,-0.64299,-0.34429,0.09519,0.10102,0.11886,0.44616,-0.24237,-0.55188,-0.35297,-0.0842,-0.08242
0.34,-6.16999,-0.0653,0.13874,0.0745,-0.04618,-0.00578,0.26134,0.0553,-0.80616,2.6665,-0.00927,-0.0021,-0.16265,0.48495,0.06946,-0.22823,1.54212,-0.05738,0.0742,0.13716,0.1274,-0.74537,0.36035,-0.64228,-0.34516,0.09351,0.09795,0.11718,0.44107,-0.25538,-0.55063,-0.3538,-0.08246,-0.07896
0.36,-6.16618,-0.06547,0.138,0.07686,-0.04764,-0.00575,0.34533,0.05571,-0.98379,2.52578,-0.00822,-0.00925,-0.19757,0.49385,0.10108,-0.24986,1.33356,-0.06619,0.07556,0.13309,0.12589,-0.73306,0.3679,-0.64164,-0.34614,0.09178,0.09476,0.11546,0.43715,-0.26622,-0.54916,-0.35453,-0.08093,-0.07595
0.38,-6.16096,-0.06594,0.13721,0.07896,-0.04908,-0.00573,0.41776,0.05082,-1.56013,2.44545,-0.00682,-0.01505,-0.2335,0.4868,0.13259,-0.25953,1.16694,-0.07167,0.07653,0.12596,0.12462,-0.72025,0.3778,-0.64115,-0.34726,0.08988,0.09117,0.11397,0.43121,-0.27911,-0.54795,-0.35538,-0.07925,-0.07247
0.4,-6.1576,-0.06611,0.13592,0.08102,-0.05099,-0.00571,0.43361,0.03967,-3.35005,2.24365,-0.00611,-0.01332,-0.25721,0.50127,0.16589,-0.2599,0.96625,-0.07762,0.07734,0.12323,0.12328,-0.70882,0.38223,-0.64054,-0.34805,0.08841,0.08852,0.11238,0.42952,-0.28782,-0.5459,-0.35603,-0.07796,-0.06993
0.42,-6.16241,-0.06491,0.13366,0.08328,-0.05392,-0.00568,0.4565,0.02173,-3.19433,1.76466,-0.00767,0.00393,-0.25247,0.59973,0.20224,-0.25724,0.68137,-0.09013,0.07849,0.13573,0.12143,-0.70126,0.37137,-0.63951,-0.34797,0.0881,0.08845,0.11018,0.43981,-0.28418,-0.54167,-0.3561,-0.07773,-0.07007
0.44,-6.16864,-0.0635,0.13077,0.08525,-0.05727,-0.00565,0.4738,-0.00242,-2.05913,1.29445,-0.00918,0.02465,-0.23726,0.75142,0.23772,-0.24275,0.42902,-0.10068,0.07947,0.15117,0.11969,-0.69485,0.35601,-0.63836,-0.34761,0.08814,0.08922,0.10815,0.45415,-0.2769,-0.5368,-0.356,-0.07786,-0.07113
0.46,-6.17232,-0.06256,0.12763,0.0865,-0.06053,-0.00562,0.48424,-0.0318,-1.52803,0.95896,-0.00908,0.03989,-0.226,0.90547,0.26992,-0.21308,0.25238,-0.10375,0.08003,0.16075,0.1185,-0.68742,0.34514,-0.63735,-0.34752,0.08784,0.0894,0.10681,0.4662,-0.27255,-0.53255,-0.35605,-0.07782,-0.0717
0.48,-6.18233,-0.06084,0.12437,0.08717,-0.06372,-0.0056,0.49202,-0.06428,-1.05808,0.68662,-0.00887,0.05311,-0.21649,1.17155,0.29927,-0.19067,0.11448,-0.10704,0.08111,0.17392,0.11739,-0.68075,0.3339,-0.6362,-0.34739,0.08759,0.08988,0.10573,0.47876,-0.26778,-0.52862,-0.35606,-0.07775,-0.07237
0.5,-6.179,-0.06096,0.12,0.08687,-0.06725,-0.00558,0.49818,-0.10111,-0.64874,0.48389,-0.00701,0.06201,-0.20336,1.37608,0.32653,-0.14901,0.02334,-0.1021,0.08169,0.17711,0.11684,-0.67228,0.32609,-0.63508,-0.34746,0.08705,0.08972,0.10547,0.49065,-0.2651,-0.52485,-0.3562,-0.07777,-0.07296
0.52,-6.13864,-0.06598,0.11388,0.08531,-0.07156,-0.00557,0.50339,-0.14367,-0.32672,0.34928,-0.00152,0.06366,-0.18122,1.13386,0.35234,-0.03192,-0.02089,-0.07734,0.08022,0.15222,0.11749,-0.65877,0.32705,-0.63426,-0.34807,0.08574,0.08765,0.10666,0.49993,-0.26775,-0.52092,-0.35668,-0.07799,-0.07317
0.54,-6.0853,-0.07277,0.10659,0.08264,-0.07619,-0.00556,0.50898,-0.18661,-0.09665,0.25406,0.00456,0.06213,-0.15675,0.81,0.37593,0.08898,-0.04402,-0.04974,0.07894,0.11986,0.11836,-0.64359,0.33088,-0.63318,-0.34885,0.08419,0.08495,0.10844,0.50848,-0.27224,-0.51726,-0.35728,-0.07829,-0.07329
0.56,-6.03857,-0.07875,0.09901,0.0791,-0.08068,-0.00555,0.48535,-0.22571,0.03355,0.18408,0.009,0.0602,-0.13675,0.60746,0.39666,0.17586,-0.05935,-0.03155,0.07935,0.09534,0.11867,-0.62932,0.33358,-0.63144,-0.34954,0.08275,0.08256,0.11016,0.51731,-0.27617,-0.51418,-0.35786,-0.07853,-0.07342
0.58,-5.99127,-0.08441,0.09255,0.07523,-0.08499,-0.00554,0.4214,-0.26107,0.10902,0.13022,0.0127,0.0577,-0.11969,0.43162,0.41497,0.24603,-0.06961,-0.01597,0.07991,0.06941,0.1187,-0.61515,0.33698,-0.62918,-0.35026,0.08136,0.08015,0.1119,0.52594,-0.27956,-0.51098,-0.35838,-0.0788,-0.0736
0.6,-5.94242,-0.09084,0.08316,0.06955,-0.08963,-0.00553,0.35413,-0.29341,0.11702,0.10762,0.01487,0.05469,-0.10417,0.31481,0.43161,0.2971,-0.06755,-0.00859,0.08217,0.05134,0.11812,-0.60095,0.3397,-0.62559,-0.35087,0.07997,0.07776,0.1139,0.53461,-0.28397,-0.50902,-0.35903,-0.079,-0.07367
0.62,-5.89512,-0.09923,0.06618,0.06051,-0.09511,-0.00552,0.27958,-0.3239,0.05768,0.12393,0.01457,0.05107,-0.08848,0.27568,0.44804,0.32516,-0.04745,-0.01668,0.08818,0.05331,0.11658,-0.58649,0.33975,-0.62023,-0.35123,0.07853,0.07548,0.11642,0.54357,-0.29167,-0.50985,-0.36006,-0.07893,-0.07337
