T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.0567,0,0,0.00493,0.00078,0.03207,0.07145,0,0,0.01562,0.00277,0.01636,0.00275,0.61331,0.00198,0,0,0,0,0.10994,0.05517,0,0.09371,0.1791,0.25827,0,0,0.06574,0,0.22293,0,0,0,0.08945,0,0.00942,0.02334,0,0,0,0,0.17737,0.16908,0,0,0,0,0,0,0.12359,0.00509,0.04231,0.03978,0,0,0.30991,0,0,0,0.0013,0.10823,0,0.23858,0,0.04754,0.07606,0.2812
0.02,0,0.0566,1e-05,1e-05,0.00504,0.00083,0.03275,0.07093,0,0,0.01632,0.00288,0.01646,0.00286,0.61491,0.00442,3e-05,0.00014,5e-05,0.00011,0.10982,0.05521,0,0.09289,0.17708,0.26387,0.00994,0,0.06534,2e-05,0.22292,0,0,0,0.08911,0,0.01057,0.02328,2e-05,3e-05,0,1e-05,0.18442,0.16973,0.00023,6e-05,9e-05,2e-05,0,3e-05,0.12283,0.00458,0.04281,0.03906,0,0,0.31685,0,0,0,0.00122,0.10862,0,0.23777,0,0.04738,0.07764,0.28235
0.04,0,0.0564,0,0,0.00511,0.00081,0.03351,0.06999,0,0,0.0169,0.00299,0.01621,0.00288,0.61478,0.00663,0,0,0,0,0.10966,0.05535,0,0.09205,0.17498,0.26927,0.01807,0,0.06486,0,0.22292,0,0,0,0.08873,0,0.01219,0.02325,0,0,0,0,0.18758,0.17024,0,0,0,0,0,0,0.12172,0.00382,0.04286,0.03788,0,0,0.32218,0,0,0,0.00081,0.10905,0,0.23727,0,0.04723,0.07919,0.28342
0.06,0,0.0561,0,0,0.00521,0.00082,0.03399,0.06848,0,0,0.01802,0.00314,0.01596,0.00284,0.61153,0.0089,0,1e-05,0,1e-05,0.10946,0.05558,0,0.09119,0.17281,0.27449,0.02737,0,0.06433,0,0.22292,0,1e-05,0,0.08831,0,0.01434,0.02325,0,0,0,0,0.18425,0.17048,8e-05,0,0,0,0,0,0.11998,0.0031,0.04291,0.03654,0,0,0.32593,0,0,0,0.00066,0.10951,0,0.23716,0,0.04708,0.08074,0.2845
0.08,0.00011,0.05572,4e-05,0.00011,0.00537,0.00098,0.03399,0.06636,6e-05,0.00012,0.02031,0.00342,0.01595,0.00278,0.60372,0.0117,0.00013,0.00052,0.00014,0.00118,0.10927,0.05591,0.00026,0.09034,0.17073,0.27971,0.04026,8e-05,0.06378,0.00025,0.22304,0.00017,0.00016,0.00018,0.08788,4e-05,0.01703,0.02334,6e-05,0.00015,4e-05,0.0003,0.17177,0.1704,0.0012,0.00036,0.00026,0.00013,7e-05,0.00014,0.11722,0.00268,0.04323,0.03609,5e-05,5e-05,0.32842,7e-05,4e-05,0.00016,0.00128,0.11004,3e-05,0.23767,0.00016,0.04699,0.08243,0.28646
0.1,0,0.05519,0,1e-05,0.00539,0.00084,0.03335,0.06336,0,0,0.02178,0.0035,0.01515,0.00253,0.58842,0.01401,1e-05,0.0001,0.00011,0.00015,0.10893,0.05625,0,0.08937,0.16827,0.28434,0.0468,0,0.06313,1e-05,0.22292,1e-05,5e-05,0.00015,0.08733,0,0.02008,0.02339,0,1e-05,3e-05,1e-05,0.14764,0.16932,0.00088,3e-05,1e-05,0.00011,0,0.0001,0.11257,0.00156,0.04278,0.03298,0,0,0.32873,0,0,0,0.00072,0.11046,0,0.23794,0,0.04682,0.08385,0.28741
0.12,0,0.05462,1e-05,2e-05,0.00548,0.00085,0.03179,0.05921,1e-05,1e-05,0.02341,0.00369,0.01467,0.00213,0.56575,0.01661,2e-05,8e-05,1e-05,5e-05,0.10861,0.05668,3e-05,0.0884,0.16592,0.28902,0.05482,0,0.06247,3e-05,0.22293,3e-05,2e-05,9e-05,0.08682,0,0.02342,0.02354,1e-05,2e-05,0,6e-05,0.10969,0.16749,0.00061,6e-05,4e-05,4e-05,0,0.00011,0.10641,0.0007,0.04189,0.03054,0,0,0.32784,0,1e-05,2e-05,0.0005,0.11093,0,0.23886,0,0.0467,0.08536,0.28832
0.14,0,0.054,1e-05,2e-05,0.00556,0.00084,0.02891,0.05414,1e-05,2e-05,0.02534,0.00385,0.01419,0.00166,0.53601,0.01943,2e-05,0.00123,1e-05,5e-05,0.10827,0.05717,4e-05,0.08741,0.16351,0.29342,0.06293,1e-05,0.06179,4e-05,0.22293,3e-05,2e-05,8e-05,0.08634,0,0.02668,0.02376,1e-05,2e-05,0,6e-05,0.09168,0.16447,0.00049,6e-05,4e-05,3e-05,1e-05,9e-05,0.09889,0.00057,0.0411,0.02792,1e-05,0,0.32535,1e-05,1e-05,3e-05,0.0004,0.11139,0,0.24011,0,0.0466,0.08689,0.28946
0.16,0,0.05326,1e-05,2e-05,0.00562,0.00081,0.02587,0.0492,1e-05,1e-05,0.02745,0.00391,0.01401,0.00107,0.50158,0.02261,2e-05,0.00248,1e-05,4e-05,0.10791,0.05772,3e-05,0.0864,0.16109,0.29754,0.07068,1e-05,0.06112,3e-05,0.22291,3e-05,2e-05,0.0001,0.08598,0,0.02938,0.02408,1e-05,2e-05,0,5e-05,0.08487,0.16025,0.00041,5e-05,3e-05,4e-05,1e-05,7e-05,0.09084,0.00047,0.04009,0.02507,1e-05,0,0.32137,1e-05,1e-05,2e-05,0.00034,0.11184,0,0.2417,0,0.04651,0.08839,0.29084
0.18,0,0.05222,0,0,0.00567,0.00076,0.0231,0.0451,0,0,0.02936,0.00388,0.01433,0.00026,0.46544,0.02542,0,0.00305,0,4e-05,0.10751,0.0583,0,0.08529,0.15845,0.30181,0.07788,0,0.06037,1e-05,0.22293,0,0,1e-05,0.08585,0,0.03078,0.02456,0,0,0,0,0.08018,0.155,4e-05,1e-05,0,1e-05,0,1e-05,0.08334,0.00013,0.03878,0.02228,0,0,0.31664,0,0,0,0.00014,0.11219,0,0.24342,0,0.04641,0.09004,0.29199
