T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,8e-05,0,0.04442,0.00065,0,0.00208,0.03389,0.02973,0.73019,0.02424,0.01222,0.01326,0.03947,0.00755,0.15126,0.14431,0.02257,0.01104,0.00258,0.01064,0,0.00357,0,0,0,0.27073,0.43664,0,0,0.00145,0,0.00038,0.0001,0.00026,0,0.00029,0,0.00521,0.002,0.00263,0.68445,0.02612,0.53904,0,0.02686,0.00939,0.00598,0.00368,0,0.00093,0,0,0.02298,0,0,0,0.32671,0,6e-05,0.0001,0,0.0383,7e-05,0,0.00015,0,0.0774,0.08096
0.02,8e-05,0,0.04933,0.00061,0,0.00174,0.02429,0.01755,0.78705,0.02828,0.01216,0.01376,0.03856,0.00786,0.04089,0.14504,0.0276,0.01486,0.00235,0.01139,0,0.00425,0,0,0,0.26026,0.4121,0,0,0.00134,0,0.00036,0.0001,0.00021,0,0.00031,0,0.00675,0.00211,0.00256,0.76519,0.03501,0.45757,0,0.02799,0.01113,0.00601,0.00373,0,0.00067,0,0,0.01778,0,0,0,0.28407,0,6e-05,9e-05,0,0.04311,7e-05,0,0.00015,0,0.07468,0.08106
0.04,8e-05,0,0.05435,0.00057,0,0.0014,0.01578,0.00586,0.84156,0.03261,0.0115,0.01417,0.03739,0.00867,0,0.14538,0.03318,0.01858,0.00213,0.0123,0,0.00465,0,0,0,0.24927,0.38597,0,0,0.00123,0,0.00034,0.0001,0.00017,0,0.00032,0,0.00819,0.00224,0.0025,0.84852,0.04501,0.38003,0,0.02936,0.01314,0.00609,0.00377,0,0.0004,0,0,0.01277,0,0,0,0.24181,0,6e-05,8e-05,0,0.0484,6e-05,0,0.00015,0,0.07163,0.08085
0.06,7e-05,0,0.05943,0.00052,0,0.00106,0.00858,0,0.89233,0.03722,0.01017,0.01449,0.03592,0.01005,0,0.14527,0.03931,0.02219,0.00191,0.01338,0,0.00474,0,0,0,0.23781,0.35831,0,0,0.00111,0,0.00032,0.0001,0.00012,0,0.00033,0,0.0095,0.00239,0.00245,0.93356,0.05616,0.30766,0,0.03097,0.01543,0.00625,0.00377,0,0.00013,0,0,0.00804,0,0,0,0.20032,0,6e-05,6e-05,0,0.05419,5e-05,0.00852,0.00015,0,0.06824,0.08029
0.08,7e-05,0,0.06448,0.00048,0,0.00074,0.00289,0,0.93778,0.04207,0.00814,0.01468,0.03409,0.01206,0,0.14464,0.04598,0.02565,0.0017,0.01464,0,0.00445,0,0,0,0.22592,0.3292,0,0,0.001,0,0.0003,0.0001,8e-05,0,0.00035,0,0.01066,0.00255,0.0024,1,0.06849,0.24158,0,0.03281,0.01801,0.00647,0.00374,0,0,0,0,0.00367,0,0,0,0.16003,0,6e-05,3e-05,0.00014,0.06047,4e-05,0.03671,0.00015,0,0.0645,0.0793
0.1,6e-05,0,0.06943,0.00044,0,0.00044,0,0,0.97611,0.04713,0.00538,0.01473,0.03182,0.01473,0,0.14342,0.05319,0.02892,0.0015,0.01609,0,0.00378,0,0,0,0.21365,0.29878,0,0,0.00088,0,0.00027,0.0001,4e-05,0,0.00036,0,0.01162,0.00273,0.00237,1,0.08201,0.18266,0,0.03488,0.02089,0.00678,0.00368,0,0,0,0,0,0,0,0,0.12131,0,6e-05,0,0.00166,0.06723,2e-05,0.06726,0.00015,0,0.0604,0.07782
0.12,6e-05,0,0.07416,0.0004,0,0.00016,0,0,1,0.05236,0.00189,0.0146,0.02901,0.01811,0,0.14154,0.06092,0.03197,0.00131,0.01773,0,0.00266,0,0,0,0.20107,0.26717,0,0,0.00076,0,0.00025,9e-05,0,0,0.00037,0,0.01234,0.00291,0.00234,1,0.09672,0.13147,0,0.03718,0.02407,0.00717,0.00356,0,0,0,0,0,0,0,0,0.08453,0,6e-05,0,0.00338,0.07447,0,0.10031,0.00016,0,0.05595,0.07579
0.14,5e-05,0,0.07854,0.00037,0,0,0,0,1,0.05771,0,0.01428,0.02557,0.02223,0,0.13893,0.06912,0.03475,0.00114,0.01957,0.00298,0.00109,0,0,0,0.18824,0.23458,0,0,0.00064,0,0.00022,9e-05,0,0.0001,0.00037,0,0.0128,0.00311,0.00233,1,0.11259,0.08825,0,0.03967,0.02755,0.00764,0.00339,0,0,0,0,0,0,0,0,0.05003,0,5e-05,0,0.0053,0.08214,0,0.13597,0.00016,0,0.05115,0.07314
0.16,4e-05,0,0.08245,0.00034,0,0,0,0,1,0.06309,0,0.01373,0.02137,0.02713,0,0.1355,0.07775,0.03723,0.00097,0.02158,0.01013,0,0,0,0,0.17524,0.20119,0,0,0.00052,0,0.00019,9e-05,0,0.00163,0.00037,0,0.01296,0.00331,0.00231,1,0.12959,0.05298,0,0.04234,0.03132,0.00819,0.00315,0,0,0,0,0,0,0,0,0.01809,0,5e-05,0,0.00743,0.09022,0,0.17434,0.00016,0,0.046,0.06978
0.18,3e-05,0,0.08572,0.00031,0,0,0.0037,0,1,0.06843,0,0.01293,0.01628,0.03279,0,0.13121,0.08675,0.03936,0.00082,0.02376,0.01842,0,0,0,0,0.16215,0.16726,0,0.00724,0.00039,0,0.00016,9e-05,0,0.00316,0.00037,0,0.01278,0.00351,0.0023,1,0.14763,0.02548,0,0.04512,0.03536,0.00882,0.00283,0,0,0,0,0,0,0,0,0,0,5e-05,0,0.00978,0.09865,0,0.21554,0.00016,0.00026,0.04052,0.06564
