T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0055,-0.00663,-0.00821,0.00929,0.02042,0.0188,-0.05386,0.0215,-0.00276,0.02484,0.02983,-0.0006,-34.86965,-4.31853,-14.39389,0.52121,-5.12565,-1.56622,-1.60273,0.6763,0.14151,0.3744,-0.37256,-0.05949,0.0356,-0.0876,0.07993,-0.04277,-0.01982,-0.19982,0.00426,-0.00408,-0.00286,-0.0183,-0.05068,-0.08803,-0.00291,-0.00029,0.01221,0.00646
0.02,-0.00551,-0.00695,-0.00569,0.01639,0.0165,0.02202,-0.06184,0.0226,-0.00823,0.02845,0.02985,-0.00025,-34.62923,-4.6165,-15.92476,0.57136,-5.68057,-1.73453,-1.6983,0.93719,0.11449,0.45049,-0.35999,-0.04857,0.01526,-0.11285,0.09616,-0.05491,-0.07951,-0.22392,0.00968,0.00205,0.00023,-0.01892,-0.04121,-0.05898,0.01359,0.00025,0.01136,0.00462
0.04,-0.00507,-0.00721,-0.00113,0.02632,0.00985,0.02606,-0.07205,0.02332,-0.01661,0.0318,0.02866,0.00028,-33.67417,-4.88507,-17.56186,0.63988,-6.30236,-1.92241,-1.78356,1.25898,0.06054,0.58071,-0.31371,-0.02717,-0.01636,-0.14728,0.11737,-0.0681,-0.15852,-0.25186,0.017,0.01032,0.00441,-0.01939,-0.02485,-0.0166,0.03806,0.00104,0.0098,0.00183
0.06,-0.00396,-0.00736,0.00589,0.0394,-8e-05,0.03086,-0.08405,0.02349,-0.02839,0.03376,0.02578,0.00099,-31.77272,-5.07116,-19.12547,0.72591,-6.93803,-2.11346,-1.84287,1.62803,-0.02597,0.77856,-0.22322,0.00728,-0.06088,-0.19122,0.14325,-0.08094,-0.25532,-0.28206,0.02617,0.02058,0.00961,-0.01955,-0.00103,0.03717,0.07135,0.00208,0.00754,-0.00186
0.08,-0.00193,-0.00733,0.01575,0.05568,-0.01373,0.03624,-0.09713,0.02285,-0.04391,0.03301,0.0207,0.00189,-28.73808,-5.10805,-20.37012,0.82745,-7.51282,-2.28468,-1.85642,2.02003,-0.15049,1.05664,-0.07723,0.05724,-0.11938,-0.24421,0.17299,-0.09146,-0.36604,-0.31199,0.03693,0.03246,0.01565,-0.01922,0.03061,0.09946,0.11388,0.00335,0.00464,-0.00636
0.1,0.00125,-0.00706,0.0288,0.07488,-0.03137,0.04191,-0.11046,0.0211,-0.06331,0.02821,0.01297,0.00298,-24.54256,-4.92428,-21.01127,0.94278,-7.93959,-2.40929,-1.80328,2.39933,-0.31819,1.42666,0.13573,0.1249,-0.19206,-0.30492,0.20526,-0.09706,-0.48406,-0.33845,0.0488,0.04528,0.02218,-0.01828,0.07028,0.16683,0.16543,0.00484,0.00112,-0.01153
0.12,0.00579,-0.00649,0.04523,0.09637,-0.053,0.04749,-0.12325,0.01791,-0.08645,0.0182,0.00224,0.00423,-19.35228,-4.45424,-20.7595,1.07208,-8.1302,-2.46029,-1.6651,2.71871,-0.53364,1.89982,0.42641,0.21191,-0.27805,-0.37116,0.23841,-0.09458,-0.59986,-0.35792,0.06104,0.05808,0.02872,-0.01668,0.11798,0.23534,0.22497,0.00648,-0.00294,-0.01717
0.14,0.01185,-0.00559,0.06517,0.11905,-0.07822,0.05252,-0.13489,0.01303,-0.11289,0.00208,-0.01162,0.00557,-13.42582,-3.64979,-19.36141,1.21903,-8.00842,-2.41436,-1.43026,2.92004,-0.80063,2.48742,0.80401,0.3192,-0.37512,-0.43989,0.27052,-0.0804,-0.70106,-0.36702,0.07264,0.06957,0.03459,-0.01443,0.17343,0.30064,0.29042,0.00819,-0.00744,-0.02303
0.16,0.01953,-0.00439,0.08854,0.14139,-0.1062,0.05652,-0.14521,0.0063,-0.14186,-0.02065,-0.02845,0.00691,-6.96889,-2.49179,-16.64464,1.39224,-7.52327,-2.25597,-1.09769,2.93623,-1.12196,3.20146,1.2752,0.44677,-0.47959,-0.50734,0.29958,-0.05064,-0.77293,-0.36298,0.08241,0.0782,0.03898,-0.01164,0.23602,0.35804,0.35836,0.00983,-0.0122,-0.02879
0.18,0.02882,-0.00298,0.11513,0.16145,-0.13557,0.059,-0.15458,-0.00225,-0.17224,-0.04997,-0.04772,0.00812,-0.07973,-0.99946,-12.5616,1.60601,-6.66032,-1.98083,-0.67987,2.6948,-1.49914,4.05464,1.84311,0.59348,-0.58627,-0.5691,0.32364,-0.00154,-0.79949,-0.34408,0.08904,0.08228,0.04099,-0.00839,0.30475,0.4026,0.42383,0.01121,-0.01695,-0.03405
