T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-1.57989,-0.00539,0.01021,0.08533,-0.00255,-0.00014,0.13537,-0.08622,-0.48543,-0.16664,0.00021,0.00035,-0.0022,1.29053,-0.2844,-0.02275,-0.75266,0.00818,0.10885,-0.00697,0.42884,-1.18941,0.36513,0.19648,0.02438,0.209,0.06395,1.27576,0.09125,-0.15312,-0.00684,-0.03627,0.0084,-0.00554
0.02,-1.62455,-0.00478,0.01063,0.08788,-0.00266,-0.00014,0.14667,-0.08197,-0.50432,-0.17166,0.00021,0.00035,-0.00227,1.30792,-0.28892,-0.02764,-0.77094,0.1205,0.10615,-0.00885,0.43657,-1.22513,0.3787,0.19902,0.02396,0.21621,0.06571,1.32157,0.09921,-0.16379,-0.00773,-0.0379,0.00905,-0.00593
0.04,-1.65024,-0.00351,0.01091,0.09016,-0.00268,-0.00015,0.16126,-0.07502,-0.52483,-0.17534,0.0002,0.00036,-0.0023,1.31171,-0.28785,-0.03218,-0.77904,0.21593,0.09968,-0.01057,0.44203,-1.25059,0.38857,0.19964,0.02324,0.22135,0.06678,1.36483,0.1039,-0.17272,-0.00877,-0.03914,0.00956,-0.00621
0.06,-1.65839,-0.00138,0.01101,0.09258,-0.00257,-0.00015,0.1806,-0.06566,-0.5486,-0.178,0.00019,0.00036,-0.00229,1.30492,-0.281,-0.03564,-0.77684,0.2909,0.08986,-0.01202,0.44695,-1.26797,0.39529,0.19897,0.02229,0.22471,0.06722,1.41069,0.10335,-0.17898,-0.01,-0.03994,0.00985,-0.00636
0.08,-1.65007,0.00187,0.01084,0.09558,-0.00229,-0.00015,0.20601,-0.05446,-0.57644,-0.17986,0.00018,0.00036,-0.00223,1.29003,-0.26823,-0.03702,-0.76377,0.34308,0.07725,-0.01307,0.45292,-1.27892,0.39926,0.1976,0.02116,0.22654,0.06712,1.46366,0.09504,-0.1811,-0.01141,-0.04018,0.00981,-0.00629
0.1,-1.62613,0.00648,0.01037,0.09957,-0.00177,-0.00016,0.23853,-0.04233,-0.60785,-0.18104,0.00016,0.00037,-0.00212,1.26889,-0.24953,-0.03497,-0.73881,0.37004,0.06261,-0.01361,0.46128,-1.28439,0.4007,0.19615,0.01988,0.22694,0.0665,1.52711,0.07591,-0.17705,-0.01297,-0.03968,0.00929,-0.00591
0.12,-1.58763,0.01265,0.00956,0.10493,-0.00097,-0.00017,0.27848,-0.03066,-0.642,-0.18154,0.00014,0.00039,-0.00194,1.24261,-0.22535,-0.02781,-0.70074,0.37441,0.04656,-0.01354,0.47307,-1.28451,0.39959,0.19517,0.01849,0.22594,0.06537,1.60285,0.04252,-0.16412,-0.01458,-0.03819,0.00809,-0.00513
0.14,-1.5362,0.02048,0.00843,0.11197,0.00019,-0.00018,0.32527,-0.02137,-0.67488,-0.18118,0.00011,0.0004,-0.00169,1.21175,-0.19674,-0.01356,-0.64853,0.3555,0.03036,-0.01279,0.48872,-1.2787,0.39576,0.19522,0.01702,0.22346,0.06372,1.69013,-0.00881,-0.13911,-0.01608,-0.0354,0.00601,-0.00382
0.16,-1.4748,0.02986,0.00706,0.12085,0.00174,-0.00019,0.37669,-0.01705,-0.70123,-0.17969,8e-05,0.0004,-0.00134,1.17646,-0.16576,0.01004,-0.58175,0.31795,0.01513,-0.01136,0.50807,-1.2656,0.38889,0.19684,0.01548,0.21936,0.06152,1.78521,-0.08162,-0.09834,-0.01722,-0.03094,0.00281,-0.00186
0.18,-1.40844,0.04037,0.0056,0.13159,0.00372,-0.0002,0.42768,-0.02096,-0.7185,-0.17661,5e-05,0.00039,-0.00091,1.1377,-0.13583,0.04537,-0.50111,0.27669,0.00114,-0.00929,0.53052,-1.24295,0.37836,0.20037,0.01388,0.21348,0.05876,1.88099,-0.17876,-0.038,-0.01765,-0.02446,-0.00174,0.00087
