T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00908,0.00108,-0.00501,-0.02039,0.00664,0.01117,0.0621,-0.0011,-0.01716,-0.03631,-0.00235,-0.00101,0.22402,-0.01174,0.28332,0.04246,0.00847,0.01786,-0.02212,0.95082,0.03944,-0.00867,0.15157,2.9317,0.86494,0.18607,-0.04328,-0.07403,-0.37564,0.02305,0.02718,0.02902,0.01708,-0.03155,0.0066,0.07187,-0.0006,0.00941,-0.00533,-0.00264
0.02,0.00932,0.00111,-0.00519,-0.02078,0.00702,0.01153,0.06329,-0.00098,-0.01734,-0.03728,-0.00245,-0.00103,0.24236,-0.01113,0.30149,0.04379,0.00859,0.01823,-0.02298,0.97351,0.03959,-0.01052,0.15504,2.97965,0.88182,0.18962,-0.04459,-0.07615,-0.38562,0.02351,0.02782,0.02979,0.01752,-0.03276,0.00718,0.07646,-0.00067,0.00982,-0.00572,-0.00284
0.04,0.00951,0.00113,-0.00538,-0.02087,0.00748,0.01182,0.06369,-0.00072,-0.01722,-0.0381,-0.00247,-0.00105,0.2658,-0.01016,0.3213,0.0448,0.00856,0.01868,-0.02353,0.98588,0.03897,-0.01223,0.15635,2.97996,0.88615,0.19021,-0.04571,-0.0776,-0.39177,0.02375,0.02813,0.03027,0.01778,-0.03391,0.00752,0.08011,-0.00076,0.01013,-0.00603,-0.00299
0.06,0.00967,0.00115,-0.00561,-0.02063,0.00808,0.01208,0.06338,-0.00028,-0.0168,-0.03897,-0.00237,-0.00107,0.29655,-0.00888,0.34383,0.04555,0.00834,0.01942,-0.02371,0.98952,0.03758,-0.01352,0.15552,2.93279,0.87834,0.18781,-0.04683,-0.07853,-0.39467,0.02384,0.02814,0.03051,0.01788,-0.03513,0.00749,0.0824,-0.00086,0.01032,-0.00619,-0.00308
0.08,0.00984,0.00118,-0.0059,-0.02006,0.00888,0.01233,0.06243,0.00038,-0.01607,-0.04005,-0.0021,-0.00109,0.33653,-0.00735,0.36974,0.04612,0.00793,0.02064,-0.02345,0.98574,0.03545,-0.01401,0.15249,2.83751,0.8585,0.18231,-0.04812,-0.07905,-0.39477,0.02385,0.02789,0.03053,0.01783,-0.03652,0.0069,0.08269,-0.00097,0.01035,-0.00614,-0.00306
0.1,0.01004,0.00122,-0.00629,-0.01916,0.00991,0.0126,0.06091,0.00129,-0.01505,-0.04154,-0.00163,-0.00113,0.3871,-0.00572,0.39906,0.04654,0.00731,0.02257,-0.02262,0.97552,0.03262,-0.0132,0.14711,2.69319,0.82655,0.17353,-0.04972,-0.07923,-0.39231,0.02385,0.02738,0.03037,0.01766,-0.03818,0.00552,0.08009,-0.0011,0.0102,-0.0058,-0.0029
0.12,0.0103,0.00127,-0.0068,-0.01789,0.0112,0.01289,0.05889,0.00248,-0.01374,-0.04358,-0.00089,-0.00117,0.44863,-0.00414,0.43093,0.0468,0.00647,0.02543,-0.02107,0.95953,0.02917,-0.01047,0.13923,2.49956,0.78241,0.16132,-0.05176,-0.0791,-0.38736,0.02391,0.02661,0.03002,0.01736,-0.04014,0.0031,0.07353,-0.00122,0.00978,-0.00503,-0.00253
0.14,0.01065,0.00135,-0.00743,-0.01626,0.01276,0.0132,0.05645,0.00396,-0.01219,-0.0463,0.00017,-0.00124,0.51995,-0.00289,0.46329,0.04685,0.00539,0.02942,-0.01864,0.93828,0.02526,-0.00509,0.12867,2.25845,0.72632,0.14562,-0.05431,-0.07861,-0.37981,0.0241,0.02558,0.02949,0.01692,-0.0424,-0.00064,0.06169,-0.00134,0.00903,-0.00372,-0.0019
0.16,0.01108,0.00146,-0.00818,-0.01428,0.01453,0.01351,0.05373,0.00571,-0.01046,-0.04977,0.00159,-0.00132,0.59783,-0.00231,0.4926,0.04661,0.0041,0.03469,-0.01513,0.91223,0.02117,0.00375,0.1154,1.97573,0.65927,0.12657,-0.05736,-0.07769,-0.36946,0.02449,0.02432,0.02876,0.01634,-0.04484,-0.00596,0.04316,-0.00142,0.00786,-0.00173,-0.00093
0.18,0.01159,0.00159,-0.00902,-0.012,0.01642,0.01378,0.05089,0.00765,-0.00867,-0.05399,0.0034,-0.00142,0.67617,-0.00285,0.51347,0.04595,0.00263,0.04129,-0.01041,0.88201,0.01729,0.01688,0.09957,1.66377,0.58362,0.10471,-0.06082,-0.07624,-0.35605,0.02514,0.02283,0.0278,0.01561,-0.04729,-0.01308,0.01653,-0.00145,0.00619,0.00107,0.00044
