T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.0028,0,0.00129,0.00092,0.01226,0.00085,0,0,0,0.00054,0,0,0.0648,0,0,0,0.00874,0,0.15203,0,0,0.00728,0.27156,0,0,0,0,0,0.17882,0,0,0,0,0.00033,0,0,0,0,0,0,0,0,0,2e-05,0.00034,0.00418,0,0.03819,0.0182,0.21968,0,0,0,0,0.26719,0,0,0,0,0.00221,0,1,0,0.00392,0.31803,0
0.02,0,0,0.00385,0,0.00072,0.00072,0.01157,0.0004,0,0,0,0.00047,0,0,0.0732,0,0,0,0.01016,0,0.15267,0,0,0.00775,0.26547,0,0,0,0,0,0.16766,0,2e-05,0.18698,0,0.00084,0,0,0,0,0,0,0,0,0,0,0.00044,0.00565,0,0.04921,0.02147,0.25954,0,0,0,0,0.25914,0,0,0,0,0.01908,0,1,0,0.00666,0.30134,0
0.04,0,0,0.00504,0,0.00018,0.00057,0.01093,0,0,0,0,0.00039,0,0,0.08109,0,0,0,0.01166,0,0.15444,0,0,0.00821,0.25971,0,0,0,0,0,0.15665,0,5e-05,0,0,0.00144,0,0,0,0,0,0,0,0.00128,0,0,0.00049,0.00713,0,0.06149,0.02513,0.30255,0,0,0,0,0.25068,0,0,0,0,0.0357,0,1,0,0.00942,0.28353,0
0.06,0,0,0.00637,0,0,0.00039,0.01027,0,0,0,0,0.0003,0,0,0.08823,0,0,0,0.01324,0,0.15748,0,0,0.00868,0.25438,0,0,0,0,0,0.14593,0,7e-05,0,0,0.00211,0.00044,0,0,0,0,0,0,0.00524,0,0,0.00048,0.00856,0,0.07502,0.02915,0.34859,0,0,0,0,0.24179,0,0,0,0,0.05189,0,1,0,0.01223,0.26466,0
0.08,0,0,0.00783,0,0,0.00022,0.00962,0,0,0,0,0.00021,0.00103,0,0.09438,0,0,0,0.01489,0,0.16192,0,0,0.00914,0.24957,0,0,0,0,0,0.13563,0,8e-05,0,0,0.00288,0.00195,0,0,0,0,0,0,0.0093,0,0,0.00041,0.00995,0,0.08986,0.03357,0.3975,0,0,0,0,0.23247,0,0,0,0,0.06751,0,1,0,0.01503,0.24484,0
0.1,0,0,0.00945,0,0,4e-05,0.00897,0,0,0,0,0.00012,0.00239,0,0.09922,0,0,0,0.01659,0,0.16789,0,0,0.00959,0.24538,0,0,0,0,0,0.12592,0,9e-05,0,0,0.00374,0.00375,0,0,0,0,0,0,0.01349,0,0,0.00028,0.01128,0,0.10598,0.03838,0.44901,0,0,0,0,0.22273,0,0,0,0,0.08242,0,1,0,0.01781,0.22418,0
0.12,0,0,0.0112,0,0,0,0.00831,0,0,0,0,1e-05,0.00392,0,0.10245,0,0,0,0.01833,0,0.17548,0,0,0.01003,0.24191,0,0,0,0,0,0.11693,0,9e-05,0,0,0.0047,0.00584,0,1e-05,0,0,0,0,0.01776,0.00029,0,8e-05,0.01252,0,0.12335,0.04354,0.50278,0,0,0,0,0.21255,0,0,0,0,0.09646,0,1,0,0.02056,0.20287,0
0.14,0,0,0.0131,0,0,0,0.00761,0,0,0,0,0,0.00563,0,0.10369,0,0,1,0.02008,0,0.18481,0,0,0.01044,0.23923,0,0,0,0,0,0.10882,0,7e-05,0,0,0.00576,0.00823,0.00104,2e-05,0,0.02316,0,0,0.02212,0.00052,0,0,0.01366,0,0.14191,0.04904,0.55834,0,0,0,0,0.20194,0,0,0,0,0.10951,0,1,2e-05,0.02327,0.1811,0
0.16,1e-05,0,0.01513,0,0,0,0.00687,0,0,0,0,0,0.00754,0,0.10256,0,0,0,0.02181,0,0.19594,0,0,0.01083,0.23744,0,0,0,0,0,0.10174,0,6e-05,0,0,0.00693,0.01094,0.00289,2e-05,0,0.05224,0,0,0.02655,0.0005,0,0,0.01466,0,0.1616,0.05486,0.61514,0,0,0,0,0.19088,0,0,0,0,0.12145,0,1,4e-05,0.02593,0.15915,0.00166
0.18,2e-05,0,0.01731,0,0,0,0.00604,0,0,0,0,0,0.00967,0,0.09859,0,0,0,0.02351,0.00016,0.20892,0,0,0.01118,0.23658,0,0,0,0,0,0.09582,0,4e-05,0,0,0.00819,0.01396,0.00472,2e-05,0,0.08573,0,0,0.03103,0.00026,0,0,0.01551,0,0.1823,0.06094,0.67246,0,0,0,0,0.17936,0,0,0,0,0.13216,0,1,5e-05,0.02852,0.13733,0.00625
