T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.13519,-0.00903,0.00153,0.05234,0.0027,4e-05,-0.45793,-0.15909,0.03272,0.04039,0.00349,-0.00019,-0.00013,0.18047,-0.01136,-0.00835,-0.06226,-0.00031,0.00646,-0.00623,0.1001,0.10404,-0.08922,0.00232,0.01168,0.00114,-0.00338,0.15396,0.07882,-0.24823,-0.00246,0.00312,0.01151,-0.00735
0.02,0.13119,-0.00916,0.00135,0.05168,0.00357,5e-05,-0.4467,-0.14788,0.03338,0.03321,0.00436,-0.00014,-0.00019,0.18116,0.00578,0.01176,-0.06747,-0.0004,0.00658,-0.00658,0.10488,0.10452,-0.08758,0.00225,0.01188,0.00116,-0.00339,0.15995,0.08483,-0.2411,-0.00245,0.00322,0.01186,-0.00735
0.04,0.11864,-0.00924,0.00104,0.05153,0.00544,7e-05,-0.43208,-0.12913,0.03348,0.024,0.00542,7e-05,-0.00026,0.1806,0.02971,0.0416,-0.07251,-0.0005,0.00658,-0.00689,0.10901,0.10304,-0.0846,0.00213,0.01188,0.00117,-0.00335,0.16461,0.08941,-0.23264,-0.00238,0.00332,0.012,-0.00723
0.06,0.09516,-0.00935,0.00059,0.05283,0.00872,8e-05,-0.4177,-0.10256,0.03327,0.01336,0.00666,0.00051,-0.00033,0.17978,0.06098,0.08288,-0.07712,-0.00063,0.00647,-0.00712,0.1126,0.09975,-0.08026,0.00198,0.01169,0.00116,-0.00325,0.16802,0.09256,-0.22287,-0.00225,0.00343,0.01192,-0.00701
0.08,0.05823,-0.00957,-2e-05,0.0567,0.01389,0.0001,-0.40766,-0.06839,0.03307,0.00224,0.00805,0.0013,-0.0004,0.17975,0.09953,0.13682,-0.08086,-0.00077,0.00628,-0.00725,0.11569,0.09482,-0.07449,0.0018,0.0113,0.00113,-0.00309,0.17016,0.09434,-0.21146,-0.00206,0.00355,0.01159,-0.00669
0.1,0.00546,-0.01,-0.00076,0.06445,0.02142,0.00011,-0.40646,-0.02767,0.03332,-0.00788,0.00949,0.00253,-0.00046,0.18167,0.14428,0.20373,-0.08301,-0.00092,0.00601,-0.00722,0.11823,0.08844,-0.06733,0.0016,0.01072,0.00109,-0.00289,0.17087,0.09468,-0.19809,-0.0018,0.0037,0.01099,-0.0063
0.12,-0.06501,-0.01072,-0.00157,0.07747,0.03174,0.00012,-0.41895,0.01728,0.03458,-0.01491,0.01081,0.0043,-0.00048,0.18674,0.19267,0.28244,-0.08258,-0.00105,0.0057,-0.00698,0.12009,0.08092,-0.05875,0.00139,0.00995,0.00102,-0.00263,0.16985,0.09364,-0.18205,-0.00147,0.00389,0.01013,-0.00584
0.14,-0.15389,-0.0118,-0.00238,0.0972,0.04513,0.00013,-0.44999,0.06243,0.03771,-0.01603,0.01175,0.0067,-0.00043,0.19621,0.24017,0.36958,-0.07832,-0.00115,0.00539,-0.00645,0.12102,0.07262,-0.04914,0.00117,0.00901,0.00093,-0.00233,0.16672,0.09099,-0.1636,-0.00107,0.00412,0.00899,-0.00531
0.16,-0.26005,-0.01326,-0.00305,0.125,0.06159,0.00012,-0.50442,0.1017,0.04395,-0.00771,0.01197,0.00971,-0.00028,0.21124,0.27999,0.45882,-0.06873,-0.00117,0.00515,-0.00555,0.12067,0.06408,-0.03897,0.00095,0.00793,0.00082,-0.00199,0.16101,0.08666,-0.14307,-0.00059,0.00439,0.0076,-0.00474
0.18,-0.37943,-0.01518,-0.00342,0.16194,0.08086,0.0001,-0.58675,0.1268,0.05511,0.0142,0.01109,0.01321,1e-05,0.23276,0.30288,0.54,-0.05219,-0.00108,0.00504,-0.00423,0.11851,0.05608,-0.02865,0.00075,0.00678,0.00069,-0.00164,0.15215,0.08097,-0.12005,-5e-05,0.00469,0.00603,-0.00415
0.2,-0.50483,-0.01736,-0.00336,0.20855,0.1016,6e-05,-0.69983,0.12729,0.0744,0.05429,0.00868,0.01695,0.00044,0.26097,0.29741,0.59834,-0.02723,-0.00086,0.00518,-0.00247,0.11415,0.04956,-0.01978,0.00056,0.00565,0.00055,-0.0013,0.13977,0.0734,-0.09911,0.00054,0.005,0.00435,-0.00358
0.22,-0.62659,-0.01936,-0.00281,0.26487,0.12162,-1e-05,-0.84596,0.09053,0.10664,0.11742,0.0045,0.02052,0.00103,0.29512,0.2502,0.61389,0.00692,-0.00052,0.00568,-0.00028,0.10722,0.04553,-0.01321,0.00042,0.00467,0.00039,-0.00101,0.1235,0.06401,-0.08423,0.00116,0.00531,0.00267,-0.00308
