T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.01164,0.00631,-0.00904,-0.01134,0.01927,-0.00962,0.01897,0.01474,0.02933,-0.06371,-0.01043,0.00794,3.24702,-0.31378,-0.45621,0.09549,0.04209,0.57514,0.07039,5.05175,0.08774,4.3454,-0.12034,0.41597,0.32009,0.25287,-0.05335,-0.00261,-0.07403,0.01877,-0.00576,0.00724,0.00432,-0.04093,-0.01087,-0.08325,0.00903,0.00531,-0.00937,-2e-05
0.02,0.01404,0.00687,-0.01036,-0.01628,0.02776,-0.0091,0.02303,0.01798,0.03327,-0.08802,-0.01262,0.00806,2.75326,-0.46304,-0.86267,0.05128,0.04042,0.58786,0.04768,4.45873,0.2908,4.06277,-0.17165,0.27499,0.3716,0.19641,-0.06502,0.01308,0.01598,0.02111,-0.01434,0.00279,0.00126,-0.05227,-0.01726,-0.11661,0.00918,0.00459,-0.00923,0.00127
0.04,0.01677,0.00721,-0.01178,-0.02219,0.03902,-0.00773,0.02766,0.02158,0.03708,-0.12083,-0.01507,0.00766,1.90371,-0.65673,-1.40834,-0.01716,0.03829,0.56869,0.01224,3.42895,0.5728,3.42851,-0.24211,0.05577,0.42641,0.09902,-0.07902,0.0349,0.14556,0.02316,-0.02614,-0.00373,-0.00321,-0.06621,-0.02615,-0.16056,0.00875,0.00355,-0.00885,0.00302
0.06,0.01959,0.00716,-0.01318,-0.02863,0.05286,-0.00534,0.03255,0.02516,0.04017,-0.16272,-0.01743,0.00657,0.63168,-0.89222,-2.09001,-0.11338,0.03548,0.50403,-0.03769,1.87718,0.93643,2.34603,-0.33262,-0.25227,0.47917,-0.04782,-0.09473,0.06169,0.30954,0.0245,-0.04052,-0.012,-0.00889,-0.08214,-0.03727,-0.21282,0.00752,0.00224,-0.0082,0.00516
0.08,0.02214,0.00653,-0.0144,-0.03499,0.06882,-0.00173,0.03722,0.02818,0.04176,-0.21346,-0.01928,0.00457,-1.11843,-1.16133,-2.88985,-0.23972,0.03188,0.37817,-0.10327,-0.26727,1.3776,0.71835,-0.44241,-0.6558,0.52208,-0.25153,-0.11102,0.09184,0.50009,0.02461,-0.05656,-0.02157,-0.01551,-0.09899,-0.05015,-0.26992,0.00521,0.00075,-0.00726,0.00756
0.1,0.02397,0.00508,-0.01519,-0.04043,0.0861,0.00329,0.04103,0.02999,0.04089,-0.27178,-0.02012,0.00141,-3.3789,-1.44945,-3.77276,-0.39663,0.02771,0.17438,-0.18464,-3.04182,1.88363,-1.5385,-0.5687,-1.15521,0.54504,-0.51722,-0.12633,0.12338,0.70779,0.02281,-0.07318,-0.03194,-0.02275,-0.11527,-0.06417,-0.32768,0.00155,-0.00083,-0.00603,0.01008
0.12,0.02458,0.00257,-0.01527,-0.04389,0.1036,0.00992,0.04314,0.02985,0.03647,-0.33515,-0.01945,-0.00314,-6.14525,-1.73477,-4.68424,-0.58183,0.02379,-0.12353,-0.28051,-6.43094,2.43136,-4.47933,-0.70653,-1.74207,0.53603,-0.84632,-0.13865,0.15421,0.92238,0.01837,-0.08925,-0.04261,-0.03026,-0.12906,-0.07868,-0.38146,-0.00375,-0.00232,-0.00455,0.01253
0.14,0.02345,-0.00127,-0.01432,-0.04414,0.11992,0.01832,0.04254,0.02694,0.02735,-0.39967,-0.01677,-0.00931,-9.363,-1.9878,-5.54922,-0.78958,0.02182,-0.52927,-0.38765,-10.34728,2.9856,-8.11174,-0.8487,-2.39682,0.48179,-1.23518,-0.1456,0.18214,1.1332,0.01043,-0.10368,-0.0531,-0.0377,-0.13808,-0.09299,-0.42663,-0.01094,-0.00354,-0.00293,0.01467
0.16,0.02,-0.00667,-0.01201,-0.03978,0.13339,0.02856,0.03801,0.02044,0.0124,-0.45995,-0.01166,-0.01729,-12.91647,-2.17149,-6.27263,-1.01003,0.02465,-1.05162,-0.50054,-14.61691,3.49814,-12.37755,-0.98589,-3.08682,0.36885,-1.67381,-0.14459,0.20505,1.32964,-0.00185,-0.11547,-0.06296,-0.04472,-0.13981,-0.10649,-0.45885,-0.02022,-0.00422,-0.00135,0.01627
0.18,0.01372,-0.01386,-0.008,-0.02938,0.14219,0.04068,0.02811,0.00959,-0.00935,-0.50912,-0.00377,-0.02719,-16.62198,-2.24197,-6.74236,-1.22882,0.03648,-1.69177,-0.61104,-18.97258,3.90773,-17.13584,-1.10698,-3.76552,0.18486,-2.14484,-0.13293,0.22095,1.50154,-0.01928,-0.12378,-0.07182,-0.05102,-0.13162,-0.11865,-0.4746,-0.0317,-0.00407,-0.0001,0.01709
