T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00138,0.00077,0.0006,-0.01612,-0.02983,-0.00996,0.01001,-0.00107,0.05985,-0.00925,0.06373,-0.00102,0.04326,-0.04059,0.09144,-0.01037,0.09107,0.13516,0.15722,-0.03995,0.06862,-0.10636,-0.05585,-0.24105,0.03724,-0.23409,0.01002,-0.09786,-0.6532,0.00279,0.04644,0.05306,0.03061,0.02893,-0.03341,-0.22329,0.00805,0.01681,-0.02123,0.0026
0.02,0.00129,0.00103,-8e-05,-0.0317,-0.03604,-0.00823,0.01649,0.00277,0.06974,-0.0215,0.06848,-0.00109,0.1566,-0.04419,0.11666,-0.0099,0.12386,0.1716,0.2049,-0.01713,0.09258,-0.12759,-0.05037,-0.23846,0.02411,-0.27618,0.01792,-0.09736,-0.65379,0.00336,0.04642,0.0551,0.03151,0.03544,-0.04724,-0.2925,0.00984,0.01528,-0.0217,0.00483
0.04,0.0012,0.00138,-0.00111,-0.05313,-0.04413,-0.00542,0.02561,0.00826,0.08179,-0.03878,0.07293,-0.00114,0.32173,-0.04733,0.14485,-0.00856,0.16681,0.21796,0.26611,0.02101,0.12436,-0.14873,-0.03994,-0.22366,0.00141,-0.32573,0.02879,-0.09343,-0.63305,0.00433,0.04487,0.05624,0.03178,0.04383,-0.06582,-0.38316,0.01213,0.0126,-0.02169,0.00788
0.06,0.00114,0.00184,-0.0025,-0.07925,-0.05399,-0.00151,0.03702,0.01515,0.0953,-0.06057,0.07656,-0.00117,0.53529,-0.04881,0.17382,-0.00625,0.21889,0.27012,0.33648,0.07399,0.16246,-0.16693,-0.02383,-0.19132,-0.03354,-0.37783,0.04239,-0.08563,-0.58746,0.00575,0.04154,0.05609,0.03119,0.05386,-0.08791,-0.48851,0.01483,0.00894,-0.02124,0.01153
0.08,0.00117,0.00238,-0.00424,-0.1084,-0.0653,0.00349,0.05019,0.02306,0.10918,-0.08597,0.07861,-0.00115,0.79077,-0.04726,0.20025,-0.00282,0.27799,0.3227,0.40997,0.14104,0.20459,-0.17824,-0.00137,-0.13584,-0.08315,-0.42596,0.05823,-0.07343,-0.51288,0.00768,0.03615,0.05415,0.02946,0.06506,-0.11185,-0.59953,0.01775,0.00449,-0.02034,0.01549
0.1,0.00132,0.00299,-0.0063,-0.13866,-0.07755,0.00951,0.06448,0.03158,0.12209,-0.11384,0.07817,-0.00107,1.07975,-0.04133,0.21951,0.00189,0.34089,0.36987,0.47968,0.22167,0.24791,-0.17754,0.02795,-0.05223,-0.14916,-0.4627,0.07561,-0.05628,-0.40495,0.01016,0.02837,0.04987,0.02629,0.07676,-0.13582,-0.70635,0.02068,-0.0006,-0.01892,0.01942
0.12,0.00166,0.00366,-0.00864,-0.16808,-0.09006,0.01644,0.07926,0.04026,0.13263,-0.14286,0.07426,-0.00092,1.3927,-0.02991,0.22568,0.0081,0.40331,0.40606,0.53847,0.31605,0.28935,-0.15864,0.06437,0.06288,-0.23229,-0.48044,0.09359,-0.03373,-0.26008,0.01328,0.01799,0.04271,0.02141,0.08818,-0.15804,-0.79954,0.0234,-0.00617,-0.01686,0.02305
0.14,0.00224,0.00435,-0.0112,-0.19477,-0.10207,0.0241,0.09393,0.0487,0.13941,-0.17164,0.06597,-0.00066,1.71966,-0.01239,0.21153,0.01598,0.45984,0.4266,0.57972,0.42522,0.32592,-0.11443,0.10768,0.21031,-0.33199,-0.47216,0.11106,-0.00559,-0.07669,0.01711,0.0049,0.03232,0.01463,0.09843,-0.17701,-0.87121,0.02569,-0.01213,-0.014,0.02614
0.16,0.00312,0.00504,-0.01391,-0.21711,-0.11279,0.03223,0.10803,0.05651,0.14133,-0.19882,0.05262,-0.0003,2.05073,0.01117,0.16878,0.02566,0.50385,0.42837,0.59795,0.55099,0.35499,-0.03728,0.15707,0.38732,-0.44622,-0.43216,0.12678,0.02783,0.14344,0.02178,-0.01072,0.01858,0.00595,0.10663,-0.19163,-0.91604,0.02736,-0.01837,-0.01019,0.02854
0.18,0.00439,0.00571,-0.01669,-0.2338,-0.12146,0.04046,0.12125,0.06337,0.13764,-0.2231,0.03395,0.00019,2.37642,0.03979,0.08845,0.0371,0.52751,0.41033,0.58945,0.69575,0.37471,0.08037,0.21104,0.58691,-0.57138,-0.35676,0.13942,0.06562,0.39416,0.0274,-0.0284,0.00176,-0.00444,0.11198,-0.20139,-0.93203,0.02828,-0.02483,-0.00531,0.0302
