T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.05511,0.04422,0.06762,-0.0501,0.15738,-0.2963,-0.0144,-0.29208,-0.1395,-0.06463,-0.1007,-8e-05,-0.60086,0.43262,-0.2085,-1.05107,0.05486,0.03427,-0.00609,0.86541,0.22596,1.55591,-1.56987,-0.43485,0.07978,0.00113,0.45505,0.45617,0.41485,-1.4928,-0.04778,-0.03114,-0.02192,-0.21686,0.48717,0.53317,0.04238,0.12368,-0.06758,-0.04288
0.02,0.09125,0.06065,0.09182,0.01434,0.1723,-0.35683,0.02505,-0.29012,-0.08501,-0.05326,-0.09552,-4e-05,-0.68302,0.45595,-0.32757,-1.34145,0.04431,0.02554,-0.00562,1.03515,0.18516,1.74459,-1.73865,-0.46584,0.07401,0.00625,0.42221,0.52319,0.30315,-1.54608,-0.02991,-0.0352,-0.02303,-0.24893,0.55965,0.44412,0.0469,0.11556,-0.06818,-0.04285
0.04,0.14175,0.08264,0.12429,0.10474,0.18949,-0.43218,0.08102,-0.2774,0.00093,-0.03458,-0.08423,2e-05,-0.78242,0.47317,-0.4922,-1.72174,0.02767,0.0118,-0.00449,1.24985,0.1178,1.96051,-1.92583,-0.49357,0.06311,0.01394,0.36055,0.60491,0.12538,-1.56416,-0.00387,-0.04089,-0.02449,-0.2904,0.64615,0.29867,0.05196,0.09923,-0.06654,-0.04121
0.06,0.20499,0.1094,0.16348,0.21525,0.20695,-0.51909,0.15235,-0.25333,0.11867,-0.00893,-0.06632,8e-05,-0.89964,0.48168,-0.70014,-2.17768,0.00592,-0.0061,-0.00231,1.50345,0.02642,2.19333,-2.11829,-0.51248,0.04587,0.024,0.27257,0.69684,-0.12445,-1.53278,0.02977,-0.04817,-0.02627,-0.33862,0.74022,0.09077,0.05713,0.07287,-0.06152,-0.03722
0.08,0.27822,0.13961,0.20709,0.33799,0.22218,-0.61209,0.23655,-0.21707,0.2673,0.02305,-0.04126,0.00014,-1.03202,0.47764,-0.94528,-2.68512,-0.01976,-0.02713,0.00134,1.78373,-0.08559,2.42515,-2.29602,-0.51554,0.02124,0.03613,0.1612,0.79205,-0.44937,-1.43407,0.06987,-0.05686,-0.02836,-0.39001,0.8327,-0.18327,0.06183,0.03478,-0.05192,-0.03012
0.1,0.35801,0.17156,0.25235,0.46415,0.23273,-0.70381,0.33009,-0.16735,0.44494,0.06068,-0.0086,0.00019,-1.17325,0.456,-1.2181,-3.21258,-0.04813,-0.0503,0.00678,2.07313,-0.21505,2.63154,-2.43395,-0.49513,-0.01146,0.04998,0.02884,0.88209,-0.84851,-1.24811,0.11476,-0.06683,-0.03077,-0.44085,0.91286,-0.52344,0.06533,-0.01627,-0.03667,-0.01924
0.12,0.44062,0.20325,0.29636,0.58477,0.23668,-0.78556,0.42838,-0.1028,0.64875,0.10322,0.03202,0.00023,-1.31334,0.41101,-1.50608,-3.72393,-0.07813,-0.07485,0.01419,2.35005,-0.35942,2.78354,-2.50471,-0.44411,-0.0522,0.06522,-0.12278,0.95802,-1.31586,-0.9557,0.16217,-0.07801,-0.0336,-0.48809,0.96967,-0.92441,0.06692,-0.08065,-0.01508,-0.00418
0.14,0.52229,0.23256,0.33634,0.69133,0.23315,-0.84798,0.52594,-0.02227,0.87478,0.14992,0.08059,0.00025,-1.43934,0.33699,-1.79424,-4.18146,-0.10884,-0.10033,0.02353,2.5907,-0.51701,2.85062,-2.48216,-0.357,-0.09997,0.08161,-0.29245,1.01161,-1.83904,-0.54168,0.20921,-0.09058,-0.03714,-0.5301,0.99321,-1.37397,0.06599,-0.15748,0.0129,0.01507
0.16,0.59956,0.25742,0.37,0.7763,0.22271,-0.88192,0.61657,0.0746,1.11771,0.19995,0.13658,0.00024,-1.53634,0.22917,-2.06587,-4.54916,-0.13949,-0.12657,0.03451,2.77135,-0.68692,2.8041,-2.34541,-0.23118,-0.15259,0.09899,-0.47886,1.03657,-2.39833,0.00114,0.2523,-0.10494,-0.04188,-0.56733,0.97613,-1.85175,0.06215,-0.2443,0.04653,0.03799
0.18,0.66963,0.27597,0.39574,0.83369,0.20761,-0.87933,0.6937,0.18685,1.37056,0.25236,0.19873,0.00019,-1.58888,0.0847,-2.30346,-4.79607,-0.16942,-0.15367,0.04657,2.87085,-0.86878,2.62078,-2.08261,-0.06793,-0.20653,0.11731,-0.67997,1.02962,-2.9665,0.66857,0.28725,-0.12186,-0.04854,-0.60262,0.91492,-2.32882,0.05541,-0.33685,0.08413,0.06344
0.2,0.73052,0.28676,0.41284,0.85958,0.19164,-0.83417,0.75083,0.3119,1.62443,0.30608,0.26493,0.00012,-1.58238,-0.09665,-2.48984,-4.89921,-0.19799,-0.18193,0.05884,2.87302,-1.06241,2.28586,-1.69387,0.12696,-0.25706,0.13658,-0.89245,0.99123,-3.5094,1.44239,0.30951,-0.14234,-0.05804,-0.64114,0.8108,-2.76847,0.04624,-0.42914,0.12309,0.08969
