T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00026,0,0,0.00338,0,0,0,0.00197,0.00086,0,0,0.01054,0.00431,0.00081,0,0,0,0,0.06146,0,0.03086,0,0.31021,0.338,0,0.13964,0.46824,0.58939,0.00368,1,0.15073,0.44381,0.00068,0.00441,0.07046,0.10708,0,0,0.04077,0.01397,0.00012,0.01988,0,0.00074,0.00112,0.00305,0.00236,0.11158,0.00038,5e-05,0.00095,0.44474,0.00094,0.00195,0,0.16373,0,0,0.17636,0.00023,0,8e-05,0,0.00241,0.0048,0,0.17539,0
0.02,0.00025,0,0,0.00323,0,0,0,0.0021,0.00095,0,0,0.01042,0.00412,0.00071,0,0,0,0,0.05406,0,0.0646,0,0.34595,0.35457,0,0.04951,0.48397,0.57899,0.00451,1,0.1146,0.41642,0.00089,0.00498,0.0473,0.1203,0,0,0.04657,0.01587,0.00075,0.01554,0,0.00071,0.00127,0.00291,0.00108,0.10208,0.00038,2e-05,0.00094,0.38851,0.00065,0.00239,0,0.1803,0,0,0.18924,0.00023,0,9e-05,0,0.00274,0.00593,0,0.17513,0
0.04,0.00023,0,0,0.00306,0,0,0,0.00221,0.00105,0,0.00149,0.0102,0.0039,0.00061,0,0,0,0,0.04686,0,0.09933,0,0.3827,0.37116,0,0,0.50019,0.56472,0.00542,1,0.077,0.38693,0.00115,0.00556,0.02389,0.13402,0.00554,0.01956,0.05264,0.01778,0.00149,0.01183,0,0.00067,0.00137,0.00276,0,0.09257,0.00037,0,0.00091,0.33431,0.00036,0.00285,0,0.19699,0,0,0.20192,0.00021,0,0.0001,0,0.00312,0.00718,0,0.17281,0
0.06,0.00021,0,0,0.00287,0,0,0,0.00229,0.00117,0,0.0059,0.00987,0.00365,0.00051,0,0,0,0,0.03996,0,0.13497,0,0.42005,0.38755,0,0,0.5167,0.54636,0.00643,1,0.03808,0.3554,0.00147,0.00614,0.00037,0.14812,0.01356,0.05324,0.05893,0.01968,0.00236,0.00884,0,0.00063,0.00144,0.0026,0,0.08313,0.00035,0,0.00088,0.28287,8e-05,0.00336,0,0.21357,1,0,0.21423,0.0002,0,0.00011,0,0.00356,0.00854,0,0.16827,0
0.08,0.00019,0,0,0.00266,0,0,0,0.00234,0.00132,0,0.00942,0.00945,0.00339,0.0004,0,0,0,0,0.03343,0,0.17142,0,0.45749,0.40349,0,0,0.53324,0.52374,0.00754,1,0,0.32195,0.00184,0.00671,0,0.16242,0.02154,0.09076,0.06539,0.02156,0.00337,0.00669,0,0.00058,0.00148,0.00244,0,0.07385,0.00033,0,0.00084,0.23484,0,0.00392,0,0.22972,0.42702,0,0.22594,0.00019,0,0.00012,0,0.00406,0.01003,0,0.16136,0
0.1,0.00017,0,0,0.00244,0,0,0,0.00236,0.0015,0,0.01198,0.00892,0.00313,0.00029,0.00423,0,0,0,0.02737,0,0.20857,0,0.49443,0.41871,0,0,0.5495,0.49681,0.00874,0.8606,0,0.28677,0.00227,0.00728,0,0.17672,0.02939,0.13231,0.07194,0.02338,0.00453,0.00545,0,0.00053,0.00149,0.00228,0,0.06483,0.00031,0,0.00081,0.19078,0,0.00455,0,0.24511,0.16242,0,0.23681,0.00018,0,0.00013,0,0.00462,0.01165,0,0.15196,0
0.12,0.00015,0,0,0.00222,0,0,0,0.00234,0.00171,0,0.01353,0.00829,0.00286,0.00018,0.00956,0,0,0,0.02184,0,0.2463,0,0.53014,0.43289,0,0,0.56508,0.46564,0.01003,0.63487,0,0.25012,0.00278,0.00783,0,0.1908,0.03704,0.17807,0.07849,0.02511,0.00584,0.00518,0,0.00048,0.00147,0.00213,0,0.05616,0.00029,0,0.00077,0.15112,0,0.00526,0,0.25933,0.09382,0,0.24659,0.00018,0,0.00013,0,0.00525,0.01338,0,0.14,0
0.14,0.00014,0,0,0.002,0,0,0,0.00227,0.00195,0,0.01402,0.00757,0.0026,7e-05,0.01413,0,0,0,0.01691,0,0.2845,0,0.56379,0.44569,0,0,0.57954,0.43046,0.01141,0.41651,0,0.21232,0.00336,0.00835,0,0.20437,0.04438,0.22818,0.08495,0.02672,0.00732,0.00592,0,0.00044,0.00143,0.00199,0,0.0479,0.00027,0,0.00074,0.1162,0,0.00607,0,0.27191,0.10933,0,0.25496,0.00019,0,0.00014,0,0.00594,0.01522,0,0.12545,0
0.16,0.00012,0,0,0.00179,0,0,0,0.00215,0.00223,0.00419,0.01346,0.00676,0.00234,0,0.01786,0,0,0,0.0126,0,0.32305,0,0.59443,0.45674,0,0,0.59233,0.39165,0.01287,0.20654,0,0.17375,0.00401,0.00882,0,0.21713,0.05135,0.28276,0.09118,0.02817,0.00898,0.00767,0,0.00039,0.00137,0.00186,0,0.04014,0.00025,0,0.00071,0.08619,0,0.00697,0,0.28233,0.227,0,0.26162,0.00021,0,0.00014,0,0.00669,0.01716,0,0.10839,0
0.18,0.00011,0,0,0.00157,0,0,0,0.00197,0.00255,0.01277,0.01188,0.00589,0.00209,0,0.02071,0,0,0,0.00896,0,0.36184,0,0.62094,0.46563,0,0,0.60287,0.34974,0.0144,0.00357,0,0.13488,0.00475,0.00923,0,0.22877,0.05783,0.34187,0.09705,0.02939,0.01081,0.0104,0,0.00035,0.00129,0.00173,0,0.03294,0.00023,0,0.00069,0.06117,0,0.00798,0,0.29,0.70527,0,0.26624,0.00024,0,0.00014,0,0.0075,0.01919,0,0.08896,0
0.2,9e-05,0,0,0.00137,0,0,0,0.00174,0.0029,0.02219,0.00933,0.00496,0.00185,0,0.02265,0.00173,0,0,0.00598,0,0.4007,0,0.64211,0.47193,0,0,0.61045,0.30545,0.01599,0,0,0.09623,0.00556,0.00958,0,0.23896,0.06375,0.4055,0.1024,0.03035,0.01282,0.01408,0,0.00031,0.00119,0.00163,0,0.02635,0.00021,0,0.00067,0.04109,0,0.0091,0,0.29431,0,0,0.26848,0.0003,0,0.00014,0,0.00837,0.02129,0,0.06744,0
0.22,8e-05,0,0,0.00116,0,0,0,0.00144,0.00329,0.03246,0.00595,0.00401,0.00162,0,0.02364,0.00366,0.00137,0.00018,0.00367,0,0.43943,0,0.65664,0.4752,0,0,0.61434,0.25955,0.01761,1,0,0.05835,0.00646,0.00983,0,0.24744,0.06901,0.47356,0.10707,0.03096,0.01501,0.01862,0,0.00028,0.00108,0.00153,0,0.02043,0.00019,1e-05,0.00065,0.02577,0,0.01033,0,0.29465,0,0,0.26801,0.00036,0,0.00013,1,0.00928,0.02343,0,0.04419,0
0.24,4e-05,0,0,0.00097,0,0,0,0.00107,0.00371,0.04359,0.00192,0.00307,0.0014,0,0.02368,0.0057,0.00285,0.00042,0.002,0,0.47773,0,0.66332,0.47496,0.00016,0,0.61372,0.21279,0.01927,0,0,0.02182,0.00743,0.01001,0,0.25394,0.07353,0.54587,0.11089,0.0312,0.01738,0.02396,0,0.00026,0.00094,0.00145,0,0.01521,0.00016,9e-05,0.00065,0.01496,0.00011,0.01168,0,0.2905,0,0,0.2645,0.00045,2e-05,0.00012,0.20446,0.01023,0.02559,0,0.01961,0
