T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.05356,0,0,0.00957,0.00255,0.02394,0,0,0.0177,0,0.0019,0,0.00938,0.04787,0.01881,0.01696,0,0.00708,0.01355,0,0.02693,0,0.14876,0,0.45831,0.42928,0.05564,0,0.17005,0.09991,0.04081,0,0,0.16185,0,0.00147,0.0331,0,0,0,0.02438,0.00821,0,0.00184,0,0.01291,0,0,0,0,0.00435,0,0,0.01896,0,0.15287,0,0.02454,0,0,0,0.21851,0,0,0,0.06165,0.20505
0.02,0,0.0485,0,0,0.00972,0.0025,0.02392,0,0,0.01729,0,0.00208,0,0.00793,0.04753,0.01849,0.0163,0,0.0075,0.01328,0,0.02512,0,0.15247,0,0.46397,0.45021,0.06644,0,0.18306,0.10604,0.04935,0,0,0.16256,0,0.00048,0.03274,0,0,0,0.02455,0.00813,0,0.0019,0,0.01285,0,0,0,0,0.0048,0,0,0.01179,0,0.14546,0,0.02552,0,0,0,0.20922,0,0,0,0.05644,0.18164
0.04,2e-05,0.04242,0.00208,6e-05,0.00977,0.00245,0.02403,1e-05,3e-05,0.01694,0.00044,0.00241,0.00014,0.00663,0.04776,0.01828,0.0157,0.00023,0.00795,0.01316,1e-05,0.02338,0.00023,0.15637,6e-05,0.46906,0.47127,0.07913,1e-05,0.19673,0.11197,0.0583,6e-05,5e-05,0.16255,1e-05,0.00054,0.03247,3e-05,6e-05,3e-05,0.02429,0.00803,6e-05,0.00237,0.00033,0.01288,3e-05,0.00011,3e-05,5e-05,0.00549,0.00014,0.00016,0.00426,3e-05,0.13705,1e-05,0.02656,0.0001,5e-05,1e-05,0.19996,9e-05,3e-05,1e-05,0.05169,0.15731
0.06,3e-05,0.03545,0.00376,0.00024,0.00977,0.00247,0.02429,2e-05,4e-05,0.01676,0.00136,0.00323,0.00016,0.00544,0.04857,0.01808,0.01517,0.00032,0.00835,0.01299,0.00533,0.02159,0.00144,0.16047,0.00015,0.47307,0.49279,0.09399,2e-05,0.21159,0.11768,0.06768,0.0001,6e-05,0.16195,2e-05,0.00044,0.0323,3e-05,0.00029,7e-05,0.02357,0.00788,0.00042,0.00323,0.0018,0.01274,4e-05,0.00035,3e-05,0.00014,0.00603,0.00028,0.00027,0.00284,3e-05,0.12826,3e-05,0.02768,8e-05,0.00025,2e-05,0.19107,0.00022,6e-05,3e-05,0.04746,0.13162
0.08,3e-05,0.0277,0.00527,0.00018,0.00977,0.00228,0.02466,3e-05,4e-05,0.01638,0.00111,0.00329,0.00016,0.0044,0.04907,0.01791,0.01464,0.00046,0.00864,0.01267,0.01138,0.01965,0.00108,0.1648,0.00012,0.47584,0.51249,0.11119,2e-05,0.22838,0.12308,0.07746,8e-05,5e-05,0.16086,2e-05,0.00033,0.03213,3e-05,0.00022,5e-05,0.02246,0.00767,0.00034,0.00217,0.00134,0.01254,4e-05,0.00026,3e-05,0.00011,0.00665,0.00022,0.00023,0.00212,4e-05,0.11633,3e-05,0.02889,0.00016,0.00019,3e-05,0.1828,0.00045,6e-05,3e-05,0.04391,0.10467
0.1,2e-05,0.01934,0.00659,0.00014,0.00976,0.00207,0.02521,2e-05,3e-05,0.01603,0.00166,0.00343,0.00023,0.00353,0.04988,0.01776,0.01418,0.00036,0.00891,0.01233,0.0177,0.01742,0.00087,0.16944,0.0001,0.47657,0.53185,0.13044,2e-05,0.248,0.12796,0.08756,6e-05,6e-05,0.15932,1e-05,0.00026,0.03204,4e-05,0.00018,4e-05,0.02095,0.00742,0.00027,0.00183,0.00105,0.01234,3e-05,0.00021,3e-05,9e-05,0.00708,0.00019,0.00019,0.00168,3e-05,0.10278,3e-05,0.03028,0.00014,0.0002,3e-05,0.17529,0.00038,3e-05,3e-05,0.04118,0.07628
0.12,4e-05,0.01057,0.0075,0.00013,0.00963,0.00182,0.02594,2e-05,3e-05,0.01573,0.0024,0.00364,0.00024,0.00291,0.05092,0.01762,0.01378,0.00033,0.00919,0.01203,0.02413,0.01469,0.00073,0.17443,9e-05,0.47488,0.55014,0.15232,1e-05,0.27288,0.13237,0.098,7e-05,6e-05,0.15739,1e-05,0.00021,0.032,4e-05,0.00015,4e-05,0.01919,0.00718,0.00023,0.0014,0.00086,0.012,4e-05,0.00017,3e-05,7e-05,0.0077,0.00021,0.0002,0.00139,3e-05,0.08741,3e-05,0.03193,0.0001,0.00017,2e-05,0.16865,0.00027,2e-05,2e-05,0.03939,0.04619
0.14,4e-05,0.00147,0.00779,0.00016,0.00921,0.00156,0.02682,3e-05,4e-05,0.01546,0.00434,0.00391,0.00028,0.00255,0.0521,0.0175,0.01349,0.00035,0.00946,0.01178,0.03047,0.01129,0.00073,0.17988,0.00011,0.47014,0.56769,0.17572,3e-05,0.30879,0.13586,0.108,8e-05,7e-05,0.15498,2e-05,0.00019,0.032,4e-05,0.00017,5e-05,0.01726,0.00695,0.00022,0.00185,0.00076,0.01151,5e-05,0.00014,5e-05,8e-05,0.00853,0.00024,0.00028,0.00118,3e-05,0.07011,4e-05,0.0339,0.00024,0.0002,4e-05,0.16267,0.00035,4e-05,3e-05,0.03918,0.01603
0.16,3e-05,0.00117,0.00717,0.00012,0.00814,0.00119,0.02776,2e-05,4e-05,0.01521,0.00563,0.00415,0.00026,0.00245,0.05335,0.01729,0.0133,0.00035,0.00972,0.01137,0.03648,0.00698,0.0009,0.18588,8e-05,0.46126,0.58377,0.2,3e-05,0.34875,0.13821,0.11751,8e-05,0.00528,0.15219,0.00656,0.00014,0.03199,3e-05,0.00011,4e-05,0.01521,0.00671,0.00019,0.00142,0.00058,0.01104,5e-05,0.00011,3e-05,9e-05,0.00955,0.00024,0.00026,0.00093,2e-05,0.05091,6e-05,0.03626,0.00022,0.00018,4e-05,0.15704,0.00027,4e-05,2e-05,0.04091,0.01303
0.18,0,0.00087,0.00526,0,0.00601,0.00074,0.02864,0,0,0.015,0.00577,0.00426,0,0.00266,0.05449,0.017,0.01315,0,0.00987,0.01075,0.04214,0.00129,0.00028,0.19251,0,0.4483,0.59834,0.22713,0,0.38593,0.13997,0.1265,0,0.01019,0.1494,0.01313,5e-05,0.03195,0,0,0,0.01323,0.00638,1e-05,0.00033,8e-05,0.01066,0,0,0,0,0.01044,0,0,0.00061,0,0.02975,0,0.03927,0,0,0,0.15203,0,0,0,0.0443,0.00961
0.2,2e-05,0.00065,0.00237,9e-05,0.00209,0.00043,0.02957,4e-05,3e-05,0.0148,0.00768,0.00465,0.00055,0.00308,0.05593,0.01684,0.01332,0.00011,0.01022,0.01051,0.04701,0.00097,0.00024,0.19991,6e-05,0.4297,0.61299,0.24778,1e-05,0.41781,0.13873,0.13336,0.00017,0.01344,0.14654,0.02003,4e-05,0.03194,3e-05,0.00023,4e-05,0.0115,0.00618,5e-05,0.00028,0.00032,0.01069,7e-05,8e-05,3e-05,4e-05,0.01212,0.00019,0.00015,0.00045,0.01136,0.00676,1e-05,0.04268,3e-05,0.00014,2e-05,0.1455,0.00012,3e-05,1e-05,0.05111,0.00729
0.22,0,0.00045,0.00178,3e-05,0.00176,0.00029,0.03038,1e-05,1e-05,0.01428,0.0109,0.00478,0.00014,0.00336,0.05693,0.01667,0.01392,6e-05,0.01035,0.01014,0.04958,0.00073,0.05599,0.20762,2e-05,0.40321,0.62469,0.25323,0,0.43487,0.13262,0.13627,5e-05,0.01299,0.14345,0.02756,0.00135,0.03188,0.00138,0.00079,1e-05,0.00963,0.00576,3e-05,0.0001,7e-05,0.00948,1e-05,2e-05,1e-05,1e-05,0.01351,3e-05,5e-05,0.00029,0.02351,0.00478,0,0.04616,1e-05,3e-05,0,0.13414,3e-05,1e-05,0,0.06203,0.00523
0.24,0,9e-05,0.00099,0,0.0005,1e-05,0.03107,0,0,0.01366,0.01416,0.0049,1e-05,0.00378,0.05797,0.01659,0.01498,1e-05,0.01051,0.00991,0.05008,0.00044,0.13077,0.21566,0,0.36803,0.6339,0.25131,0,0.43191,0.12407,0.13575,1e-05,0.01008,0.14105,0.03506,0.00296,0.03179,0.00273,0.00125,0,0.00825,0.00543,0,1e-05,0,0.00836,0,0,0,0,0.01505,1e-05,1e-05,4e-05,0.03715,0.003,0,0.05045,0,0,0,0.11968,0,0,0,0.07499,0.00145
0.26,2e-05,8e-05,0.00088,0.00029,0.00076,0.00053,0.03155,3e-05,9e-05,0.0132,0.01696,0.0051,0.00052,0.00456,0.05944,0.01658,0.01652,0.00043,0.0108,0.01036,0.04916,0.00039,0.22516,0.2242,9e-05,0.33086,0.64802,0.24929,2e-05,0.41057,0.11491,0.13251,0.00026,0.00687,0.13984,0.04254,0.00525,0.0317,0.00435,0.00279,5e-05,0.00761,0.00542,0.00019,0.00059,0.00031,0.0079,0.00022,0.00016,6e-05,6e-05,0.0175,0.00028,0.00081,7e-05,0.05353,0.00259,7e-05,0.05607,0.00017,0.00011,1e-05,0.10405,0.00023,4e-05,2e-05,0.08847,0.00165
0.28,0,0,0.00034,0,9e-05,0.00014,0.03167,0,1e-05,0.01254,0.01715,0.00495,2e-05,0.00544,0.0604,0.01645,0.01761,1e-05,0.0107,0.00996,0.04482,0.00012,0.33012,0.23222,0,0.29062,0.66631,0.24885,0,0.37506,0.10555,0.12667,1e-05,0.00139,0.13927,0.0501,0.00765,0.03141,0.00589,0.00314,0,0.00751,0.00508,1e-05,0.00012,1e-05,0.00686,6e-05,2e-05,1e-05,0,0.01764,2e-05,0.00015,0,0.07134,0.00103,0,0.06289,0,0,0,0.08583,0,0,0,0.10136,2e-05
0.3,0,0,7e-05,0,1e-05,0,0.03145,0,0,0.01203,0.01647,0.00483,0,0.0064,0.06188,0.01654,0.01877,1e-05,0.01062,0.00987,0.04164,0,0.43849,0.24091,0,0.24975,0.69673,0.24144,0,0.32018,0.09379,0.11591,0,0.00047,0.13912,0.05711,0.01053,0.03111,0.00749,0.00385,0,0.00814,0.00498,0,3e-05,1e-05,0.00628,5e-05,0,0,0,0.01843,0,1e-05,0,0.08942,0.00022,0,0.07092,0,0,0,0.06683,0,0,0,0.11127,0.02351
0.32,1e-05,1e-05,4e-05,7e-05,2e-05,2e-05,0.03071,0,6e-05,0.01179,0.01423,0.00479,9e-05,0.00716,0.06397,0.01696,0.02002,0.00045,0.0106,0.00943,0.04503,1e-05,0.53651,0.25172,1e-05,0.2112,0.74698,0.22372,0,0.24992,0.07743,0.09972,4e-05,0.00029,0.13905,0.06277,0.01397,0.03073,0.00902,0.00476,6e-05,0.00926,0.00506,3e-05,0.0003,0.00039,0.00617,0.0001,1e-05,8e-05,1e-05,0.02168,0.00014,9e-05,1e-05,0.10567,0.00013,1e-05,0.07985,1e-05,4e-05,1e-05,0.04997,4e-05,1e-05,1e-05,0.11537,0.03634
0.34,1e-05,1e-05,3e-05,5e-05,9e-05,3e-05,0.02948,1e-05,4e-05,0.01166,0.0111,0.00449,0.00013,0.00786,0.06648,0.01738,0.02117,0.00032,0.01031,0.00891,0.05158,0,0.62201,0.26305,2e-05,0.17723,0.81866,0.20937,0,0.18529,0.05858,0.0828,7e-05,0.00033,0.13829,0.0679,0.01768,0.03025,0.0105,0.00562,5e-05,0.01085,0.00499,3e-05,0.00024,0.00028,0.0062,8e-05,1e-05,6e-05,1e-05,0.02281,0.0001,0.00015,1e-05,0.11941,0.00016,2e-05,0.08943,9e-05,3e-05,1e-05,0.03441,4e-05,1e-05,1e-05,0.11392,0.03904
0.36,1e-05,1e-05,2e-05,5e-05,9e-05,3e-05,0.02808,1e-05,3e-05,0.01151,0.0086,0.00419,0.00011,0.00866,0.06805,0.01786,0.02205,0.00026,0.00979,0.00862,0.05777,1e-05,0.69545,0.27318,4e-05,0.14964,0.9118,0.2034,1e-05,0.13388,0.04173,0.06762,6e-05,0.00034,0.13623,0.07325,0.02142,0.02971,0.01197,0.0064,4e-05,0.01296,0.00496,2e-05,0.00019,0.00022,0.00617,6e-05,2e-05,4e-05,2e-05,0.02121,8e-05,0.00011,1e-05,0.13048,0.00012,3e-05,0.09937,7e-05,0.00011,2e-05,0.01985,5e-05,1e-05,1e-05,0.10675,0.03639
0.38,0,0,0,2e-05,1e-05,4e-05,0.02644,0,1e-05,0.01131,0.00654,0.00385,6e-05,0.00936,0.06944,0.01835,0.02265,4e-05,0.00926,0.00809,0.06334,0,0.75326,0.28146,0,0.12961,1,0.20164,0,0.09381,0.027,0.05412,2e-05,0.00012,0.13264,0.07885,0.02507,0.0291,0.01342,0.00713,1e-05,0.01556,0.0049,0,4e-05,7e-05,0.00614,1e-05,0,2e-05,1e-05,0.01912,7e-05,4e-05,0,0.13826,1e-05,0,0.10913,0,1e-05,0,0.00761,2e-05,0,0,0.09442,0.02748
0.4,0,0,0,0,0,0,0.02467,0,0,0.01143,0.00477,0.00352,0,0.01001,0.07121,0.01904,0.02294,1e-05,0.00838,0.00804,0.07443,0,0.79237,0.29128,0,0.11707,1,0.20123,0.00244,0.06333,0.01479,0.04267,0,0,0.12759,0.08427,0.0287,0.02852,0.01479,0.00768,0,0.01834,0.00473,0,0,0,0.00625,0,0,0,0,0.01536,0,0,0,0.14249,0,0,0.11789,0,0,0,0.00406,0,0,0,0.07871,0.01466
0.42,1e-05,1e-05,1e-05,1e-05,1e-05,0,0.02277,0,0,0.01245,0.00335,0.00322,0.00012,0.01065,0.07373,0.02007,0.02292,3e-05,0.00715,0.00953,0.09766,1e-05,0.81308,0.30689,1e-05,0.10999,1,0.19951,0.0048,0.03944,0.00551,0.03352,0,0.00211,0.12129,0.08919,0.03236,0.02811,0.01598,0.00812,0,0.02086,0.0047,6e-05,0.00027,1e-05,0.00678,1e-05,0,1e-05,0,0.00934,1e-05,1e-05,0,0.14333,3e-05,0,0.12484,2e-05,3e-05,0,0.00253,1e-05,0,0,0.06156,0.00933
0.44,0,1e-05,0,1e-05,0,0,0.02076,0,0,0.01446,0.00193,0.00292,6e-05,0.01116,0.07632,0.02129,0.0227,2e-05,0.00615,0.01149,0.12715,0,0.82206,0.32516,1e-05,0.10644,1,0.19582,0.00666,0.02102,0.00282,0.02647,0,0.00378,0.11372,0.09446,0.03583,0.02783,0.01708,0.00845,0,0.02332,0.00475,3e-05,0.00014,1e-05,0.00747,1e-05,0,1e-05,0,0.00456,1e-05,1e-05,0,0.1403,1e-05,0,0.13016,1e-05,1e-05,0,0.00119,0,0.00383,0,0.04584,0.00461
0.46,0,0,0,0,0,0,0.01865,0,0,0.01619,0.00094,0.00267,1e-05,0.0114,0.07842,0.02268,0.02232,0,0.00553,0.01296,0.15692,0,0.8261,0.34264,0,0.10572,1,0.19,0.0084,0.00718,0.00147,0.02109,0,0.00479,0.10494,0.10141,0.03888,0.02775,0.0182,0.00872,0,0.02598,0.00486,0,1e-05,1e-05,0.00823,0,0,0,0,0.00174,1e-05,1e-05,0,0.13704,0,0,0.13422,0,0,0,0.00052,0,0.00671,0,0.03228,0.00152
0.48,1e-05,1e-05,1e-05,3e-05,0.00016,4e-05,0.01629,1e-05,1e-05,0.01807,0.00039,0.00256,0.00014,0.01129,0.08014,0.02442,0.02137,0.00214,0.00521,0.01486,0.18693,1e-05,0.82891,0.35944,0.0001,0.10689,1,0.17178,0.00943,0.00355,0.00075,0.01397,4e-05,0.00556,0.09508,0.11209,0.04152,0.02824,0.01948,0.00899,3e-05,0.02874,0.00495,2e-05,0.00032,0.00022,0.0089,2e-05,2e-05,5e-05,4e-05,0.00086,0.0003,0.00044,1e-05,0.13424,8e-05,0,0.13708,0.00017,4e-05,1e-05,0.00024,0.01297,0.00944,0,0.02198,0.00076
0.5,2e-05,3e-05,6e-05,0.00015,0.0001,6e-05,0.01418,2e-05,0.00033,0.02053,0.00019,0.00263,0.00159,0.01105,0.08114,0.02621,0.02061,0.00453,0.00507,0.01599,0.22297,1e-05,0.82585,0.37786,9e-05,0.10904,1,0.15023,0.01086,0.00177,0.00037,0.00787,0.00037,0.00598,0.08512,0.12745,0.04382,0.03178,0.02071,0.00912,0.0002,0.03157,0.0053,6e-05,0.00077,0.00088,0.0115,6e-05,4e-05,3e-05,0.00014,0.0016,0.00018,0.00063,3e-05,0.13099,7e-05,4e-05,0.13816,0.0001,0.00016,2e-05,0.00011,0.02691,0.01232,1e-05,0.01403,0.00094
0.52,0,0,0,8e-05,9e-05,0,0.01223,0,0.00033,0.02389,0.00196,0.00258,0.00135,0.01088,0.08089,0.02808,0.02,0.00298,0.00528,0.01629,0.27067,0,0.813,0.39998,1e-05,0.11184,1,0.13081,0.01349,0.00125,0.00025,0.00412,0.00048,0.00603,0.07596,0.14067,0.04581,0.04503,0.02224,0.00898,0.00022,0.03464,0.00526,3e-05,0.0033,0.00119,0.01321,7e-05,0,2e-05,0.00016,0.00238,8e-05,0.00112,1e-05,0.12709,1e-05,1e-05,0.13731,3e-05,1e-05,0,0.0001,0.04153,0.0154,0,0.00738,0.00144
0.54,2e-05,1e-05,8e-05,0.00016,8e-05,0.00047,0.01072,5e-05,0.00028,0.02823,0.00128,0.00234,0.00072,0.0105,0.07981,0.03011,0.01947,0.0015,0.006,0.01518,0.32249,2e-05,0.79573,0.42182,7e-05,0.11443,1,0.11523,0.01707,0.00064,0.00012,0.00254,0.00031,0.00581,0.06553,0.15497,0.04777,0.06262,0.02847,0.00922,0.00012,0.03706,0.00502,5e-05,0.00194,0.00066,0.01461,6e-05,3e-05,3e-05,0.00022,0.00462,0.0006,0.00061,5e-05,0.12122,0.00011,4e-05,0.13489,5e-05,3e-05,1e-05,6e-05,0.05135,0.01775,5e-05,0.00187,0.00113
0.56,0,0,1e-05,2e-05,1e-05,5e-05,0.00919,1e-05,6e-05,0.03305,0.00026,0.00222,0.00014,0.00961,0.0776,0.03225,0.01878,0.00016,0.00676,0.01384,0.37089,0,0.77619,0.43844,0,0.11587,1,0.10452,0.02109,0.00016,2e-05,0.00202,0.00365,0.0055,0.0579,0.17085,0.04989,0.08785,0.03541,0.00848,2e-05,0.03843,0.00437,1e-05,0.00028,0.00011,0.01551,5e-05,0,3e-05,3e-05,0.0082,9e-05,4e-05,0,0.1158,1e-05,0,0.13113,0,1e-05,0,1e-05,0.05694,0.01887,1e-05,0.00085,0.00013
0.58,0,0,0,1e-05,0,0,0.0078,0,1e-05,0.03814,0.00037,0.00237,2e-05,0.00801,0.07398,0.03435,0.01805,0.00011,0.00774,0.01289,0.41513,0,0.754,0.44827,0,0.11558,1,0.09898,0.02441,6e-05,0,0.00284,0.00632,0.00537,0.05196,0.18738,0.05353,0.12667,0.04157,0.00801,1e-05,0.03866,0.00357,1e-05,2e-05,3e-05,0.01654,1e-05,0,0,0,0.01508,1e-05,3e-05,0,0.11266,0,0,0.12602,0,0,0,0,0.06047,0.01881,0,0.00036,1e-05
