T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.02991,0.00305,-0.01428,0.01182,-0.18112,0.0383,0.23239,-0.07516,0.05255,-0.01182,0.27499,-0.00018,-0.03331,0.43185,-1.11826,-0.62736,6.98324,1.68805,1.27011,-0.43896,-0.43566,0.61328,0.37204,-8.1035,2.51556,-1.33214,0.20175,-0.07996,0.32986,-0.10044,-0.00496,-0.0113,-0.00479,0.18655,-0.04192,0.10719,-0.11698,0.01565,-0.01245,-0.00567
0.02,0.02203,0.0018,-0.0166,0.04368,-0.18327,0.0447,0.20022,-0.07881,0.07463,-0.03427,0.29962,0.00035,-0.07273,0.48211,-1.42117,-0.72239,8.76291,2.12054,1.59432,-0.5142,-0.48437,0.60858,0.34223,-8.26478,2.58699,-1.35651,0.22018,-0.07818,0.42177,-0.0959,-0.01053,-0.021,-0.0093,0.22203,-0.04301,0.1284,-0.13453,0.01369,-0.01813,-0.00812
0.04,0.00988,-3e-05,-0.02031,0.08484,-0.18241,0.05209,0.145,-0.08153,0.10323,-0.06557,0.32527,0.00104,-0.12853,0.53742,-1.81315,-0.83405,11.06252,2.67988,2.01321,-0.60553,-0.53852,0.58235,0.28257,-8.23365,2.60647,-1.3487,0.24261,-0.0737,0.54366,-0.08615,-0.01864,-0.03429,-0.01551,0.26804,-0.04348,0.15865,-0.15581,0.01064,-0.0258,-0.01144
0.06,-0.00572,-0.00222,-0.02635,0.13122,-0.17799,0.0592,0.06535,-0.08254,0.13539,-0.10328,0.35111,0.00185,-0.20144,0.59105,-2.27258,-0.9534,13.74563,3.33307,2.50205,-0.70666,-0.59264,0.52876,0.18893,-7.91462,2.54368,-1.29309,0.26624,-0.06753,0.69011,-0.0687,-0.02928,-0.0505,-0.02312,0.32108,-0.04473,0.19727,-0.17908,0.00671,-0.03492,-0.01538
0.08,-0.02371,-0.00455,-0.03562,0.17758,-0.1694,0.06453,-0.03938,-0.08092,0.1674,-0.1443,0.37521,0.00272,-0.2909,0.63426,-2.76743,-1.06782,16.6152,4.03236,3.02504,-0.80852,-0.63934,0.44171,0.05751,-7.20185,2.36439,-1.17248,0.28776,-0.06064,0.85274,-0.04114,-0.04228,-0.06862,-0.03167,0.37655,-0.04803,0.24314,-0.20199,0.00214,-0.04477,-0.01965
0.1,-0.0431,-0.00677,-0.04877,0.21805,-0.15615,0.06658,-0.16908,-0.07566,0.19541,-0.18541,0.39442,0.00358,-0.39487,0.65741,-3.25925,-1.1624,19.44066,4.72191,3.54025,-0.90026,-0.67025,0.31602,-0.1149,-5.99945,2.03661,-0.9714,0.30426,-0.05373,1.02145,-0.00178,-0.05733,-0.0875,-0.04066,0.4297,-0.05417,0.29511,-0.22189,-0.00277,-0.05457,-0.02389
0.12,-0.06307,-0.00873,-0.06611,0.24661,-0.13828,0.06411,-0.32264,-0.06592,0.21587,-0.22375,0.40462,0.00432,-0.50961,0.65121,-3.70706,-1.22148,21.98384,5.34401,4.00423,-0.97047,-0.6771,0.14893,-0.33024,-4.24391,1.53763,-0.67983,0.31409,-0.04714,1.18551,0.04975,-0.07403,-0.10591,-0.04951,0.47644,-0.0632,0.35241,-0.2363,-0.00772,-0.06361,-0.02782
0.14,-0.08307,-0.0103,-0.08754,0.25733,-0.11666,0.05625,-0.49759,-0.05123,0.22593,-0.25709,0.40104,0.00481,-0.62971,0.60811,-4.0714,-1.23045,24.02492,5.84541,4.3768,-1.00835,-0.65283,-0.05834,-0.58844,-1.92681,0.86096,-0.29698,0.31764,-0.04085,1.3347,0.11187,-0.09188,-0.12264,-0.05767,0.51405,-0.07429,0.41499,-0.24316,-0.01238,-0.07129,-0.03119
0.16,-0.1028,-0.01148,-0.11251,0.24476,-0.09329,0.04271,-0.6898,-0.03166,0.2237,-0.28413,0.37889,0.00488,-0.74811,0.52359,-4.31838,-1.17756,25.388,6.1835,4.62564,-1.00508,-0.59287,-0.29921,-0.88662,0.88549,0.02258,0.16555,0.31794,-0.03451,1.46022,0.1806,-0.11032,-0.13655,-0.06463,0.54177,-0.08575,0.48365,-0.24124,-0.01641,-0.07722,-0.03384
0.18,-0.1223,-0.01233,-0.14001,0.20422,-0.0714,0.02381,-0.89339,-0.00807,0.20847,-0.30463,0.33402,0.00433,-0.85645,0.39739,-4.42359,-1.05568,25.96386,6.33178,4.73044,-0.95502,-0.49603,-0.56088,-1.21849,4.04011,-0.93525,0.6818,0.32094,-0.02766,1.55552,0.24914,-0.12877,-0.14666,-0.06993,0.56112,-0.09511,0.55999,-0.2304,-0.01951,-0.08125,-0.03571
