T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00075,0.01566,0,0.00105,0.56916,0.00144,0,0.00013,0,0.00957,1,0.00242,0,0,0,0,0.01425,0.00202,0.00011,0.00724,0,0.02306,0,0,0.0009,0.13368,0.40225,0,0.0001,0,0,0,0,0.00028,0.02037,0,0.03077,0.00029,0,3e-05,0.00104,0.04146,0.09984,0.00053,0.04301,0.00597,0,0,0,0,0,0,0,0,0,0,0.06276,0.00041,0.00605,0.00783,0,0.01489,0,0,0.00052,0.00323,0,0
0.02,0.00069,0.02044,0,0.00101,0.6541,0.00078,0,0.0001,0,0.00798,0.94065,0.00022,0,0.00516,0,0,0.01739,0.00323,0,0.00748,0,0.02657,0,0,0.00088,0.12624,0.39266,0,0,0,0,0,0,0,0.01154,0,0.03489,0.00284,0,0.00013,0.00099,0.03916,0.08482,0.0005,0.04651,0.0064,0,0,0,1e-05,0,0,0,0,0,0,0.0479,0.00039,0.00487,0.00728,0,0.01711,0,0,0.00043,0.0038,0,0
0.04,0.00062,0.0258,0,0.00096,0.74452,0.00013,0,6e-05,0,0.00631,0.54631,0,0,0.01626,0,0,0.02031,0.00439,0,0.00764,0,0.02994,0,0,0.00085,0.11971,0.38222,0,0,0,0,0,0,0,0.00293,0,0.03861,0.00571,0,0.00023,0.00093,0.03713,0.07054,0.00047,0.04964,0.00677,0,0,0,3e-05,0,0,0,0,0,0,0.03431,0.00038,0.00364,0.00671,0,0.01946,0,0,0.00033,0.00438,0,0
0.06,0.00056,0.03175,0,0.00091,0.83994,0,0,2e-05,1e-05,0.00456,0.17847,0,0.00055,0.02637,0,0,0.02294,0.00548,0,0.00772,0,0.03311,0,0,0.00081,0.11431,0.37088,0,0,0.00206,0,0,0,0,0,0,0.04185,0.0089,0,0.00033,0.00087,0.03538,0.0572,0.00044,0.0523,0.00707,0,0,0,4e-05,0,0,0,6e-05,0,0,0.02225,0.00036,0.00237,0.00614,0,0.02195,0,0,0.00021,0.00496,0,0
0.08,0.0005,0.0383,0,0.00085,0.93975,0,0,0,2e-05,0.00274,0,0,0.00121,0.03534,0,0,0.02524,0.0065,0,0.00772,0,0.03603,0,0,0.00077,0.1102,0.35857,0,0,0.01523,0,0,0.00193,0,0,0,0.04453,0.01242,0,0.00043,0.0008,0.03394,0.04497,0.00041,0.05436,0.00729,0,0,0,6e-05,0,0,0,0.00019,0,0,0.01193,0.00035,0.00109,0.00557,0,0.02455,0,0,9e-05,0.00553,0,0.02779
0.1,0.00044,0.04546,2e-05,0.00079,1,0,0,0,3e-05,0.00086,0,0,0.00173,0.04302,0,0,0.02717,0.00744,0,0.00764,0,0.03863,0,0,0.00073,0.10759,0.34523,0,0,0.02724,0,0,0.00446,0,0,0,0.04656,0.01625,0,0.00054,0.00074,0.03281,0.034,0.00038,0.05571,0.00741,0,0,0,7e-05,0,0,0,0.00029,0,0,0.00356,0.00033,0,0.00502,0,0.02723,0,0,0,0.00608,0,0.59598
0.12,0.00038,0.05322,0.00032,0.00073,1,0,0,0,3e-05,0,0,0,0.00209,0.04928,0,0,0.0287,0.00828,0,0.00748,0,0.04084,0,0,0.00068,0.10664,0.33078,0,0,0.03792,0,0,0.00744,0,0,0,0.04786,0.02041,0,0.00064,0.00068,0.03198,0.02438,0.00035,0.0562,0.0074,0,0,0,8e-05,0,0,0,0.00038,0,0,0,0.00031,0,0.00448,0,0.02997,0,0,0,0.00661,0,0
0.14,0.00033,0.06157,0.00066,0.00067,1,0,0,0,3e-05,0,0,0,0.00227,0.05402,0,0,0.02981,0.00903,0,0.00725,0,0.04261,0,0,0.00064,0.10752,0.31513,0,0,0.04709,0,0,0.01089,0,0,0,0.04836,0.02487,0,0.00075,0.00062,0.03141,0.01616,0.00031,0.05566,0.00727,0,0,0,9e-05,0,0,0.00012,0.00046,0,0,0,0.0003,0,0.00397,0,0.03274,0,0,0,0.0071,0,0
0.16,0.00028,0.07047,0.00105,0.00061,1,0,0,0,3e-05,0,0,0,0.00228,0.05718,0,0,0.03049,0.00965,0,0.00697,0,0.04386,0,0,0.00059,0.11035,0.2982,0,0,0.05459,0,0,0.01485,0,0,0,0.04801,0.02961,0,0.00087,0.00055,0.03103,0.0093,0.00028,0.05393,0.00697,0,0,0,9e-05,1e-05,0,0.00031,0.00052,0,0,0,0.00029,0,0.00349,0,0.03548,0,0,0,0.00755,0,0
0.18,0.00024,0.07987,0.0015,0.00056,1,0,0,0,3e-05,0,0,0,0.00211,0.0587,0,0,0.03072,0.01014,0,0.00664,0,0.04455,0,0,0.00054,0.11524,0.27985,0,0,0.0603,0,0,0.01934,0,0,0,0.04674,0.0346,0,0.00099,0.0005,0.03076,0.00373,0.00025,0.05082,0.0065,0,0,3e-05,0.0001,4e-05,0,0.00047,0.00058,0,0,0,0.00027,0,0.00305,0,0.03815,0,0,0,0.00793,0,0
