T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.92928,0.0232,-0.01705,0.01025,-0.02257,-4e-05,0.00855,0.01352,0.0028,-0.24004,-0.02486,0.01703,-0.03317,0.11655,-0.06791,0.09082,-0.55282,0.61278,0.10886,-0.0962,-0.27771,-1.27021,0.99639,-0.01276,0.01873,0.08837,0.02006,0.56676,-0.01127,0.00557,0.13771,-0.04876,0.03536,0.00571
0.02,0.92562,0.02341,-0.01769,0.01072,-0.02334,-4e-05,0.00727,0.01408,0.00311,-0.24105,0.0315,0.01796,-0.02025,0.11789,-0.0671,0.09344,-0.55862,0.70369,0.10917,-0.08414,-0.28485,-1.29526,1.02131,-0.01156,0.01917,0.0926,0.02082,0.57644,-0.01083,0.00407,0.14215,-0.04954,0.03657,0.00588
0.04,0.90304,0.02325,-0.01826,0.0111,-0.0238,-4e-05,0.0058,0.01448,0.00349,-0.23847,0.07956,0.01815,-0.00744,0.11714,-0.06471,0.09376,-0.5596,0.75483,0.10643,-0.0715,-0.28737,-1.30179,1.03305,-0.0093,0.01943,0.09678,0.02142,0.57755,-0.01036,0.00244,0.14589,-0.04956,0.03746,0.006
0.06,0.86276,0.02274,-0.01866,0.01139,-0.02392,-3e-05,0.00436,0.01477,0.00393,-0.23247,0.11743,0.01756,0.00471,0.11392,-0.06057,0.09146,-0.55598,0.76357,0.10065,-0.05876,-0.28487,-1.29033,1.03257,-0.00573,0.01952,0.10128,0.02189,0.56994,-0.00988,0.00076,0.14943,-0.04884,0.0381,0.00609
0.08,0.8066,0.02191,-0.01875,0.01156,-0.02369,-2e-05,0.00321,0.01497,0.00446,-0.22309,0.14392,0.01624,0.0157,0.10774,-0.0547,0.08644,-0.54733,0.73047,0.09195,-0.04626,-0.27679,-1.26098,1.02054,-0.00066,0.01943,0.1064,0.02226,0.55305,-0.00942,-0.00094,0.15321,-0.04739,0.03856,0.00615
0.1,0.73742,0.02077,-0.01837,0.01158,-0.02306,-1e-05,0.00275,0.01511,0.00506,-0.21033,0.1578,0.01427,0.02487,0.09813,-0.04745,0.07891,-0.53293,0.65765,0.08056,-0.03459,-0.26236,-1.21351,0.99734,0.00609,0.01913,0.11236,0.02254,0.52607,-0.00901,-0.0026,0.15763,-0.04518,0.03891,0.00619
0.12,0.65966,0.01935,-0.01738,0.01139,-0.02202,-0,0.00346,0.01522,0.00569,-0.19407,0.16037,0.01178,0.03206,0.08489,-0.03922,0.06936,-0.51185,0.55746,0.06698,-0.02349,-0.24091,-1.14773,0.96335,0.01457,0.01859,0.11924,0.02273,0.48775,-0.00862,-0.00423,0.16296,-0.04221,0.03921,0.00623
0.14,0.57997,0.01769,-0.01568,0.0109,-0.02052,1e-05,0.00596,0.01533,0.00633,-0.17442,0.15148,0.00901,0.03652,0.06818,-0.031,0.05876,-0.48366,0.43695,0.05196,-0.01405,-0.21181,-1.06388,0.91886,0.02469,0.01774,0.1269,0.0228,0.43712,-0.00826,-0.00577,0.16933,-0.03849,0.0395,0.00627
0.16,0.50803,0.01584,-0.01332,0.01001,-0.01855,1e-05,0.011,0.01546,0.0069,-0.15168,0.13366,0.00623,0.03808,0.04884,-0.02357,0.04813,-0.44863,0.31093,0.03664,-0.00672,-0.17493,-0.96332,0.86478,0.03607,0.01651,0.13495,0.02272,0.3733,-0.00792,-0.0072,0.17665,-0.03407,0.03984,0.00632
0.18,0.45745,0.01387,-0.01042,0.00861,-0.01616,2e-05,0.01938,0.01562,0.00729,-0.1264,0.11396,0.00371,0.03785,0.02843,-0.01692,0.03801,-0.40685,0.20404,0.02261,-0.00068,-0.13107,-0.84958,0.8034,0.04804,0.0148,0.14269,0.02246,0.29581,-0.0074,-0.0087,0.18463,-0.02912,0.04026,0.00637
0.2,0.44558,0.01196,-0.00728,0.00656,-0.01338,1e-05,0.03203,0.01583,0.00746,-0.10066,0.08796,0.00178,0.03388,0.00908,-0.01249,0.02995,-0.36329,0.10407,0.01093,0.00075,-0.08121,-0.72809,0.73674,0.0595,0.01257,0.14889,0.0219,0.20654,-0.0071,-0.00984,0.19247,-0.02388,0.04075,0.00644
0.22,0.49308,0.01026,-0.00419,0.00369,-0.01032,-1e-05,0.04992,0.01611,0.00736,-0.0765,0.05558,0.00059,0.02598,-0.0069,-0.01027,0.02437,-0.32365,0.02758,0.00281,-0.00027,-0.02743,-0.60567,0.66744,0.06921,0.00977,0.15209,0.02094,0.10647,-0.00769,-0.01008,0.19919,-0.01867,0.04125,0.0065
