T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.02658,0.00703,-0.00044,-0.00217,0.00037,5e-05,0.00125,-0.00069,-0.00018,0.00086,0.00011,-6e-05,0.00019,0.00114,0.0004,0.00018,0.00106,-0.00021,0.00014,0.00012,0.00232,-0.00439,0.00057,-0.00066,0.00047,-0.00018,-0.00014,-0.01345,-0.0042,-0.00564,0.03939,-0.0155,-0.00345,-0.00881
0.02,-0.0264,0.00703,-0.00049,-0.00216,0.00038,5e-05,0.00122,-0.00072,-0.00019,0.00085,5e-05,-6e-05,0.00015,0.00114,0.00042,0.00019,0.00106,-0.00024,0.00014,0.0001,0.00234,-0.0044,0.00055,-0.00064,0.00048,-0.00017,-0.00013,-0.014,-0.00425,-0.00565,0.03907,-0.01554,-0.00346,-0.0088
0.04,-0.02623,0.00705,-0.00055,-0.00216,0.00039,5e-05,0.00119,-0.00075,-0.00019,0.00084,-0,-6e-05,0.00012,0.00116,0.00043,0.0002,0.00106,-0.00026,0.00014,8e-05,0.00235,-0.00439,0.00053,-0.00062,0.00048,-0.00017,-0.00013,-0.01455,-0.0043,-0.00565,0.03875,-0.01557,-0.00346,-0.00879
0.06,-0.02607,0.00709,-0.00063,-0.00216,0.00039,5e-05,0.00115,-0.00076,-0.00019,0.00083,-5e-05,-7e-05,9e-05,0.00118,0.00043,0.0002,0.00107,-0.00027,0.00013,7e-05,0.00236,-0.00438,0.00052,-0.0006,0.00048,-0.00017,-0.00012,-0.01511,-0.00435,-0.00566,0.03843,-0.01561,-0.00347,-0.00879
0.08,-0.02594,0.00716,-0.00071,-0.00217,0.00041,5e-05,0.0011,-0.00077,-0.00019,0.00081,-8e-05,-6e-05,6e-05,0.00121,0.00042,0.0002,0.00108,-0.00028,0.00013,6e-05,0.00235,-0.00437,0.0005,-0.00058,0.00048,-0.00016,-0.00012,-0.01568,-0.0044,-0.00567,0.0381,-0.01564,-0.00347,-0.00878
0.1,-0.02582,0.00727,-0.0008,-0.00219,0.00042,5e-05,0.00106,-0.00078,-0.00018,0.00079,-0.00011,-6e-05,3e-05,0.00124,0.00041,0.00019,0.00109,-0.00028,0.00013,4e-05,0.00234,-0.00436,0.00048,-0.00056,0.00048,-0.00016,-0.00011,-0.01626,-0.00444,-0.00567,0.03778,-0.01568,-0.00348,-0.00877
0.12,-0.02574,0.0074,-0.00088,-0.00222,0.00044,5e-05,0.00102,-0.00078,-0.00018,0.00078,-0.00012,-5e-05,0,0.00126,0.00038,0.00018,0.0011,-0.00027,0.00012,3e-05,0.00231,-0.00435,0.00046,-0.00055,0.00049,-0.00016,-0.00011,-0.01685,-0.00448,-0.00567,0.03746,-0.01571,-0.00349,-0.00877
0.14,-0.02569,0.00757,-0.00095,-0.00225,0.00046,5e-05,0.00099,-0.00078,-0.00017,0.00077,-0.00013,-4e-05,-2e-05,0.00126,0.00035,0.00016,0.0011,-0.00026,0.00012,2e-05,0.00227,-0.00434,0.00045,-0.00054,0.00049,-0.00016,-0.0001,-0.01747,-0.00451,-0.00567,0.03713,-0.01575,-0.00349,-0.00876
0.16,-0.02568,0.00778,-0.001,-0.00229,0.00049,5e-05,0.00097,-0.00078,-0.00016,0.00077,-0.00013,-3e-05,-5e-05,0.00126,0.00032,0.00014,0.00109,-0.00025,0.00011,1e-05,0.00221,-0.00433,0.00043,-0.00053,0.00049,-0.00015,-0.0001,-0.01811,-0.00452,-0.00567,0.0368,-0.01578,-0.0035,-0.00875
0.18,-0.02576,0.00803,-0.00103,-0.00235,0.00052,6e-05,0.00096,-0.00079,-0.00015,0.00078,-0.00014,-2e-05,-7e-05,0.00123,0.00029,0.00012,0.00107,-0.00024,0.00011,-1e-05,0.00212,-0.00434,0.00041,-0.00052,0.00049,-0.00015,-9e-05,-0.0187,-0.00453,-0.00566,0.0365,-0.01582,-0.0035,-0.00874
0.2,-0.02582,0.0083,-0.00105,-0.0024,0.00055,6e-05,0.00096,-0.00081,-0.00015,0.00078,-0.00013,-1e-05,-9e-05,0.0012,0.00027,0.00011,0.00104,-0.00022,0.0001,-2e-05,0.00203,-0.00435,0.00039,-0.00051,0.00049,-0.00015,-9e-05,-0.01947,-0.00451,-0.00564,0.03612,-0.01585,-0.00351,-0.00874
