T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-38.17239,8.20696,-0.07228,-2.37297,0.52929,0.05689,0.75369,-1.44196,-0.21704,1.0977,-0.05911,-0.01624,-0.11318,-0.00401,0.76278,0.11258,0.94873,0.06161,0.01941,0.09558,8.15739,17.30912,-5.08215,14.92102,4.36781,6.15199,-0.23911,-0.11625,-0.74348,-1.07328,41.74527,-4.91505,-3.58483,-3.25147
0.02,-38.02702,8.25893,-0.08068,-2.37136,0.53585,0.05731,0.80456,-1.45386,-0.22122,1.11386,-0.06004,-0.01677,-0.11487,0.06743,0.76775,0.11588,0.97291,0.06293,0.01858,0.09805,8.11015,17.34938,-5.09,14.66909,4.27629,6.29484,-0.18454,-0.33902,-0.78433,-1.05079,41.61543,-4.91965,-3.52478,-3.23258
0.04,-37.89048,8.33557,-0.08779,-2.3729,0.54435,0.0579,0.85389,-1.46703,-0.22563,1.12938,-0.06097,-0.01736,-0.1165,0.13489,0.77276,0.11936,0.99554,0.06414,0.01774,0.10033,8.04477,17.39399,-5.0927,14.40889,4.18112,6.43618,-0.13185,-0.57604,-0.82314,-1.02543,41.48015,-4.9252,-3.46503,-3.21432
0.06,-37.76702,8.43939,-0.09364,-2.37803,0.55491,0.05868,0.90139,-1.48181,-0.23031,1.14417,-0.0619,-0.018,-0.11806,0.1986,0.77743,0.12294,1.01676,0.06525,0.01691,0.10246,7.95812,17.44192,-5.09229,14.13875,4.0818,6.57664,-0.08114,-0.82689,-0.86188,-0.99847,41.33958,-4.93152,-3.40512,-3.19687
0.08,-37.66115,8.57173,-0.09812,-2.38702,0.56754,0.05966,0.94662,-1.49842,-0.23532,1.15806,-0.06281,-0.01871,-0.11952,0.25878,0.78131,0.12649,1.03663,0.06625,0.01612,0.10442,7.84734,17.49155,-5.09147,13.85712,3.97775,6.71677,-0.03262,-1.09129,-0.90382,-0.97152,41.19328,-4.93845,-3.34468,-3.18042
0.1,-37.57689,8.73243,-0.10087,-2.39975,0.58206,0.06088,0.98891,-1.5169,-0.24066,1.1707,-0.06368,-0.01948,-0.12083,0.31509,0.78398,0.12992,1.055,0.06714,0.01541,0.10621,7.71027,17.53985,-5.09267,13.5675,3.87027,6.85427,0.01251,-1.36998,-0.95508,-0.94595,41.03948,-4.94595,-3.28498,-3.16569
0.12,-37.52372,8.92119,-0.10108,-2.41676,0.59842,0.06236,1.02667,-1.53706,-0.24627,1.18147,-0.06449,-0.02029,-0.12192,0.36674,0.78469,0.13303,1.07145,0.06789,0.01481,0.10777,7.55014,17.58792,-5.10002,13.26214,3.75537,6.99465,0.05596,-1.6524,-1.0127,-0.92507,40.88312,-4.95301,-3.22245,-3.1518
0.14,-37.50113,9.1349,-0.09801,-2.43703,0.61621,0.06411,1.05953,-1.55855,-0.25212,1.18996,-0.06518,-0.02114,-0.12272,0.41315,0.78323,0.13576,1.08566,0.06848,0.01435,0.10905,7.36679,17.63044,-5.11471,12.95256,3.63732,7.13127,0.09503,-1.94461,-1.08856,-0.90891,40.71811,-4.96005,-3.16116,-3.14028
0.16,-37.51285,9.3707,-0.09065,-2.46012,0.63513,0.06616,1.08655,-1.5808,-0.25809,1.1956,-0.06574,-0.02198,-0.12314,0.45351,0.77917,0.13799,1.09717,0.0689,0.01407,0.11,7.16559,17.66584,-5.13862,12.64265,3.51665,7.26349,0.12943,-2.24177,-1.18557,-0.89888,40.54503,-4.96653,-3.10143,-3.13139
0.18,-37.58142,9.6284,-0.07716,-2.48844,0.65551,0.0686,1.10382,-1.60302,-0.26391,1.19721,-0.06608,-0.0228,-0.12304,0.48576,0.77113,0.13931,1.10483,0.06907,0.01399,0.11047,6.9618,17.71046,-5.17789,12.2889,3.37216,7.41744,0.16801,-2.50627,-1.2717,-0.90261,40.38527,-4.96957,-3.02615,-3.11953
0.2,-37.65042,9.89449,-0.05876,-2.51322,0.67549,0.07128,1.1191,-1.62438,-0.26972,1.19612,-0.06625,-0.02354,-0.12254,0.51282,0.762,0.1405,1.11002,0.06907,0.01408,0.11062,6.73722,17.72059,-5.21908,12.01472,3.25891,7.52512,0.18781,-2.82429,-1.436,-0.90231,40.1826,-4.97476,-2.97959,-3.11929
0.22,-37.65597,10.15649,-0.03724,-2.52506,0.69278,0.07397,1.14289,-1.64392,-0.2757,1.19414,-0.06633,-0.02415,-0.12185,0.53966,0.75489,0.1425,1.11471,0.06899,0.01424,0.11064,6.4711,17.64272,-5.24686,11.97898,3.24964,7.5055,0.16338,-3.28612,-1.77781,-0.87877,39.8781,-4.98676,-3.01571,-3.14809
0.24,-37.65151,10.41847,-0.00981,-2.53143,0.70925,0.07691,1.16534,-1.66041,-0.2812,1.18917,-0.06621,-0.0246,-0.12072,0.56177,0.74714,0.14443,1.11669,0.06874,0.0145,0.11029,6.18153,17.53515,-5.27579,12.02369,3.27301,7.44274,0.1231,-3.80858,-2.19159,-0.85224,39.52221,-5.00032,-3.07935,-3.18716
0.26,-37.68384,10.68631,0.026,-2.53919,0.72654,0.08028,1.17957,-1.67301,-0.28567,1.17994,-0.06581,-0.02487,-0.11899,0.5768,0.73653,0.14558,1.11458,0.06825,0.01487,0.10941,5.8892,17.449,-5.31588,12.02434,3.27148,7.40514,0.09002,-4.3068,-2.58476,-0.83747,39.16947,-5.0092,-3.12571,-3.2216
0.28,-37.74494,10.9649,0.07022,-2.54823,0.74378,0.084,1.1925,-1.68136,-0.28898,1.16794,-0.06517,-0.02496,-0.1168,0.59061,0.7232,0.14623,1.11013,0.06757,0.01531,0.10819,5.59144,17.37657,-5.35917,12.04595,3.27328,7.35944,0.05352,-4.78333,-2.96728,-0.83068,38.81651,-5.01348,-3.1763,-3.25778
0.3,-37.76396,11.22359,0.12095,-2.5479,0.76173,0.08809,1.19983,-1.68493,-0.2914,1.15319,-0.06433,-0.02483,-0.1142,0.59627,0.71203,0.14702,1.10239,0.06674,0.01565,0.10654,5.26184,17.31337,-5.40368,12.03536,3.25807,7.327,0.02104,-5.32927,-3.37929,-0.817,38.40991,-5.01811,-3.218,-3.29174
0.32,-37.67443,11.42859,0.17589,-2.52697,0.78134,0.09257,1.19786,-1.6836,-0.29342,1.1361,-0.06335,-0.0245,-0.11127,0.58719,0.70845,0.14867,1.09063,0.06577,0.01566,0.10439,4.87697,17.25676,-5.4487,11.92323,3.19819,7.33913,0.00337,-6.02371,-3.85581,-0.78119,37.90438,-5.02665,-3.23126,-3.3177
0.34,-37.52094,11.60933,0.237,-2.49558,0.80177,0.09735,1.19403,-1.67848,-0.2947,1.11825,-0.06225,-0.02401,-0.1082,0.5733,0.70865,0.15084,1.07716,0.0647,0.01547,0.10201,4.4614,17.21524,-5.48996,11.77871,3.12029,7.36584,-0.00912,-6.77683,-4.34788,-0.73267,37.35198,-5.03366,-3.23453,-3.34049
0.36,-37.35427,11.79344,0.30525,-2.46376,0.82256,0.10232,1.19549,-1.67072,-0.29512,1.10133,-0.06107,-0.02342,-0.10517,0.56418,0.70927,0.15333,1.06426,0.06355,0.01517,0.09965,4.03765,17.2019,-5.52616,11.6489,3.04157,7.38861,-0.02202,-7.49854,-4.80258,-0.68201,36.80464,-5.03391,-3.23949,-3.36265
0.38,-37.18782,11.97702,0.37781,-2.43045,0.84409,0.10744,1.20926,-1.66101,-0.29532,1.08762,-0.05997,-0.02283,-0.10245,0.56549,0.71239,0.15695,1.0538,0.06244,0.0145,0.0975,3.59854,17.22172,-5.55819,11.51931,2.95562,7.41497,-0.03255,-8.17957,-5.20966,-0.62789,36.26697,-5.02675,-3.24112,-3.38205
0.4,-36.90574,12.13693,0.45582,-2.38951,0.86623,0.11267,1.21604,-1.65113,-0.29507,1.07394,-0.0588,-0.02218,-0.09983,0.55901,0.71852,0.16082,1.04225,0.06119,0.01387,0.09528,3.12678,17.25313,-5.58269,11.37765,2.86014,7.44431,-0.04047,-8.92238,-5.62286,-0.55391,35.67856,-5.0172,-3.23983,-3.39909
0.42,-36.38819,12.24564,0.54045,-2.33557,0.88848,0.11795,1.19488,-1.64345,-0.29424,1.05719,-0.05744,-0.02139,-0.09711,0.52492,0.72741,0.16369,1.02623,0.0596,0.01374,0.09274,2.60449,17.27306,-5.59625,11.21272,2.75318,7.47538,-0.04577,-9.82336,-6.10256,-0.44381,34.98043,-5.01075,-3.2411,-3.41551
0.44,-35.75279,12.32081,0.62621,-2.27589,0.91054,0.12311,1.16746,-1.63806,-0.29356,1.04191,-0.05617,-0.02062,-0.09475,0.48451,0.73925,0.16678,1.01053,0.05794,0.01365,0.09034,2.0371,17.30221,-5.60314,11.03368,2.63615,7.5089,-0.04806,-10.77836,-6.5784,-0.31203,34.23452,-5.00046,-3.23895,-3.42831
0.46,-35.11677,12.38425,0.70769,-2.21864,0.9324,0.12807,1.15336,-1.63481,-0.29381,1.03226,-0.05528,-0.02002,-0.09317,0.45747,0.7542,0.17133,0.99973,0.05649,0.01323,0.08853,1.43241,17.36147,-5.60819,10.85331,2.51165,7.54443,-0.0471,-11.68122,-6.98987,-0.17352,33.50179,-4.98,-3.23147,-3.43563
0.48,-34.48547,12.43116,0.78187,-2.1659,0.95398,0.13275,1.15209,-1.63468,-0.29592,1.02955,-0.05489,-0.01966,-0.09257,0.4432,0.77243,0.1777,0.9954,0.05536,0.0125,0.08752,0.7851,17.45189,-5.61316,10.6697,2.37796,7.58341,-0.04186,-12.51388,-7.3625,-0.03125,32.77994,-4.95175,-3.23491,-3.44052
0.5,-33.75604,12.43533,0.8467,-2.11066,0.9731,0.13684,1.14229,-1.63713,-0.29757,1.02663,-0.05474,-0.01932,-0.09226,0.4261,0.79374,0.18402,0.99106,0.05431,0.0118,0.08671,0.07293,17.54714,-5.61505,10.46943,2.23504,7.62245,-0.03352,-13.42965,-7.69313,0.13127,32.00897,-4.91286,-3.2092,-3.43406
0.52,-32.83163,12.36771,0.89948,-2.04591,0.98737,0.13997,1.10261,-1.64169,-0.29624,1.01585,-0.05448,-0.01872,-0.09154,0.39078,0.81829,0.18814,0.97984,0.05311,0.01143,0.08542,-0.72614,17.61797,-5.61008,10.23965,2.08249,7.65901,-0.02276,-14.59321,-7.96311,0.34117,31.14266,-4.85855,-3.09875,-3.40502
0.54,-31.8255,12.23867,0.93433,-1.98133,0.99636,0.14202,1.05274,-1.649,-0.29464,1.00391,-0.05453,-0.01821,-0.09102,0.3543,0.84627,0.19187,0.96913,0.05217,0.01113,0.08443,-1.60206,17.6926,-5.60355,9.9903,1.91993,7.69544,-0.00817,-15.89591,-8.19797,0.57601,30.20674,-4.79841,-2.96416,-3.36582
