T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-7,264.26512,2.57055,-7,0.25938,-7,-7,421.48416,6.99999,-7,0.25937,-7
0.02,-7,263.85252,2.48799,-7,0.2539,-7,-7,421.89985,6.99999,-7,0.25389,-7
0.04,-7,263.42687,2.40392,-7,0.24844,-7,-7,422.32863,6.99999,-7,0.24843,-7
0.06,-7,262.99122,2.31946,-7,0.24313,-7,-7,422.76746,6.99999,-7,0.24312,-7
0.08,-7,262.54826,2.23556,-7,0.23811,-7,-7,423.21357,6.99999,-7,0.23811,-7
0.1,-7,262.10059,2.15303,-7,0.2335,-7,-7,423.66435,6.99999,-7,0.23349,-7
0.12,-7,261.65081,2.07251,-7,0.22939,-7,-7,424.11719,6.99999,-7,0.22939,-7
0.14,-7,261.20151,1.99458,-7,0.22589,-7,-7,424.56946,6.99999,-7,0.22588,-7
0.16,-7,260.75524,1.91971,-7,0.22306,-7,-7,425.01859,6.99999,-7,0.22306,-7
0.18,-7,260.31443,1.84831,-7,0.221,-7,-7,425.46215,6.99998,-7,0.22099,-7
0.2,-7,259.88123,1.78082,-7,0.21977,-7,-7,425.89795,6.99998,-7,0.21976,-7
0.22,-7,259.45737,1.71765,-7,0.21946,-7,-7,426.32429,6.99998,-7,0.21945,-7
0.24,-7,259.04394,1.65925,-7,0.22013,-7,-7,426.74003,6.99998,-7,0.22012,-7
0.26,-7,258.64125,1.60612,-7,0.22186,-7,-7,427.14486,6.99998,-7,0.22185,-7
0.28,-7,258.24864,1.55879,-7,0.22473,-7,-7,427.53944,6.99998,-7,0.22472,-7
0.3,-7,257.86431,1.51781,-7,0.2288,-7,-7,427.92554,6.99998,-7,0.22879,-7
0.32,-7,257.48517,1.48376,-7,0.23411,-7,-7,428.30624,6.99998,-7,0.2341,-7
0.34,-7,257.10668,1.45717,-7,0.24069,-7,-7,428.68608,6.99998,-7,0.24068,-7
0.36,-7,256.72273,1.43855,-7,0.24855,-7,-7,429.07116,6.99998,-7,0.24853,-7
0.38,-7,256.32551,1.42832,-7,0.25763,-7,-7,429.46927,6.99998,-7,0.25762,-7
0.4,-7,255.90542,1.42679,-7,0.26788,-7,-7,429.89002,6.99998,-7,0.26787,-7
0.42,-7,255.45102,1.43416,-7,0.27917,-7,-7,430.34484,6.99998,-7,0.27916,-7
0.44,-7,254.94898,1.45047,-7,0.29136,-7,-7,430.84706,6.99998,-7,0.29135,-7
0.46,-7,254.38412,1.47563,-7,0.30425,-7,-7,431.41185,6.99998,-7,0.30424,-7
0.48,-7,253.73956,1.50937,-7,0.31763,-7,-7,432.05613,6.99998,-7,0.31763,-7
0.5,-7,252.99685,1.55133,-7,0.33126,-7,-7,432.79832,6.99998,-7,0.33127,-7
0.52,-7,252.13629,1.601,-7,0.34492,-7,-7,433.65813,6.99997,-7,0.34493,-7
0.54,-7,251.13735,1.65777,-7,0.35835,-7,-7,434.6561,6.99997,-7,0.35837,-7
0.56,-7,249.97909,1.72099,-7,0.37135,-7,-7,435.81316,6.99996,-7,0.37138,-7
0.58,-7,248.64077,1.78996,-7,0.38375,-7,-7,437.15008,6.99996,-7,0.38379,-7
0.6,-7,247.10236,1.86396,-7,0.3954,-7,-7,438.68685,6.99995,-7,0.39546,-7
0.62,-7,245.34516,1.94236,-7,0.40624,-7,-7,440.44219,6.99994,-7,0.4063,-7
0.64,-7,243.35225,2.02458,-7,0.41625,-7,-7,442.433,6.99994,-7,0.41632,-7
0.66,-7,241.10891,2.1102,-7,0.42548,-7,-7,444.67398,6.99993,-7,0.42555,-7
0.68,-7,238.60285,2.19898,-7,0.43404,-7,-7,447.17741,6.99993,-7,0.43412,-7
0.7,-7,235.82435,2.29086,-7,0.44213,-7,-7,449.95298,6.99993,-7,0.44221,-7
0.72,-7,232.76622,2.38603,-7,0.44994,-7,-7,453.00787,6.99993,-7,0.45002,-7
0.74,-7,229.42361,2.4849,-6.99999,0.45773,-7,-7,456.34687,6.99993,-6.99999,0.45781,-7
0.76,-7,225.79375,2.58805,-6.99999,0.46576,-7,-7,459.97272,6.99993,-6.99999,0.46583,-7
0.78,-7,221.87556,2.69627,-6.99999,0.47425,-7,-7,463.88648,6.99994,-6.99999,0.47432,-7
0.8,-7,217.66921,2.81045,-6.99999,0.48342,-7,-7,468.0879,6.99995,-6.99999,0.48348,-7
0.82,-7,213.17584,2.93156,-6.99999,0.49342,-7,-7,472.57582,6.99996,-6.99999,0.49347,-7
0.84,-7,208.39715,3.0606,-6.99999,0.50436,-7,-7,477.34847,6.99998,-6.99999,0.5044,-7
0.86,-6.99999,203.3353,3.19852,-6.99999,0.51627,-6.99999,-7,482.40364,7,-6.99999,0.51631,-6.99999
0.88,-6.99999,197.99282,3.34625,-6.99999,0.5292,-6.99999,-7,487.73873,7.00004,-6.99999,0.52923,-6.99999
0.9,-6.99999,192.37273,3.50456,-7,0.54311,-6.99999,-7,493.35064,7.00009,-7,0.54314,-6.99999
0.92,-6.99998,186.47879,3.67407,-7.00001,0.55802,-6.99998,-7,499.23557,7.00014,-7.00001,0.55805,-6.99998
0.94,-6.99998,180.31581,3.85522,-7.00002,0.57396,-6.99998,-7,505.38859,7.00021,-7.00002,0.57398,-6.99998
0.96,-6.99998,173.8901,4.04815,-7.00004,0.59101,-6.99998,-7,511.80332,7.00028,-7.00004,0.59102,-6.99998
0.98,-6.99998,167.20996,4.25274,-7.00006,0.60935,-6.99998,-7,518.47134,7.00036,-7.00006,0.60936,-6.99998
1,-6.99998,160.28617,4.46846,-7.00009,0.62929,-6.99998,-7,525.38179,7.00042,-7.00009,0.6293,-6.99998
1.02,-6.99998,153.13249,4.69437,-7.00012,0.65128,-6.99998,-7,532.5208,7.00047,-7.00012,0.65129,-6.99998
1.04,-6.99999,145.7661,4.92899,-7.00015,0.6759,-6.99999,-7,539.87113,7.00049,-7.00015,0.67592,-6.99999
1.06,-7,138.20786,5.17024,-7.00018,0.70395,-7,-7,547.41183,7.00044,-7.00018,0.70396,-7
1.08,-7.00003,130.48243,5.4154,-7.00021,0.73633,-7.00003,-7,555.11822,7.00032,-7.00021,0.73635,-7.00003
1.1,-7.00006,122.6181,5.66105,-7.00022,0.77414,-7.00006,-7,562.96204,7.00009,-7.00022,0.77417,-7.00006
1.12,-7.0001,114.64627,5.90314,-7.00022,0.81854,-7.0001,-7,570.91192,6.9997,-7.00022,0.81859,-7.0001
1.14,-7.00015,106.60073,6.13711,-7.00019,0.87077,-7.00015,-7,578.93423,6.99915,-7.00019,0.87084,-7.00015
1.16,-7.00021,98.51666,6.35813,-7.00011,0.93204,-7.00021,-7,586.99396,6.99838,-7.00011,0.93213,-7.00021
1.18,-7.00027,90.42957,6.56145,-6.99998,1.00339,-7.00027,-7,595.05585,6.99738,-6.99998,1.00351,-7.00027
1.2,-7.00035,82.37437,6.74291,-6.99978,1.08565,-7.00035,-7,603.08532,6.99616,-6.99978,1.08581,-7.00035
1.22,-7.00042,74.38486,6.89939,-6.9995,1.17924,-7.00042,-7,611.04892,6.99472,-6.9995,1.17943,-7.00042
1.24,-7.00047,66.49457,7.02902,-6.99912,1.28401,-7.00047,-7,618.91351,6.99314,-6.99912,1.28423,-7.00047
1.26,-7.0005,58.73972,7.13065,-6.99863,1.399,-7.0005,-7,626.64329,6.99154,-6.99863,1.39924,-7.0005
1.28,-7.00048,51.16341,7.20297,-6.99805,1.52222,-7.00048,-6.99999,634.19561,6.9901,-6.99804,1.52247,-7.00048
1.3,-7.00039,43.81959,7.24346,-6.99738,1.65044,-7.00039,-6.99999,641.51692,6.98909,-6.99738,1.65068,-7.00039
1.32,-7.0002,36.77572,7.24774,-6.99667,1.77911,-7.0002,-6.99998,648.54019,6.98888,-6.99666,1.77929,-7.0002
1.34,-6.99988,30.11322,7.20917,-6.99597,1.90239,-6.99988,-6.99998,655.18435,6.98994,-6.99597,1.90246,-6.99988
1.36,-6.99939,23.92528,7.11881,-6.9954,2.01339,-6.99939,-6.99997,661.3566,6.99286,-6.9954,2.01329,-6.99939
1.38,-6.99871,18.31098,6.9659,-6.99508,2.10457,-6.99871,-6.99997,666.95815,6.99831,-6.99507,2.10422,-6.99871
1.4,-6.99781,13.36519,6.73878,-6.99519,2.16846,-6.99781,-6.99997,671.89443,7.00701,-6.99519,2.16777,-6.99781
1.42,-6.99668,9.16319,6.42651,-6.99597,2.19851,-6.99668,-6.99996,676.09038,7.0197,-6.99597,2.19739,-6.99668
1.44,-6.99533,5.74209,6.02121,-6.99769,2.19023,-6.99534,-6.99996,679.5091,7.03702,-6.9977,2.1886,-6.99534
1.46,-6.99382,3.08778,5.52072,-7.00066,2.14195,-6.99382,-6.99997,682.16484,7.05939,-7.00068,2.13975,-6.99382
1.48,-6.99224,1.13741,4.93,-7.00522,2.05482,-6.99224,-6.99998,684.12056,7.08682,-7.00523,2.05206,-6.99224
1.5,-6.99074,0,4.26026,-7.01166,1.9322,-6.99074,-7.00001,685.47211,7.11872,-7.01169,1.92893,-6.99074
1.52,-6.98956,0,3.52673,-7.02025,1.77886,-6.98957,-7.00004,686.32974,7.15359,-7.02028,1.77526,-6.98957
