T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-6.22169,-0.39367,0.18899,-0.03715,0.13964,-0.00616,0.38671,-0.8705,-0.09835,0.42699,-0.07523,-0.02939,-0.08658,0.44212,0.8841,0.08875,0.51289,0.33111,-0.12558,0.17031,0.19421,-0.91654,0.17182,-0.75092,-0.27236,0.11496,0.14491,0.16744,0.07633,-0.23064,-0.54633,-0.24847,-0.11535,-0.14547
0.02,-6.21904,-0.39371,0.18985,-0.03688,0.13927,-0.00615,0.38805,-0.87048,-0.09724,0.43078,-0.07395,-0.02906,-0.08644,0.44376,0.88245,0.08882,0.51292,0.32637,-0.12458,0.16947,0.19458,-0.90425,0.1903,-0.75137,-0.27417,0.11292,0.14092,0.16786,0.07723,-0.2324,-0.54661,-0.24827,-0.11573,-0.14574
0.04,-6.21641,-0.39376,0.19068,-0.03667,0.13889,-0.00615,0.38934,-0.87048,-0.09627,0.43448,-0.0727,-0.02877,-0.08629,0.44525,0.88073,0.08931,0.51282,0.31897,-0.12301,0.16818,0.1949,-0.89219,0.20805,-0.75182,-0.27592,0.11094,0.13699,0.16825,0.07814,-0.23402,-0.54687,-0.24808,-0.1161,-0.14601
0.06,-6.21378,-0.3938,0.19149,-0.03649,0.13848,-0.00614,0.39058,-0.8705,-0.09543,0.43813,-0.07152,-0.02854,-0.08611,0.44658,0.87892,0.09032,0.51253,0.30845,-0.12077,0.1664,0.1952,-0.88032,0.22516,-0.75225,-0.27762,0.10901,0.13312,0.1686,0.07907,-0.23551,-0.54713,-0.24789,-0.11646,-0.14629
0.08,-6.21116,-0.39385,0.19227,-0.03634,0.13805,-0.00614,0.39176,-0.87055,-0.0947,0.44176,-0.07053,-0.0284,-0.08593,0.44778,0.87699,0.09191,0.51196,0.29435,-0.11775,0.16406,0.19545,-0.86861,0.24169,-0.75268,-0.27928,0.10713,0.12927,0.16893,0.08001,-0.23686,-0.54738,-0.24769,-0.11683,-0.14656
0.1,-6.20862,-0.39392,0.19301,-0.0362,0.13758,-0.00613,0.39289,-0.87066,-0.09403,0.44539,-0.06986,-0.02839,-0.08578,0.44881,0.87481,0.09422,0.51093,0.2759,-0.11379,0.16093,0.19566,-0.85718,0.25741,-0.7531,-0.28087,0.10532,0.1255,0.16922,0.081,-0.23801,-0.54762,-0.24749,-0.11718,-0.14685
0.12,-6.20601,-0.394,0.19375,-0.03604,0.13709,-0.00612,0.39396,-0.87082,-0.09339,0.44901,-0.06968,-0.02852,-0.08569,0.44978,0.87257,0.09715,0.5095,0.25427,-0.10912,0.15748,0.19584,-0.84577,0.27282,-0.75351,-0.28243,0.10353,0.12172,0.16949,0.08197,-0.23909,-0.54786,-0.24729,-0.11754,-0.14713
0.14,-6.20358,-0.3941,0.19445,-0.03581,0.13655,-0.00612,0.39495,-0.8711,-0.09274,0.45267,-0.07025,-0.02886,-0.0857,0.45062,0.86997,0.10081,0.50732,0.22855,-0.10356,0.15323,0.19597,-0.83469,0.28735,-0.75391,-0.28393,0.10181,0.11804,0.16973,0.083,-0.23996,-0.54809,-0.24709,-0.1179,-0.14742
0.16,-6.20131,-0.39425,0.19511,-0.03548,0.13599,-0.00611,0.39585,-0.87151,-0.09202,0.45636,-0.07186,-0.02945,-0.08586,0.45139,0.86699,0.1051,0.50428,0.19975,-0.09734,0.14827,0.19605,-0.82397,0.30104,-0.7543,-0.28535,0.10016,0.11447,0.16994,0.08412,-0.24063,-0.5483,-0.24687,-0.11825,-0.14772
0.18,-6.19851,-0.39434,0.19585,-0.03497,0.13548,-0.0061,0.39672,-0.87188,-0.09111,0.45996,-0.07468,-0.03026,-0.0863,0.45261,0.86477,0.1091,0.50122,0.17611,-0.09203,0.14542,0.19612,-0.81234,0.31655,-0.75469,-0.2869,0.0984,0.11054,0.17016,0.08484,-0.2418,-0.5485,-0.24668,-0.11861,-0.14797
