T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-4.93654,-0.32525,-0.16516,0.11221,-0.09271,-0.00108,0.20711,-0.65223,-0.08835,0.60819,-0.08697,-0.02487,-0.10031,0.96154,0.99353,0.09887,0.62975,0.3818,-0.13536,0.22117,0.20003,-0.86794,0.48796,-0.72334,-0.30306,0.10858,0.12113,0.13578,-0.12868,-0.13083,-0.4042,-0.24264,-0.00148,0.05096
0.02,-4.97151,-0.31865,-0.14618,0.11007,-0.0911,-0.00108,0.21688,-0.67124,-0.08512,0.63621,-0.08723,-0.0245,-0.10195,0.91931,0.95272,0.10573,0.60744,0.30576,-0.11661,0.20414,0.19507,-0.8637,0.48675,-0.71937,-0.3013,0.111,0.12501,0.14018,-0.15153,-0.12085,-0.40256,-0.2373,-0.01295,0.0331
0.04,-5.0064,-0.3121,-0.12747,0.10809,-0.08929,-0.00108,0.22618,-0.69005,-0.08233,0.66401,-0.08816,-0.02428,-0.10362,0.87898,0.91427,0.11146,0.58627,0.24049,-0.10031,0.18811,0.19061,-0.85946,0.48564,-0.71553,-0.29954,0.11337,0.12886,0.14415,-0.17389,-0.11202,-0.40115,-0.23191,-0.02412,0.01544
0.06,-5.04123,-0.30557,-0.10889,0.10623,-0.08722,-0.00107,0.23532,-0.70874,-0.07998,0.69169,-0.09014,-0.0243,-0.10538,0.84024,0.87798,0.11623,0.56606,0.18528,-0.08633,0.17302,0.1867,-0.85519,0.48461,-0.7118,-0.29776,0.11571,0.13269,0.14784,-0.19579,-0.10444,-0.40006,-0.22643,-0.03504,-0.00207
0.08,-5.07594,-0.299,-0.09029,0.10448,-0.08478,-0.00107,0.24459,-0.7274,-0.07808,0.71936,-0.09362,-0.02467,-0.10731,0.8027,0.84364,0.12018,0.54658,0.13962,-0.07458,0.15883,0.18344,-0.85081,0.48362,-0.70817,-0.29593,0.11804,0.13651,0.15144,-0.21719,-0.09828,-0.39942,-0.22081,-0.04576,-0.0195
0.1,-5.11025,-0.29239,-0.0715,0.10282,-0.08186,-0.00107,0.2542,-0.74584,-0.07672,0.74656,-0.09906,-0.02551,-0.10947,0.76592,0.81138,0.12343,0.52772,0.10383,-0.0652,0.14576,0.18098,-0.84623,0.4827,-0.70466,-0.29401,0.12034,0.14032,0.15508,-0.23765,-0.09412,-0.3994,-0.21493,-0.05621,-0.03675
0.12,-5.14447,-0.2856,-0.05281,0.10124,-0.07855,-0.00106,0.26432,-0.76444,-0.07588,0.77425,-0.10695,-0.02696,-0.11194,0.73022,0.78066,0.12625,0.50933,0.07624,-0.05781,0.13337,0.17942,-0.84146,0.48168,-0.70121,-0.29204,0.12264,0.14413,0.15907,-0.25786,-0.09118,-0.4001,-0.20902,-0.06654,-0.05398
0.14,-5.17756,-0.27865,-0.03387,0.09973,-0.07466,-0.00105,0.27507,-0.78272,-0.07572,0.80124,-0.1178,-0.02915,-0.11481,0.6947,0.75192,0.12874,0.4912,0.0579,-0.05273,0.12218,0.17903,-0.83624,0.48064,-0.69788,-0.2899,0.12494,0.14794,0.16357,-0.27662,-0.09072,-0.40182,-0.20279,-0.0766,-0.07103
0.16,-5.21013,-0.27157,-0.01473,0.09828,-0.0702,-0.00103,0.28651,-0.80064,-0.07628,0.82748,-0.13187,-0.03217,-0.11807,0.65929,0.72507,0.13117,0.47319,0.0478,-0.04972,0.11212,0.17994,-0.83061,0.47954,-0.69468,-0.28761,0.12723,0.15175,0.16883,-0.29392,-0.09269,-0.40468,-0.19627,-0.08639,-0.08787
0.18,-5.24313,-0.26379,0.00263,0.09683,-0.06614,-0.00101,0.29841,-0.82039,-0.07725,0.85885,-0.1493,-0.03624,-0.12188,0.62667,0.69796,0.1345,0.45534,0.03862,-0.04676,0.10082,0.18203,-0.82468,0.47756,-0.69134,-0.28539,0.12951,0.15558,0.17561,-0.31356,-0.09205,-0.40838,-0.19088,-0.09653,-0.10522
