T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-29.60665,-3.78016,-0.22304,-1.62125,-0.12991,-0.00597,1.06052,0.01976,-0.0607,1.02135,0.00773,0.04641,-0.09682,0.45646,1.39666,0.37231,0.91717,-0.09971,-0.00402,-0.13931,-9.44475,3.11675,-3.30867,14.55161,-7.11849,12.34596,0.93774,7.96626,-19.90522,2.4617,28.55755,-1.59551,3.89606,-1.44245
0.02,-29.54688,-3.46454,-0.21873,-1.6236,-0.1195,-0.00409,1.04431,0.01363,-0.06229,1.0198,0.0078,0.04591,-0.09621,0.43391,1.409,0.37672,0.90778,-0.04848,-0.01049,-0.11122,-9.53071,2.83954,-3.25738,14.66971,-7.19937,12.35019,0.94836,7.94401,-20.11011,2.55495,28.36779,-1.49822,3.85317,-1.44429
0.04,-29.53415,-3.10215,-0.20613,-1.63128,-0.10747,-0.00179,1.02909,0.00111,-0.06548,1.01803,0.00786,0.04523,-0.09556,0.40656,1.41279,0.37795,0.89509,-0.00548,-0.01455,-0.08498,-9.63038,2.55075,-3.20253,14.7912,-7.28258,12.35416,0.95966,7.92311,-20.32204,2.64585,28.17102,-1.39979,3.81035,-1.44499
0.06,-29.573,-2.69005,-0.1864,-1.64486,-0.09371,0.00095,1.01525,-0.01825,-0.07034,1.01624,0.00789,0.04438,-0.09488,0.37662,1.4064,0.3755,0.88039,0.0295,-0.01616,-0.0604,-9.74548,2.25051,-3.14409,14.91622,-7.36851,12.3579,0.97187,7.90317,-20.54067,2.73394,27.96693,-1.30004,3.76769,-1.44426
0.08,-29.66338,-2.22837,-0.16126,-1.66442,-0.07815,0.00412,1.00315,-0.04447,-0.07688,1.01465,0.00789,0.04338,-0.09421,0.34688,1.389,0.36913,0.86534,0.05656,-0.0153,-0.03726,-9.878,1.93862,-3.08187,15.04532,-7.45784,12.36143,0.98522,7.88363,-20.76429,2.81862,27.75412,-1.19842,3.72526,-1.4418
0.1,-29.8001,-1.72022,-0.13288,-1.68947,-0.06066,0.00769,0.99298,-0.07716,-0.08499,1.01345,0.00786,0.04226,-0.09359,0.32034,1.36092,0.35902,0.85175,0.07515,-0.01191,-0.01579,-10.02958,1.6125,-3.0152,15.17924,-7.55128,12.36462,0.99976,7.86398,-20.9904,2.89931,27.52925,-1.09391,3.68282,-1.43735
0.12,-29.97833,-1.17567,-0.10286,-1.71958,-0.04162,0.01158,0.98603,-0.11527,-0.09438,1.01323,0.00779,0.04106,-0.09307,0.30005,1.32315,0.34579,0.84168,0.08626,-0.00615,0.00494,-10.20366,1.28585,-2.94598,15.31802,-7.65021,12.36827,1.01626,7.84442,-21.20356,2.97236,27.29406,-0.98666,3.64225,-1.42975
0.14,-30.18058,-0.59917,-0.07332,-1.75302,-0.02054,0.01578,0.98173,-0.15773,-0.10478,1.01395,0.00769,0.03985,-0.0927,0.28798,1.27912,0.33069,0.83629,0.08868,0.00191,0.02403,-10.40039,0.94687,-2.87182,15.46373,-7.75547,12.37177,1.03422,7.82313,-21.40396,3.03878,27.04031,-0.87437,3.60221,-1.41921
0.16,-30.39217,0.0011,-0.04513,-1.78829,0.00274,0.02025,0.98053,-0.20297,-0.11577,1.01589,0.00755,0.03869,-0.0925,0.28497,1.2329,0.31538,0.83626,0.08297,0.01188,0.04157,-10.61995,0.59884,-2.79279,15.61798,-7.86839,12.37541,1.05378,7.7995,-21.57953,3.09706,26.76417,-0.75552,3.56287,-1.40529
0.18,-30.61478,0.60019,-0.01753,-1.82552,0.02654,0.02478,0.98698,-0.2485,-0.12662,1.0207,0.00735,0.0376,-0.09258,0.29252,1.18695,0.30121,0.84324,0.0748,0.02306,0.06142,-10.87055,0.30359,-2.7185,15.77692,-7.99154,12.38274,1.07781,7.77738,-21.67806,3.13505,26.48557,-0.63433,3.53325,-1.38395
