T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.0637,0,0,0,5e-05,0.02215,0.00136,0,0.00801,0.00734,0.00226,0,0.02696,0,8e-05,0.01913,0,0.00598,0.00405,0.09602,0.10278,0,0.13345,0.10161,0.24671,0.36048,0,0,0.06585,0.17305,0,0,0,0.11064,0,0.00283,0.0301,0.00023,0,0,0,0.00192,0,0,0,0.00272,0,0.00709,0,0,0.01947,0,0,0,0,0.22656,0,0,0,0,0.07432,0.01747,0,0,0.02457,0.1571,0.09916
0.02,0,0.06376,0,0,0,0.00026,0.02149,0.00143,0,0.00806,0.00722,0.00226,0,0.02641,0,0.00019,0.01962,0,0.00586,0.00401,0.09624,0.10333,0,0.13289,0.1001,0.24945,0.36828,0,0,0.06603,0.17203,0,0,0,0.11013,0,0.00144,0.03003,4e-05,0,0,0,0.00179,0,0,0,0.00255,0,0.0068,0,0,0.01928,0,0,0,0,0.22955,0,0,0,0,0.07588,0.01675,0,0,0.02444,0.15801,0.09612
0.04,2e-05,0.06383,0.00182,3e-05,0.0002,0.00057,0.02084,0.00154,1e-05,0.00812,0.00732,0.0023,8e-05,0.02574,4e-05,0.00038,0.01994,0.0001,0.00575,0.00397,0.09651,0.10406,0.0001,0.13232,0.09857,0.2521,0.37623,1e-05,1e-05,0.06632,0.17098,1e-05,2e-05,4e-05,0.10956,0,0.00132,0.03012,0.00018,2e-05,9e-05,2e-05,0.00164,1e-05,8e-05,8e-05,0.0024,3e-05,0.00644,1e-05,2e-05,0.01922,6e-05,6e-05,0,0,0.23217,1e-05,1e-05,3e-05,1e-05,0.07755,0.0159,0.00022,1e-05,0.02431,0.15893,0.09297
0.06,0,0.06391,0.00437,0,0.0003,0.00092,0.0202,0.00167,1e-05,0.00819,0.00753,0.00235,6e-05,0.02492,6e-05,0.0006,0.02006,0.00015,0.0056,0.00378,0.0968,0.10489,9e-05,0.13171,0.09696,0.25459,0.38421,0,1e-05,0.06643,0.16988,0,2e-05,6e-05,0.10896,0,0.00118,0.03043,8e-05,1e-05,0.00013,1e-05,0.00147,1e-05,2e-05,7e-05,0.00212,5e-05,0.006,0,3e-05,0.01916,1e-05,2e-05,0,0,0.23438,0,0,3e-05,0,0.07933,0.01492,0.00014,0,0.02417,0.15985,0.08942
0.08,0,0.06402,0.0077,0,0.00047,0.00137,0.01964,0.0018,1e-05,0.00835,0.00805,0.00244,2e-05,0.02392,2e-05,0.00089,0.01995,3e-05,0.00547,0.00356,0.09706,0.10577,4e-05,0.13108,0.09533,0.2569,0.39234,0,0,0.06658,0.16874,0,1e-05,3e-05,0.10839,0,0.00103,0.03115,3e-05,0,6e-05,1e-05,0.00131,1e-05,1e-05,5e-05,0.00181,0,0.00545,0,1e-05,0.01902,0,1e-05,0,0,0.23639,0,0,1e-05,0,0.08126,0.01385,3e-05,0,0.02402,0.16078,0.08524
0.1,2e-05,0.06417,0.01194,2e-05,0.00072,0.0019,0.02004,0.00193,2e-05,0.0087,0.00905,0.00261,0.00012,0.02284,3e-05,0.00123,0.01968,0.00015,0.00535,0.00332,0.09726,0.10662,0.00031,0.13042,0.09372,0.25906,0.40071,1e-05,1e-05,0.06688,0.16757,5e-05,7e-05,0.00013,0.10795,1e-05,0.00099,0.03274,7e-05,1e-05,0.00095,8e-05,0.00119,2e-05,6e-05,0.00013,0.00165,2e-05,0.00485,1e-05,1e-05,0.01915,5e-05,4e-05,1e-05,2e-05,0.23869,1e-05,0,7e-05,2e-05,0.08337,0.0127,5e-05,2e-05,0.0239,0.16183,0.08119
0.12,0,0.06429,0.01687,0,0.00094,0.00245,0.02016,0.00192,0,0.00926,0.01076,0.00279,0,0.02168,0,0.00158,0.01921,2e-05,0.00522,0.00297,0.09723,0.10733,4e-05,0.12967,0.09205,0.26092,0.40919,0,0,0.06742,0.16633,1e-05,2e-05,1e-05,0.10768,0,0.00081,0.03606,2e-05,0,0.00078,0,0.00109,0,0,2e-05,0.00135,2e-05,0.00418,0,0,0.01916,0,0,0,0,0.24059,0,0,0,0,0.0856,0.01154,3e-05,0,0.02376,0.16276,0.0755
0.14,0,0.06438,0.02252,0,0.00119,0.00305,0.02076,0.00182,0,0.01018,0.01365,0.00303,0,0.02051,0,0.00195,0.01859,0,0.00512,0.00262,0.09691,0.10786,1e-05,0.12892,0.09046,0.26252,0.41799,0,0,0.06811,0.16507,0,0,0,0.10774,0,0.00058,0.0395,1e-05,0,0.00049,0,0.00111,0,1e-05,1e-05,0.00124,1e-05,0.00349,0,0,0.0194,1e-05,1e-05,0,0,0.24299,0,0,0,0,0.08802,0.01027,1e-05,0,0.02363,0.1638,0.06967
0.16,0,0.06435,0.02877,0,0.00143,0.00362,0.02201,0.00154,0,0.01151,0.01775,0.00332,0,0.01942,0,0.00231,0.01785,1e-05,0.00506,0.00225,0.09578,0.10814,0,0.12815,0.08895,0.26377,0.42704,0,0,0.06904,0.16378,0,0,1e-05,0.10822,0,0.00023,0.04412,0,0,0.00016,0,0.00127,0,0,0,0.00127,0,0.0028,0,0,0.01981,1e-05,2e-05,0,0,0.24578,0,0,0,0,0.09062,0.00905,1e-05,0,0.02352,0.16493,0.06313
0.18,0,0.06411,0.03582,0,0.00159,0.00413,0.0242,0.00106,0,0.01325,0.02392,0.00366,0,0.01815,0,0.00264,0.01705,0,0.00505,0.00182,0.09405,0.10813,0,0.12721,0.08736,0.26514,0.43712,0,0,0.07086,0.16253,0,0,0,0.10923,0,3e-05,0.05014,0,0,1e-05,0,0.00161,0,0,0,0.00149,0,0.00214,0,0,0.02044,0,0,0,0,0.24895,0,0,0,0,0.09318,0.00825,0,0,0.0234,0.16582,0.05545
