T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.04362,-0.0099,0.02195,0.1556,-0.05435,-0.05132,-0.11113,0.00172,0.05081,0.16171,0.13282,-0.00053,0.10714,-0.04611,0.30014,-0.45069,-1.79613,-0.38594,-0.32671,0.27844,0.386,-1.34216,-0.12501,5.23245,-1.60873,0.84571,0.12979,-0.02515,-0.33641,-0.02193,0.01035,0.00545,0.00809,0.18907,0.05518,0.14826,-0.02429,0.00192,-0.01267,-0.01759
0.02,-0.04465,-0.01013,0.02242,0.15899,-0.05528,-0.05215,-0.11373,0.00177,0.05132,0.16491,0.13522,-0.00054,0.10952,-0.04589,0.30048,-0.4578,-1.81501,-0.39003,-0.33024,0.28367,0.38477,-1.34383,-0.12799,5.247,-1.61435,0.84775,0.13215,-0.02643,-0.34576,-0.02236,0.01087,0.00581,0.00839,0.1926,0.05656,0.15384,-0.02463,0.00204,-0.0134,-0.01819
0.04,-0.04513,-0.01023,0.02261,0.16055,-0.05508,-0.05216,-0.115,0.00175,0.05095,0.16521,0.13569,-0.00055,0.11027,-0.04514,0.29714,-0.45728,-1.80841,-0.38886,-0.32899,0.28444,0.37392,-1.31481,-0.12973,5.1464,-1.5848,0.83113,0.13229,-0.02764,-0.35126,-0.02256,0.01132,0.00616,0.0086,0.1931,0.05733,0.15864,-0.0246,0.00219,-0.01425,-0.01869
0.06,-0.04512,-0.01023,0.02255,0.16055,-0.05364,-0.05139,-0.11508,0.00162,0.04976,0.1624,0.13434,-0.00055,0.10938,-0.04414,0.29151,-0.44903,-1.78008,-0.38335,-0.32356,0.2807,0.35298,-1.25383,-0.13051,4.92674,-1.51881,0.79523,0.13012,-0.02882,-0.35312,-0.02257,0.0117,0.0065,0.00872,0.19055,0.05753,0.16298,-0.02423,0.00237,-0.01531,-0.01914
0.08,-0.04464,-0.01012,0.02225,0.15918,-0.05079,-0.04983,-0.11404,0.00136,0.04777,0.15614,0.13123,-0.00054,0.10673,-0.04324,0.28529,-0.43285,-1.73428,-0.37452,-0.31461,0.27226,0.32153,-1.15979,-0.13058,4.58466,-1.41524,0.73957,0.12549,-0.02997,-0.35139,-0.02245,0.01201,0.00682,0.00875,0.18484,0.05723,0.1671,-0.02355,0.00261,-0.01666,-0.01959
0.1,-0.04368,-0.00991,0.02173,0.15662,-0.04633,-0.04748,-0.11195,0.00092,0.04503,0.14605,0.12639,-0.00053,0.1022,-0.04286,0.2805,-0.40845,-1.67594,-0.36356,-0.3029,0.25889,0.2795,-1.0324,-0.13014,4.11954,-1.27372,0.66409,0.11821,-0.03105,-0.34588,-0.02225,0.01221,0.00711,0.00867,0.17581,0.05643,0.17108,-0.02258,0.00292,-0.01834,-0.02004
0.12,-0.04226,-0.0096,0.02099,0.15302,-0.0401,-0.04436,-0.10882,0.00026,0.04163,0.13174,0.1199,-0.00052,0.09563,-0.04349,0.27957,-0.37571,-1.61119,-0.35192,-0.28942,0.24037,0.22739,-0.87309,-0.12938,3.53703,-1.09571,0.56979,0.10812,-0.03197,-0.3362,-0.02202,0.01223,0.0073,0.00844,0.16333,0.05515,0.17483,-0.02137,0.0033,-0.02039,-0.02052
0.14,-0.04035,-0.00919,0.02004,0.14853,-0.03198,-0.04053,-0.10465,-0.00065,0.03773,0.1129,0.11188,-0.0005,0.08687,-0.04573,0.28538,-0.33482,-1.54783,-0.34138,-0.27548,0.2166,0.16678,-0.6863,-0.12844,2.85359,-0.88591,0.45943,0.09512,-0.03255,-0.32184,-0.02181,0.012,0.00734,0.00802,0.14734,0.05335,0.17801,-0.01996,0.00374,-0.02278,-0.021
0.16,-0.03796,-0.00869,0.0189,0.14334,-0.02194,-0.03609,-0.09948,-0.00183,0.03355,0.08949,0.10257,-0.00048,0.07589,-0.05021,0.30119,-0.28672,-1.49602,-0.33418,-0.26279,0.18784,0.1008,-0.48107,-0.12742,2.10227,-0.65404,0.33849,0.07932,-0.03257,-0.30223,-0.02167,0.01141,0.00715,0.00737,0.12804,0.05103,0.18001,-0.01846,0.00423,-0.0254,-0.02144
0.18,-0.03513,-0.00811,0.01761,0.1377,-0.01021,-0.03127,-0.09341,-0.0033,0.02949,0.06189,0.09243,-0.00046,0.06282,-0.05765,0.33067,-0.23341,-1.46884,-0.33314,-0.2537,0.15493,0.03475,-0.27293,-0.12642,1.33977,-0.41693,0.2163,0.06114,-0.0317,-0.2769,-0.02168,0.01035,0.00661,0.00646,0.10601,0.04818,0.17994,-0.01699,0.00473,-0.02806,-0.02178
