T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.02122,0.00144,0.00184,-0.04445,-0.08511,0.04617,-0.06646,0.04164,-0.03447,0.19367,-0.21772,-0.00025,-0.10437,0.03008,0.0227,0.21418,-0.0437,-0.02211,-0.01889,0.1748,-0.72829,1.83732,-0.53202,-5.79082,1.74635,-0.99655,0.11589,-0.03619,0.07822,0.00486,0.0005,0.01813,-0.00077,0.10715,-0.25266,-1.01183,0.00352,-0.01594,0.11198,0.0688
0.02,-0.02239,0.00194,0.00373,-0.03157,-0.09954,0.05467,-0.06461,0.04878,-0.03846,0.232,-0.27608,-0.00021,-0.13604,0.03507,0.01595,0.22466,-0.04162,-0.0158,-0.0242,0.22964,-0.91099,2.27961,-0.66807,-7.28066,2.1799,-1.25224,0.13144,-0.03694,0.11841,0.00506,-0.00153,0.01737,-0.00361,0.12574,-0.28731,-1.14436,0.00529,-0.01749,0.12351,0.07676
0.04,-0.02312,0.00263,0.00645,-0.01023,-0.11667,0.06484,-0.05886,0.05786,-0.04025,0.27853,-0.3516,-0.00015,-0.17815,0.03934,0.00573,0.23105,-0.03809,-0.00642,-0.03096,0.29309,-1.14041,2.8437,-0.82512,-9.19897,2.73392,-1.58186,0.14874,-0.03621,0.17385,0.00515,-0.00461,0.01546,-0.00777,0.14805,-0.32834,-1.30191,0.00777,-0.01918,0.13645,0.08592
0.06,-0.02342,0.00348,0.00989,0.02135,-0.13652,0.07616,-0.04851,0.06887,-0.0388,0.33243,-0.44271,-6e-05,-0.22955,0.04192,-0.00799,0.22908,-0.03288,0.0064,-0.03902,0.36237,-1.40251,3.49115,-0.99321,-11.43093,3.37189,-1.96609,0.16749,-0.03414,0.24208,0.00506,-0.00873,0.01213,-0.0132,0.17418,-0.37259,-1.47042,0.01092,-0.02086,0.14915,0.09522
0.08,-0.02319,0.00446,0.01385,0.06463,-0.15853,0.08775,-0.03274,0.0815,-0.03275,0.39128,-0.54577,5e-05,-0.28801,0.04153,-0.02503,0.21382,-0.0258,0.02287,-0.048,0.4323,-1.67659,4.16818,-1.15648,-13.81051,4.04221,-2.3768,0.1867,-0.03077,0.3194,0.00475,-0.01389,0.00711,-0.01978,0.20346,-0.41562,-1.63108,0.01463,-0.02227,0.15956,0.10337
0.1,-0.02222,0.00552,0.01816,0.1205,-0.18135,0.09845,-0.0107,0.09521,-0.02032,0.45096,-0.65508,0.00018,-0.35051,0.03662,-0.04495,0.18057,-0.01684,0.04284,-0.05735,0.49465,-1.93733,4.81299,-1.29281,-16.14228,4.68507,-2.78083,0.20451,-0.02587,0.4015,0.00415,-0.01998,0.00015,-0.02733,0.23427,-0.45232,-1.76339,0.01878,-0.02317,0.16557,0.10897
0.12,-0.02016,0.0066,0.02262,0.18893,-0.20279,0.10687,0.01834,0.1092,0.00072,0.50555,-0.76315,0.00032,-0.41336,0.02538,-0.06707,0.12572,-0.00643,0.06568,-0.06631,0.53769,-2.15681,5.36299,-1.37379,-18.22232,5.23912,-3.14349,0.2182,-0.01888,0.48398,0.00316,-0.0269,-0.00891,-0.03562,0.26387,-0.4775,-1.84824,0.0232,-0.0233,0.16533,0.11078
0.14,-0.01654,0.00767,0.02713,0.26876,-0.21975,0.11148,0.05484,0.12259,0.03308,0.5476,-0.86106,0.00047,-0.47254,0.00577,-0.09044,0.04787,0.00434,0.09002,-0.07398,0.546,-2.30661,5.76187,-1.36506,-19.85924,5.64817,-3.43219,0.22419,-0.00888,0.56272,0.00173,-0.0345,-0.02014,-0.04438,0.28839,-0.48663,-1.87106,0.02769,-0.02248,0.15769,0.10792
0.16,-0.01082,0.0087,0.03164,0.35744,-0.22833,0.11075,0.09869,0.13443,0.07986,0.5685,-0.93903,0.00062,-0.52398,-0.02438,-0.11392,-0.05108,0.01337,0.11352,-0.0793,0.50041,-2.36016,5.96675,-1.22717,-20.89508,5.86781,-3.61995,0.2182,0.00541,0.63429,-0.00019,-0.04258,-0.03342,-0.0533,0.30296,-0.47646,-1.82468,0.03206,-0.02063,0.14243,0.10008
0.18,-0.00242,0.0097,0.03621,0.45091,-0.22397,0.10328,0.14895,0.1439,0.14441,0.55916,-0.98714,0.00072,-0.56387,-0.06725,-0.13629,-0.1649,0.01727,0.13271,-0.08117,0.37859,-2.29498,5.95453,-0.91734,-21.22421,5.87152,-3.68864,0.1955,0.02546,0.69615,-0.00261,-0.05094,-0.04837,-0.06202,0.30191,-0.44559,-1.71149,0.03612,-0.01781,0.12051,0.08767
0.2,0.00919,0.01068,0.04104,0.54366,-0.20166,0.08795,0.20355,0.15045,0.23004,0.51084,-0.99621,0.00076,-0.58892,-0.12486,-0.15648,-0.2822,0.01109,0.1428,-0.07846,0.15598,-2.09469,5.72624,-0.3919,-20.80661,5.65499,-3.63125,0.15118,0.05291,0.74684,-0.00549,-0.05932,-0.06436,-0.07017,0.27902,-0.39474,-1.5442,0.03971,-0.01421,0.0941,0.07182
0.22,0.0244,0.01169,0.04644,0.62883,-0.15629,0.06407,0.25904,0.15387,0.33965,0.41604,-0.95862,0.00069,-0.59657,-0.19878,-0.17387,-0.38601,-0.01174,0.13764,-0.0701,-0.19245,-1.75022,5.30827,0.39021,-19.67176,5.23757,-3.45241,0.08054,0.08925,0.78573,-0.00872,-0.06744,-0.0805,-0.07733,0.22801,-0.32665,-1.34443,0.04271,-0.01021,0.06638,0.05432
0.24,0.04337,0.0128,0.05285,0.69869,-0.08295,0.03145,0.31048,0.15443,0.47513,0.26966,-0.86913,0.00045,-0.58501,-0.28984,-0.18863,-0.45396,-0.0594,0.10987,-0.0552,-0.68981,-1.26032,4.7497,1.46314,-17.91177,4.66036,-3.16727,-0.02052,0.13568,0.81272,-0.01212,-0.075,-0.09559,-0.08301,0.14295,-0.24543,-1.13919,0.04502,-0.00625,0.04097,0.03729
0.26,0.06592,0.01408,0.06083,0.74517,0.02254,-0.00948,0.3514,0.15284,0.63682,0.06995,-0.72562,-1e-05,-0.55312,-0.39786,-0.202,-0.45896,-0.1413,0.05125,-0.03311,-1.35428,-0.6312,4.11631,2.8492,-15.66587,3.98147,-2.79866,-0.15508,0.19273,0.82757,-0.01541,-0.08164,-0.10825,-0.0867,0.01887,-0.15576,-0.95568,0.04661,-0.00283,0.02136,0.02286
0.28,0.09146,0.01561,0.07094,0.76068,0.16317,-0.05764,0.37405,0.15031,0.82283,-0.18056,-0.52976,-0.00075,-0.50037,-0.52137,-0.2164,-0.3706,-0.26739,-0.04673,-0.00358,-2.19566,0.12422,3.48266,4.55358,-13.10088,3.2698,-2.37373,-0.32467,0.26008,0.82935,-0.0183,-0.08699,-0.11699,-0.08784,-0.14758,-0.06181,-0.81578,0.04747,-0.00041,0.01009,0.01271
0.3,0.11898,0.01743,0.08378,0.7389,0.34014,-0.1113,0.36993,0.14838,1.02858,-0.47437,-0.28734,-0.00183,-0.42662,-0.65745,-0.23519,-0.15704,-0.44715,-0.19189,0.03305,-3.2118,0.98718,2.92325,6.55944,-10.39203,2.5985,-1.92057,-0.52879,0.33624,0.81589,-0.0204,-0.09065,-0.12027,-0.08583,-0.35737,0.03342,-0.73148,0.04763,0.00067,0.00824,0.00774
0.32,0.14699,0.01958,0.09983,0.67559,0.55228,-0.16805,0.33057,0.14878,1.24643,-0.79898,-0.00843,-0.0033,-0.33189,-0.80174,-0.26188,0.21268,-0.68804,-0.39007,0.07572,-4.3852,1.9341,2.504,8.82385,-7.70724,2.03906,-1.46544,-0.76436,0.41853,0.7835,-0.02135,-0.09221,-0.11667,-0.08011,-0.60846,0.12853,-0.7025,0.04711,0.00016,0.01514,0.00789
0.34,0.17361,0.02203,0.11942,0.56934,0.7955,-0.22495,0.24868,0.15314,1.46564,-1.1373,0.29308,-0.00519,-0.21605,-0.94864,-0.29898,0.76568,-0.99379,-0.64365,0.12242,-5.68038,2.93763,2.27435,11.27546,-5.19581,1.65607,-1.03083,-1.02532,0.50296,0.72691,-0.02082,-0.09124,-0.10499,-0.07018,-0.89507,0.22353,-0.71662,0.04594,-0.00199,0.02843,0.01215
0.36,0.19669,0.02469,0.14262,0.42206,1.06238,-0.27866,0.11952,0.16266,1.67271,-1.4688,0.60031,-0.00747,-0.07852,-1.09163,-0.34661,1.52227,-1.36243,-0.94987,0.17002,-7.04226,3.968,2.26047,13.8144,-2.9816,1.50261,-0.63436,-1.30225,0.58447,0.63971,-0.01856,-0.08736,-0.08438,-0.05567,-1.20725,0.31923,-0.75236,0.0441,-0.00573,0.04446,0.01877
0.38,0.21398,0.02743,0.16917,0.23932,1.34184,-0.32559,-0.05769,0.17784,1.85197,-1.77099,0.89461,-0.0101,0.08208,-1.22368,-0.40135,2.4927,-1.78478,-1.29951,0.21415,-8.39619,4.99453,2.45994,16.31506,-1.15963,1.61591,-0.28841,-1.58228,0.65719,0.51513,-0.01449,-0.08024,-0.05452,-0.03647,-1.53062,0.41642,-0.78326,0.04152,-0.01093,0.05898,0.02556
