T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-34.4359,5.32305,-0.79771,-1.84566,-0.45437,-0.05914,1.15674,0.96425,-0.01405,3.57366,-0.04675,-0.04926,0.01497,0.30654,-0.20375,0.22639,0.29935,-0.27769,0.06508,0.072,2.03168,-4.33088,0.68907,-0.4151,0.58995,-0.18132,-0.16244,3.20339,1.93422,0.00577,-0.8106,0.58755,0.0634,-0.01797
0.02,-34.28376,5.38903,-0.81452,-1.83347,-0.45897,-0.05971,1.11373,1.02399,0.00037,3.60037,-0.04624,-0.04744,0.00793,0.31865,-0.19192,0.23781,0.30555,-0.31789,0.0652,0.04237,2.0966,-4.34424,0.68452,-0.39524,0.59006,-0.18044,-0.16002,3.25077,1.89333,-0.01012,-0.80869,0.58787,0.06848,-0.0106
0.04,-34.15602,5.46852,-0.82972,-1.82378,-0.4637,-0.06003,1.06997,1.07855,0.01334,3.61833,-0.0452,-0.04577,0.00273,0.34575,-0.17956,0.24574,0.31908,-0.34536,0.06416,0.01567,2.1518,-4.357,0.67834,-0.37687,0.59015,-0.17954,-0.15768,3.28213,1.85828,-0.02289,-0.80901,0.58809,0.07342,-0.00319
0.06,-34.05669,5.55499,-0.84207,-1.81676,-0.46908,-0.06016,1.02446,1.12891,0.02538,3.62651,-0.04354,-0.04417,-0.00047,0.38622,-0.17217,0.24854,0.33794,-0.36035,0.06208,-0.00837,2.19492,-4.37362,0.67095,-0.36103,0.59016,-0.17868,-0.15549,3.29171,1.82547,-0.03283,-0.81291,0.58815,0.07819,0.00423
0.08,-33.98774,5.64391,-0.84911,-1.81232,-0.4754,-0.06014,0.97628,1.17634,0.03702,3.62392,-0.0412,-0.04256,-0.00159,0.43602,-0.1753,0.24479,0.35875,-0.36318,0.05899,-0.03015,2.22467,-4.40062,0.6633,-0.34882,0.59002,-0.17792,-0.15354,3.27431,1.78954,-0.04011,-0.82175,0.58796,0.0828,0.0116
0.1,-33.94872,5.73337,-0.84663,-1.81008,-0.48256,-0.05995,0.92547,1.22087,0.04834,3.60905,-0.03806,-0.04095,-0.00041,0.48858,-0.19206,0.23383,0.37699,-0.35332,0.05481,-0.04925,2.24124,-4.44586,0.65676,-0.3413,0.58969,-0.17731,-0.15192,3.22661,1.74449,-0.04426,-0.83651,0.58747,0.08712,0.01876
0.12,-33.93868,5.83386,-0.8308,-1.80926,-0.4901,-0.05952,0.8709,1.26639,0.06003,3.5829,-0.03415,-0.03925,0.00268,0.53675,-0.22724,0.21567,0.38836,-0.33415,0.04953,-0.06816,2.24466,-4.51843,0.6532,-0.33979,0.58907,-0.17698,-0.15075,3.14559,1.68232,-0.0458,-0.85826,0.58661,0.09128,0.02581
0.14,-33.9454,5.95263,-0.79601,-1.80855,-0.49689,-0.05867,0.81446,1.3105,0.07092,3.54297,-0.0294,-0.03765,0.00791,0.57204,-0.27578,0.19205,0.38874,-0.30482,0.04293,-0.08528,2.23981,-4.62767,0.65474,-0.3448,0.58812,-0.17697,-0.1501,3.03551,1.597,-0.04318,-0.88653,0.58541,0.09505,0.03243
0.16,-33.95612,6.10765,-0.73919,-1.80624,-0.50141,-0.05721,0.75716,1.35387,0.08016,3.48981,-0.02388,-0.03632,0.01499,0.58883,-0.33239,0.16546,0.37662,-0.26828,0.03501,-0.10122,2.23123,-4.782,0.66363,-0.35691,0.58676,-0.17736,-0.15005,2.90249,1.48286,-0.03574,-0.92049,0.5839,0.09842,0.03854
0.18,-33.96608,6.34139,-0.66096,-1.80032,-0.50221,-0.05492,0.69516,1.41066,0.08949,3.43158,-0.01799,-0.03513,0.02154,0.58291,-0.40844,0.13662,0.34997,-0.24406,0.027,-0.12793,2.21771,-4.98779,0.68195,-0.37769,0.58482,-0.17832,-0.15062,2.74892,1.33269,-0.02704,-0.96012,0.5821,0.10212,0.04516
0.2,-33.90912,6.62233,-0.55921,-1.78815,-0.49599,-0.05136,0.64401,1.44436,0.08871,3.34776,-0.01138,-0.03545,0.03123,0.56271,-0.45277,0.11321,0.31985,-0.2032,0.01773,-0.13893,2.22469,-5.24854,0.71143,-0.40328,0.58257,-0.1796,-0.15177,2.60984,1.156,-0.00677,-0.99862,0.58029,0.10441,0.04971
0.22,-33.7309,6.9043,-0.43715,-1.76731,-0.47934,-0.04608,0.62004,1.41289,0.06617,3.22274,-0.00332,-0.03868,0.04936,0.54946,-0.41594,0.10003,0.30341,-0.1027,0.00546,-0.09885,2.27959,-5.56204,0.75326,-0.42889,0.5803,-0.18088,-0.15346,2.52257,0.96975,0.03642,-1.02955,0.57873,0.10319,0.04911
0.24,-33.43691,7.26752,-0.30135,-1.73573,-0.45196,-0.03906,0.60904,1.35602,0.02819,3.07453,0.00502,-0.04396,0.0688,0.53756,-0.3654,0.08813,0.28845,0.00019,-0.00438,-0.04539,2.36922,-5.9219,0.80747,-0.45722,0.57771,-0.18239,-0.15548,2.48052,0.76937,0.08918,-1.0558,0.57732,0.1009,0.04684
0.26,-33.03927,7.77251,-0.16021,-1.69147,-0.41397,-0.03031,0.59775,1.30799,-0.01944,2.925,0.01281,-0.05064,0.08422,0.52492,-0.34844,0.07235,0.26899,0.06575,-0.00852,-0.0074,2.48129,-6.31565,0.87325,-0.48955,0.57456,-0.18427,-0.15756,2.48175,0.55538,0.14072,-1.07811,0.57608,0.09951,0.04575
0.28,-32.58055,8.40362,-0.02181,-1.63393,-0.36469,-0.01973,0.58696,1.26539,-0.0784,2.79844,0.02124,-0.05882,0.10027,0.52068,-0.34444,0.05413,0.25223,0.11516,-0.00744,0.03144,2.61961,-6.72248,0.94917,-0.52345,0.57099,-0.18642,-0.15967,2.54416,0.34818,0.19484,-1.09275,0.57523,0.09816,0.0446
