T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-4.07863,-0.01794,0.48109,0.06548,-0.04225,-0.00305,0.33314,-1.13924,-0.14316,-2.17243,0.01006,0.04408,-0.16012,0.37851,1.25666,-0.04544,0.77204,0.31727,-0.05248,0.04981,0.30831,-0.57731,0.13581,-0.79758,-0.34227,0.07999,0.09134,0.27415,0.28316,-0.3524,-0.62476,-0.34568,0.00036,0.05029
0.02,-4.03452,-0.01869,0.48819,0.06563,-0.04246,-0.00292,0.3399,-1.16872,-0.14897,-2.19817,0.00998,0.04352,-0.15172,0.37599,1.26851,-0.04925,0.7779,0.36661,-0.06059,0.08047,0.30566,-0.57237,0.13815,-0.79733,-0.34153,0.07924,0.08897,0.27252,0.29886,-0.32994,-0.62308,-0.34572,-0.00406,0.04374
0.04,-3.99105,-0.01945,0.49504,0.06576,-0.04262,-0.0028,0.34627,-1.19792,-0.1541,-2.22372,0.00968,0.043,-0.14399,0.37351,1.27992,-0.05167,0.78371,0.40338,-0.06675,0.10846,0.30308,-0.56742,0.1404,-0.79714,-0.3408,0.07849,0.08662,0.27089,0.31436,-0.30888,-0.62141,-0.34575,-0.00833,0.0373
0.06,-3.94815,-0.02022,0.50165,0.06582,-0.04273,-0.00269,0.35228,-1.22693,-0.15858,-2.2491,0.00909,0.04248,-0.13691,0.37099,1.29091,-0.0526,0.78948,0.42758,-0.07089,0.13382,0.30048,-0.56246,0.14257,-0.79699,-0.34009,0.07772,0.08428,0.2692,0.32972,-0.28914,-0.61974,-0.34577,-0.01246,0.03093
0.08,-3.90564,-0.02101,0.50804,0.06578,-0.04281,-0.00258,0.35795,-1.25574,-0.16247,-2.27414,0.00816,0.04193,-0.13042,0.36835,1.30148,-0.05191,0.79525,0.43908,-0.07293,0.15649,0.29777,-0.55745,0.14473,-0.79687,-0.3394,0.07693,0.08193,0.26738,0.345,-0.27063,-0.61805,-0.34579,-0.01648,0.02462
0.1,-3.86354,-0.02184,0.51408,0.06557,-0.04287,-0.00248,0.36319,-1.28372,-0.16572,-2.29781,0.00682,0.04132,-0.12471,0.36549,1.3111,-0.0494,0.80102,0.43674,-0.07262,0.17569,0.29484,-0.5523,0.14691,-0.79676,-0.33874,0.0761,0.07959,0.26533,0.36009,-0.25368,-0.61631,-0.3458,-0.02033,0.01845
0.12,-3.8218,-0.02269,0.51999,0.06513,-0.04297,-0.00237,0.36815,-1.31209,-0.16845,-2.32159,0.00511,0.04063,-0.11928,0.36241,1.32079,-0.04521,0.80677,0.42345,-0.07038,0.19306,0.29164,-0.54719,0.14917,-0.79663,-0.33809,0.07525,0.07724,0.26302,0.37524,-0.23752,-0.61454,-0.3458,-0.02413,0.01223
0.14,-3.78027,-0.02362,0.52547,0.06436,-0.04311,-0.00227,0.37263,-1.33914,-0.17054,-2.34235,0.00293,0.03979,-0.11453,0.35891,1.32919,-0.03913,0.8125,0.39762,-0.06591,0.20681,0.28799,-0.54186,0.15159,-0.79641,-0.33746,0.07436,0.07489,0.2603,0.39018,-0.22295,-0.61269,-0.34578,-0.02776,0.00617
0.16,-3.73899,-0.02462,0.53052,0.0632,-0.04334,-0.00217,0.37664,-1.36476,-0.17201,-2.36002,0.00032,0.03878,-0.11033,0.35494,1.3362,-0.03136,0.81822,0.36173,-0.0596,0.21723,0.28381,-0.53627,0.15424,-0.79606,-0.33687,0.07343,0.07254,0.2571,0.4049,-0.20986,-0.61075,-0.34575,-0.03121,0.00029
0.18,-3.69803,-0.02553,0.53635,0.06162,-0.04385,-0.00207,0.38108,-1.39625,-0.17367,-2.38287,-0.00213,0.03766,-0.10419,0.35083,1.34753,-0.02358,0.82372,0.33495,-0.05434,0.23392,0.27926,-0.53148,0.1573,-0.79547,-0.33626,0.07257,0.07019,0.25362,0.42049,-0.19435,-0.60891,-0.34572,-0.03511,-0.00629
