T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,0,0,0,0,0,0,0,0,-0,0,-0,0
0.02,0,0,0,0,0,0,0,0,-0,0,-0,0
0.04,0,0,0,0,0,0,0,0,-0,0,-0,0
0.06,0,0,0,0,0,0,0,0,-0,0,-0,0
0.08,0,0,0,-0,0,-0,0,0,-0,-0,-0,-0
0.1,0,0,0,-0,0,-0,0,0,-0,-0,-0,-0
0.12,0,0,0,-0,0,-0,0,0,-0,-0,-0,-0
0.14,0,0,0,-0,0,-0,0,0,-0,-0,-0,-0
0.16,0,0,0,-0,0,-0,-0,0,0,-0,0,-0
0.18,0,0,0,-0,0,-0,-0,0,0,-0,0,-0
0.2,-0,2e-05,-0,-0,-0,-0,-0,0,0,-0,0,-0
0.22,-0,9e-05,-0,-0,-0,-0,-0,0,0,-0,0,-0
0.24,-0,0.00019,-0,-0,-0,-0,-0,0,0,-0,0,-0
0.26,-0,0.00033,-0,-0,-0,-0,-0,0,0,-0,0,-0
0.28,-1e-05,0.00049,-1e-05,-0,-1e-05,-0,-0,0,0,-0,0,-0
0.3,-1e-05,0.0007,-1e-05,-0,-1e-05,-0,-0,0,0,-0,0,-0
0.32,-1e-05,0.00092,-1e-05,-0,-1e-05,-0,-0,0,0,-0,0,-0
0.34,-1e-05,0.00116,-1e-05,0,-1e-05,0,-0,0,0,0,0,0
0.36,-1e-05,0.00138,-1e-05,0,-1e-05,0,-0,0,0,0,0,0
0.38,-2e-05,0.00156,-2e-05,0,-2e-05,0,-0,0,0,0,0,0
0.4,-2e-05,0.00164,-2e-05,0,-2e-05,0,-0,0,0,0,0,0
0.42,-2e-05,0.00155,-2e-05,0,-2e-05,0,-0,0,0,0,0,0
0.44,-1e-05,0.00123,-1e-05,0,-1e-05,0,0,0,-0,0,-0,0
0.46,-1e-05,0.00058,-1e-05,0,-1e-05,0,0,0,-0,0,-0,0
0.48,1e-05,0,1e-05,0,1e-05,0,0,0,-0,0,-0,0
0.5,2e-05,0,2e-05,0,2e-05,0,0,0,-0,0,-0,0
0.52,5e-05,0,5e-05,0,5e-05,0,0,0,-0,0,-0,0
0.54,8e-05,0,8e-05,0,8e-05,0,0,0,-0,0,-0,0
0.56,0.00011,0,0.00011,0,0.00011,0,0,0,-0,0,-0,0
0.58,0.00016,0,0.00016,0,0.00016,0,0,0,-0,0,-0,0
0.6,0.00021,0,0.00021,0,0.00021,0,0,0,-0,0,-0,0
0.62,0.00026,0,0.00026,-0,0.00026,-0,0,0,-0,-0,-0,-0
0.64,0.00031,0,0.00031,-0,0.00031,-0,0,0,-0,-0,-0,-0
0.66,0.00035,0,0.00035,-0,0.00035,-0,0,0,-0,-0,-0,-0
0.68,0.00037,0,0.00037,-0,0.00037,-0,0,0,-0,-0,-0,-0
0.7,0.00034,0,0.00034,-0,0.00034,-0,0,0,-0,-0,-0,-0
0.72,0.00027,0,0.00027,-0,0.00027,-0,-0,2e-05,0,-0,0,-0
0.74,0.00011,0,0.00011,-0,0.00011,-0,-0,9e-05,0,-0,0,-0
0.76,-0.00014,0.01411,-0.00014,-0,-0.00014,-0,-0,0.00018,0,-0,0,-0
0.78,-0.00052,0.05138,-0.00052,-0,-0.00052,-0,-0,0.00031,0,-0,0,-0
0.8,-0.00105,0.10305,-0.00105,-0,-0.00105,-0,-0,0.00047,0,-0,1e-05,-0
0.82,-0.00174,0.17072,-0.00174,-0,-0.00174,-0,-1e-05,0.00066,1e-05,-0,1e-05,-0
0.84,-0.0026,0.25483,-0.0026,-0,-0.0026,-0,-1e-05,0.00088,1e-05,-0,1e-05,-0
0.86,-0.00361,0.35407,-0.00361,-0,-0.00361,-0,-1e-05,0.0011,1e-05,-0,1e-05,-0
0.88,-0.00474,0.46445,-0.00474,-0,-0.00474,-0,-1e-05,0.00132,1e-05,-0,1e-05,-0
0.9,-0.00591,0.57901,-0.00591,0,-0.00591,0,-2e-05,0.00149,2e-05,0,2e-05,0
0.92,-0.00703,0.68923,-0.00703,0,-0.00703,0,-2e-05,0.00156,2e-05,0,2e-05,0
0.94,-0.00804,0.7877,-0.00804,0,-0.00804,0,-2e-05,0.00148,2e-05,0,2e-05,0
0.96,-0.00888,0.86955,-0.00888,0,-0.00888,0,-1e-05,0.00118,1e-05,0,1e-05,0
0.98,-0.00952,0.93213,-0.00952,0,-0.00952,0,-1e-05,0.00055,1e-05,0,1e-05,0
1,-0.00995,0.97419,-0.00995,0,-0.00995,0,1e-05,0,-1e-05,0,-1e-05,0
1.02,-0.01016,0.99523,-0.01016,0,-0.01016,0,2e-05,0,-2e-05,0,-2e-05,0
1.04,-0.01016,0.99513,-0.01016,0,-0.01016,0,4e-05,0,-4e-05,0,-5e-05,0
1.06,-0.00994,0.9739,-0.00995,0,-0.00995,0,7e-05,0,-7e-05,0,-8e-05,0
1.08,-0.00951,0.93168,-0.00952,0,-0.00952,0,0.00011,0,-0.00011,0,-0.00012,0
1.1,-0.00888,0.86897,-0.00888,0,-0.00888,0,0.00015,0,-0.00015,0,-0.00016,0
1.12,-0.00804,0.78703,-0.00804,0,-0.00804,0,0.0002,0,-0.0002,0,-0.00021,0
1.14,-0.00703,0.68853,-0.00703,0,-0.00703,0,0.00025,0,-0.00025,0,-0.00027,0
1.16,-0.00591,0.57833,-0.00591,0,-0.00591,0,0.0003,0,-0.0003,0,-0.00032,0
1.18,-0.00474,0.46383,-0.00474,-0,-0.00474,-0,0.00034,0,-0.00034,-0,-0.00035,-0
