T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-1.80814,-0.47298,-0.0366,-0.14932,0.00128,0,0.11748,-0.07758,-0.02103,-0.05639,-0.00087,-0.0007,-0.00018,0.01152,-0.02657,0.0087,0.03412,1.4667,0.33133,-0.02256,0.0064,-0.14467,-0.22189,0.03111,0.01227,-0.00307,-0.00145,0.05435,-0.3255,0.03143,0.07465,0.00383,-0.00142,0.00011
0.02,-1.85224,-0.48857,-0.04244,-0.15387,0.00125,0,0.11394,-0.08186,-0.0188,-0.05232,0.00637,-2e-05,-0.00039,0.01193,-0.02546,0.00736,0.03601,1.66407,0.35143,-0.01226,0.00695,-0.1441,-0.2241,0.03198,0.01251,-0.00312,-0.00148,0.05293,-0.32736,0.0338,0.07697,0.00387,-0.00144,0.00013
0.04,-1.88191,-0.50048,-0.04865,-0.15641,0.00105,0,0.10569,-0.08701,-0.01524,-0.04609,0.01934,0.00106,-0.00052,0.0122,-0.02428,0.00596,0.03844,1.81417,0.3633,-0.00263,0.00811,-0.13906,-0.22395,0.03234,0.0126,-0.00313,-0.00149,0.04951,-0.32597,0.03612,0.07793,0.00384,-0.00145,0.00016
0.06,-1.90331,-0.50986,-0.0541,-0.15707,0.00059,0,0.09342,-0.09339,-0.01001,-0.03799,0.04125,0.00267,-0.00046,0.0121,-0.02346,0.00472,0.04158,1.90983,0.36646,0.00592,0.01037,-0.12883,-0.22191,0.03212,0.01253,-0.00312,-0.00149,0.04393,-0.32208,0.03854,0.07733,0.00372,-0.00146,0.00018
0.08,-1.92242,-0.5177,-0.05727,-0.15591,-0.00022,0,0.07824,-0.10118,-0.00268,-0.02843,0.07602,0.00496,-7e-05,0.01128,-0.02349,0.00386,0.04556,1.94444,0.36044,0.01312,0.01434,-0.11261,-0.21841,0.03122,0.01234,-0.00309,-0.00148,0.03605,-0.31629,0.04119,0.07494,0.00351,-0.00148,0.00021
0.1,-1.94473,-0.52475,-0.05658,-0.15294,-0.00152,0,0.06134,-0.1103,0.00718,-0.01781,0.12794,0.00805,0.00083,0.00927,-0.02493,0.0035,0.05049,1.91039,0.34455,0.01869,0.02078,-0.08967,-0.21382,0.02956,0.01204,-0.00304,-0.00147,0.02576,-0.30906,0.0442,0.0705,0.00318,-0.00151,0.00024
0.12,-1.97428,-0.53153,-0.0508,-0.14806,-0.00344,0,0.04375,-0.12031,0.01982,-0.00631,0.19766,0.01185,0.00209,0.00562,-0.02851,0.00378,0.05636,1.80665,0.31875,0.02273,0.03049,-0.05951,-0.20848,0.02706,0.01163,-0.00298,-0.00145,0.01299,-0.30073,0.04766,0.06381,0.00275,-0.00155,0.00027
0.14,-2.01446,-0.53817,-0.03957,-0.1412,-0.00613,0,0.02545,-0.12987,0.0351,0.00619,0.28427,0.01616,0.00375,4e-05,-0.03513,0.00483,0.0631,1.6294,0.28251,0.02493,0.04426,-0.02215,-0.20275,0.02367,0.01115,-0.00291,-0.00143,-0.00226,-0.2915,0.05161,0.05479,0.0022,-0.00161,0.00031
0.16,-2.06661,-0.54454,-0.02388,-0.13222,-0.00971,-0,0.00502,-0.13671,0.05201,0.02048,0.37821,0.02041,0.00547,-0.00738,-0.04599,0.00699,0.07042,1.38567,0.23651,0.02535,0.06267,0.0216,-0.19706,0.01945,0.01062,-0.00284,-0.00141,-0.01987,-0.28153,0.05601,0.04358,0.00154,-0.00168,0.00035
0.18,-2.12804,-0.55046,-0.00634,-0.12097,-0.01421,-0,-0.02116,-0.13821,0.06806,0.03704,0.44138,0.02283,0.00474,-0.01599,-0.06271,0.01098,0.07764,1.10086,0.18367,0.02467,0.08595,0.06963,-0.19184,0.01457,0.01009,-0.00279,-0.00139,-0.03961,-0.27119,0.06061,0.03067,0.0008,-0.00177,0.0004
