T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.04429,0,0,0,0,0.03049,0.00553,0,0.01017,0.00548,0.0021,0,0.01927,0.00372,0.01367,0.01427,0,0.01384,0.00525,0.00348,0,0.05273,0,0.01596,0,0,0.02368,0.01348,0,0,0.01713,0.00518,0.00198,0.11665,0,0.00436,0.02769,0.00162,0.00072,0,0,0.00169,0,0,0,0.00505,0,0,0,0,0.93162,0,0,0,0.03201,0,0.01172,0,0.01013,0.00842,0,0,0.0324,0.01199,0,0,0
0.02,0,0.04342,0,0,0,0,0.03003,0.00533,0,0.00989,0.00532,0.00206,0,0.0199,0.00351,0.01425,0.01506,0,0.01445,0.00352,0.00415,0,0.05196,0,0.01612,0,0,0.02435,0.0133,0,0,0.01714,0.00518,0.00196,0.11508,0,0.00417,0.02762,0.00186,0.0008,0,0,0.00169,0,0,0,0.00501,0,0,0,0,1,0,0,0,0.03241,0,0.01145,0,0.00998,0.00819,0,0,0.03215,0.01191,0,0,0
0.04,0,0.04236,0,0,0,0,0.0295,0.00518,0,0.00963,0.00528,0.00205,0,0.02074,0.00302,0.01426,0.01601,0,0.01475,0.00203,0.00489,0,0.05153,0,0.01627,0,0,0.02507,0.0131,0,0,0.01715,0.00517,0.00193,0.11313,0,0.00404,0.02755,0.00212,0.00087,0,0,0.00164,0,0,0,0.00495,0,0,0,0,1,0,0,0,0.03269,0,0.01118,0,0.00984,0.00795,0,0,0.032,0.01182,0,0,0
0.06,0,0.04109,0,0,0,0,0.0289,0.00511,0,0.0094,0.00541,0.00207,0,0.02172,0.00214,0.01361,0.01707,0,0.0147,0.00073,0.00567,0,0.05137,0,0.01641,0,0,0.02584,0.01287,0,0,0.01716,0.00517,0.0019,0.11085,0,0.00396,0.02747,0.00241,0.00095,0,0,0.00156,0,0,0,0.00485,0,0,0,0,0.86129,0,0,0,0.03287,0,0.01091,0,0.00972,0.00772,0,0,0.03194,0.01172,0,0,0
0.08,1e-05,0.03962,4e-05,0.00014,0.00018,0.00014,0.02826,0.00512,6e-05,0.00926,0.00612,0.00222,0.00032,0.02276,0.00086,0.01245,0.01823,0.00033,0.01452,0.00083,0.00649,1e-05,0.05158,1e-05,0.01662,0.00012,0.00052,0.02665,0.01263,0.00014,0,0.01725,0.00529,0.00199,0.1083,1e-05,0.00391,0.02741,0.00277,0.00117,3e-05,9e-05,0.00154,7e-05,0.00046,0.00034,0.00502,4e-05,5e-05,5e-05,6e-05,0.67852,0.00028,0.00374,2e-05,0.03297,0.0002,0.01066,2e-05,0.00971,0.00758,1e-05,0,0.0322,0.01162,2e-05,0.00012,0.00049
0.1,1e-05,0.03795,4e-05,0.00012,0.00017,0.00013,0.02757,0.00516,6e-05,0.00911,0.00689,0.00231,0.00031,0.02364,0.00076,0.01053,0.01924,0.00035,0.0138,0.00079,0.00726,1e-05,0.05176,1e-05,0.01674,0.00012,0.00059,0.02747,0.01238,0.00017,5e-05,0.01727,0.0053,0.00198,0.10558,2e-05,0.00378,0.02736,0.0031,0.00125,5e-05,0.00011,0.00142,7e-05,0.00046,0.00033,0.00479,7e-05,0.00108,5e-05,5e-05,0.49732,0.00029,0.00614,2e-05,0.03298,0.00019,0.01042,2e-05,0.00961,0.00736,1e-05,0,0.03242,0.01156,2e-05,0.00013,0.00059
0.12,0,0.03606,1e-05,3e-05,4e-05,3e-05,0.02676,0.00521,2e-05,0.00896,0.00803,0.00239,9e-05,0.02409,0.00071,0.00817,0.01997,0.00012,0.0127,0.00092,0.00796,0,0.05187,1e-05,0.01679,4e-05,6e-05,0.02828,0.01213,3e-05,5e-05,0.01721,0.00522,0.00186,0.10272,0,0.00351,0.02735,0.00343,0.00123,2e-05,2e-05,0.00122,2e-05,0.00013,0.0001,0.00429,1e-05,0.00235,2e-05,1e-05,0.34756,9e-05,0.00859,0,0.0329,4e-05,0.01018,0,0.00944,0.00703,1e-05,0,0.0325,0.01144,0,4e-05,0.00011
0.14,0,0.03407,0,0,0,1e-05,0.02593,0.00531,0,0.00891,0.01048,0.00258,0,0.02406,0.00058,0.0058,0.02038,0,0.01146,0.00049,0.0086,0,0.05212,0,0.01688,1e-05,1e-05,0.02904,0.0119,0,2e-05,0.01721,0.00519,0.00182,0.09987,0,0.00311,0.02742,0.00381,0.00131,0,0,0.00109,0,0,1e-05,0.0038,1e-05,0.00361,0,0,0.23308,2e-05,0.00921,0,0.03278,5e-05,0.00994,0,0.00933,0.00681,0,0,0.03292,0.01128,0,0,0
0.16,0,0.03203,0,0,0,0,0.02511,0.00543,0,0.00896,0.01419,0.00285,0,0.02346,0.00016,0.00372,0.02039,2e-05,0.01014,3e-05,0.00914,0,0.05257,0,0.01698,1e-05,2e-05,0.02975,0.01171,0,3e-05,0.01723,0.00521,0.00182,0.09709,0,0.00254,0.02761,0.00422,0.00142,1e-05,4e-05,0.00104,0,1e-05,1e-05,0.00327,8e-05,0.00459,1e-05,0,0.15041,2e-05,0.00968,0,0.0326,0.00028,0.00973,0,0.00927,0.00662,0,0,0.03361,0.01116,0,1e-05,2e-05
0.18,2e-05,0.02988,3e-05,6e-05,6e-05,5e-05,0.0243,0.00557,4e-05,0.00886,0.02041,0.0033,0.0001,0.02207,0.00015,0.00207,0.01982,0.00013,0.00917,0.00022,0.00963,0,0.05254,1e-05,0.01711,6e-05,0.00035,0.03044,0.01157,5e-05,3e-05,0.01729,0.00525,0.00197,0.09431,1e-05,0.0018,0.02798,0.00469,0.00159,4e-05,0.00018,0.00114,4e-05,0.00031,0.00036,0.00276,9e-05,0.00563,3e-05,2e-05,0.09911,0.00023,0.01261,0,0.03242,0.00025,0.00953,1e-05,0.00925,0.0065,1e-05,0,0.03407,0.01102,1e-05,4e-05,0.0007
0.2,6e-05,0.02804,5e-05,0.00023,0.00012,9e-05,0.02328,0.00565,9e-05,0.00887,0.02977,0.00377,0.00038,0.02029,0.00021,0.00109,0.01911,0.0003,0.0079,0.00042,0.01003,3e-05,0.0528,2e-05,0.01724,9e-05,0.00068,0.03105,0.01149,9e-05,4e-05,0.01735,0.00532,0.00204,0.09199,4e-05,0.00094,0.02859,0.00516,0.00174,8e-05,0.00022,0.00137,6e-05,0.00045,0.0005,0.00233,0.00013,0.00603,5e-05,4e-05,0.05757,0.00053,0.01327,4e-05,0.03223,0.00033,0.00935,2e-05,0.00925,0.00644,5e-05,2e-05,0.03434,0.01091,2e-05,0.0001,0.00098
0.22,8e-05,0.0268,0.00089,0.00022,0.0001,0.0001,0.02232,0.00565,8e-05,0.00931,0.04336,0.00423,0.00039,0.01862,0.0002,0.00068,0.01892,0.00048,0.0062,0.00043,0.01018,3e-05,0.05367,2e-05,0.01722,9e-05,0.00064,0.03137,0.01142,9e-05,4e-05,0.01735,0.00534,0.00206,0.09059,4e-05,0.00095,0.02951,0.00552,0.00184,8e-05,0.0002,0.00167,5e-05,0.00041,0.00046,0.00179,0.00012,0.00559,6e-05,4e-05,0.03559,0.00055,0.00877,5e-05,0.03196,0.0003,0.00926,2e-05,0.00931,0.00642,5e-05,2e-05,0.03458,0.01081,2e-05,9e-05,0.00092
0.24,7e-05,0.02572,0.00164,0.00023,0.00012,0.0001,0.02155,0.00559,7e-05,0.00988,0.06379,0.00475,0.00056,0.01704,0.00019,0.00052,0.01879,0.00052,0.0049,0.00051,0.01021,2e-05,0.05479,2e-05,0.01721,0.00015,0.00062,0.03158,0.01141,9e-05,3e-05,0.01742,0.00537,0.0021,0.08965,5e-05,0.0009,0.03144,0.0059,0.00191,8e-05,0.00018,0.00216,8e-05,0.00039,0.00041,0.00129,0.00011,0.00494,8e-05,6e-05,0.02134,0.00054,0.00481,4e-05,0.03169,0.00026,0.00921,3e-05,0.00945,0.00647,5e-05,3e-05,0.03465,0.01073,4e-05,0.00011,0.00083
0.26,4e-05,0.02438,0.0023,0.00015,8e-05,7e-05,0.02086,0.00537,6e-05,0.01022,0.09303,0.00528,0.00047,0.01551,0.00015,0.00047,0.01838,0.00046,0.00419,0.0004,0.0102,2e-05,0.05573,2e-05,0.01718,0.00012,0.00048,0.03174,0.01149,7e-05,3e-05,0.0174,0.00537,0.00211,0.08875,4e-05,0.00078,0.03727,0.00631,0.00198,7e-05,0.00015,0.00286,7e-05,0.0003,0.00032,0.00057,9e-05,0.00439,7e-05,4e-05,0.0139,0.00042,0.00243,4e-05,0.03147,0.00021,0.00914,2e-05,0.00948,0.00648,4e-05,2e-05,0.03443,0.01065,3e-05,9e-05,0.00068
0.28,0.00015,0.02278,0.00296,0.00018,0.0001,0.00013,0.02019,0.00487,6e-05,0.01058,0.12922,0.00579,0.00317,0.01429,0.00016,0.00066,0.01815,0.00068,0.00378,0.00372,0.01017,3e-05,0.05671,2e-05,0.01719,0.00014,0.00059,0.03191,0.01167,0.00012,3e-05,0.01742,0.0054,0.00217,0.08797,6e-05,0.00074,0.04288,0.00683,0.00214,9e-05,0.00016,0.0038,7e-05,0.00036,0.00036,0.00145,0.0001,0.00374,0.0001,6e-05,0.00898,0.0005,0.00267,4e-05,0.03132,0.00022,0.00907,3e-05,0.00955,0.00655,5e-05,3e-05,0.03397,0.01059,3e-05,0.00011,0.00074
0.3,0.00016,0.02098,0.0035,0.00016,8e-05,0.00013,0.01961,0.00438,6e-05,0.01077,0.1756,0.00625,0.00538,0.01338,0.00015,0.00098,0.01785,0.00058,0.00376,0.00542,0.01004,3e-05,0.05766,2e-05,0.01718,0.00013,0.00056,0.03189,0.01192,0.00012,3e-05,0.01742,0.00541,0.00223,0.08736,6e-05,0.00071,0.04804,0.00739,0.00222,8e-05,0.00014,0.00481,7e-05,0.00034,0.00034,0.00148,0.0001,0.00312,9e-05,6e-05,0.00786,0.00046,0.00278,4e-05,0.03115,0.0002,0.00902,3e-05,0.0096,0.00661,5e-05,3e-05,0.03331,0.01055,3e-05,0.00011,0.00071
0.32,0.00014,0.0192,0.00401,0.00017,8e-05,0.00025,0.01938,0.0043,6e-05,0.01074,0.23936,0.00684,0.01107,0.01267,0.00014,0.00153,0.01725,0.00093,0.00442,0.00432,0.00984,4e-05,0.05846,2e-05,0.01714,0.00013,0.0006,0.03168,0.01227,0.00015,3e-05,0.01744,0.0055,0.00234,0.0868,6e-05,0.00065,0.05263,0.00798,0.00241,9e-05,0.00013,0.00572,7e-05,0.00035,0.00034,0.00136,9e-05,0.00277,0.00011,7e-05,0.01294,0.00046,0.00302,3e-05,0.03093,0.0002,0.00903,3e-05,0.00967,0.00674,5e-05,4e-05,0.0331,0.01056,4e-05,0.00014,0.00069
0.34,0.00015,0.01736,0.00459,0.00022,0.00012,0.00031,0.01943,0.00447,9e-05,0.01078,0.29352,0.00738,0.01762,0.0121,0.00017,0.00235,0.01666,0.0009,0.00563,0.00379,0.0096,6e-05,0.05841,4e-05,0.01713,0.0002,0.00088,0.03149,0.01272,0.00023,4e-05,0.01745,0.00563,0.00252,0.08605,7e-05,0.00058,0.05665,0.00867,0.00251,0.00012,0.00015,0.00631,0.0001,0.00055,0.00048,0.00123,0.00012,0.0023,0.00014,0.0001,0.02568,0.00062,0.00516,4e-05,0.03069,0.00026,0.0091,4e-05,0.00982,0.00693,8e-05,5e-05,0.03289,0.0106,5e-05,0.0002,0.00093
0.36,0.00014,0.01537,0.00526,0.0002,0.0001,0.00027,0.0195,0.00469,8e-05,0.01089,0.30209,0.00748,0.02215,0.0115,0.00015,0.00341,0.01625,0.00069,0.00661,0.00315,0.00933,5e-05,0.05679,3e-05,0.01708,0.00018,0.00079,0.0313,0.01331,0.00021,4e-05,0.01742,0.00565,0.00259,0.08526,6e-05,0.00052,0.06013,0.00935,0.00253,0.00011,0.00013,0.0063,9e-05,0.00049,0.00043,0.00111,0.00011,0.00145,0.00012,9e-05,0.04554,0.0005,0.00667,4e-05,0.03046,0.00023,0.00915,3e-05,0.00983,0.00701,7e-05,4e-05,0.03147,0.01063,4e-05,0.00018,0.00084
0.38,0.00013,0.01323,0.00596,0.00018,9e-05,0.00025,0.01964,0.00518,7e-05,0.01097,0.27422,0.00738,0.02568,0.01125,0.00013,0.00488,0.01605,0.00061,0.0074,0.00276,0.00903,5e-05,0.05444,3e-05,0.01704,0.00016,0.00072,0.03113,0.01373,0.0002,3e-05,0.01738,0.00567,0.00268,0.08446,6e-05,0.00047,0.06345,0.00987,0.00256,0.0001,0.00012,0.00572,8e-05,0.00046,0.0004,0.00104,0.00011,0.00031,0.0001,8e-05,0.06769,0.00044,0.00737,4e-05,0.03018,0.00022,0.00922,3e-05,0.00983,0.0071,6e-05,4e-05,0.03094,0.01066,4e-05,0.00017,0.00077
0.4,0.00011,0.01108,0.00664,0.00016,8e-05,0.00022,0.01975,0.00576,6e-05,0.01101,0.21676,0.00694,0.02658,0.01111,0.00202,0.00629,0.01595,0.00052,0.00811,0.00285,0.00866,4e-05,0.05167,3e-05,0.017,0.00014,0.00062,0.03092,0.01418,0.00018,3e-05,0.01735,0.00562,0.00268,0.08361,5e-05,0.00042,0.06708,0.01002,0.00258,0.0001,0.00011,0.00473,7e-05,0.0004,0.00035,0.00095,9e-05,0.00029,8e-05,7e-05,0.09113,0.00037,0.00965,3e-05,0.02993,0.00019,0.00928,3e-05,0.00979,0.00714,5e-05,3e-05,0.03058,0.01068,3e-05,0.00015,0.00067
0.42,0.00013,0.009,0.00725,0.00017,8e-05,0.00021,0.01976,0.00617,6e-05,0.01111,0.14542,0.00609,0.02418,0.0109,0.00286,0.00739,0.01586,0.00049,0.00909,0.00267,0.00819,4e-05,0.04857,3e-05,0.01703,0.00013,0.00059,0.03058,0.01476,0.00018,3e-05,0.01735,0.00541,0.00248,0.08272,5e-05,0.00039,0.07167,0.0099,0.00261,0.0001,0.0001,0.00365,7e-05,0.00039,0.00034,0.00096,9e-05,0.00027,8e-05,7e-05,0.11979,0.00035,0.01536,3e-05,0.02982,0.00018,0.00929,2e-05,0.00969,0.00708,6e-05,4e-05,0.02914,0.01065,3e-05,0.00014,0.00063
0.44,0.00012,0.007,0.00767,0.00018,8e-05,0.00018,0.01975,0.00639,6e-05,0.01118,0.08483,0.00507,0.02041,0.01098,0.00309,0.00795,0.01591,0.00048,0.00978,0.00245,0.00763,3e-05,0.04572,2e-05,0.01707,9e-05,0.00053,0.03004,0.0153,0.00016,3e-05,0.01735,0.00514,0.00219,0.08189,4e-05,0.00035,0.07774,0.00969,0.00263,9e-05,9e-05,0.00261,6e-05,0.00039,0.00041,0.00092,9e-05,0.00024,8e-05,7e-05,0.13556,0.00025,0.0211,3e-05,0.02973,0.00016,0.00928,2e-05,0.00952,0.00699,3e-05,3e-05,0.02765,0.01062,3e-05,0.0001,0.00056
0.46,0.0001,0.00506,0.00794,0.00016,8e-05,0.00019,0.01984,0.0064,6e-05,0.01119,0.04411,0.00401,0.01659,0.01156,0.00336,0.00795,0.01618,0.00047,0.00986,0.00239,0.00703,4e-05,0.04345,2e-05,0.01709,0.00019,0.00051,0.02936,0.0157,0.00027,2e-05,0.01737,0.00498,0.00195,0.08122,4e-05,0.00032,0.08584,0.00952,0.0027,8e-05,9e-05,0.00172,5e-05,0.00053,0.00043,0.001,9e-05,0.00021,8e-05,8e-05,0.12514,0.00035,0.02388,3e-05,0.02965,0.00015,0.00929,2e-05,0.00953,0.00692,7e-05,3e-05,0.02702,0.01063,3e-05,0.00014,0.00052
0.48,8e-05,0.00327,0.00807,0.00014,8e-05,0.00017,0.02012,0.0063,6e-05,0.01112,0.03689,0.00313,0.01593,0.01244,0.00322,0.00749,0.01644,0.00045,0.00973,0.00235,0.00636,3e-05,0.04137,2e-05,0.01711,0.00017,0.00046,0.02839,0.01605,0.00024,2e-05,0.01736,0.00478,0.00168,0.08079,3e-05,0.00028,0.09657,0.0094,0.00274,8e-05,9e-05,0.00114,5e-05,0.00068,0.00042,0.00102,8e-05,0.00018,7e-05,7e-05,0.10769,0.00033,0.02664,2e-05,0.02961,0.00014,0.0093,2e-05,0.00941,0.00682,6e-05,3e-05,0.02625,0.01065,2e-05,0.00012,0.00047
0.5,7e-05,0.0019,0.00807,0.00017,0.00011,0.00022,0.02081,0.00582,8e-05,0.01139,0.03018,0.00238,0.01505,0.01381,0.00433,0.00716,0.01681,0.00088,0.00897,0.00267,0.00564,4e-05,0.03986,3e-05,0.01714,0.00022,0.00063,0.02717,0.01621,0.0003,3e-05,0.01741,0.0047,0.0015,0.08091,4e-05,0.00028,0.11034,0.00937,0.00288,0.00012,0.00012,0.0009,7e-05,0.00122,0.0006,0.0012,0.00011,0.00016,9e-05,0.0001,0.07549,0.00046,0.0249,3e-05,0.02972,0.00019,0.00933,3e-05,0.0094,0.0068,7e-05,3e-05,0.02591,0.01073,3e-05,0.00019,0.00063
0.52,5e-05,0.00122,0.00783,9e-05,0.0001,0.00018,0.02201,0.00447,7e-05,0.01233,0.01529,0.00134,0.00993,0.01582,0.00847,0.00721,0.01775,0.0009,0.00671,0.00253,0.00493,3e-05,0.03918,2e-05,0.01709,0.00019,0.00053,0.02572,0.01603,0.00024,2e-05,0.01738,0.00462,0.00138,0.0818,4e-05,0.00024,0.12666,0.00936,0.00296,9e-05,0.00011,0.00099,8e-05,0.0011,0.00053,0.00107,9e-05,0.00014,8e-05,9e-05,0.0489,0.00043,0.01708,3e-05,0.03002,0.00014,0.00941,2e-05,0.00937,0.00681,6e-05,2e-05,0.02631,0.01086,3e-05,0.00015,0.00047
0.54,8e-05,0.00114,0.00746,0.00029,0.00016,0.00014,0.02401,0.00302,0.00013,0.01326,0.00264,0.00052,0.00389,0.01839,0.01368,0.00778,0.01909,0.00091,0.00475,0.00237,0.00425,3e-05,0.03909,2e-05,0.01704,0.00015,0.00071,0.02403,0.01571,0.0002,2e-05,0.01736,0.0046,0.00146,0.08341,4e-05,0.00021,0.14574,0.00941,0.00307,8e-05,0.00012,0.00136,7e-05,0.00254,0.00063,0.00102,0.00012,0.00011,0.00012,8e-05,0.02892,0.00037,0.00877,2e-05,0.03058,0.00026,0.00949,2e-05,0.00937,0.00689,4e-05,2e-05,0.0268,0.01102,2e-05,0.00014,0.00099
0.56,3e-05,0.0015,0.007,0.00026,0.0002,0.00012,0.02708,0.00193,0.00011,0.01454,0.00232,0.00042,0.0035,0.02146,0.01823,0.00837,0.02071,0.00083,0.00366,0.00218,0.00365,2e-05,0.03884,2e-05,0.017,0.00014,0.00074,0.02212,0.01533,0.00017,2e-05,0.01736,0.00456,0.00138,0.08555,3e-05,0.00019,0.1644,0.0094,0.00324,0.0001,0.0001,0.00168,7e-05,0.03136,0.00212,0.00903,0.0001,0.0001,0.0001,8e-05,0.01757,0.00035,0.0026,2e-05,0.03141,0.00023,0.00954,2e-05,0.00937,0.00693,4e-05,2e-05,0.02688,0.0112,2e-05,0.00012,0.00088
0.58,3e-05,0.00236,0.00639,0.00024,0.0002,0.00011,0.03134,0.00097,0.0001,0.01651,0.00209,0.00039,0.00324,0.02509,0.02248,0.0091,0.02289,0.00074,0.00299,0.01105,0.00337,2e-05,0.039,2e-05,0.01695,0.00013,0.00068,0.02016,0.01475,0.00015,2e-05,0.01737,0.00454,0.00133,0.08812,3e-05,0.00018,0.17917,0.00933,0.00344,9e-05,9e-05,0.00208,7e-05,0.04768,0.00243,0.01763,9e-05,9e-05,0.0001,7e-05,0.00868,0.00032,0.0024,2e-05,0.03247,0.00022,0.00956,2e-05,0.00939,0.00696,4e-05,2e-05,0.02686,0.01137,2e-05,0.00011,0.00081
0.6,0,0.00378,0.00536,2e-05,3e-05,0,0.0374,0.00024,0,0.01889,0.00106,0.0003,0.00197,0.02957,0.02593,0.00969,0.02561,1e-05,0.00282,0.01636,0.00314,0,0.03891,0,0.01686,0,1e-05,0.01791,0.01415,0,0,0.01731,0.00441,0.00111,0.09171,0,2e-05,0.1834,0.00914,0.00356,0,0,0.0024,0,0.04106,0.00074,0.02167,0,0,0,0,0.00415,1e-05,0.00127,0,0.03385,0,0.00955,0,0.00929,0.00683,0,0,0.0261,0.01158,0,0,1e-05
