T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.11663,0.00114,0,0,0.00318,0.00044,0.00171,0.00805,0.00385,0.00186,0.01876,0.00078,0,0,0.0008,0.94549,0.00585,0,0.00097,0.00048,0,0.00042,0.00678,0.00091,0.00916,0.0613,0.00238,0,0.00031,0,0.00564,0.00847,0.05524,0.00389,0.00623,0.151,0,0,0,0.07913,0.00574,0,0,0,0.00524,0.05091,0.00056,0.00027,0.00404,0.52081,0,0,0.07137,0,0,0.00723,0.00033,0,0,0,0,0,0.02212,0.00018,0.00292,0.02408
0.02,0,0,0.10476,0.00098,0,0,0.00307,0.00039,0.00174,0.00917,0.00328,0.00162,0.01814,0.00066,0,0,0.00271,0.63795,0.00604,0,0.00083,0.00036,0,0.00037,0.0066,0.00087,0.00804,0.08823,0.00258,0,0.00027,0,0.00487,0.00737,0.05827,0.00483,0.00735,0.12289,0,0,0,0.07042,0.00348,0,0,0,0.00497,0.04418,0.00048,0,0.00372,0.54012,0,0,0.06947,0,0,0.00639,0.00028,0,0,0,0,0,0.01974,0.00015,0.00263,0.02104
0.04,0,0,0.09241,0.00084,0,0,0.00297,0.00034,0.00177,0.01038,0.00274,0.00139,0.01738,0.00055,0,0,0.00468,0.34767,0.00618,0,0.00071,0.00024,0,0.00032,0.0064,0.00084,0.00698,0.11371,0.00278,0,0.00023,0,0.00413,0.00638,0.0609,0.00593,0.00859,0.09535,0,0,0,0.06169,0.00108,0,0,0,0.00473,0.03812,0.00041,0,0.00339,0.55426,0,0,0.06726,0,0,0.00548,0.00024,0,0,0,0,0,0.01749,0.00013,0.00233,0.01818
0.06,0,0,0.07969,0.00072,0,0,0.00288,0.0003,0.00182,0.01168,0.00224,0.00119,0.01644,0.00045,0,0,0.00666,0.07897,0.00627,0,0.00059,0.00011,0,0.00027,0.00617,0.0008,0.006,0.13742,0.00298,0,0.00019,0,0.00342,0.00553,0.063,0.0072,0.00995,0.06868,0,0,0,0.05299,0,0,0.00081,1e-05,0.00452,0.03288,0.00035,0,0.00305,0.56196,0,0,0.06475,0,0,0.0045,0.0002,0,0,0,0,0,0.01541,0.00011,0.00202,0.01548
0.08,0,0,0.06668,0.00061,0,0,0.00279,0.00026,0.00187,0.01307,0.00176,0.001,0.01532,0.00036,0,0,0.00861,0,0.0063,0,0.00049,0,0,0.00023,0.00592,0.00076,0.0051,0.15902,0.00319,0,0.00015,0,0.00276,0.0048,0.06444,0.00863,0.01143,0.04316,0,0,0,0.04441,0,0,0.00651,0.00267,0.00434,0.02858,0.00029,0,0.00268,0.56184,0,0,0.06195,0,0,0.00345,0.00017,0,0,0,0,0,0.01352,0.0001,0.0017,0.01294
0.1,0,0,0.05347,0.00051,0,0,0.0027,0.00023,0.00194,0.01452,0.00133,0.00083,0.01401,0.00028,0,0,0.01049,0.51391,0.00625,0,0.00039,0,0,0.00019,0.00563,0.00072,0.00427,0.17813,0.00339,0,0.00012,0,0.00213,0.0042,0.06505,0.01024,0.01302,0.01911,0,0,0,0.03603,0,0,0.01079,0.00484,0.00419,0.02531,0.00023,0,0.00228,0.55236,0,0,0.05888,0,0,0.00233,0.00014,0,0,0,0,0,0.01183,8e-05,0.00135,0.01056
0.12,0,0,0.04016,0.00043,0,0,0.0026,0.00019,0.00201,0.01604,0.00093,0.00069,0.01251,0.0002,0,0.00543,0.01228,0,0.0061,0,0.0003,0,0,0.00015,0.00529,0.00067,0.00353,0.19435,0.00359,0.00027,0.0001,0,0.00154,0.00374,0.06467,0.01203,0.01473,0,0,0,0,0.02791,0,0,0.01361,0.0065,0.00407,0.02313,0.00019,0,0.00185,0.53183,0,0,0.05561,0,0,0.00116,0.00011,0,0,0,0,0,0.01034,7e-05,0.00099,0.00833
0.14,0,0,0.02686,0.00037,0,0,0.0025,0.00016,0.00209,0.0176,0.00058,0.00056,0.01083,0.00014,0.00978,0.0161,0.01394,0,0.00583,0,0.00023,0,0,0.00012,0.00492,0.00062,0.00286,0.20729,0.00377,0.00594,7e-05,0,0.00099,0.00339,0.06312,0.01399,0.01653,0,0,0,0,0.02014,0,0,0.01493,0.00761,0.00398,0.02207,0.00015,0,0.00137,0.49843,0,0,0.05219,0,0,0,8e-05,0,0,0,0,0,0.00905,5e-05,0.0006,0.00624
0.16,0,0,0.01367,0.00033,0,0,0.00238,0.00014,0.00217,0.01918,0.00026,0.00046,0.00899,8e-05,0.03641,0.02489,0.01543,0,0.00544,0,0.00016,0,0,0.0001,0.0045,0.00057,0.00227,0.21657,0.00393,0.01021,5e-05,0,0.00046,0.00315,0.06023,0.01613,0.01842,0,0,0,0,0.01277,0,0,0.01477,0.00819,0.00389,0.02212,0.00011,0,0.00086,0.45015,0,0,0.04872,0,0,0,6e-05,0,0,0,0,0.00299,0.00793,4e-05,0.00017,0.00427
0.18,0,0,0.00074,0.00031,0,0,0.00224,0.00011,0.00225,0.02075,0,0.00038,0.007,4e-05,0.05617,0.03196,0.0167,0,0.00488,0,0.0001,0,0,8e-05,0.00402,0.0005,0.00175,0.22185,0.00406,0.01323,3e-05,0,0,0.003,0.05586,0.01843,0.02038,0,0,0,0,0.00588,0,0,0.01324,0.00822,0.00382,0.02327,8e-05,0,0.0003,0.38487,0,0,0.0453,0,0,0,5e-05,0,0,0,0,0.0097,0.00695,3e-05,0,0.00242
