T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.29642,-0.02288,0.00497,-0.00433,-0.00096,-0,0.03984,-0.00222,9e-05,-0.00754,0.00108,9e-05,-0.00036,-0.06634,-0.02069,-0.00131,0.01572,0.00026,-0.0003,-1e-05,0.04132,-0.02071,0.03442,0.0003,0.0006,-0.00074,0.00064,0.06426,-0.01754,0.01052,-0.00024,-0.00034,0.00093,0.00012
0.02,-0.30992,-0.02346,0.00509,-0.00455,-0.00095,-0,0.04346,-0.00231,0.00024,-0.00827,0.0011,8e-05,-0.00037,-0.06553,-0.02048,-0.00133,0.01569,0.00026,-0.00028,-1e-05,0.04221,-0.02045,0.0344,0.00028,0.00062,-0.00075,0.00065,0.06569,-0.01775,0.01073,-0.00024,-0.00034,0.00096,0.00013
0.04,-0.3241,-0.02385,0.0051,-0.00481,-0.00091,-0,0.04794,-0.00242,0.00045,-0.00918,0.00111,6e-05,-0.00039,-0.06223,-0.01961,-0.00134,0.01514,0.00026,-0.00023,-2e-05,0.04239,-0.01903,0.03307,0.00025,0.00066,-0.00076,0.00064,0.06593,-0.01769,0.01078,-0.00023,-0.00033,0.00097,0.00013
0.06,-0.34046,-0.0241,0.00502,-0.00515,-0.00085,-0,0.05359,-0.00255,0.00072,-0.01035,0.0011,2e-05,-0.00041,-0.05601,-0.01799,-0.00132,0.01398,0.00026,-0.00016,-3e-05,0.0418,-0.0161,0.03017,0.0002,0.00071,-0.00078,0.00062,0.06484,-0.01737,0.0107,-0.00021,-0.00032,0.00096,0.00014
0.08,-0.36029,-0.02427,0.00485,-0.00562,-0.00075,-0,0.06066,-0.00272,0.00106,-0.01181,0.00107,-4e-05,-0.00044,-0.04641,-0.0155,-0.00128,0.01212,0.00024,-6e-05,-5e-05,0.04035,-0.01128,0.02539,0.00012,0.0008,-0.0008,0.00056,0.06222,-0.01682,0.01048,-0.00019,-0.00029,0.00095,0.00014
0.1,-0.38457,-0.02441,0.00459,-0.00624,-0.00062,-0,0.06928,-0.00292,0.00144,-0.01359,0.00104,-0.00012,-0.00047,-0.03301,-0.01208,-0.00122,0.00946,0.00022,7e-05,-7e-05,0.03795,-0.0042,0.01844,1e-05,0.00093,-0.00085,0.00048,0.05786,-0.01606,0.01016,-0.00016,-0.00024,0.00093,0.00014
0.12,-0.41369,-0.02456,0.00425,-0.00705,-0.00046,-0,0.07935,-0.00317,0.00187,-0.01567,0.001,-0.00023,-0.0005,-0.01552,-0.00767,-0.00113,0.00592,0.00019,0.00024,-0.0001,0.03447,0.00549,0.0091,-0.00013,0.00112,-0.00092,0.00037,0.05149,-0.01509,0.00974,-0.00013,-0.00017,0.0009,0.00014
0.14,-0.44725,-0.02475,0.00384,-0.00804,-0.00027,-0,0.09052,-0.00343,0.00229,-0.01798,0.00094,-0.00037,-0.00053,0.00604,-0.00231,-0.00102,0.00149,0.00016,0.00043,-0.00014,0.02981,0.01801,-0.00277,-0.00029,0.00136,-0.00102,0.00022,0.0429,-0.01396,0.00926,-0.0001,-8e-05,0.00087,0.00014
0.16,-0.4838,-0.02499,0.00336,-0.00921,-6e-05,-0,0.10203,-0.0037,0.00267,-0.02036,0.00089,-0.00054,-0.00057,0.03122,0.00386,-0.00089,-0.00376,0.00011,0.00065,-0.00018,0.02394,0.03333,-0.01711,-0.00047,0.00167,-0.00116,3e-05,0.03199,-0.01271,0.00875,-6e-05,3e-05,0.00084,0.00013
0.18,-0.52031,-0.02529,0.00283,-0.01049,0.00016,-0,0.11259,-0.00398,0.00293,-0.02254,0.00084,-0.00073,-0.00059,0.05886,0.01048,-0.00075,-0.00964,6e-05,0.00088,-0.00022,0.01689,0.05109,-0.03358,-0.00066,0.00203,-0.00134,-0.00019,0.01883,-0.01143,0.00828,-3e-05,0.00015,0.0008,0.00013
0.2,-0.55263,-0.02564,0.00229,-0.01183,0.00036,-0,0.12052,-0.00409,0.00296,-0.02418,0.00081,-0.00092,-0.00061,0.08709,0.01712,-0.00059,-0.0158,2e-05,0.0011,-0.00027,0.00884,0.0705,-0.05142,-0.00083,0.00245,-0.00156,-0.00043,0.00376,-0.01023,0.00791,-2e-05,0.00029,0.00078,0.00013
0.22,-0.57609,-0.02602,0.00176,-0.01311,0.00053,-1e-05,0.12402,-0.00383,0.00264,-0.02488,0.00079,-0.00112,-0.00061,0.11384,0.02345,-0.00043,-0.02182,-3e-05,0.00128,-0.00032,3e-05,0.09052,-0.06943,-0.00097,0.0029,-0.00182,-0.00067,-0.0127,-0.00924,0.0077,-2e-05,0.00044,0.00076,0.00013
0.24,-0.58629,-0.0264,0.00126,-0.01424,0.00064,-1e-05,0.12133,-0.00331,0.00181,-0.02427,0.0008,-0.00129,-0.00059,0.13691,0.02891,-0.00028,-0.02724,-7e-05,0.0014,-0.00036,-0.00927,0.11016,-0.08685,-0.00106,0.00336,-0.00211,-0.0009,-0.03001,-0.0085,0.00771,-4e-05,0.00059,0.00076,0.00013
0.26,-0.58066,-0.02673,0.00083,-0.01514,0.00069,-1e-05,0.11145,-0.00267,0.00029,-0.02211,0.00083,-0.00143,-0.00054,0.15458,0.03292,-0.00014,-0.03166,-0.00011,0.00144,-0.00039,-0.01894,0.12861,-0.10333,-0.00111,0.00382,-0.00242,-0.00111,-0.0477,-0.00803,0.00794,-8e-05,0.00074,0.00078,0.00013
0.28,-0.55912,-0.02699,0.00049,-0.01576,0.00071,-1e-05,0.09446,-0.00186,-0.00211,-0.01835,0.00088,-0.00153,-0.00047,0.16592,0.03527,-2e-05,-0.03471,-0.00013,0.00142,-0.00041,-0.02885,0.14516,-0.11841,-0.00111,0.00426,-0.00275,-0.0013,-0.06527,-0.00777,0.00829,-0.00013,0.00088,0.0008,0.00014
0.3,-0.52341,-0.02714,0.00023,-0.01606,0.00069,-1e-05,0.07112,-0.00105,-0.00559,-0.01304,0.00096,-0.00157,-0.00037,0.17031,0.03579,0.0001,-0.03602,-0.00015,0.00132,-0.0004,-0.03882,0.15911,-0.13151,-0.00109,0.00464,-0.00305,-0.00146,-0.08202,-0.00757,0.00863,-0.00019,0.001,0.00083,0.00014
0.32,-0.4764,-0.02712,7e-05,-0.01603,0.00069,-1e-05,0.04294,-0.00027,-0.01031,-0.00638,0.00104,-0.00154,-0.00025,0.16746,0.03439,0.0002,-0.03524,-0.00017,0.00118,-0.00038,-0.04865,0.16971,-0.14195,-0.00107,0.00494,-0.0033,-0.00156,-0.09719,-0.00725,0.0088,-0.00023,0.0011,0.00084,0.00014
0.34,-0.42086,-0.02694,-1e-05,-0.01564,0.00071,-1e-05,0.01191,0.00056,-0.01636,0.00133,0.00112,-0.00141,-0.00011,0.15756,0.03106,0.0003,-0.03221,-0.00018,0.00099,-0.00033,-0.05815,0.17631,-0.14925,-0.00107,0.00513,-0.00348,-0.00161,-0.11024,-0.00658,0.00857,-0.00025,0.00119,0.00083,0.00014
0.36,-0.35897,-0.02658,-4e-05,-0.01491,0.00076,-1e-05,-0.02009,0.00136,-0.02373,0.00978,0.00119,-0.00117,5e-05,0.14116,0.02587,0.00038,-0.02695,-0.00018,0.00078,-0.00025,-0.06718,0.17843,-0.153,-0.00109,0.00519,-0.00357,-0.00161,-0.12094,-0.00524,0.00771,-0.00023,0.00125,0.00078,0.00013
0.38,-0.29265,-0.02607,-5e-05,-0.01383,0.00086,-1e-05,-0.05098,0.00199,-0.0322,0.01855,0.00126,-0.0008,0.00022,0.11938,0.01913,0.00043,-0.01977,-0.00019,0.00057,-0.00014,-0.07563,0.17572,-0.15261,-0.00114,0.00512,-0.00356,-0.00156,-0.12929,-0.00295,0.00599,-0.00019,0.00131,0.00069,0.00011
0.4,-0.22386,-0.02547,-3e-05,-0.01245,0.00099,-1e-05,-0.07821,0.00253,-0.04134,0.02704,0.00132,-0.00028,0.0004,0.09371,0.01116,0.00046,-0.01124,-0.00019,0.00039,-1e-05,-0.08325,0.16802,-0.14741,-0.00121,0.00492,-0.00344,-0.00146,-0.1354,0.00061,0.00321,-0.00012,0.00136,0.00053,7e-05
0.42,-0.15463,-0.02485,-0,-0.01078,0.00114,-1e-05,-0.09912,0.00331,-0.05035,0.03461,0.00138,0.00041,0.00057,0.06604,0.00262,0.00046,-0.00229,-0.00019,0.00025,0.00013,-0.0897,0.15538,-0.13683,-0.00128,0.00458,-0.0032,-0.0013,-0.1395,0.0056,-0.00082,-3e-05,0.00142,0.00032,2e-05
0.44,-0.08659,-0.02424,4e-05,-0.00886,0.0013,-1e-05,-0.1124,0.00407,-0.05803,0.04081,0.00142,0.00128,0.00072,0.03833,-0.00573,0.00041,0.00585,-0.00019,0.00021,0.00027,-0.09488,0.13822,-0.12124,-0.00134,0.00414,-0.00286,-0.00111,-0.14181,0.01193,-0.00626,8e-05,0.0015,4e-05,-5e-05
0.46,-0.02078,-0.02362,9e-05,-0.00667,0.00149,-1e-05,-0.1184,0.0044,-0.06266,0.0455,0.00147,0.00234,0.00086,0.01206,-0.01337,0.00032,0.01167,-0.00018,0.00031,0.00041,-0.0988,0.11759,-0.10159,-0.00138,0.0036,-0.00242,-0.00088,-0.14264,0.01917,-0.01298,0.00021,0.0016,-0.00029,-0.00013
0.48,0.04187,-0.02299,0.00011,-0.00416,0.00173,-1e-05,-0.11877,0.00438,-0.06198,0.0488,0.00152,0.0036,0.00098,-0.01159,-0.01988,0.00021,0.01333,-0.00015,0.00063,0.00052,-0.10148,0.09545,-0.07935,-0.00139,0.00299,-0.0019,-0.00063,-0.14236,0.02641,-0.02074,0.00037,0.00172,-0.00065,-0.00022
