T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-26.57189,6.26563,-0.13275,-1.55626,0.46181,0.05865,-1.20184,-0.25558,2.89244,-2.0339,0.00403,-0.11205,-0.00786,-1.09509,3.1008,-2.92966,-2.74262,-0.02361,-0.13844,-0.06749,0.79124,32.07826,-7.95326,12.67954,2.2435,7.86517,0.92642,-30.33926,-11.22221,2.08523,21.00051,-6.24012,-2.28236,-1.83755
0.02,-26.55102,6.2843,-0.13082,-1.55521,0.46384,0.05892,-1.19978,-0.23052,2.89315,-2.03112,0.00405,-0.11208,-0.00811,-1.09451,3.08986,-2.92961,-2.73943,-0.02374,-0.13833,-0.06775,0.81197,32.07866,-7.94684,12.70913,2.24906,7.85768,0.93127,-30.32763,-11.21981,2.09153,21.00685,-6.23702,-2.28372,-1.83019
0.04,-26.52923,6.30164,-0.12927,-1.55417,0.46592,0.0592,-1.19836,-0.20599,2.89394,-2.02833,0.0041,-0.11212,-0.00838,-1.09405,3.07876,-2.92956,-2.73616,-0.02381,-0.13822,-0.06798,0.83218,32.07927,-7.94066,12.73861,2.25455,7.85021,0.93624,-30.31571,-11.21755,2.09764,21.0132,-6.23386,-2.28508,-1.82274
0.06,-26.50734,6.31792,-0.12798,-1.5532,0.46805,0.05949,-1.19753,-0.18171,2.89482,-2.02547,0.00419,-0.11216,-0.00869,-1.09366,3.06735,-2.92948,-2.73281,-0.02383,-0.1381,-0.06817,0.85215,32.07993,-7.93471,12.76806,2.25999,7.84274,0.94125,-30.30345,-11.21582,2.10343,21.01963,-6.23066,-2.28644,-1.81526
0.08,-26.48626,6.33356,-0.12688,-1.55238,0.4702,0.05979,-1.1972,-0.15736,2.89573,-2.02253,0.0043,-0.11218,-0.00903,-1.0933,3.05546,-2.92937,-2.72931,-0.0238,-0.13795,-0.06832,0.87224,32.08047,-7.92895,12.79757,2.26539,7.83528,0.94624,-30.29077,-11.21508,2.1088,21.02618,-6.22741,-2.28777,-1.80782
0.1,-26.46703,6.34894,-0.12596,-1.55177,0.47237,0.06008,-1.19734,-0.13308,2.89665,-2.01954,0.00443,-0.11216,-0.0094,-1.09293,3.04303,-2.92922,-2.72568,-0.0237,-0.13778,-0.06844,0.89258,32.08083,-7.92333,12.82699,2.27071,7.82786,0.95118,-30.27781,-11.21582,2.11362,21.03265,-6.22415,-2.2891,-1.80047
0.12,-26.45038,6.365,-0.12522,-1.55143,0.47453,0.06037,-1.19771,-0.10779,2.89754,-2.01643,0.00455,-0.11208,-0.00982,-1.09253,3.0299,-2.92902,-2.72185,-0.02353,-0.13756,-0.06852,0.91382,32.08085,-7.91778,12.85672,2.27602,7.82041,0.95604,-30.26412,-11.21837,2.11786,21.03955,-6.22084,-2.29037,-1.79325
0.14,-26.43699,6.38214,-0.12459,-1.55133,0.47668,0.06066,-1.19833,-0.08234,2.89834,-2.01332,0.00467,-0.11193,-0.01027,-1.09203,3.01615,-2.92876,-2.71788,-0.02329,-0.13729,-0.06858,0.93579,32.08058,-7.91218,12.88634,2.28123,7.81304,0.96081,-30.25018,-11.22321,2.12139,21.04626,-6.21752,-2.29162,-1.78617
0.16,-26.42711,6.40116,-0.12389,-1.55148,0.47883,0.06094,-1.19908,-0.05665,2.899,-2.01022,0.00477,-0.11169,-0.01076,-1.09138,3.00194,-2.92846,-2.71383,-0.02299,-0.13697,-0.06861,0.95862,32.08006,-7.90642,12.91583,2.28636,7.80573,0.96548,-30.23611,-11.23054,2.12415,21.05266,-6.2142,-2.29287,-1.77922
0.18,-26.42017,6.42437,-0.12282,-1.55196,0.48089,0.0612,-1.19902,-0.02634,2.89954,-2.00682,0.00478,-0.11133,-0.0113,-1.09072,2.98706,-2.92807,-2.70949,-0.02267,-0.13658,-0.06868,0.98401,32.07903,-7.90051,12.94706,2.29171,7.79819,0.97007,-30.21984,-11.23966,2.12653,21.0613,-6.21077,-2.29392,-1.77249
0.2,-26.41653,6.44894,-0.1205,-1.55233,0.48315,0.06147,-1.19979,-0.00259,2.89975,-2.00409,0.00481,-0.11094,-0.01179,-1.08951,2.97297,-2.92769,-2.70577,-0.02229,-0.13614,-0.06872,1.00768,32.07855,-7.89407,12.97509,2.29644,7.79124,0.97462,-30.20702,-11.25203,2.12773,21.06546,-6.20757,-2.29525,-1.76571
0.22,-26.41617,6.47146,-0.11576,-1.55218,0.48598,0.06182,-1.20348,0.00163,2.8994,-2.00302,0.00502,-0.11063,-0.01206,-1.08705,2.9622,-2.92744,-2.70403,-0.02184,-0.13571,-0.06867,1.02429,32.07983,-7.88651,12.99426,2.29964,7.7857,0.97909,-30.20497,-11.26907,2.12666,21.05635,-6.205,-2.2975,-1.75845
0.24,-26.41616,6.4972,-0.10796,-1.55171,0.48907,0.0622,-1.20753,-0.00082,2.89867,-2.00266,0.00522,-0.11032,-0.01225,-1.08391,2.95333,-2.92724,-2.70332,-0.02141,-0.13525,-0.06866,1.03888,32.08206,-7.87827,13.01016,2.30221,7.78079,0.98362,-30.20668,-11.28798,2.12487,21.04276,-6.20269,-2.30001,-1.75106
0.26,-26.41337,6.53049,-0.09617,-1.55114,0.49221,0.06258,-1.20991,0.00095,2.89775,-2.00214,0.00527,-0.10996,-0.01247,-1.08054,2.94584,-2.92702,-2.70311,-0.02111,-0.13476,-0.06883,1.05539,32.08462,-7.86967,13.02762,2.30503,7.77572,0.98827,-30.20647,-11.30607,2.12356,21.03157,-6.2003,-2.30234,-1.74372
0.28,-26.40553,6.5708,-0.07903,-1.55048,0.49559,0.06301,-1.21161,0.00448,2.89658,-2.00135,0.00524,-0.10956,-0.01266,-1.07662,2.94354,-2.92689,-2.70487,-0.02102,-0.13436,-0.06922,1.07145,32.08777,-7.85998,13.04566,2.30819,7.77007,0.9928,-30.20828,-11.32243,2.12198,21.01782,-6.19796,-2.30482,-1.73589
