T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00069,-0.00062,-0.00404,0.01116,-0.01581,0.00717,0.00922,-0.00846,0.00233,-0.00062,0.00203,0.0001,0.05528,-0.03911,-0.05162,-0,-0.07223,0.04074,-0.01918,0.11879,-0.01406,0.00859,-0.01796,0.01865,0.0472,-0.02151,0.01582,-0.02106,-0.02409,-0.00879,-0.00279,-0.00993,-0.00243,0.01444,0.02731,0.16689,0.00205,0.00526,-0.0197,-0.01039
0.02,0.00068,-0.00064,-0.00467,0.01218,-0.01938,0.00733,0.01153,-0.00953,0.00186,-0.00049,0.00252,0.00014,0.0033,-0.04268,-0.2622,-0,-0.14321,0.01928,-0.02572,0.10485,-0.01116,0.00776,-0.02744,0.01894,0.05434,-0.02341,0.01928,-0.02162,-0.01948,-0.00869,-0.0039,-0.01292,-0.00346,0.0183,0.02956,0.18091,0.00241,0.00561,-0.02059,-0.01089
0.04,0.00066,-0.00064,-0.00542,0.01331,-0.02396,0.00731,0.01452,-0.01079,0.0012,-0.00025,0.00312,0.00018,-0.07802,-0.0466,-0.55435,-1e-05,-0.24172,-0.01464,-0.03394,0.07669,-0.00603,0.00596,-0.03945,0.01847,0.06005,-0.02518,0.02366,-0.02172,-0.01223,-0.00826,-0.00538,-0.01682,-0.00483,0.0233,0.03197,0.19577,0.00284,0.00594,-0.02123,-0.01129
0.06,0.00068,-0.00061,-0.00626,0.0144,-0.0293,0.00701,0.01803,-0.01212,0.00038,0.00014,0.00376,0.00024,-0.19073,-0.05027,-0.93295,-1e-05,-0.36893,-0.06297,-0.04409,0.03196,0.00161,0.0029,-0.05378,0.01654,0.06302,-0.02651,0.02861,-0.02124,-0.0029,-0.00739,-0.00715,-0.02138,-0.00646,0.02914,0.03422,0.20939,0.00332,0.00619,-0.0214,-0.01146
0.08,0.00078,-0.00054,-0.00717,0.0153,-0.03504,0.0063,0.02185,-0.01339,-0.00054,0.00069,0.00437,0.00029,-0.33578,-0.05298,-1.39589,-2e-05,-0.52375,-0.12716,-0.05616,-0.03173,0.01205,-0.00174,-0.06989,0.01243,0.06146,-0.02702,0.03368,-0.02005,0.00786,-0.00596,-0.00905,-0.02622,-0.00822,0.03538,0.03588,0.21913,0.0038,0.0063,-0.02084,-0.01126
0.1,0.00098,-0.00041,-0.00805,0.01582,-0.04074,0.0051,0.02568,-0.01443,-0.0015,0.00145,0.00485,0.00035,-0.51298,-0.054,-1.93152,-2e-05,-0.70226,-0.20786,-0.06975,-0.11667,0.02548,-0.00822,-0.08674,0.0055,0.05308,-0.02625,0.03835,-0.01795,0.01943,-0.00387,-0.01095,-0.03092,-0.00995,0.04151,0.03654,0.22227,0.00423,0.00621,-0.01927,-0.01055
0.12,0.0013,-0.00021,-0.00883,0.01582,-0.04593,0.00332,0.02924,-0.01508,-0.00242,0.00241,0.00511,0.0004,-0.72069,-0.05276,-2.51568,-3e-05,-0.89701,-0.30453,-0.0839,-0.22485,0.04202,-0.01674,-0.10277,-0.00464,0.03515,-0.02374,0.04213,-0.01478,0.03131,-0.00107,-0.01269,-0.03509,-0.01154,0.047,0.03586,0.21654,0.00454,0.00583,-0.01651,-0.00923
0.14,0.00174,6e-05,-0.00939,0.01517,-0.05015,0.00096,0.03222,-0.0152,-0.00317,0.00359,0.00508,0.00045,-0.95527,-0.04899,-3.10897,-4e-05,-1.09638,-0.41491,-0.09695,-0.3574,0.06161,-0.02736,-0.11575,-0.01795,0.00451,-0.01906,0.04461,-0.0104,0.04314,0.00239,-0.01416,-0.03837,-0.01287,0.05138,0.03365,0.20056,0.0047,0.00512,-0.01246,-0.00725
0.16,0.00228,0.00039,-0.00965,0.01387,-0.05302,-0.00194,0.03436,-0.01471,-0.00361,0.00494,0.00474,0.00047,-1.21033,-0.04289,-3.65432,-4e-05,-1.2839,-0.5346,-0.10653,-0.51393,0.08395,-0.03994,-0.12286,-0.03383,-0.0422,-0.01188,0.0455,-0.00477,0.05472,0.00638,-0.01526,-0.04054,-0.01388,0.0543,0.02999,0.17439,0.00467,0.00408,-0.0072,-0.00467
0.18,0.00287,0.00079,-0.0095,0.01196,-0.05427,-0.00524,0.03546,-0.01358,-0.00357,0.00641,0.00412,0.00048,-1.47576,-0.03521,-4.07551,-5e-05,-1.43779,-0.65649,-0.10943,-0.69172,0.10844,-0.05406,-0.12066,-0.05092,-0.10828,-0.00211,0.04474,0.00203,0.06596,0.01066,-0.01593,-0.04147,-0.01455,0.05552,0.02526,0.13982,0.00442,0.00273,-0.00101,-0.00165
