T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-7,218.17854,7,-7,0.25109,-7,-7,467.39359,7,-7,0.25108,-7
0.02,-7,218.12726,7,-7,0.24992,-7,-7,467.44435,7,-7,0.24991,-7
0.04,-7,218.07445,7,-7,0.24872,-7,-7,467.49663,7,-7,0.24872,-7
0.06,-7,218.02052,7,-7,0.24753,-7,-7,467.55003,7,-7,0.24753,-7
0.08,-7,217.96581,7,-7,0.24635,-7,-7,467.60421,7,-7,0.24635,-7
0.1,-7,217.91063,7,-7,0.24521,-7,-7,467.65887,7,-7,0.24521,-7
0.12,-7,217.85524,7,-7,0.2441,-7,-7,467.71376,7,-7,0.24412,-7
0.14,-7,217.7999,6.99999,-7,0.24306,-7,-7,467.76862,7,-7,0.24308,-7
0.16,-7,217.74489,6.99999,-7,0.24209,-7,-7,467.8232,7,-7,0.24212,-7
0.18,-7,217.69046,6.99999,-7,0.2412,-7,-7,467.87723,7,-7,0.24124,-7
0.2,-7,217.63689,6.99999,-7,0.2404,-7,-7,467.93046,7,-7,0.24046,-7
0.22,-7,217.58446,6.99999,-7,0.2397,-7,-7,467.98261,7,-7,0.23978,-7
0.24,-7,217.53343,6.99999,-7,0.23911,-7,-7,468.03343,6.99999,-7,0.2392,-7
0.26,-7,217.48404,6.99999,-7,0.23863,-7,-7,468.08267,6.99999,-7,0.23873,-7
0.28,-7,217.43645,6.99999,-7,0.23825,-7,-7,468.13019,6.99999,-7,0.23835,-7
0.3,-7,217.39074,6.99999,-7,0.23797,-7,-7,468.17591,7,-7,0.23806,-7
0.32,-7,217.34685,6.99999,-7,0.23775,-7,-7,468.21988,7,-7,0.23784,-7
0.34,-7,217.30455,6.99999,-7,0.23758,-7,-7,468.26233,7,-7,0.23765,-7
0.36,-7,217.26343,6.99999,-7,0.23741,-7,-7,468.30367,7,-7,0.23747,-7
0.38,-7,217.22286,6.99999,-7,0.23721,-7,-7,468.34453,7,-7,0.23726,-7
0.4,-7,217.18198,6.99999,-7,0.23693,-7,-7,468.38576,7,-7,0.23697,-7
0.42,-7,217.13973,6.99999,-7,0.23652,-7,-7,468.4284,7,-7,0.23655,-7
0.44,-7,217.09485,6.99999,-7,0.23593,-7,-7,468.47371,7,-7,0.23594,-7
0.46,-7,217.04593,6.99999,-7,0.23511,-7,-7,468.52308,7,-7,0.23511,-7
0.48,-7,216.99145,7,-7,0.23401,-7,-7,468.57804,7,-7,0.23401,-7
0.5,-7,216.92984,7,-7,0.2326,-7,-7,468.64013,7,-7,0.2326,-7
0.52,-7,216.85953,7,-7,0.23084,-7,-7,468.71092,7,-7,0.23084,-7
0.54,-7,216.77901,7,-7,0.22872,-7,-7,468.79192,7,-7,0.22872,-7
0.56,-7,216.68685,7,-7,0.22624,-7,-7,468.88452,7,-7,0.22623,-7
0.58,-7,216.58179,7,-7,0.22339,-7,-7,468.99,7,-7,0.22338,-7
0.6,-7,216.46271,7,-7,0.2202,-7,-7,469.10947,7,-7,0.22019,-7
0.62,-7,216.32868,7,-7,0.21669,-7,-7,469.24382,7,-7,0.21668,-7
0.64,-7,216.17902,7,-7,0.21292,-7,-7,469.39375,7,-7,0.21291,-7
0.66,-7,216.01323,7,-7,0.20893,-7,-7,469.55975,7,-7,0.20892,-7
0.68,-7,215.83107,7,-7,0.20478,-7,-7,469.74202,7,-7,0.20476,-7
0.7,-7,215.63254,7,-7,0.20053,-7,-7,469.94057,7,-7,0.20052,-7
0.72,-7,215.41791,7,-7,0.19626,-7,-7,470.15513,7,-7,0.19625,-7
