T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-5.18606,-0.3038,0.12878,0.02151,0.03679,-0.00419,-0.04531,0.05777,-2.99879,2.92858,-0.18059,-0.05546,-0.13956,0.00612,-0.11091,2.99937,2.38048,0.04311,-0.02746,0.04396,0.1584,-0.69438,0.23686,-0.70281,-0.3431,0.06082,0.04602,0.12264,0.13505,-0.09938,-0.52502,-0.35509,-0.05755,-0.04292
0.02,-5.18238,-0.30446,0.12861,0.02153,0.03678,-0.00419,-0.04562,0.05753,-2.99879,2.93141,-0.18079,-0.05527,-0.13944,0.00594,-0.11051,2.99922,2.38019,0.04306,-0.02745,0.04437,0.15837,-0.69271,0.23856,-0.70264,-0.34319,0.06053,0.04588,0.12257,0.13474,-0.10098,-0.52496,-0.35513,-0.05744,-0.04271
0.04,-5.17872,-0.3051,0.12844,0.02155,0.03676,-0.00419,-0.04588,0.05734,-2.99879,2.93421,-0.18097,-0.05509,-0.13932,0.00587,-0.11017,2.99907,2.3799,0.04302,-0.02743,0.04477,0.15835,-0.69107,0.24021,-0.70247,-0.34329,0.06025,0.04573,0.12251,0.13444,-0.10253,-0.5249,-0.35516,-0.05734,-0.04249
0.06,-5.17508,-0.30573,0.12828,0.02157,0.03675,-0.00419,-0.0461,0.05722,-2.99878,2.937,-0.18114,-0.05494,-0.13921,0.00593,-0.10988,2.99892,2.3796,0.04298,-0.02739,0.04514,0.15833,-0.68945,0.24182,-0.7023,-0.34338,0.05997,0.04559,0.12245,0.13414,-0.10402,-0.52484,-0.3552,-0.05723,-0.04228
0.08,-5.17145,-0.30635,0.12812,0.02159,0.03673,-0.00419,-0.0463,0.05715,-2.99877,2.93977,-0.18129,-0.0548,-0.13911,0.00611,-0.10965,2.99877,2.37929,0.04294,-0.02733,0.0455,0.1583,-0.68785,0.24339,-0.70214,-0.34348,0.0597,0.04544,0.12238,0.13383,-0.10546,-0.52479,-0.35523,-0.05712,-0.04206
0.1,-5.16784,-0.30695,0.12797,0.02161,0.03671,-0.00419,-0.04649,0.05714,-2.99875,2.94248,-0.18144,-0.05468,-0.13903,0.00642,-0.10948,2.99863,2.37895,0.04291,-0.02724,0.04583,0.15827,-0.68629,0.24492,-0.70198,-0.34357,0.05942,0.04529,0.12231,0.13352,-0.10685,-0.52473,-0.35527,-0.05701,-0.04184
0.12,-5.16422,-0.30755,0.12781,0.02164,0.03669,-0.00419,-0.04668,0.05719,-2.99873,2.94524,-0.18156,-0.05456,-0.13896,0.00686,-0.10935,2.99849,2.3786,0.04289,-0.02711,0.04615,0.15824,-0.68472,0.24642,-0.70181,-0.34366,0.05915,0.04514,0.12223,0.1332,-0.10822,-0.52467,-0.35531,-0.05689,-0.04162
0.14,-5.16063,-0.30812,0.12765,0.02167,0.03667,-0.00418,-0.04688,0.05731,-2.99871,2.94793,-0.18167,-0.05446,-0.1389,0.00741,-0.10927,2.99838,2.37819,0.04287,-0.02691,0.04645,0.15819,-0.68319,0.24787,-0.70165,-0.34376,0.05888,0.04498,0.12214,0.13288,-0.10954,-0.52461,-0.35535,-0.05677,-0.04139
0.16,-5.15706,-0.30866,0.12748,0.0217,0.03665,-0.00418,-0.04709,0.05748,-2.99868,2.95054,-0.18175,-0.05435,-0.13887,0.00808,-0.10924,2.99829,2.37772,0.04285,-0.02665,0.04672,0.15814,-0.68169,0.24929,-0.7015,-0.34385,0.05861,0.04482,0.12204,0.13255,-0.11082,-0.52455,-0.35539,-0.05663,-0.04116
0.18,-5.15337,-0.30929,0.12728,0.02172,0.03664,-0.00418,-0.04732,0.05766,-2.99866,2.95355,-0.18179,-0.05424,-0.13884,0.0088,-0.10921,2.99819,2.37736,0.04285,-0.02632,0.04701,0.15808,-0.68007,0.25073,-0.70134,-0.34394,0.05835,0.04469,0.12193,0.13224,-0.11222,-0.52449,-0.35543,-0.05652,-0.04096
0.2,-5.14994,-0.30969,0.1271,0.02175,0.03662,-0.00418,-0.04754,0.05791,-2.99863,2.95574,-0.1818,-0.05414,-0.13885,0.00954,-0.10923,2.99821,2.37656,0.04285,-0.02587,0.04723,0.158,-0.67874,0.25202,-0.70119,-0.34403,0.05808,0.0445,0.12181,0.13188,-0.11339,-0.52443,-0.35547,-0.05636,-0.04069
0.22,-5.14721,-0.30946,0.12704,0.0218,0.03656,-0.00418,-0.04771,0.05827,-2.99861,2.95554,-0.18182,-0.05408,-0.13892,0.01029,-0.10937,2.99848,2.3749,0.04286,-0.02525,0.04728,0.15792,-0.67818,0.25297,-0.70109,-0.34413,0.0578,0.04415,0.12166,0.13142,-0.11387,-0.52439,-0.35555,-0.05607,-0.0402
0.24,-5.14471,-0.30899,0.12699,0.02185,0.0365,-0.00418,-0.04781,0.05864,-2.99859,2.95456,-0.1818,-0.05403,-0.13903,0.01093,-0.10951,2.99888,2.37275,0.04288,-0.02449,0.04727,0.15783,-0.67788,0.25378,-0.701,-0.34423,0.05752,0.04374,0.12151,0.13093,-0.11416,-0.52435,-0.35564,-0.05575,-0.03965
0.26,-5.14209,-0.30864,0.12687,0.02188,0.03646,-0.00417,-0.0478,0.05895,-2.9986,2.95409,-0.18173,-0.05394,-0.13914,0.0114,-0.10957,2.99931,2.37061,0.0429,-0.02365,0.04731,0.15772,-0.67742,0.25463,-0.70091,-0.34432,0.05724,0.04338,0.12135,0.13045,-0.11469,-0.5243,-0.35573,-0.05545,-0.03914
0.28,-5.13948,-0.30837,0.12682,0.02192,0.03641,-0.00417,-0.04753,0.05924,-2.99862,2.95316,-0.1817,-0.05387,-0.13918,0.01166,-0.10958,2.99984,2.36897,0.04293,-0.0228,0.04738,0.15764,-0.67693,0.25559,-0.70084,-0.34442,0.05695,0.04298,0.12122,0.13006,-0.11512,-0.52427,-0.35581,-0.05516,-0.03862
0.3,-5.13685,-0.30795,0.12659,0.02194,0.03637,-0.00417,-0.04699,0.05951,-2.99868,2.95295,-0.18161,-0.05376,-0.13929,0.0117,-0.10954,3.0004,2.36599,0.04296,-0.02174,0.04744,0.15753,-0.67643,0.25635,-0.70078,-0.3445,0.0567,0.04264,0.12107,0.12957,-0.11586,-0.52421,-0.35589,-0.05487,-0.03813
