T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.03814,0,0,0.0098,0.00265,0,0.0102,0,0,0,0.00382,0.03278,0,0.04339,0,0,0,0,0.00211,0.03459,0.16283,0,0.06469,0.07093,0.24289,0.14583,0,0,0.16419,0.12521,0,0,0,0.08577,0,0.01523,0.02345,0,0,0.00771,0,0.08126,0.0592,0.01725,0,0,0.0065,0,0.05662,0.04215,0.00243,0.02022,0,0,0,0.37959,0,0,0,0,0.10402,0.09087,0,0,0.02768,0.08272,0.23772
0.02,0,0.03769,0,0,0.00982,0.00266,0,0.00924,0,0,0,0.00425,0.03256,0,0.04236,0,0,0,0,0.00203,0.03463,0.16284,0,0.06457,0.07065,0.24321,0.14651,0,0,0.16441,0.12523,0,0,0,0.08572,0,0.01611,0.02345,0,0,0.00781,0,0.07995,0.05855,0.01492,0,0,0.00649,0,0.05663,0.04189,0.00252,0.02012,0,0,0,0.37974,0,0,0,0,0.10393,0.09093,0,0,0.02766,0.08277,0.23767
0.04,0,0.03727,0,0,0.00984,0.00266,0,0.00835,0,0,0,0.00482,0.0324,0,0.04135,0,0,0,0,0.00196,0.03467,0.16285,0,0.06446,0.07037,0.24354,0.1472,0,0,0.16464,0.12525,0,0,0,0.08568,0,0.01687,0.02345,0,0,0.0079,0,0.07789,0.05793,0.01163,0,0,0.00649,0,0.05663,0.04162,0.00261,0.02003,0,0,0,0.37988,0,0,0,0,0.10383,0.09098,0,0,0.02765,0.08283,0.23761
0.06,0,0.03697,0,0,0.00986,0.00267,0,0.00771,0,0,0,0.00551,0.03248,0,0.04034,0,0,0,0,0.0019,0.03471,0.16286,0,0.06434,0.07009,0.24386,0.14789,0,0,0.16486,0.12527,0,0,0,0.08567,0,0.01715,0.02346,0,0,0.00794,0,0.07537,0.05753,0.00736,0,0,0.00649,0,0.05663,0.04135,0.0027,0.01996,0,0,0,0.38002,0,0,0,0,0.10374,0.09104,0,0,0.02764,0.08289,0.23755
0.08,0,0.03693,0,0,0.00988,0.00267,0,0.00765,0,0,0,0.00633,0.03307,0,0.03933,0,0,0,0,0.00185,0.03475,0.16288,0,0.06423,0.06981,0.24418,0.14858,0,0,0.16509,0.12529,0,0,0,0.08577,0,0.01642,0.02346,0,0,0.0079,0,0.07249,0.05764,0.00216,0,0,0.0065,0,0.05664,0.04109,0.00278,0.01989,0,0,0,0.38015,0,0,0,0,0.10365,0.0911,0,0,0.02762,0.08295,0.2375
0.1,1e-05,0.03736,1e-05,3e-05,0.00993,0.00272,1e-05,0.00874,3e-05,3e-05,0.00554,0.00732,0.03444,2e-05,0.03835,5e-05,2e-05,0.00015,4e-05,0.00191,0.03482,0.16291,0.00019,0.06411,0.06957,0.24459,0.1494,1e-05,1e-05,0.16542,0.12531,7e-05,6e-05,9e-05,0.08607,3e-05,0.01378,0.02347,2e-05,5e-05,0.00778,2e-05,0.06773,0.0584,0.0024,0.00011,0.0001,0.00652,1e-05,0.05668,0.04084,0.00298,0.01995,0.00012,2e-05,1e-05,0.38038,1e-05,1e-05,0.0001,3e-05,0.10356,0.09117,0.00019,1e-05,0.02763,0.08305,0.23777
0.12,0,0.03824,0,0,0.00993,0.00269,0,0.01117,0,0,0.01001,0.0082,0.03706,0,0.03731,0,0,0,0,0.00177,0.03485,0.16292,0,0.064,0.06926,0.24483,0.14997,0,0,0.16554,0.12532,0,0,0,0.08663,0,0.00858,0.02346,0,0,0.0075,0,0.06491,0.06063,0.00111,0,0,0.00652,0,0.05665,0.04054,0.00293,0.01978,0,0,0,0.38036,0,0,0,0,0.10346,0.09122,0,0,0.0276,0.08306,0.2374
0.14,3e-05,0.03991,0.00586,5e-05,0.01003,0.00278,1e-05,0.01584,4e-05,3e-05,0.01742,0.00938,0.04149,2e-05,0.03637,0.00012,6e-05,0.00034,6e-05,0.00189,0.03492,0.16297,0.00013,0.0639,0.06904,0.24521,0.15093,1e-05,1e-05,0.16588,0.12536,8e-05,5e-05,0.0001,0.08761,1e-05,0.00543,0.02349,6e-05,9e-05,0.00713,4e-05,0.05952,0.06414,0.00262,0.00055,0.00032,0.00655,5e-05,0.05673,0.04033,0.00329,0.0199,0.00016,1e-05,2e-05,0.38051,3e-05,2e-05,7e-05,7e-05,0.10338,0.0913,0.00021,3e-05,0.02761,0.08316,0.23771
0.16,0,0.04249,0.0175,0,0.00999,0.0027,0,0.02297,0,0,0.02234,0.01023,0.04661,0,0.03523,0,0,0,0,0.00174,0.03497,0.16299,0,0.06376,0.06869,0.24548,0.1514,0,0,0.16597,0.12536,0,0,0,0.08902,0,0.00388,0.02346,0,0,0.00667,0,0.05077,0.06883,0.00092,1e-05,0,0.00656,0,0.05666,0.03999,0.00305,0.01969,0,0,0,0.38048,0,0,0,0,0.10327,0.09136,0,0,0.02758,0.08319,0.23732
0.18,0,0.04377,0.02556,0,0.01003,0.00271,0,0.02704,0,0,0.02565,0.01073,0.05312,0,0.03412,4e-05,0,3e-05,0,0.00175,0.03505,0.16303,5e-05,0.06367,0.06848,0.24576,0.15206,0,1e-05,0.16621,0.12538,2e-05,2e-05,1e-05,0.0899,0,0.00303,0.02347,0,1e-05,0.00597,0,0.06297,0.07468,0.00048,0.00046,0.00039,0.00658,1e-05,0.05669,0.03969,0.00311,0.01964,1e-05,1e-05,0,0.38048,0,1e-05,1e-05,0,0.10318,0.09145,3e-05,0,0.02757,0.08325,0.2373
0.2,0,0.04778,0.03098,0,0.01005,0.00271,0,0.03163,0,0,0.03248,0.01188,0.05362,0,0.03304,0,0,1e-05,1e-05,0.00176,0.03513,0.16308,1e-05,0.06352,0.06813,0.24615,0.15287,0,0,0.16638,0.1254,0,0,0,0.09036,0,0.00243,0.02347,0,0,0.00552,0,0.04254,0.07436,2e-05,5e-05,5e-05,0.00661,0,0.05667,0.03942,0.00312,0.01961,0,0,0,0.38048,0,0,0,0,0.10307,0.09154,0,0,0.02756,0.08332,0.23727
0.22,0,0.06155,0.0308,0,0.01008,0.00272,0,0.03881,0.02376,0,0.04882,0.01471,0.04277,0,0.03225,0,0,6e-05,2e-05,0.00198,0.03524,0.16316,0,0.06323,0.0675,0.24691,0.15421,0,0,0.16651,0.12542,0,0,0,0.08986,0,0.00115,0.02347,0,0,0.00517,0,0.02117,0.06092,0,8e-05,2e-05,0.00665,0,0.05667,0.03922,0.00319,0.01965,0.0002,0,0,0.3807,0,0,0,0,0.10292,0.09163,0,0,0.02754,0.08348,0.23734
0.24,0,0.07188,0.00756,0,0.01011,0.00272,0,0.03205,0.02606,0,0.05948,0.01387,0.02632,0,0.03154,0,1e-05,0.0001,3e-05,0.00188,0.03536,0.16324,0,0.06289,0.06679,0.24778,0.15573,0,0,0.16661,0.12544,0,2e-05,0,0.08646,0,0.00057,0.02348,0,0,0.0035,0,0.01141,0.04359,2e-05,5e-05,2e-05,0.0067,0,0.05667,0.03904,0.00324,0.01966,1e-05,0,0,0.38097,0,0,0,1e-05,0.10275,0.09172,0,0,0.02753,0.08368,0.23746
0.26,0,0.06853,0.00451,0,0.01014,0.00273,0,0.01929,0.02264,0,0.06112,0.00963,0.01445,1e-05,0.03084,1e-05,1e-05,0.00164,0.00027,0.00249,0.03547,0.16331,0,0.06258,0.06613,0.24857,0.15711,0,0,0.16672,0.12547,1e-05,1e-05,0,0.08299,0,0.02533,0.02349,0,1e-05,0.00194,1e-05,0.00679,0.03051,4e-05,1e-05,0.00014,0.00674,5e-05,0.05667,0.03884,0.00454,0.02034,0.00063,0,0,0.38117,0,0,0,1e-05,0.10259,0.09182,1e-05,0,0.02751,0.08386,0.23756
0.28,0,0.05284,0.00234,0,0.01017,0.00273,0,0.01218,0.02762,0,0.06089,0.00293,0.00915,0,0.02987,1e-05,0,0.00018,2e-05,0.00201,0.03558,0.16336,0,0.06223,0.06539,0.24945,0.15857,0,0,0.16684,0.12548,0,0,1e-05,0.08132,0,0.04168,0.0235,0,0,0.00162,0,0.00355,0.02145,2e-05,1e-05,0.0001,0.00678,1e-05,0.05667,0.03863,0.00327,0.01955,3e-05,0,0,0.38141,0,0,0,0,0.10244,0.09193,1e-05,0,0.0275,0.08405,0.23768
0.3,0,0.03847,0.00111,0,0.01019,0.00274,0,0.01893,0.06194,0,0.06165,0.00135,0.01282,1e-05,0.02911,0,0,0,0,0.00205,0.03569,0.16341,0,0.06194,0.06479,0.25017,0.15981,0,0,0.16692,0.12552,0,1e-05,0,0.08272,0,0.03532,0.02351,0,0,0.00269,0,0.00159,0.02063,3e-05,0.00999,1e-05,0.00682,0,0.05667,0.03845,0.00307,0.01947,0,0,0,0.38157,0,0,0,0,0.10227,0.09202,1e-05,0,0.02749,0.08421,0.23774
0.32,3e-05,0.03583,0.00058,4e-05,0.01026,0.00285,0.00027,0.02598,0.07245,6e-05,0.05274,0.0007,0.01062,4e-05,0.02881,8e-05,5e-05,0.00089,0.00016,0.00231,0.03584,0.16346,0.00023,0.06188,0.0648,0.25049,0.16064,3e-05,1e-05,0.16699,0.1256,2e-05,8e-05,6e-05,0.08439,2e-05,0.02328,0.02355,6e-05,0.00012,0.00313,4e-05,0.00105,0.01791,0.00033,0.01247,0.00103,0.00687,2e-05,0.05671,0.03845,0.00372,0.01991,0.00023,2e-05,2e-05,0.38167,2e-05,6e-05,8e-05,7e-05,0.10208,0.09207,0.00016,3e-05,0.02748,0.08434,0.23791
0.34,0,0.03629,0.00026,0,0.01021,0.00273,5e-05,0.03172,0.05963,0,0.03933,0.00013,0.00205,0,0.02859,0,0,1e-05,0,0.00218,0.03596,0.16345,0,0.06186,0.06455,0.25052,0.16075,0,0,0.16685,0.12567,0,0,0,0.08592,0,0.01121,0.02355,0,0,0.00292,0,0.00023,0.01264,0,0.01221,9e-05,0.00688,0,0.05666,0.03837,0.00285,0.01941,0,0,0,0.38145,0,0,0,0,0.10183,0.09207,0,0,0.02746,0.08431,0.23759
0.36,7e-05,0.03634,0.00029,6e-05,0.01026,0.0028,5e-05,0.03656,0.05856,4e-05,0.03051,0.0001,0.0023,4e-05,0.02838,8e-05,3e-05,0.00058,0.0001,0.0025,0.03611,0.16352,0.00041,0.06186,0.0645,0.25083,0.16145,7e-05,4e-05,0.16698,0.12578,8e-05,0.0001,7e-05,0.08721,2e-05,0.00234,0.02361,5e-05,7e-05,0.00305,6e-05,0.00048,0.01015,0.00037,0.01444,0.00354,0.00692,2e-05,0.0567,0.03839,0.00323,0.01965,0.00032,2e-05,7e-05,0.38168,5e-05,2e-05,0.00017,7e-05,0.10166,0.09212,0.00026,6e-05,0.02746,0.08444,0.23776
