T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-27.52867,7.80355,-0.29848,-1.16417,0.48916,0.06477,-1.47441,-3.64564,2.8704,-2.73587,-0.03284,-0.15675,0.03569,-0.98615,5.74361,-3.00517,-3.77061,-0.03404,-0.15951,-0.08892,2.37579,33.50073,-7.09286,15.51838,2.10739,7.42147,1.7655,-26.43408,-14.03064,3.64047,21.34599,-5.33352,-2.54272,-1.19301
0.02,-27.54553,7.79084,-0.30057,-1.16649,0.48772,0.06457,-1.47677,-3.6439,2.87014,-2.73579,-0.03313,-0.15755,0.03618,-0.98924,5.7407,-3.00465,-3.76718,-0.03359,-0.16006,-0.08977,2.36434,33.50685,-7.10317,15.48554,2.09851,7.43316,1.76814,-26.44247,-14.02793,3.63686,21.34688,-5.33263,-2.54359,-1.19431
0.04,-27.55954,7.76697,-0.30298,-1.16945,0.48541,0.06426,-1.47793,-3.63851,2.86922,-2.73411,-0.0337,-0.15828,0.03633,-0.99143,5.7343,-3.00302,-3.76244,-0.03279,-0.16064,-0.09039,2.35061,33.51405,-7.11406,15.45248,2.08955,7.44482,1.7708,-26.45263,-14.02345,3.63299,21.34758,-5.33165,-2.54445,-1.19553
0.06,-27.56872,7.72917,-0.30535,-1.17305,0.48208,0.06384,-1.47746,-3.62849,2.8675,-2.7305,-0.03461,-0.15895,0.0361,-0.99234,5.72323,-2.99998,-3.75598,-0.03157,-0.16122,-0.09075,2.33474,33.52265,-7.12559,15.4192,2.08052,7.45645,1.77359,-26.46422,-14.01672,3.62896,21.34822,-5.33059,-2.54532,-1.19659
0.08,-27.57062,7.6745,-0.30719,-1.17725,0.47753,0.06329,-1.47485,-3.61281,2.86481,-2.72458,-0.0359,-0.15954,0.03546,-0.99153,5.70606,-2.99502,-3.74735,-0.02988,-0.16174,-0.09082,2.31711,33.53305,-7.13778,15.38566,2.07142,7.46806,1.77659,-26.47698,-14.00707,3.62488,21.34883,-5.32944,-2.54623,-1.19739
0.1,-27.56209,7.6001,-0.30784,-1.18189,0.47163,0.06259,-1.46956,-3.59039,2.86097,-2.71582,-0.03758,-0.16005,0.03434,-0.9885,5.68129,-2.98767,-3.73609,-0.02769,-0.16213,-0.09057,2.29819,33.54576,-7.15054,15.35215,2.06241,7.4795,1.77985,-26.49166,-13.99328,3.62083,21.34897,-5.32833,-2.54717,-1.19782
0.12,-27.54123,7.50221,-0.30645,-1.18693,0.46417,0.06173,-1.46109,-3.5608,2.85608,-2.70454,-0.03965,-0.16043,0.0328,-0.98282,5.64736,-2.97783,-3.7218,-0.02499,-0.16229,-0.09001,2.27933,33.56082,-7.16358,15.31851,2.05343,7.49092,1.78356,-26.50512,-13.97629,3.61716,21.34997,-5.32715,-2.54835,-1.19782
0.14,-27.50398,7.37798,-0.30199,-1.19203,0.45506,0.0607,-1.44895,-3.52325,2.84963,-2.68975,-0.04208,-0.1607,0.0308,-0.97396,5.60284,-2.96424,-3.70396,-0.0218,-0.16213,-0.08913,2.26112,33.57908,-7.17664,15.28509,2.04477,7.50205,1.7877,-26.52069,-13.95357,3.61375,21.35021,-5.32626,-2.5496,-1.19723
0.16,-27.44807,7.22361,-0.29309,-1.19695,0.44418,0.0595,-1.43286,-3.47815,2.84194,-2.67176,-0.04479,-0.16085,0.02841,-0.96152,5.54669,-2.94755,-3.68258,-0.01823,-0.16149,-0.08798,2.24491,33.60062,-7.18913,15.25244,2.0367,7.51268,1.79231,-26.53801,-13.92513,3.61083,21.3498,-5.32581,-2.551,-1.19595
0.18,-27.37664,7.03281,-0.27806,-1.20191,0.43123,0.0581,-1.4128,-3.42806,2.83371,-2.65338,-0.04759,-0.16078,0.02602,-0.94539,5.47825,-2.92778,-3.65759,-0.01442,-0.1602,-0.08675,2.2344,33.62405,-7.20019,15.21894,2.02859,7.52384,1.79801,-26.54326,-13.89816,3.60949,21.35515,-5.32509,-2.55348,-1.19417
